,Date,Open,High,Low,Close
2151,2020-12-14,3.09,3.25,3.0,3.2
2150,2020-12-11,3.0684,3.1,3.0,3.04
2149,2020-12-10,3.1498,3.1498,3.0545,3.1245
2148,2020-12-09,3.03,3.14,3.03,3.1223
2147,2020-12-08,3.15,3.16,3.07,3.0968
2146,2020-12-07,3.25,3.25,3.125,3.145
2145,2020-12-04,3.09,3.15,3.06,3.14
2144,2020-12-03,3.15,3.15,3.012,3.105
2143,2020-12-02,3.15,3.21,3.0834,3.18
2142,2020-12-01,3.2,3.2,3.02,3.14
2141,2020-11-30,3.0,3.3,2.98,3.24
2140,2020-11-27,3.2,3.24,3.1598,3.225
2139,2020-11-25,3.1,3.205,2.95,3.17
2138,2020-11-24,3.1,3.15,3.09,3.09
2137,2020-11-23,3.24,3.24,3.08,3.138
2136,2020-11-20,3.35,3.35,3.22,3.25
2135,2020-11-19,3.32,3.39,3.13,3.25
2134,2020-11-18,3.45,3.45,3.33,3.393
2133,2020-11-17,3.05,3.42,3.04,3.365
2132,2020-11-16,3.17,3.17,3.04,3.06
2131,2020-11-13,3.0,3.15,3.0,3.0497
2130,2020-11-12,4.2,4.4,3.7,4.09
2129,2020-11-11,4.51,4.51,4.2,4.49
2128,2020-11-10,5.0,5.0,3.35,4.75
2127,2020-11-09,7.49,7.49,4.5,5.75
2126,2020-11-06,3.58,3.71,3.56,3.56
2125,2020-11-05,3.6,3.6,3.56,3.6
2124,2020-11-04,3.675,3.675,3.56,3.65
2123,2020-11-03,3.7,3.7,3.56,3.7
2122,2020-11-02,3.65,3.73,3.65,3.65
2121,2020-10-30,3.7,3.73,3.6,3.73
2120,2020-10-29,3.75,3.75,3.7,3.73
2119,2020-10-28,3.9,3.9,3.75,3.75
2118,2020-10-27,3.895,3.94,3.895,3.9399
2117,2020-10-26,3.85,3.95,3.85,3.95
2116,2020-10-23,4.0,4.0,3.8,3.99
2115,2020-10-22,3.95,3.95,3.79,3.94
2114,2020-10-21,4.04,4.05,3.51,3.9
2113,2020-10-20,4.06,4.07,3.71,4.05
2112,2020-10-19,4.1,4.15,4.05,4.06
2111,2020-10-16,4.15,4.18,3.99,4.1
2110,2020-10-15,4.2,4.2,3.75,4.15
2109,2020-10-14,4.075,4.19,3.75,4.1455
2108,2020-10-13,4.2,4.2,3.75,4.05
2107,2020-10-12,3.76,4.0,3.63,4.0
2106,2020-10-09,3.785,4.0,3.5,3.91
2105,2020-10-08,3.3,3.91,3.3,3.91
2104,2020-10-07,3.55,3.56,3.25,3.55
2103,2020-10-06,3.6,3.7,3.55,3.6
2102,2020-10-05,3.8,3.85,3.14,3.7
2101,2020-10-02,3.76,3.9,3.76,3.8
2100,2020-10-01,3.75,3.91,3.73,3.91
2099,2020-09-30,3.7,3.8,3.6,3.75
2098,2020-09-29,3.95,3.95,3.5,3.7
2097,2020-09-28,3.9,3.95,3.71,3.8
2096,2020-09-25,4.15,4.24,4.04,4.04
2095,2020-09-24,4.2525,4.2525,3.85,4.15
2094,2020-09-23,3.96,4.0,3.9,4.0
2093,2020-09-22,4.1,4.1,3.9,4.0
2092,2020-09-21,4.0,4.1,3.8,4.0
2091,2020-09-18,4.4,4.4,3.2,4.0
2090,2020-09-17,4.55,4.7,3.7,4.7
2089,2020-09-16,4.31,4.7,4.31,4.7
