,Date,Open,High,Low,Close
5314,2020-12-14,86.26,87.13,85.07,85.13
5313,2020-12-11,85.02,86.35,83.79,85.32
5312,2020-12-10,86.94,87.15,85.09,85.74
5311,2020-12-09,87.79,88.29,85.8225,87.54
5310,2020-12-08,85.39,87.295,85.1975,86.78
5309,2020-12-07,86.65,86.855,84.925,86.05
5308,2020-12-04,85.08,87.45,84.32,87.12
5307,2020-12-03,84.27,85.2,83.03,84.31
5306,2020-12-02,83.87,84.88,83.3,84.25
5305,2020-12-01,83.51,84.44,82.46,84.2
5304,2020-11-30,84.72,84.72,81.84,82.29
5303,2020-11-27,87.36,88.23,83.79,85.43
5302,2020-11-25,87.12,88.63,85.78,87.46
5301,2020-11-24,84.7,88.43,83.99,88.02
5300,2020-11-23,81.73,83.565,73.56,83.24
5299,2020-11-20,80.2,81.045,78.42,80.76
5298,2020-11-19,80.3,82.19,79.33,80.73
5297,2020-11-18,83.33,83.63,80.43,80.77
5296,2020-11-17,82.11,83.22,79.83,82.87
5295,2020-11-16,81.7,83.15,79.24,83.02
5294,2020-11-13,77.53,80.35,77.46,79.81
5293,2020-11-12,78.03,78.7,75.44,76.64
5292,2020-11-11,80.05,80.35,77.14,78.17
5291,2020-11-10,78.2,80.46,77.91,79.61
5290,2020-11-09,73.96,78.975,72.875,77.13
5289,2020-11-06,70.36,70.78,67.99,68.75
5288,2020-11-05,70.06,72.28,69.57,70.31
5287,2020-11-04,71.9,71.9,67.55,70.0
5286,2020-11-03,69.7,70.27,67.81,68.63
5285,2020-11-02,66.81,68.35,66.79,68.35
5284,2020-10-30,64.83,66.14,64.83,66.14
5283,2020-10-29,62.11,65.495,61.95,65.25
5282,2020-10-28,63.59,63.73,62.39,62.76
5281,2020-10-27,66.82,67.14,65.09,65.21
5280,2020-10-26,67.86,68.03,66.43,67.05
5279,2020-10-23,68.98,69.48,68.37,68.53
5278,2020-10-22,68.48,68.86,67.62,68.5
5277,2020-10-21,67.71,69.005,67.69,68.04
5276,2020-10-20,68.21,69.16,67.86,67.92
5275,2020-10-19,69.07,69.95,67.625,67.72
