,Date,Open,High,Low,Close
5314,2020-12-14,2.68,2.68,2.35,2.37
5313,2020-12-11,2.7,2.7,2.51,2.56
5312,2020-12-10,2.28,2.6922,2.25,2.65
5311,2020-12-09,2.38,2.4,2.25,2.29
5310,2020-12-08,2.22,2.38,2.18,2.33
5309,2020-12-07,2.33,2.3498,2.21,2.26
5308,2020-12-04,2.11,2.47,2.11,2.34
5307,2020-12-03,1.94,2.14,1.94,2.05
5306,2020-12-02,1.85,1.98,1.81,1.94
5305,2020-12-01,1.96,2.0,1.86,1.9
5304,2020-11-30,1.94,2.0122,1.87,1.89
5303,2020-11-27,1.97,2.05,1.95,2.0
5302,2020-11-25,2.02,2.04,1.9296,2.0
5301,2020-11-24,1.92,2.0876,1.9,2.04
5300,2020-11-23,1.7,1.89,1.7,1.87
5299,2020-11-20,1.85,1.85,1.65,1.68
5298,2020-11-19,1.76,1.85,1.73,1.85
5297,2020-11-18,1.68,1.78,1.66,1.73
5296,2020-11-17,1.66,1.6999,1.5943,1.67
5295,2020-11-16,1.6,1.68,1.59,1.66
5294,2020-11-13,1.53,1.57,1.52,1.56
5293,2020-11-12,1.49,1.58,1.48,1.51
5292,2020-11-11,1.52,1.5699,1.48,1.51
5291,2020-11-10,1.5,1.59,1.49,1.5
5290,2020-11-09,1.57,1.63,1.41,1.55
5289,2020-11-06,1.45,1.52,1.43,1.46
5288,2020-11-05,1.45,1.55,1.43,1.5
5287,2020-11-04,1.5432,1.69,1.46,1.59
5286,2020-11-03,1.52,1.57,1.45,1.5
5285,2020-11-02,1.51,1.52,1.41,1.51
5284,2020-10-30,1.45,1.495,1.3966,1.48
5283,2020-10-29,1.42,1.45,1.36,1.44
5282,2020-10-28,1.43,1.445,1.3701,1.39
5281,2020-10-27,1.47,1.53,1.41,1.47
5280,2020-10-26,1.53,1.57,1.47,1.47
5279,2020-10-23,1.55,1.59,1.5382,1.56
5278,2020-10-22,1.55,1.61,1.5,1.55
5277,2020-10-21,1.56,1.59,1.48,1.51
5276,2020-10-20,1.57,1.63,1.53,1.54
5275,2020-10-19,1.64,1.67,1.56,1.57
5274,2020-10-16,1.65,1.65,1.58,1.6
5273,2020-10-15,1.6,1.7,1.58,1.67
5272,2020-10-14,1.57,1.72,1.55,1.63
5271,2020-10-13,1.6,1.63,1.55,1.56
5270,2020-10-12,1.71,1.78,1.55,1.57
5269,2020-10-09,1.86,1.88,1.7,1.73
5268,2020-10-08,2.2,2.2,1.8,1.88
5267,2020-10-07,1.46,2.23,1.46,2.08
5266,2020-10-06,1.59,1.59,1.46,1.47
5265,2020-10-05,1.5,1.56,1.44,1.47
5264,2020-10-02,1.42,1.51,1.42,1.47
5263,2020-10-01,1.5,1.55,1.38,1.45
5262,2020-09-30,1.5,1.5898,1.49,1.5
5261,2020-09-29,1.56,1.6091,1.48,1.51
5260,2020-09-28,1.47,1.67,1.47,1.55
5259,2020-09-25,1.48,1.54,1.43,1.45
5258,2020-09-24,1.46,1.54,1.4166,1.48
5257,2020-09-23,1.54,1.56,1.45,1.45
5256,2020-09-22,1.57,1.6268,1.5,1.5
5255,2020-09-21,1.58,1.6,1.5101,1.565
5254,2020-09-18,1.65,1.74,1.62,1.64
5253,2020-09-17,1.69,1.72,1.61,1.66
5252,2020-09-16,1.58,1.78,1.53,1.68
5251,2020-09-15,1.56,1.67,1.55,1.55
5250,2020-09-14,1.4,1.59,1.38,1.57
5249,2020-09-11,1.61,1.64,1.4,1.42
5248,2020-09-10,1.7,1.7,1.5,1.55
5247,2020-09-09,1.8,1.8,1.65,1.68
5246,2020-09-08,1.77,1.7965,1.6898,1.76
5245,2020-09-04,1.81,1.876,1.81,1.82
5244,2020-09-03,1.97,2.0,1.71,1.89
5243,2020-09-02,2.1,2.14,1.74,2.0
5242,2020-09-01,2.02,2.02,1.88,1.91
5241,2020-08-31,1.96,2.03,1.76,2.03
5240,2020-08-28,1.83,2.03,1.83,1.95
5239,2020-08-27,1.9,1.9,1.8,1.85
5238,2020-08-26,1.92,1.98,1.8,1.81
5237,2020-08-25,2.02,2.02,1.863,1.95
5236,2020-08-24,1.92,2.07,1.9011,2.0167
5235,2020-08-21,2.08,2.12,1.83,1.92
5234,2020-08-20,2.13,2.16,2.02,2.11
5233,2020-08-19,2.28,2.3374,2.09,2.13
5232,2020-08-18,2.38,2.42,2.26,2.3
5231,2020-08-17,2.51,2.51,2.34,2.37
5230,2020-08-14,2.44,2.5,2.44,2.47
5229,2020-08-13,2.48,2.55,2.43,2.5
5228,2020-08-12,2.64,2.64,2.42,2.55
5227,2020-08-11,2.62,2.67,2.54,2.58
5226,2020-08-10,2.34,2.6301,2.34,2.58
5225,2020-08-07,2.41,2.41,2.26,2.35
5224,2020-08-06,2.69,2.69,2.36,2.4
5223,2020-08-05,2.95,3.1,2.82,2.87
5222,2020-08-04,2.74,2.98,2.74,2.9
5221,2020-08-03,2.76,2.8718,2.69,2.79
5220,2020-07-31,2.81,2.99,2.72,2.75
5219,2020-07-30,2.95,2.96,2.7613,2.94
5218,2020-07-29,2.87,3.01,2.78,3.0
5217,2020-07-28,2.77,2.9,2.72,2.83
5216,2020-07-27,2.9,2.9185,2.74,2.78
5215,2020-07-24,2.99,2.99,2.76,2.87
5214,2020-07-23,2.72,2.896,2.6687,2.85
5213,2020-07-22,2.92,3.15,2.65,2.71
5212,2020-07-21,2.49,2.7,2.48,2.67
5211,2020-07-20,2.54,2.57,2.44,2.46
5210,2020-07-17,2.52,2.6,2.49,2.55
5209,2020-07-16,2.45,2.62,2.4,2.5
5208,2020-07-15,2.28,2.49,2.28,2.47
5207,2020-07-14,2.26,2.43,2.25,2.34
5206,2020-07-13,2.36,2.39,2.26,2.27
5205,2020-07-10,2.21,2.41,2.21,2.38
5204,2020-07-09,2.37,2.41,2.22,2.22
5203,2020-07-08,2.34,2.41,2.24,2.37
5202,2020-07-07,2.41,2.41,2.28,2.31
5201,2020-07-06,2.53,2.61,2.31,2.46
5200,2020-07-02,2.63,3.18,2.44,2.53
5199,2020-07-01,2.34,2.42,2.2,2.21
5198,2020-06-30,2.18,2.39,2.17,2.34
5197,2020-06-29,2.25,2.36,2.17,2.18
5196,2020-06-26,2.45,2.45,2.18,2.25
5195,2020-06-25,2.37,2.4939,2.26,2.44
5194,2020-06-24,2.58,2.59,2.25,2.41
5193,2020-06-23,2.62,2.65,2.5,2.6
5192,2020-06-22,2.68,2.75,2.5,2.57
5191,2020-06-19,2.88,2.9,2.6018,2.62
