,Date,Open,High,Low,Close
493,2020-12-14,26.2801,26.45,26.2801,26.4129
492,2020-12-11,26.08,26.36,26.0005,26.25
491,2020-12-10,26.37,26.37,26.16,26.2899
490,2020-12-09,26.33,26.37,26.303,26.36
489,2020-12-08,26.33,26.33,26.3223,26.33
488,2020-12-07,26.38,26.38,26.19,26.33
487,2020-12-04,26.24,26.35,26.1788,26.35
486,2020-12-03,26.1673,26.24,26.096,26.24
485,2020-12-02,26.11,26.27,26.07,26.07
484,2020-12-01,26.26,26.32,26.18,26.1986
483,2020-11-30,26.2853,26.33,26.21,26.33
482,2020-11-27,26.35,26.35,26.21,26.31
481,2020-11-25,26.59,26.5936,26.59,26.59
480,2020-11-24,26.6,26.617,26.59,26.59
479,2020-11-23,26.49,26.615,26.467,26.57
478,2020-11-20,26.4964,26.5,26.48,26.5
477,2020-11-19,26.24,26.51,26.24,26.51
476,2020-11-18,26.5,26.55,26.47,26.53
475,2020-11-17,26.55,26.58,26.47,26.55
474,2020-11-16,26.2176,26.55,26.2176,26.54
473,2020-11-13,26.23,26.23,26.2,26.23
472,2020-11-12,26.17,26.245,26.17,26.23
471,2020-11-11,26.14,26.2,26.05,26.2
470,2020-11-10,26.15,26.19,26.0,26.16
469,2020-11-09,25.99,25.99,25.74,25.98
468,2020-11-06,25.9045,26.05,25.74,25.7445
467,2020-11-05,26.06,26.11,26.0101,26.11
466,2020-11-04,25.97,26.1,25.97,26.1
465,2020-11-03,25.83,25.9,25.79,25.79
464,2020-11-02,25.84,25.86,25.665,25.81
463,2020-10-30,25.73,25.79,25.55,25.68
462,2020-10-29,25.867,25.867,25.68,25.68
461,2020-10-28,25.8688,25.9573,25.6,25.64
460,2020-10-27,25.94,25.97,25.835,25.97
459,2020-10-26,25.95,25.95,25.68,25.93
458,2020-10-23,25.8724,25.99,25.8724,25.97
457,2020-10-22,25.78,25.78,25.78,25.78
456,2020-10-21,25.96,25.96,25.76,25.78
455,2020-10-20,25.96,26.0572,25.91,25.97
454,2020-10-19,25.99,26.0315,25.9,25.91
453,2020-10-16,26.03,26.0373,26.0,26.02
452,2020-10-15,26.0479,26.1,26.0,26.1
451,2020-10-14,26.1946,26.1946,26.01,26.07
