,Date,Open,High,Low,Close
124,2020-12-14,26.45,29.48,25.7,29.48
123,2020-12-11,25.78,26.79,24.26,25.43
122,2020-12-10,25.54,26.86,25.35,26.22
121,2020-12-09,25.75,27.68,24.1,26.82
120,2020-12-08,26.22,26.5,23.9,25.15
119,2020-12-07,23.54,25.64,23.19,25.59
118,2020-12-04,21.8,21.9,21.11,21.67
117,2020-12-03,21.17,21.89,20.9,21.42
116,2020-12-02,19.36,20.72,19.01,20.55
115,2020-12-01,23.0,23.0,20.0,20.14
114,2020-11-30,23.5,23.9,21.5,22.54
113,2020-11-27,22.41,23.06,21.2,21.8
112,2020-11-25,18.5,20.47,18.5,20.43
111,2020-11-24,18.63,19.5,18.07,18.75
110,2020-11-23,19.14,19.9,18.06,18.64
109,2020-11-20,19.62,19.99,18.88,19.05
108,2020-11-19,18.7,20.65,18.5,19.42
107,2020-11-18,18.61,19.66,18.3,18.7
106,2020-11-17,18.36,18.84,18.2,18.51
105,2020-11-16,19.39,19.88,18.41,18.49
104,2020-11-13,18.19,19.1,17.73,19.02
103,2020-11-12,18.4,19.02,17.5,17.88
102,2020-11-11,18.17,18.59,17.7,18.03
101,2020-11-10,18.64,18.7983,17.03,18.08
100,2020-11-09,20.1,20.8,18.72,18.98
99,2020-11-06,18.6,20.8,18.3,20.23
98,2020-11-05,18.9,19.11,18.3601,18.92
97,2020-11-04,17.13,18.37,17.0,18.2
96,2020-11-03,16.0,17.2,15.8,16.67
95,2020-11-02,16.46,17.33,15.35,15.55
94,2020-10-30,17.0,17.45,16.02,16.44
93,2020-10-29,17.0,18.09,16.85,17.11
92,2020-10-28,17.93,17.94,17.041,17.36
91,2020-10-27,18.88,19.14,18.0,18.19
90,2020-10-26,18.5,19.0374,17.0,17.98
89,2020-10-23,20.0,20.17,18.4,19.44
88,2020-10-22,22.32,22.32,19.6,19.73
87,2020-10-21,22.7,22.7,21.4,21.92
86,2020-10-20,21.1,23.53,21.02,22.73
85,2020-10-19,23.15,23.34,20.8,21.34
84,2020-10-16,24.8,24.98,21.95,22.91
83,2020-10-15,25.17,27.0,23.51,23.93
82,2020-10-14,24.83,26.56,24.12,26.48
81,2020-10-13,22.89,24.3299,22.47,24.08
80,2020-10-12,23.97,24.27,22.6,23.2
79,2020-10-09,19.55,22.45,19.5,21.24
78,2020-10-08,18.42,19.07,17.92,18.78
77,2020-10-07,17.01,17.73,16.8,17.57
76,2020-10-06,18.41,18.445,16.15,16.35
75,2020-10-05,19.18,19.18,17.92,18.25
74,2020-10-02,17.77,18.97,17.41,18.41
73,2020-10-01,19.08,19.3,18.03,18.57
72,2020-09-30,19.35,19.47,18.3,18.99
71,2020-09-29,17.48,19.4,17.1622,18.75
70,2020-09-28,16.95,17.24,16.55,16.72
69,2020-09-25,15.79,16.75,15.4,16.42
68,2020-09-24,14.96,16.2399,14.01,15.89
67,2020-09-23,16.69,17.5,15.06,15.27
66,2020-09-22,15.89,16.78,15.61,16.78
65,2020-09-21,15.25,15.86,13.9,15.35
64,2020-09-18,15.69,15.74,14.58,14.6
63,2020-09-17,15.93,16.43,15.3,15.41
62,2020-09-16,16.08,16.74,15.73,15.9
61,2020-09-15,15.55,18.08,14.82,17.56
60,2020-09-14,12.6,13.25,12.5,13.05
59,2020-09-11,13.18,13.26,12.0,12.7
58,2020-09-10,12.13,13.33,11.96,12.41
57,2020-09-09,12.05,12.15,11.9,11.92
56,2020-09-08,11.97,12.0,11.81,12.0
55,2020-09-04,11.4,12.19,11.11,12.0
54,2020-09-03,11.2,11.3633,10.95,11.19
53,2020-09-02,10.95,11.2,10.83,11.11
52,2020-09-01,10.81,10.9,10.75,10.9
51,2020-08-31,10.94,10.94,10.7,10.73
50,2020-08-28,10.85,10.85,10.65,10.8
49,2020-08-27,10.8,10.8,10.55,10.61
48,2020-08-26,10.91,10.91,10.7,10.75
47,2020-08-25,11.0,11.0,10.7,10.8
46,2020-08-24,10.99,11.05,10.8,10.98
45,2020-08-21,10.85,10.97,10.68,10.94
44,2020-08-20,11.0,11.0,10.75,10.78
43,2020-08-19,11.0,11.0,10.78,10.9
42,2020-08-18,11.08,11.1,10.82,10.85
41,2020-08-17,11.0,11.1294,10.98,11.05
40,2020-08-14,10.85,11.14,10.85,10.97
39,2020-08-13,10.9,11.0,10.76,10.86
38,2020-08-12,10.96,10.97,10.8,10.85
37,2020-08-11,11.08,11.13,10.85,10.88
36,2020-08-10,11.19,11.19,10.91,10.91
35,2020-08-07,11.08,11.11,10.91,10.99
34,2020-08-06,11.09,11.15,10.9401,11.035
33,2020-08-05,11.05,11.18,10.9,11.04
32,2020-08-04,10.9,10.99,10.81,10.99
31,2020-08-03,11.13,11.175,10.83,10.84
30,2020-07-31,11.37,11.37,10.8,10.85
29,2020-07-30,11.65,11.7999,11.27,11.29
28,2020-07-29,11.9,11.9999,11.55,11.68
27,2020-07-28,12.05,12.1,11.85,11.87
26,2020-07-27,12.32,12.32,11.86,12.0
25,2020-07-24,12.02,12.02,11.85,11.925
24,2020-07-23,12.14,12.17,11.6,11.95
23,2020-07-22,12.27,12.34,11.9,12.05
22,2020-07-21,12.17,12.45,11.93,12.0
21,2020-07-20,12.01,12.15,11.7,11.93
20,2020-07-17,12.05,12.14,11.88,12.0
19,2020-07-16,11.75,12.05,11.7,12.0
18,2020-07-15,11.66,11.66,11.4,11.64
17,2020-07-14,11.6,11.6,11.38,11.45
16,2020-07-13,12.0,12.15,11.45,11.48
15,2020-07-10,11.75,11.8,11.6,11.8
14,2020-07-09,11.7,11.74,11.55,11.63
13,2020-07-08,11.57,11.57,11.3,11.45
12,2020-07-07,11.75,11.75,11.3,11.4
11,2020-07-06,11.75,11.75,11.4,11.4
10,2020-07-02,11.75,11.75,11.46,11.48
9,2020-07-01,11.75,11.8,11.61,11.61
8,2020-06-30,12.09,12.09,11.6,11.75
7,2020-06-29,11.39,12.07,11.36,11.68
6,2020-06-26,11.64,11.64,11.1,11.28
5,2020-06-25,11.12,11.4,11.12,11.37
4,2020-06-24,11.86,11.86,11.15,11.25
3,2020-06-23,11.65,12.23,11.25,11.61
2,2020-06-22,11.11,12.825,10.9,11.36
1,2020-06-19,11.4,11.4,10.83,10.93
0,2020-06-18,10.95,11.5,10.7,10.8038
