,Date,Open,High,Low,Close
5314,2020-12-14,49.33,49.41,48.0,48.01
5313,2020-12-11,48.37,48.89,48.06,48.63
5312,2020-12-10,49.01,49.47,48.465,48.64
5311,2020-12-09,49.0,49.77,49.0,49.54
5310,2020-12-08,48.38,49.11,48.279,49.09
5309,2020-12-07,48.91,48.91,47.95,48.67
5308,2020-12-04,48.76,49.06,48.06,48.87
5307,2020-12-03,49.77,49.95,47.89,48.24
5306,2020-12-02,49.68,50.3055,49.49,49.86
5305,2020-12-01,50.23,50.6,49.51,49.85
5304,2020-11-30,50.52,50.6204,49.33,49.48
5303,2020-11-27,50.66,51.21,50.28,50.69
5302,2020-11-25,51.24,51.55,50.6,51.07
5301,2020-11-24,50.52,51.99,50.5,51.87
5300,2020-11-23,50.13,50.52,49.8,50.01
5299,2020-11-20,49.19,49.75,48.695,49.43
5298,2020-11-19,49.14,49.37,48.51,49.23
5297,2020-11-18,50.22,50.61,49.55,49.56
5296,2020-11-17,49.58,50.52,49.11,50.09
5295,2020-11-16,49.42,50.24,48.75,49.96
5294,2020-11-13,47.1,48.07,47.1,47.89
5293,2020-11-12,48.16,48.34,46.4,47.09
5292,2020-11-11,49.01,49.2809,48.09,48.67
5291,2020-11-10,47.57,48.87,47.17,48.82
5290,2020-11-09,48.59,50.33,47.27,47.36
5289,2020-11-06,47.11,47.3799,46.0,46.49
5288,2020-11-05,45.5,47.52,45.26,46.89
5287,2020-11-04,45.99,46.36,44.74,45.09
5286,2020-11-03,45.91,46.76,45.55,46.52
5285,2020-11-02,44.54,45.275,44.05,45.05
5284,2020-10-30,43.73,44.138,43.19,43.75
5283,2020-10-29,42.77,44.34,42.4803,43.84
5282,2020-10-28,43.5,43.92,42.7,43.0
5281,2020-10-27,45.18,45.29,44.34,44.37
5280,2020-10-26,45.69,46.0548,44.92,45.29
5279,2020-10-23,46.81,47.18,46.32,46.4
5278,2020-10-22,46.33,46.7,46.05,46.59
5277,2020-10-21,46.29,47.0599,46.08,46.48
5276,2020-10-20,47.21,47.31,46.12,46.4
5275,2020-10-19,46.77,47.03,46.36,46.69
5274,2020-10-16,46.36,46.81,45.82,46.54
5273,2020-10-15,44.09,45.61,43.965,45.55
5272,2020-10-14,44.27,44.98,44.27,44.66
5271,2020-10-13,44.08,44.64,43.47,44.01
5270,2020-10-12,43.94,45.02,43.36,44.47
5269,2020-10-09,43.55,44.2,42.67,42.67
5268,2020-10-08,41.81,42.51,41.79,42.49
5267,2020-10-07,41.09,41.98,40.965,41.81
5266,2020-10-06,41.5,41.74,40.63,40.67
5265,2020-10-05,41.05,41.82,40.87,41.43
5264,2020-10-02,39.31,40.77,39.1501,40.48
5263,2020-10-01,40.79,41.1612,39.835,39.95
5262,2020-09-30,40.35,41.01,40.2,40.54
5261,2020-09-29,41.26,41.26,39.8,40.28
5260,2020-09-28,41.51,41.76,40.675,41.17
5259,2020-09-25,38.76,41.51,38.38,41.16
5258,2020-09-24,39.38,39.95,38.7,39.21
5257,2020-09-23,40.74,40.815,39.22,39.27
5256,2020-09-22,40.87,41.21,40.3165,40.78
5255,2020-09-21,41.11,41.49,40.26,41.04
5254,2020-09-18,42.58,43.08,41.99,42.05
5253,2020-09-17,41.37,43.1,40.91,42.89
5252,2020-09-16,41.91,42.38,41.42,41.92
5251,2020-09-15,41.0,41.76,40.77,41.66
5250,2020-09-14,39.37,40.98,39.27,40.79
5249,2020-09-11,38.17,39.14,37.91,38.92
5248,2020-09-10,38.43,38.73,37.95,37.97
5247,2020-09-09,37.91,38.7,37.56,38.29
5246,2020-09-08,38.88,39.04,37.265,37.31
5245,2020-09-04,39.05,39.35,38.3773,39.03
5244,2020-09-03,38.91,39.54,37.83,38.34
5243,2020-09-02,37.62,38.87,37.3343,38.84
5242,2020-09-01,36.22,37.53,35.93,37.52
5241,2020-08-31,36.92,36.92,36.14,36.27
5240,2020-08-28,36.7,37.11,36.57,36.93
5239,2020-08-27,36.2,36.865,36.18,36.6
5238,2020-08-26,36.09,36.24,35.765,36.17
5237,2020-08-25,37.45,37.53,36.1896,36.21
5236,2020-08-24,35.76,37.42,35.71,37.27
5235,2020-08-21,35.3,35.57,34.81,35.18
5234,2020-08-20,35.75,36.03,35.47,35.68
5233,2020-08-19,36.34,36.86,36.1,36.2
5232,2020-08-18,36.48,36.76,36.18,36.24
5231,2020-08-17,37.29,37.29,36.525,36.63
5230,2020-08-14,36.2,37.37,36.09,37.27
5229,2020-08-13,35.92,36.68,35.82,36.49
5228,2020-08-12,37.34,37.46,36.44,36.72
5227,2020-08-11,37.3,38.33,36.905,37.02
5226,2020-08-10,35.67,36.34,35.535,36.31
5225,2020-08-07,34.17,35.5199,33.92,35.49
5224,2020-08-06,35.5,35.86,35.26,35.27
5223,2020-08-05,35.63,36.09,35.56,35.58
5222,2020-08-04,35.23,35.65,34.97,35.28
5221,2020-08-03,35.22,35.67,34.86,35.44
5220,2020-07-31,35.3,35.53,34.35,34.79
5219,2020-07-30,37.27,37.64,35.385,35.76
5218,2020-07-29,36.37,36.96,36.1,36.75
5217,2020-07-28,36.73,36.83,36.015,36.17
5216,2020-07-27,36.26,36.92,35.92,36.85
5215,2020-07-24,36.8,36.95,36.185,36.32
5214,2020-07-23,36.54,36.88,36.31,36.63
5213,2020-07-22,36.49,36.84,36.18,36.65
5212,2020-07-21,36.25,37.07,36.25,36.61
5211,2020-07-20,36.64,36.83,36.12,36.35
5210,2020-07-17,37.55,37.55,36.79,36.92
5209,2020-07-16,36.3,37.67,36.11,37.39
5208,2020-07-15,36.58,36.79,35.84,36.31
5207,2020-07-14,34.7,35.66,34.47,35.46
5206,2020-07-13,34.6,35.18,34.25,34.65
5205,2020-07-10,33.23,34.59,33.23,34.54
5204,2020-07-09,34.01,34.14,32.94,33.11
5203,2020-07-08,35.1,35.17,33.82,34.14
5202,2020-07-07,35.49,35.57,34.96,35.24
5201,2020-07-06,36.22,36.48,35.5,35.94
5200,2020-07-02,35.26,35.8,35.03,35.35
5199,2020-07-01,35.34,35.56,34.52,34.81
5198,2020-06-30,34.79,35.51,34.44,35.21
5197,2020-06-29,34.31,35.42,34.23,35.01
5196,2020-06-26,33.57,33.92,33.16,33.8
5195,2020-06-25,33.34,33.84,32.59,33.78
5194,2020-06-24,34.47,34.47,33.52,33.58
5193,2020-06-23,34.69,35.16,34.5,34.85
5192,2020-06-22,34.6,34.62,33.77,34.42
5191,2020-06-19,35.78,35.88,34.67,34.86
5190,2020-06-18,34.84,35.5,34.67,35.08
5189,2020-06-17,35.77,35.99,35.08,35.18
5188,2020-06-16,36.35,36.81,35.29,35.71
5187,2020-06-15,33.72,35.43,33.39,35.06
5186,2020-06-12,35.6,35.62,34.12,34.92
5185,2020-06-11,35.1,35.86,33.62,33.92
5184,2020-06-10,38.04,38.1,36.7,36.77
5183,2020-06-09,38.9,38.95,38.06,38.31
5182,2020-06-08,39.2,39.8,38.83,39.69
5181,2020-06-05,39.14,40.24,38.54,39.03
5180,2020-06-04,36.6,37.85,36.15,37.83
5179,2020-06-03,36.0,37.25,35.75,36.92
5178,2020-06-02,34.92,35.83,34.85,35.23
5177,2020-06-01,34.07,34.98,34.04,34.73
5176,2020-05-29,34.8,34.94,33.71,34.05
5175,2020-05-28,36.01,36.14,34.55,35.09
5174,2020-05-27,35.25,36.07,35.0,35.84
5173,2020-05-26,32.98,34.48,32.84,34.33
5172,2020-05-22,32.91,33.0,32.17,32.64
5171,2020-05-21,32.86,33.65,32.8,32.93
5170,2020-05-20,32.4,33.4,32.37,33.0
5169,2020-05-19,32.48,32.79,31.7,32.01
5168,2020-05-18,32.28,33.21,32.22,32.8
5167,2020-05-15,31.01,31.2,30.43,31.05
5166,2020-05-14,30.48,31.6,29.76,31.57
5165,2020-05-13,31.97,32.0,30.36,30.85
5164,2020-05-12,33.19,33.54,32.07,32.12
5163,2020-05-11,33.71,33.81,32.93,33.07
5162,2020-05-08,33.18,34.39,33.09,34.35
5161,2020-05-07,32.61,33.44,32.39,32.6
5160,2020-05-06,33.28,33.64,32.14,32.17
5159,2020-05-05,33.92,34.0,32.97,33.1
5158,2020-05-04,33.5,33.72,32.84,33.37
5157,2020-05-01,33.7,34.01,33.06,33.91
5156,2020-04-30,33.5,35.08,33.02,34.25
5155,2020-04-29,36.73,37.35,36.34,36.52
5154,2020-04-28,33.79,36.15,33.58,35.75
5153,2020-04-27,31.32,32.98,31.3,32.81
5152,2020-04-24,31.08,31.36,30.54,31.13
5151,2020-04-23,30.35,30.99,30.23,30.54
5150,2020-04-22,30.67,30.82,29.84,29.97
5149,2020-04-21,29.99,30.65,29.83,30.12
5148,2020-04-20,31.52,31.56,30.66,30.78
5147,2020-04-17,31.23,32.32,31.06,31.85
5146,2020-04-16,31.8,32.14,29.95,30.47
5145,2020-04-15,32.56,32.79,31.16,31.8
5144,2020-04-14,34.88,34.88,32.78,33.58
5143,2020-04-13,34.13,34.68,33.23,34.41
5142,2020-04-09,33.49,34.9,33.36,34.17
5141,2020-04-08,31.23,33.38,31.15,33.12
5140,2020-04-07,32.5,32.95,30.86,30.89
5139,2020-04-06,30.87,31.8,30.6,31.53
5138,2020-04-03,30.16,30.99,29.16,29.37
5137,2020-04-02,29.87,31.4,29.85,30.48
5136,2020-04-01,29.68,31.1,29.28,30.15
5135,2020-03-31,31.08,31.62,30.2,31.13
5134,2020-03-30,30.64,31.55,30.09,31.33
5133,2020-03-27,30.01,31.58,29.56,30.62
5132,2020-03-26,29.17,31.47,29.01,31.01
5131,2020-03-25,28.05,30.51,26.64,28.8
5130,2020-03-24,28.05,28.65,26.57,27.91
5129,2020-03-23,28.93,29.72,26.38,26.47
5128,2020-03-20,30.14,31.18,29.01,29.51
5127,2020-03-19,30.76,31.02,29.09,30.13
5126,2020-03-18,30.6,33.48,29.85,30.95
5125,2020-03-17,30.43,33.53,29.07,33.49
5124,2020-03-16,28.78,33.36,28.2,29.72
5123,2020-03-13,30.4,33.46,29.3,33.44
5122,2020-03-12,30.28,30.91,28.61,28.62
5121,2020-03-11,33.0,33.21,31.48,32.23
5120,2020-03-10,33.7,34.25,32.28,34.17
5119,2020-03-09,33.25,33.99,31.79,32.28
5118,2020-03-06,35.24,36.05,34.87,35.71
5117,2020-03-05,36.75,37.38,36.18,36.53
5116,2020-03-04,37.68,38.02,37.11,37.92
5115,2020-03-03,38.03,39.11,36.62,37.06
5114,2020-03-02,37.25,38.26,36.47,38.23
5113,2020-02-28,36.0,37.26,35.6,36.96
5112,2020-02-27,38.0,38.9,37.04,37.06
5111,2020-02-26,39.7,40.19,38.71,38.82
5110,2020-02-25,41.45,41.77,39.14,39.23
5109,2020-02-24,41.85,41.99,41.12,41.35
5108,2020-02-21,42.8,43.45,42.43,43.27
5107,2020-02-20,42.28,43.05,42.18,42.95
5106,2020-02-19,43.23,43.56,42.63,42.7
5105,2020-02-18,43.05,43.25,42.61,43.23
5104,2020-02-14,43.46,43.81,42.99,43.19
5103,2020-02-13,44.25,44.25,43.22,43.45
5102,2020-02-12,44.57,44.98,44.46,44.5
5101,2020-02-11,43.99,44.94,43.84,44.37
5100,2020-02-10,43.44,43.87,43.3,43.74
5099,2020-02-07,43.88,44.01,43.5,43.56
5098,2020-02-06,44.32,44.47,43.71,44.25
5097,2020-02-05,42.19,44.22,42.19,44.04
5096,2020-02-04,41.94,42.12,41.66,41.76
5095,2020-02-03,41.0,41.54,40.73,41.25
5094,2020-01-31,41.75,41.89,40.04,40.72
5093,2020-01-30,42.74,43.17,41.36,42.19
5092,2020-01-29,43.06,43.83,42.95,43.37
5091,2020-01-28,42.99,43.02,42.56,42.85
5090,2020-01-27,42.76,43.04,42.38,42.58
5089,2020-01-24,44.56,44.64,43.31,43.53
5088,2020-01-23,44.25,44.84,43.79,44.66
5087,2020-01-22,44.63,44.9,44.42,44.51
5086,2020-01-21,44.56,44.84,43.84,44.54
5085,2020-01-17,45.47,45.96,45.38,45.75
5084,2020-01-16,44.71,45.39,44.6,45.35
5083,2020-01-15,44.31,44.67,44.04,44.5
5082,2020-01-14,44.3,44.64,44.26,44.42
5081,2020-01-13,44.15,44.6,43.98,44.44
5080,2020-01-10,44.11,44.46,43.93,43.99
5079,2020-01-09,44.12,44.39,43.86,44.11
5078,2020-01-08,43.55,44.25,43.47,43.99
5077,2020-01-07,43.67,43.76,43.25,43.48
5076,2020-01-06,44.54,44.69,43.87,43.95
5075,2020-01-03,44.83,45.06,44.7,44.72
5074,2020-01-02,46.48,46.55,45.42,45.52
5073,2019-12-31,45.8,46.09,45.77,46.05
5072,2019-12-30,45.9,46.03,45.55,45.9
5071,2019-12-27,46.25,46.25,45.77,45.89
5070,2019-12-26,46.18,46.21,45.81,46.19
5069,2019-12-24,46.32,46.48,46.01,46.08
