,Date,Open,High,Low,Close
1044,2020-12-14,189.51,195.82,187.33,188.01
1043,2020-12-11,197.1,198.5202,187.23,189.37
1042,2020-12-10,197.61,199.78,190.0,197.2
1041,2020-12-09,193.31,197.83,191.39,196.9
1040,2020-12-08,186.1,195.46,184.02,194.33
1039,2020-12-07,181.5,187.0,180.46,184.57
1038,2020-12-04,182.85,185.899,179.01,180.8
1037,2020-12-03,193.0,194.99,181.1801,184.5
1036,2020-12-02,183.0,198.8,180.6,192.21
1035,2020-12-01,244.51,244.51,237.755,240.64
1034,2020-11-30,239.875,245.52,235.5,244.51
1033,2020-11-27,225.87,234.115,225.87,233.86
1032,2020-11-25,224.92,226.75,221.23,223.36
1031,2020-11-24,236.6,236.6,223.76,225.36
1030,2020-11-23,223.6,239.27,218.1601,236.27
1029,2020-11-20,224.0,231.78,224.0,224.62
1028,2020-11-19,219.28,228.13,218.25,225.83
1027,2020-11-18,222.69,223.87,212.99,218.43
1026,2020-11-17,236.84,237.0,219.0,220.0
1025,2020-11-16,264.34,274.21,241.8,242.73
1024,2020-11-13,260.68,264.49,256.19,261.17
1023,2020-11-12,257.23,258.61,250.48,258.26
1022,2020-11-11,257.6,266.675,250.91,257.23
1021,2020-11-10,233.02,252.85,224.59,251.08
1020,2020-11-09,259.36,267.05,236.99,238.82
1019,2020-11-06,249.84,263.855,235.97,255.52
1018,2020-11-05,230.97,239.16,229.04,235.83
1017,2020-11-04,223.5,233.35,221.08,225.96
1016,2020-11-03,215.35,222.11,212.515,221.0
1015,2020-11-02,214.1,222.06,208.02,212.0
1014,2020-10-30,221.23,224.79,208.78,211.45
1013,2020-10-29,222.33,225.78,219.23,222.44
1012,2020-10-28,220.85,223.8152,217.45,222.1
1011,2020-10-27,222.92,230.85,220.76,225.09
1010,2020-10-26,217.22,226.11,213.74,218.44
1009,2020-10-23,213.48,223.06,211.32,220.15
1008,2020-10-22,220.61,220.61,207.0,214.52
1007,2020-10-21,224.0,228.1,216.06,218.04
1006,2020-10-20,232.37,232.43,222.15,223.1
1005,2020-10-19,235.83,238.1799,226.71,231.2
1004,2020-10-16,244.25,244.25,235.53,235.83
1003,2020-10-15,241.42,245.99,237.22,244.03
1002,2020-10-14,258.59,261.045,240.56,244.19
1001,2020-10-13,258.3,259.375,253.42,257.95
1000,2020-10-12,258.89,259.78,251.66,259.5
999,2020-10-09,246.68,252.11,245.365,251.88
998,2020-10-08,246.61,248.2144,238.33,244.77
997,2020-10-07,237.96,246.35,234.54,245.26
996,2020-10-06,226.36,238.99,223.0533,234.0
995,2020-10-05,228.0,229.22,221.61,225.72
994,2020-10-02,228.65,228.65,222.84,227.03
993,2020-10-01,238.66,241.0,226.02,230.62
992,2020-09-30,231.76,241.93,230.09,238.11
991,2020-09-29,230.77,239.01,230.67,233.58
990,2020-09-28,230.13,233.35,225.615,228.74
989,2020-09-25,221.33,227.98,221.33,227.16
988,2020-09-24,216.14,224.25,214.585,222.54
987,2020-09-23,220.9,227.24,217.43,217.8
986,2020-09-22,225.9,225.9,214.27,222.21
985,2020-09-21,228.39,232.815,214.75,225.33
984,2020-09-18,230.81,241.8199,226.72,233.33
983,2020-09-17,223.6,227.98,221.0,227.66
982,2020-09-16,228.22,232.49,225.85,227.18
981,2020-09-15,225.33,229.19,221.71,226.28
980,2020-09-14,211.66,222.36,211.66,220.15
979,2020-09-11,212.77,215.94,207.57,210.29
978,2020-09-10,216.97,221.64,210.72,211.1
977,2020-09-09,209.48,217.84,207.99,215.85
976,2020-09-08,205.97,210.36,202.72,207.0
975,2020-09-04,219.72,222.4,202.56,212.43
974,2020-09-03,219.85,220.41,203.83,216.42
973,2020-09-02,230.0,230.0,216.54,221.39
972,2020-09-01,221.13,232.58,219.965,226.7
971,2020-08-31,220.63,224.765,214.51,220.18
970,2020-08-28,215.0,220.39,214.52,219.74
969,2020-08-27,213.0,215.84,211.52,215.26
968,2020-08-26,216.91,218.72,207.67,215.0
967,2020-08-25,213.89,217.22,212.02,215.02
966,2020-08-24,211.45,221.74,209.9,214.41
965,2020-08-21,208.78,211.12,203.145,207.26
964,2020-08-20,206.69,210.84,206.68,209.3
963,2020-08-19,183.64,211.22,183.64,208.3
962,2020-08-18,173.1,176.12,172.01,175.38
961,2020-08-17,175.03,178.0,170.8016,173.03
960,2020-08-14,178.31,182.57,172.62,172.95
959,2020-08-13,179.46,184.99,175.1397,178.22
958,2020-08-12,181.31,185.37,177.93,179.53
957,2020-08-11,187.7,187.7,180.74,181.75
956,2020-08-10,202.07,203.2702,184.25,187.07
955,2020-08-07,189.81,217.58,187.5125,202.07
954,2020-08-06,189.57,190.6782,181.535,184.39
953,2020-08-05,169.26,191.98,168.23,190.09
952,2020-08-04,135.2,177.56,134.99,169.05
951,2020-08-03,125.11,128.62,122.455,127.46
950,2020-07-31,127.78,129.66,121.75,124.48
949,2020-07-30,123.86,131.21,122.86,127.9
