,Date,Open,High,Low,Close
5156,2020-12-14,764.0,780.63,762.05,764.79
5155,2020-12-11,754.15,761.9,745.88,760.0
5154,2020-12-10,755.6,766.8,748.08,758.07
5153,2020-12-09,767.61,767.61,750.1,753.51
5152,2020-12-08,762.86,767.58,755.0,765.35
5151,2020-12-07,778.0,780.53,762.32,764.39
5150,2020-12-04,753.47,781.895,753.47,780.34
5149,2020-12-03,751.99,764.25,748.87,758.72
5148,2020-12-02,731.01,754.2,731.01,751.28
5147,2020-12-01,733.3,736.52,721.85,733.65
5146,2020-11-30,725.41,733.89,721.0,726.05
5145,2020-11-27,735.37,735.57,726.0,729.82
5144,2020-11-25,729.3,732.74,724.87,726.37
5143,2020-11-24,726.9,728.65,721.02,724.84
5142,2020-11-23,731.48,734.045,713.07,719.05
5141,2020-11-20,731.01,735.255,726.63,730.74
5140,2020-11-19,730.76,737.43,723.49,733.95
5139,2020-11-18,747.24,747.73,733.0,733.38
5138,2020-11-17,747.97,752.28,740.645,749.15
5137,2020-11-16,760.0,764.04,748.12,758.19
5136,2020-11-13,748.33,755.32,744.73,753.38
5135,2020-11-12,744.17,751.78,736.97,740.77
5134,2020-11-11,754.53,759.8302,736.12,737.55
5133,2020-11-10,771.04,771.71,742.0,749.5
5132,2020-11-09,755.78,792.54,755.78,773.45
5131,2020-11-06,729.41,737.395,720.25,733.87
5130,2020-11-05,734.54,734.79,718.665,728.28
5129,2020-11-04,708.68,717.96,700.7073,709.65
5128,2020-11-03,684.0,696.78,680.82,682.0
5127,2020-11-02,680.62,683.0,669.29,675.98
5126,2020-10-30,682.2,686.0,653.0,667.08
5125,2020-10-29,690.0,694.47,683.3666,686.28
5124,2020-10-28,704.32,705.14,687.79,687.8
5123,2020-10-27,713.52,728.05,711.37,720.9
5122,2020-10-26,727.08,729.7654,700.68,711.77
5121,2020-10-23,738.33,739.995,727.495,735.48
5120,2020-10-22,729.62,738.34,723.89,732.94
5119,2020-10-21,730.8,734.66,722.59,728.48
5118,2020-10-20,736.12,745.55,729.9,733.0
5117,2020-10-19,755.25,771.62,729.37,736.12
5116,2020-10-16,725.0,760.8826,716.28,752.68
5115,2020-10-15,742.07,755.3953,740.0,741.0
5114,2020-10-14,759.31,766.18,746.16,751.08
5113,2020-10-13,755.92,761.05,749.73,755.35
5112,2020-10-12,748.74,759.025,743.23,755.67
5111,2020-10-09,729.88,741.27,728.0,738.19
5110,2020-10-08,725.0,728.62,720.12,723.02
5109,2020-10-07,708.44,721.99,708.44,720.28
5108,2020-10-06,709.53,716.22,696.295,699.02
5107,2020-10-05,699.1,708.56,696.822,707.7
5106,2020-10-02,700.08,707.57,692.101,696.28
5105,2020-10-01,713.11,718.4273,704.015,710.52
5104,2020-09-30,697.15,717.89,690.55,709.54
5103,2020-09-29,698.0,715.89,690.55,692.93
5102,2020-09-28,685.0,695.56,680.03,693.16
5101,2020-09-25,654.66,677.92,653.0,673.73
5100,2020-09-24,652.14,663.68,647.54,657.53
5099,2020-09-23,675.63,676.2,655.18,657.41
5098,2020-09-22,648.46,667.44,641.64,666.02
5097,2020-09-21,648.1,648.1,633.29,641.95
5096,2020-09-18,679.0,685.146,649.4216,655.57
5095,2020-09-17,685.21,690.29,673.49,680.87
5094,2020-09-16,720.32,723.53,689.66,691.39
5093,2020-09-15,724.25,726.1575,711.135,715.57
5092,2020-09-14,712.41,722.14,711.1405,716.34
5091,2020-09-11,713.83,715.53,697.99,702.54
5090,2020-09-10,718.5,728.69,701.27,705.6
5089,2020-09-09,703.36,726.7089,702.155,719.48
5088,2020-09-08,710.0,717.87,692.025,694.17
5087,2020-09-04,743.11,749.8476,717.7529,735.28
5086,2020-09-03,752.86,756.98,724.13,741.61
5085,2020-09-02,742.01,778.83,738.33,765.11
5084,2020-09-01,732.45,742.44,727.31,741.57
5083,2020-08-31,723.17,734.45,721.0,730.84
5082,2020-08-28,713.34,729.95,708.69,727.01
5081,2020-08-27,700.83,718.11,692.115,709.39
