,Date,Open,High,Low,Close
1626,2020-12-14,17.24,17.24,16.75,16.77
1625,2020-12-11,17.07,17.29,16.92,17.17
1624,2020-12-10,16.4,17.36,16.4,17.32
1623,2020-12-09,16.74,16.97,16.5648,16.74
1622,2020-12-08,16.43,16.95,16.43,16.85
1621,2020-12-07,16.59,16.68,16.59,16.63
1620,2020-12-04,16.7,17.04,16.3898,16.97
1619,2020-12-03,16.6,16.64,16.29,16.39
1618,2020-12-02,16.53,16.71,16.15,16.31
1617,2020-12-01,16.51,16.73,16.09,16.28
1616,2020-11-30,16.91,16.91,16.2,16.26
1615,2020-11-27,16.9,17.04,16.31,17.04
1614,2020-11-25,16.93,16.97,16.73,16.9
1613,2020-11-24,16.48,17.39,16.25,17.2
1612,2020-11-23,16.02,16.33,16.02,16.13
1611,2020-11-20,16.13,16.13,15.6445,15.97
1610,2020-11-19,15.94,16.68,15.94,16.38
1609,2020-11-18,16.6,16.7,16.16,16.41
1608,2020-11-17,16.56,16.8,15.68,16.64
1607,2020-11-16,16.29,16.85,16.29,16.59
1606,2020-11-13,15.99,16.05,15.73,15.85
1605,2020-11-12,15.9,16.235,15.5846,15.76
1604,2020-11-11,14.86,16.48,14.81,16.36
1603,2020-11-10,15.0,15.8,14.51,15.0
1602,2020-11-09,14.32,15.25,13.88,14.8
1601,2020-11-06,14.02,14.02,13.16,13.16
1600,2020-11-05,14.06,14.06,13.6,13.86
1599,2020-11-04,14.1,14.45,13.835,14.06
1598,2020-11-03,14.35,14.6488,14.17,14.52
1597,2020-11-02,14.04,14.43,13.97,14.29
1596,2020-10-30,13.0,13.99,12.92,13.94
1595,2020-10-29,13.43,13.43,12.51,13.1
1594,2020-10-28,13.4,13.835,13.19,13.4
1593,2020-10-27,13.7017,13.82,13.51,13.55
1592,2020-10-26,14.15,14.2308,13.26,13.53
1591,2020-10-23,14.54,14.54,14.15,14.18
1590,2020-10-22,13.6,14.38,13.58,14.01
1589,2020-10-21,13.88,13.96,13.44,13.56
1588,2020-10-20,14.0,14.0,13.74,13.8
1587,2020-10-19,13.798,14.335,13.798,13.83
1586,2020-10-16,13.73,14.18,13.65,13.94
1585,2020-10-15,13.6,13.84,13.56,13.84
1584,2020-10-14,14.05,14.4552,13.81,13.81
1583,2020-10-13,13.7,14.17,13.55,13.97
1582,2020-10-12,14.13,14.6379,13.76,13.81
1581,2020-10-09,14.53,14.53,13.95,14.2
1580,2020-10-08,14.51,14.65,14.015,14.45
1579,2020-10-07,13.81,14.4,13.77,14.35
1578,2020-10-06,14.05,14.15,13.3274,13.49
1577,2020-10-05,13.0,13.99,13.0,13.99
1576,2020-10-02,12.83,13.095,12.65,12.96
1575,2020-10-01,12.93,13.565,12.67,12.86
1574,2020-09-30,13.0,13.27,12.6,12.82
1573,2020-09-29,13.0,13.0,12.54,12.99
1572,2020-09-28,12.66,13.0,12.66,12.94
1571,2020-09-25,12.5,13.02,12.4,12.6
1570,2020-09-24,12.56,12.56,12.45,12.46
1569,2020-09-23,12.69,12.69,12.5,12.52
1568,2020-09-22,12.88,12.88,12.42,12.7
1567,2020-09-21,13.54,13.6,12.76,12.81
1566,2020-09-18,13.93,13.94,13.51,13.6
1565,2020-09-17,13.66,13.97,13.62,13.84
1564,2020-09-16,13.89,13.955,13.65,13.88
1563,2020-09-15,13.8,13.9,13.8,13.81
1562,2020-09-14,13.83,13.875,13.75,13.82
1561,2020-09-11,13.9,13.9334,13.72,13.75
1560,2020-09-10,13.9,14.02,13.9,13.91
1559,2020-09-09,13.95,14.01,13.89,13.89
1558,2020-09-08,13.95,14.08,13.81,13.95
1557,2020-09-04,14.14,14.15,13.95,13.98
1556,2020-09-03,14.07,14.25,13.955,14.09
1555,2020-09-02,13.9,14.12,13.8,14.09
1554,2020-09-01,13.68,13.95,13.68,13.95
1553,2020-08-31,14.05,14.075,13.6,13.6
1552,2020-08-28,14.01,14.1217,13.886,14.0
1551,2020-08-27,13.78,14.16,13.66,13.93
1550,2020-08-26,13.9,14.0,13.65,13.65
1549,2020-08-25,13.92,14.06,13.85,13.88
1548,2020-08-24,13.71,13.93,13.7,13.72
1547,2020-08-21,13.8,13.815,13.55,13.55
1546,2020-08-20,13.65,13.94,13.65,13.81
1545,2020-08-19,13.89,14.24,13.85,13.87
