,Date,Open,High,Low,Close
101,2020-12-14,32.23,33.23,31.75,32.18
100,2020-12-11,31.5,32.24,31.3725,32.23
99,2020-12-10,31.19,31.7,31.04,31.62
98,2020-12-09,31.55,31.85,30.67,31.48
97,2020-12-08,32.0,32.15,31.1,31.75
96,2020-12-07,31.58,31.88,31.28,31.74
95,2020-12-04,31.56,32.09,31.0,31.48
94,2020-12-03,31.18,31.8,30.91,31.55
93,2020-12-02,31.29,31.99,30.88,31.08
92,2020-12-01,31.67,32.19,31.3,31.48
91,2020-11-30,30.73,31.8,30.33,31.7
90,2020-11-27,31.48,31.6,30.68,30.89
89,2020-11-25,30.66,31.6,29.76,31.19
88,2020-11-24,30.55,31.19,29.99,30.41
87,2020-11-23,31.5,31.83,30.0,30.44
86,2020-11-20,31.5,32.31,31.24,31.41
85,2020-11-19,32.36,32.5992,31.19,31.38
84,2020-11-18,31.76,33.38,30.71,33.02
83,2020-11-17,33.36,34.79,30.8,32.01
82,2020-11-16,35.04,35.57,33.555,34.67
81,2020-11-13,36.47,38.0,34.15,35.33
80,2020-11-12,34.09,34.96,33.99,34.53
79,2020-11-11,33.87,34.41,33.36,33.87
78,2020-11-10,33.8,34.6,32.78,33.32
77,2020-11-09,36.56,36.93,32.935,33.78
76,2020-11-06,35.77,36.94,35.33,36.75
75,2020-11-05,35.77,36.44,35.36,36.35
74,2020-11-04,34.8,35.5,34.22,35.38
73,2020-11-03,32.89,34.16,32.4732,34.08
72,2020-11-02,32.89,33.75,31.45,32.86
71,2020-10-30,33.01,33.795,32.11,32.6
70,2020-10-29,33.53,34.2,33.12,33.43
69,2020-10-28,33.4,33.97,32.12,33.5
68,2020-10-27,32.26,34.125,32.17,33.7
67,2020-10-26,32.85,32.85,31.32,31.95
66,2020-10-23,33.79,34.14,32.85,33.02
65,2020-10-22,33.37,33.78,32.55,33.07
64,2020-10-21,33.82,33.95,33.2,33.3
63,2020-10-20,34.58,34.785,33.9,33.99
62,2020-10-19,34.37,35.26,34.21,34.4
61,2020-10-16,34.65,34.75,34.22,34.32
60,2020-10-15,34.65,34.865,34.07,34.5
59,2020-10-14,35.67,35.67,34.615,34.98
58,2020-10-13,35.0,35.65,34.87,35.31
57,2020-10-12,35.01,35.02,34.09,34.75
56,2020-10-09,34.02,34.9,33.855,34.58
55,2020-10-08,34.33,34.41,33.2,33.95
54,2020-10-07,33.29,34.14,33.11,33.63
53,2020-10-06,33.78,34.5,32.63,33.08
52,2020-10-05,34.35,34.35,32.77,33.57
51,2020-10-02,35.65,36.13,33.79,34.09
50,2020-10-01,38.03,38.1,35.02,36.56
49,2020-09-30,36.39,38.09,35.059,37.61
48,2020-09-29,35.73,36.74,35.61,36.45
47,2020-09-28,34.81,36.0,34.3,35.88
46,2020-09-25,34.25,34.94,33.61,34.24
45,2020-09-24,34.79,34.79,33.18,34.39
44,2020-09-23,36.46,36.72,34.99,35.12
43,2020-09-22,34.99,36.9,34.89,36.49
42,2020-09-21,32.41,34.91,32.18,34.77
41,2020-09-18,33.33,33.37,32.8,33.26
40,2020-09-17,31.66,33.32,31.3579,33.07
39,2020-09-16,32.5,33.26,31.62,32.3
38,2020-09-15,33.34,33.592,31.95,32.35
37,2020-09-14,33.41,34.1899,32.88,33.09
36,2020-09-11,33.93,34.4,32.55,33.06
35,2020-09-10,35.13,35.6,33.53,33.78
34,2020-09-09,34.41,35.3,34.0,34.93
33,2020-09-08,35.93,35.93,33.34,33.9
32,2020-09-04,38.64,38.64,34.61,36.66
31,2020-09-03,37.89,38.89,37.5,38.59
30,2020-09-02,37.35,40.96,36.75,38.5
29,2020-09-01,39.5,41.22,37.85,41.18
28,2020-08-31,37.73,38.9,37.73,38.6
27,2020-08-28,38.16,38.3999,37.21,37.55
26,2020-08-27,39.39,39.515,37.72,37.8
25,2020-08-26,38.51,39.78,38.46,39.33
24,2020-08-25,39.24,39.24,37.57,38.54
23,2020-08-24,40.5,40.96,37.55,39.15
22,2020-08-21,38.41,40.4,38.21,40.13
21,2020-08-20,38.3,39.04,37.12,38.83
20,2020-08-19,40.23,40.23,37.27,38.54
19,2020-08-18,39.32,40.4,39.01,39.7
18,2020-08-17,36.65,38.9,35.8,38.33
17,2020-08-14,38.11,38.255,35.5,35.78
16,2020-08-13,38.94,39.55,38.0,38.0
15,2020-08-12,39.13,39.69,38.65,39.06
14,2020-08-11,39.85,39.85,38.6,39.2
13,2020-08-10,40.2,40.2,39.21,39.42
12,2020-08-07,39.5,40.4,39.2031,40.24
11,2020-08-06,39.67,40.5,39.37,40.06
10,2020-08-05,38.97,40.25,38.5901,40.19
9,2020-08-04,37.9,38.9902,37.845,38.89
8,2020-08-03,40.29,40.6633,37.65,38.13
7,2020-07-31,42.4,42.8726,40.02,40.6
6,2020-07-30,39.8,41.47,38.99,41.28
5,2020-07-29,40.0,41.0,40.0,40.3
4,2020-07-28,40.68,42.4,39.5,40.5
3,2020-07-27,39.82,42.5,39.5,40.29
2,2020-07-24,38.5,40.4,36.75,39.7
1,2020-07-23,41.48,43.25,39.25,39.88
0,2020-07-22,46.0,51.0,35.85,39.2
