,Date,Open,High,Low,Close
3454,2020-12-14,13.74,13.74,13.55,13.57
3453,2020-12-11,13.77,13.79,13.68,13.79
3452,2020-12-10,13.75,13.8335,13.71,13.8
3451,2020-12-09,13.86,13.89,13.79,13.83
3450,2020-12-08,13.62,13.88,13.62,13.83
3449,2020-12-07,13.82,13.86,13.75,13.76
3448,2020-12-04,13.8,13.96,13.8,13.93
3447,2020-12-03,13.77,13.88,13.77,13.8
3446,2020-12-02,13.7,13.83,13.69,13.81
3445,2020-12-01,13.49,13.73,13.49,13.7
3444,2020-11-30,13.44,13.5,13.38,13.5
3443,2020-11-27,13.46,13.57,13.45,13.51
3442,2020-11-25,13.52,13.5794,13.41,13.43
3441,2020-11-24,13.4,13.6,13.34,13.51
3440,2020-11-23,13.63,13.63,13.42,13.44
3439,2020-11-20,13.61,13.61,13.4307,13.52
3438,2020-11-19,13.58,13.58,13.4,13.57
3437,2020-11-18,13.59,13.6,13.47,13.52
3436,2020-11-17,13.46,13.59,13.41,13.59
3435,2020-11-16,13.37,13.57,13.37,13.54
3434,2020-11-13,13.19,13.31,13.19,13.28
3433,2020-11-12,13.2,13.21,13.02,13.05
3432,2020-11-11,13.4,13.4,13.17,13.2
3431,2020-11-10,13.3,13.39,13.0,13.39
3430,2020-11-09,13.66,13.68,13.3,13.35
3429,2020-11-06,13.14,13.14,12.96,13.0
3428,2020-11-05,12.74,13.05,12.74,13.05
3427,2020-11-04,12.63,12.75,12.5,12.58
3426,2020-11-03,12.41,12.55,12.41,12.5
3425,2020-11-02,12.25,12.39,12.23,12.28
3424,2020-10-30,12.25,12.275,12.06,12.16
3423,2020-10-29,12.21,12.33,12.19,12.27
3422,2020-10-28,12.47,12.52,12.22,12.22
3421,2020-10-27,12.76,12.78,12.64,12.64
3420,2020-10-26,12.89,12.96,12.72,12.75
3419,2020-10-23,13.22,13.22,13.05,13.11
3418,2020-10-22,13.09,13.15,13.0,13.15
3417,2020-10-21,13.13,13.13,13.01,13.05
3416,2020-10-20,13.01,13.1,12.98,13.1
3415,2020-10-19,13.16,13.1972,12.91,12.95
3414,2020-10-16,13.15,13.22,13.08,13.16
3413,2020-10-15,13.14,13.16,13.038,13.16
3412,2020-10-14,13.14,13.22,13.07,13.18
3411,2020-10-13,13.28,13.28,13.1,13.19
