,Date,Open,High,Low,Close
5314,2020-12-14,4.67,4.67,4.44,4.55
5313,2020-12-11,4.45,4.588,4.45,4.575
5312,2020-12-10,4.42,4.539,4.42,4.51
5311,2020-12-09,4.6101,4.66,4.46,4.51
5310,2020-12-08,4.66,4.732,4.5701,4.655
5309,2020-12-07,4.65,4.708,4.537,4.66
5308,2020-12-04,4.63,4.65,4.55,4.55
5307,2020-12-03,4.55,4.614,4.5,4.59
5306,2020-12-02,4.5465,4.6067,4.4117,4.59
5305,2020-12-01,4.44,4.44,4.34,4.4
5304,2020-11-30,4.44,4.5,4.24,4.32
5303,2020-11-27,4.39,4.48,4.28,4.39
5302,2020-11-25,4.4,4.55,4.2701,4.43
5301,2020-11-24,4.41,4.51,4.27,4.4512
5300,2020-11-23,4.3,4.5527,4.3,4.41
5299,2020-11-20,4.32,4.345,4.25,4.32
5298,2020-11-19,4.27,4.3815,4.27,4.34
5297,2020-11-18,4.32,4.43,4.1901,4.42
5296,2020-11-17,4.2,4.42,4.16,4.32
5295,2020-11-16,4.44,4.44,4.26,4.3
5294,2020-11-13,4.23,4.41,4.184,4.35
5293,2020-11-12,4.06,4.4897,4.06,4.15
5292,2020-11-11,4.14,4.28,4.13,4.13
5291,2020-11-10,3.98,4.31,3.98,4.21
5290,2020-11-09,4.03,4.045,3.92,3.95
5289,2020-11-06,3.8153,3.95,3.8101,3.89
5288,2020-11-05,3.99,3.99,3.77,3.9325
5287,2020-11-04,3.962,3.995,3.71,3.76
5286,2020-11-03,3.83,4.16,3.83,3.845
5285,2020-11-02,4.1,4.15,3.7,3.81
5284,2020-10-30,4.02,4.19,3.8801,3.97
5283,2020-10-29,3.915,3.9504,3.76,3.9
5282,2020-10-28,4.15,4.15,3.898,3.9
5281,2020-10-27,4.01,4.28,3.9701,4.11
5280,2020-10-26,4.2029,4.203,3.96,4.01
5279,2020-10-23,3.98,4.13,3.98,4.09
5278,2020-10-22,4.04,4.09,4.0,4.03
5277,2020-10-21,4.0,4.08,3.9669,4.01
5276,2020-10-20,3.97,4.045,3.9,4.03
5275,2020-10-19,4.03,4.145,3.93,3.95
5274,2020-10-16,4.0101,4.05,4.01,4.03
5273,2020-10-15,3.945,4.04,3.9,4.04
5272,2020-10-14,4.0,4.025,3.8651,4.0
5271,2020-10-13,3.99,3.99,3.93,3.97
5270,2020-10-12,3.95,3.99,3.8901,3.99
5269,2020-10-09,3.99,4.0,3.85,3.93
5268,2020-10-08,4.025,4.045,3.85,4.0
5267,2020-10-07,3.955,4.1596,3.9,3.98
5266,2020-10-06,4.02,4.18,3.96,3.96
5265,2020-10-05,4.03,4.295,3.88,4.1
5264,2020-10-02,4.02,4.14,3.8723,4.09
5263,2020-10-01,3.99,4.0244,3.9156,3.99
5262,2020-09-30,3.81,4.0,3.81,3.83
5261,2020-09-29,4.0,4.04,3.8492,3.8492
5260,2020-09-28,4.02,4.06,3.945,4.0
5259,2020-09-25,4.0,4.07,3.9,3.95
5258,2020-09-24,3.83,4.04,3.735,3.99
5257,2020-09-23,3.87,3.9,3.8,3.83
5256,2020-09-22,3.935,3.9695,3.7349,3.8
5255,2020-09-21,4.19,4.19,3.9255,3.97
5254,2020-09-18,4.29,4.43,4.12,4.12
5253,2020-09-17,4.1301,4.45,4.1301,4.3
5252,2020-09-16,4.25,4.42,4.1801,4.36
5251,2020-09-15,4.2,4.349,4.2,4.24
5250,2020-09-14,4.16,4.2268,4.07,4.17
5249,2020-09-11,4.1708,4.22,4.08,4.08
5248,2020-09-10,4.21,4.25,4.06,4.09
5247,2020-09-09,4.29,4.3109,4.15,4.2
5246,2020-09-08,4.35,4.35,4.175,4.3
5245,2020-09-04,4.37,4.59,4.3,4.35
5244,2020-09-03,4.6,4.6,4.28,4.35
5243,2020-09-02,4.49,4.59,4.4,4.59
5242,2020-09-01,4.6,4.6699,4.4,4.4
5241,2020-08-31,4.7,4.7,4.49,4.67
5240,2020-08-28,4.61,4.63,4.6,4.6
5239,2020-08-27,4.6,4.6481,4.6,4.61
5238,2020-08-26,4.52,4.5357,4.33,4.41
5237,2020-08-25,4.34,4.59,4.25,4.59
5236,2020-08-24,4.25,4.55,4.18,4.27
5235,2020-08-21,4.65,4.78,4.34,4.36
5234,2020-08-20,4.78,4.78,4.59,4.6
5233,2020-08-19,4.65,4.8135,4.51,4.67
5232,2020-08-18,4.75,4.8293,4.6911,4.7
5231,2020-08-17,4.8,4.845,4.65,4.76
5230,2020-08-14,4.75,4.92,4.64,4.8
5229,2020-08-13,4.89,4.955,4.57,4.64
5228,2020-08-12,5.0,5.0,4.9,5.0
5227,2020-08-11,4.86,4.99,4.8501,4.95
5226,2020-08-10,4.97,4.97,4.85,4.93
5225,2020-08-07,4.84,4.97,4.84,4.96
5224,2020-08-06,4.99,5.05,4.87,4.87
5223,2020-08-05,5.0,5.015,4.96,4.99
5222,2020-08-04,4.88,5.0799,4.88,5.02
5221,2020-08-03,4.9,5.09,4.8401,4.9
5220,2020-07-31,5.02,5.13,4.8242,4.85
5219,2020-07-30,5.15,5.26,5.01,5.02
5218,2020-07-29,5.09,5.2651,4.98,5.25
5217,2020-07-28,5.3,5.3,4.98,5.0
5216,2020-07-27,5.14,5.21,5.0358,5.21
5215,2020-07-24,5.126,5.175,4.96,5.03
5214,2020-07-23,5.15,5.18,5.02,5.06
5213,2020-07-22,5.24,5.3,5.135,5.17
5212,2020-07-21,5.24,5.25,5.0,5.17
5211,2020-07-20,5.24,5.25,5.14,5.15
5210,2020-07-17,5.03,5.25,4.85,5.25
5209,2020-07-16,4.93,5.0,4.85,4.86
5208,2020-07-15,4.82,4.99,4.82,4.92
5207,2020-07-14,4.86,4.97,4.8,4.92
5206,2020-07-13,5.0,5.0,4.88,4.92
5205,2020-07-10,4.95,5.09,4.95,4.97
5204,2020-07-09,5.03,5.22,4.9,5.04
5203,2020-07-08,4.9,5.06,4.85,5.0
5202,2020-07-07,4.97,5.21,4.88,4.9
5201,2020-07-06,5.24,5.24,4.79,4.83
5200,2020-07-02,5.04,5.15,4.86,5.04
5199,2020-07-01,5.19,5.19,4.76,4.85
5198,2020-06-30,4.82,5.24,4.74,5.07
5197,2020-06-29,4.8,5.13,4.61,4.87
5196,2020-06-26,4.66,4.8,4.61,4.78
5195,2020-06-25,4.67,4.78,4.61,4.72
5194,2020-06-24,4.6201,4.73,4.61,4.7
5193,2020-06-23,4.8495,4.8495,4.62,4.67
5192,2020-06-22,5.13,5.13,4.62,4.78
5191,2020-06-19,5.22,5.25,5.01,5.08
5190,2020-06-18,4.99,5.2,4.99,5.2
5189,2020-06-17,4.88,5.0,4.83,4.94
5188,2020-06-16,5.1,5.205,4.91,4.91
5187,2020-06-15,4.99,5.065,4.91,5.065
5186,2020-06-12,5.34,5.605,4.81,4.98
5185,2020-06-11,5.6,5.6,5.24,5.305
5184,2020-06-10,5.6,5.68,5.5015,5.64
5183,2020-06-09,5.69,5.75,5.51,5.58
5182,2020-06-08,5.7,5.8,5.6,5.735
5181,2020-06-05,5.8,5.87,5.585,5.74
5180,2020-06-04,5.7,5.78,5.644,5.78
5179,2020-06-03,5.509,5.68,5.4,5.68
5178,2020-06-02,5.29,5.4,5.22,5.4
5177,2020-06-01,5.14,5.3,5.085,5.19
5176,2020-05-29,5.0831,5.15,5.06,5.14
5175,2020-05-28,5.15,5.15,5.03,5.05
5174,2020-05-27,5.0,5.11,4.97,5.05
5173,2020-05-26,5.04,5.05,4.9201,4.99
5172,2020-05-22,4.81,5.03,4.81,5.0
5171,2020-05-21,5.02,5.04,4.78,4.86
5170,2020-05-20,5.0,5.09,4.97,5.02
5169,2020-05-19,5.1,5.1,4.97,4.97
5168,2020-05-18,5.04,5.0575,4.8,5.02
5167,2020-05-15,5.0788,5.29,5.05,5.2
5166,2020-05-14,5.21,5.275,4.88,5.24
5165,2020-05-13,5.49,5.49,5.325,5.43
5164,2020-05-12,5.47,5.57,5.25,5.48
5163,2020-05-11,5.51,5.6175,5.4,5.47
5162,2020-05-08,5.37,5.64,5.2,5.51
5161,2020-05-07,5.38,5.4,5.22,5.38
5160,2020-05-06,5.29,5.39,5.2301,5.39
5159,2020-05-05,5.4536,5.49,5.1701,5.21
5158,2020-05-04,5.14,5.395,5.0,5.2182
