,Date,Open,High,Low,Close
3367,2020-12-14,13.91,13.91,13.6,13.62
3366,2020-12-11,13.86,14.14,13.86,14.12
3365,2020-12-10,13.97,14.03,13.89,13.94
3364,2020-12-09,14.12,14.15,13.97,13.99
3363,2020-12-08,13.97,14.12,13.97,14.06
3362,2020-12-07,14.06,14.13,13.961,13.98
3361,2020-12-04,14.0,14.13,13.9501,14.12
3360,2020-12-03,13.89,14.04,13.89,14.01
3359,2020-12-02,13.82,13.97,13.816,13.91
3358,2020-12-01,13.75,13.94,13.69,13.86
3357,2020-11-30,13.66,13.78,13.6,13.73
3356,2020-11-27,13.62,13.73,13.62,13.71
3355,2020-11-25,13.72,13.72,13.59,13.63
3354,2020-11-24,13.66,13.8,13.6201,13.77
3353,2020-11-23,13.7,13.7,13.6,13.63
3352,2020-11-20,13.66,13.69,13.61,13.64
3351,2020-11-19,13.52,13.66,13.5,13.66
3350,2020-11-18,13.68,13.69,13.5618,13.5827
3349,2020-11-17,13.55,13.67,13.5,13.6
3348,2020-11-16,13.46,13.65,13.3913,13.63
3347,2020-11-13,13.19,13.43,13.1801,13.39
3346,2020-11-12,13.16,13.252,13.0528,13.12
3345,2020-11-11,13.15,13.23,13.11,13.17
3344,2020-11-10,12.75,13.08,12.75,13.01
3343,2020-11-09,13.1,13.14,12.745,12.75
3342,2020-11-06,12.64,12.65,12.48,12.6
3341,2020-11-05,12.46,12.68,12.46,12.64
3340,2020-11-04,12.18,12.48,12.05,12.28
3339,2020-11-03,12.01,12.2173,12.01,12.09
3338,2020-11-02,11.94,12.0844,11.93,11.94
3337,2020-10-30,12.08,12.08,11.85,11.88
3336,2020-10-29,12.03,12.15,11.9,12.09
3335,2020-10-28,12.29,12.45,11.85,12.04
3334,2020-10-27,12.53,12.64,12.49,12.49
3333,2020-10-26,12.86,12.86,12.51,12.54
3332,2020-10-23,12.95,12.97,12.86,12.91
3331,2020-10-22,12.94,12.94,12.44,12.88
3330,2020-10-21,12.94,12.98,12.9,12.9
3329,2020-10-20,12.95,13.02,12.92,13.01
3328,2020-10-19,13.17,13.1731,12.93,12.93
3327,2020-10-16,12.99,13.16,12.96,13.14
3326,2020-10-15,13.0,13.035,12.8,12.98
3325,2020-10-14,13.16,13.2043,13.01,13.02
3324,2020-10-13,13.18,13.18,13.06,13.15
3323,2020-10-12,13.13,13.24,13.1,13.14
3322,2020-10-09,13.04,13.1,13.035,13.04
3321,2020-10-08,13.12,13.12,13.0,13.04
3320,2020-10-07,13.12,13.12,13.0,13.06
3319,2020-10-06,13.12,13.15,12.98,13.04
3318,2020-10-05,13.0,13.1,12.99,13.05
3317,2020-10-02,12.97,12.99,12.7626,12.99
3316,2020-10-01,13.18,13.18,12.94,13.0
3315,2020-09-30,12.86,13.1,12.82,13.07
3314,2020-09-29,12.86,12.86,12.7,12.78
3313,2020-09-28,12.84,12.84,12.67,12.76
3312,2020-09-25,12.59,12.67,12.53,12.67
3311,2020-09-24,12.65,12.6783,12.57,12.64
3310,2020-09-23,12.9,12.91,12.61,12.67
3309,2020-09-22,12.82,12.9,12.785,12.9
3308,2020-09-21,12.94,12.95,12.59,12.83
3307,2020-09-18,13.19,13.21,12.98,13.09
3306,2020-09-17,13.15,13.18,13.09,13.18
3305,2020-09-16,13.3,13.3,13.225,13.28
3304,2020-09-15,13.12,13.26,13.12,13.24
3303,2020-09-14,13.14,13.18,13.0,13.1
3302,2020-09-11,13.3,13.36,13.2,13.23
3301,2020-09-10,13.48,13.53,13.3,13.3
3300,2020-09-09,13.37,13.48,13.31,13.47
3299,2020-09-08,13.25,13.25,13.11,13.22
3298,2020-09-04,13.49,13.5,13.21,13.37
3297,2020-09-03,13.7,13.7,13.34,13.34
3296,2020-09-02,13.61,13.71,13.58,13.69
3295,2020-09-01,13.64,13.642,13.51,13.57
3294,2020-08-31,13.75,13.75,13.61,13.61
3293,2020-08-28,13.66,13.73,13.605,13.73
3292,2020-08-27,13.53,13.66,13.47,13.65
3291,2020-08-26,13.55,13.61,13.5,13.55
3290,2020-08-25,13.5,13.61,13.5,13.52
3289,2020-08-24,13.44,13.58,13.44,13.51
3288,2020-08-21,13.41,13.47,13.35,13.42
3287,2020-08-20,13.38,13.48,13.35,13.41
3286,2020-08-19,13.48,13.59,13.41,13.45
3285,2020-08-18,13.41,13.49,13.37,13.43
3284,2020-08-17,13.45,13.52,13.37,13.41
3283,2020-08-14,13.38,13.43,13.37,13.38
3282,2020-08-13,13.4,13.44,13.33,13.44
3281,2020-08-12,13.35,13.42,13.3,13.4
3280,2020-08-11,13.34,13.45,13.29,13.32
3279,2020-08-10,13.32,13.34,13.24,13.27
3278,2020-08-07,13.17,13.39,13.17,13.31
3277,2020-08-06,13.12,13.3,13.1163,13.26
3276,2020-08-05,13.2,13.3243,13.14,13.16
3275,2020-08-04,13.08,13.24,13.07,13.21
3274,2020-08-03,13.05,13.19,13.05,13.125
3273,2020-07-31,13.14,13.14,12.97,13.06
3272,2020-07-30,13.13,13.17,13.02,13.13
3271,2020-07-29,13.06,13.23,13.06,13.18
3270,2020-07-28,13.04,13.14,13.0,13.1
