,Date,Open,High,Low,Close
45,2020-12-14,33.0,34.89,29.56,29.56
44,2020-12-11,30.77,33.0288,30.77,32.36
43,2020-12-10,30.62,32.105,30.0101,30.78
42,2020-12-09,31.67,32.0276,29.9501,30.94
41,2020-12-08,31.16,32.5,30.2201,31.29
40,2020-12-07,30.26,31.6,29.67,31.57
39,2020-12-04,28.5,29.98,28.5,29.98
38,2020-12-03,29.28,29.89,28.21,28.36
37,2020-12-02,31.21,31.21,29.1,29.28
36,2020-12-01,32.08,33.255,31.34,31.5
35,2020-11-30,34.38,34.89,31.0031,32.07
34,2020-11-27,33.87,34.94,33.84,34.68
33,2020-11-25,37.95,38.23,33.745,33.84
32,2020-11-24,38.83,39.605,36.8801,38.23
31,2020-11-23,35.77,39.0,34.745,38.09
30,2020-11-20,33.11,36.535,31.99,35.23
29,2020-11-19,30.5,33.545,30.02,33.27
28,2020-11-18,32.26,32.75,30.29,30.5
27,2020-11-17,30.64,33.145,30.01,32.84
26,2020-11-16,28.24,30.98,28.0,30.53
25,2020-11-13,28.87,29.49,27.855,27.89
24,2020-11-12,28.76,29.77,27.97,28.7
23,2020-11-11,29.63,30.0,28.54,28.98
22,2020-11-10,29.62,29.62,27.11,29.18
21,2020-11-09,30.85,31.925,29.325,29.37
20,2020-11-06,27.74,31.18,27.5505,30.4
19,2020-11-05,27.62,28.46,26.98,27.76
18,2020-11-04,26.73,28.845,26.73,27.54
17,2020-11-03,27.11,27.6274,26.14,26.68
16,2020-11-02,28.08,28.39,25.57,26.93
15,2020-10-30,28.22,28.645,27.75,28.09
14,2020-10-29,30.37,30.37,28.49,28.69
13,2020-10-28,29.56,31.345,28.6962,30.13
12,2020-10-27,28.82,30.79,26.55,30.0
11,2020-10-26,32.0,32.2,28.71,29.03
10,2020-10-23,33.16,33.65,32.11,32.42
9,2020-10-22,31.91,33.45,30.87,33.17
8,2020-10-21,32.29,33.25,31.8,32.28
7,2020-10-20,32.68,33.5,30.111,32.59
6,2020-10-19,32.41,33.62,32.08,33.1
5,2020-10-16,32.24,33.215,31.1,32.06
4,2020-10-15,30.83,34.9,30.0,31.79
3,2020-10-14,28.96,32.851,28.6623,31.57
2,2020-10-13,29.63,30.5,28.5001,29.29
1,2020-10-12,28.29,32.0,27.51,29.0
0,2020-10-09,28.5,29.95,25.5006,27.07
