,Date,Open,High,Low,Close
5314,2020-12-14,38.77,39.35,36.78,36.92
5313,2020-12-11,38.65,39.12,37.63,38.24
5312,2020-12-10,39.15,40.1,38.805,39.32
5311,2020-12-09,40.55,40.8424,39.175,39.67
5310,2020-12-08,39.73,41.19,39.7,40.09
5309,2020-12-07,40.6,40.89,39.61,40.44
5308,2020-12-04,39.16,41.0,39.1,40.9
5307,2020-12-03,38.74,39.66,38.28,38.63
5306,2020-12-02,36.69,38.6423,35.97,38.55
5305,2020-12-01,36.08,37.27,35.6555,36.52
5304,2020-11-30,32.91,33.25,31.25,32.2
5303,2020-11-27,33.09,33.65,32.56,33.5
5302,2020-11-25,32.8,33.84,32.278,33.45
5301,2020-11-24,32.84,33.54,31.95,33.49
5300,2020-11-23,29.0,31.19,28.8,30.96
5299,2020-11-20,29.08,29.88,28.4,28.41
5298,2020-11-19,28.72,29.37,28.22,29.17
5297,2020-11-18,29.61,30.34,28.19,28.68
5296,2020-11-17,25.6,29.42,25.38,29.18
5295,2020-11-16,25.95,26.27,24.8,26.15
5294,2020-11-13,23.1,24.585,22.96,24.26
5293,2020-11-12,22.98,23.51,22.31,22.68
5292,2020-11-11,25.74,26.15,23.415,23.52
5291,2020-11-10,25.8,27.1363,25.63,26.15
5290,2020-11-09,24.21,25.98,23.58,25.84
5289,2020-11-06,21.73,22.23,21.22,21.54
5288,2020-11-05,20.88,22.08,20.86,21.66
5287,2020-11-04,21.42,21.61,20.67,20.77
5286,2020-11-03,20.91,21.97,20.55,21.78
5285,2020-11-02,21.48,21.48,20.47,20.59
5284,2020-10-30,21.48,22.1,20.8,21.29
5283,2020-10-29,20.97,22.055,20.83,21.8
5282,2020-10-28,21.465,21.92,20.815,21.16
5281,2020-10-27,22.71,23.13,22.12,22.14
5280,2020-10-26,23.68,24.15,22.1945,22.86
5279,2020-10-23,23.31,24.08,22.62,23.97
5278,2020-10-22,21.87,23.355,21.87,23.1
5277,2020-10-21,20.91,22.36,20.227,22.04
5276,2020-10-20,19.68,21.43,19.68,20.65
5275,2020-10-19,20.49,20.57,19.34,19.37
5274,2020-10-16,20.82,20.97,20.08,20.21
5273,2020-10-15,20.05,20.795,20.03,20.66
5272,2020-10-14,20.68,21.15,20.54,20.64
5271,2020-10-13,21.18,21.28,20.43,20.6
5270,2020-10-12,21.75,22.39,21.18,21.26
5269,2020-10-09,22.0,22.24,21.425,21.53
5268,2020-10-08,20.87,21.9,20.72,21.89
5267,2020-10-07,19.83,20.735,19.83,20.64
5266,2020-10-06,20.75,20.75,19.36,19.49
5265,2020-10-05,20.33,20.75,20.05,20.42
5264,2020-10-02,18.54,20.06,18.5,19.96
5263,2020-10-01,18.56,19.625,18.3601,19.46
5262,2020-09-30,18.46,19.03,18.435,18.53
5261,2020-09-29,19.65,19.65,18.28,18.41
5260,2020-09-28,19.95,20.27,19.45,19.48
5259,2020-09-25,19.78,20.04,19.275,19.45
5258,2020-09-24,19.94,20.3,19.24,19.84
5257,2020-09-23,21.11,21.55,20.13,20.15
5256,2020-09-22,21.91,21.91,20.725,20.82
5255,2020-09-21,22.53,22.9399,21.475,21.5
5254,2020-09-18,23.22,23.86,23.1,23.4
5253,2020-09-17,23.54,24.04,22.985,23.26
5252,2020-09-16,23.16,24.505,22.95,23.82
5251,2020-09-15,23.09,23.48,22.75,23.13
5250,2020-09-14,21.68,23.4,21.59,23.37
5249,2020-09-11,21.99,21.99,21.1144,21.33
5248,2020-09-10,22.18,22.7,21.78,21.89
