,Date,Open,High,Low,Close
79,2020-12-14,64.01,69.74,64.01,67.13
78,2020-12-11,60.14,65.3499,58.97,61.97
77,2020-12-10,55.03,63.7099,54.82,60.83
76,2020-12-09,56.74,59.89,54.72,55.66
75,2020-12-08,51.415,56.37,49.72,55.88
74,2020-12-07,54.17,55.24,49.42,49.7
73,2020-12-04,53.72,55.48,51.49,53.47
72,2020-12-03,52.53,53.65,50.1128,50.56
71,2020-12-02,47.18,55.0,46.14,51.9
70,2020-12-01,46.47,51.2199,46.47,47.04
69,2020-11-30,48.27,49.11,46.02,46.64
68,2020-11-27,47.86,49.0,46.79,48.03
67,2020-11-25,47.17,48.06,45.68,47.2
66,2020-11-24,49.0,49.93,44.765,45.81
65,2020-11-23,50.0,50.0,46.02,47.84
64,2020-11-20,50.6532,50.6532,48.4,49.86
63,2020-11-19,51.6745,52.155,49.755,50.12
62,2020-11-18,52.2,53.49,50.39,51.2
61,2020-11-17,46.59,52.08,45.5,51.36
60,2020-11-16,46.68,47.08,44.9,46.6
59,2020-11-13,45.79,46.72,44.96,46.13
58,2020-11-12,46.26,48.243,44.53,45.06
57,2020-11-11,46.79,49.6628,46.59,46.96
56,2020-11-10,44.8,48.2,43.89,46.34
55,2020-11-09,45.21,47.27,43.35,44.8
54,2020-11-06,44.13,44.7,42.81,43.95
53,2020-11-05,40.99,45.34,40.99,43.71
52,2020-11-04,37.08,40.915,37.05,40.44
51,2020-11-03,36.38,37.55,35.8677,36.84
50,2020-11-02,36.675,37.14,36.1,36.18
49,2020-10-30,36.55,37.1527,34.5001,35.99
48,2020-10-29,36.26,37.0,35.64,36.45
47,2020-10-28,37.25,37.6,36.07,36.07
46,2020-10-27,36.05,38.65,36.05,37.75
45,2020-10-26,37.6,38.665,35.46,36.5
44,2020-10-23,35.03,39.99,35.03,37.5
43,2020-10-22,34.73,37.89,33.02,35.01
42,2020-10-21,38.59,38.605,34.13,34.57
41,2020-10-20,39.24,39.96,38.06,38.07
40,2020-10-19,38.41,41.71,37.2,39.24
39,2020-10-16,38.4,38.95,36.99,38.38
38,2020-10-15,36.09,39.6,36.09,38.8
37,2020-10-14,39.1,39.65,35.31,36.76
36,2020-10-13,37.35,39.89,37.35,38.5
35,2020-10-12,37.26,39.17,36.14,37.25
34,2020-10-09,33.48,38.0,33.45,36.89
33,2020-10-08,31.7,35.12,31.6,33.5
32,2020-10-07,29.08,32.29,29.0029,31.75
31,2020-10-06,28.22,30.13,28.22,28.92
30,2020-10-05,29.6,30.36,28.0,28.07
29,2020-10-02,28.42,30.6,27.65,29.31
28,2020-10-01,32.57,32.935,28.5201,29.08
27,2020-09-30,31.56,33.0,30.56,32.31
26,2020-09-29,30.82,32.47,30.82,31.54
25,2020-09-28,30.83,31.89,30.51,30.79
24,2020-09-25,29.98,32.73,29.62,30.84
23,2020-09-24,30.02,31.03,29.67,29.91
22,2020-09-23,29.84,30.43,28.95,29.98
21,2020-09-22,29.35,30.32,29.16,29.65
20,2020-09-21,30.16,31.1378,28.61,29.22
19,2020-09-18,29.09,30.96,28.8,30.64
18,2020-09-17,29.58,29.8,28.6206,29.02
17,2020-09-16,30.08,31.443,29.0,29.92
16,2020-09-15,31.65,32.0,30.22,30.51
15,2020-09-14,31.19,32.9,30.5,32.78
14,2020-09-11,29.08,32.2999,28.53,31.19
13,2020-09-10,26.06,30.1,25.56,29.23
12,2020-09-09,27.99,28.32,25.43,26.1
11,2020-09-08,29.36,31.27,26.87,27.28
10,2020-09-04,30.27,30.35,29.32,29.55
9,2020-09-03,31.6,31.95,29.57,30.29
8,2020-09-02,31.08,32.61,30.8,31.15
7,2020-09-01,31.27,32.795,30.01,31.16
6,2020-08-31,32.78,33.99,31.9,31.9
5,2020-08-28,33.27,34.43,30.7468,33.28
4,2020-08-27,30.0,34.8,29.65,33.27
3,2020-08-26,31.85,31.85,30.0,30.28
2,2020-08-25,27.8,31.25,26.9093,31.25
1,2020-08-24,32.92,34.15,27.845,28.44
0,2020-08-21,35.0,37.745,28.33,33.26
