,Date,Open,High,Low,Close
393,2020-12-14,1.0,1.01,0.8899,0.8899
392,2020-12-11,0.8,0.9001,0.761,0.86
391,2020-12-10,0.771,0.83,0.761,0.771
390,2020-12-09,0.8099,0.8099,0.75,0.77
389,2020-12-08,0.78,0.81,0.7125,0.81
388,2020-12-07,0.8,0.83,0.74,0.78
387,2020-12-04,0.83,0.83,0.71,0.77
386,2020-12-03,0.7005,0.78,0.651,0.75
385,2020-12-02,0.6955,0.74,0.631,0.631
384,2020-12-01,0.69,0.74,0.68,0.7
383,2020-11-30,0.65,0.75,0.56,0.6999
382,2020-11-27,0.65,0.68,0.56,0.6131
381,2020-11-25,0.511,0.62,0.511,0.55
380,2020-11-24,0.585,0.5952,0.5252,0.5252
379,2020-11-23,0.62,0.62,0.5,0.52
378,2020-11-20,0.5,0.56,0.49,0.54
377,2020-11-19,0.45,0.4901,0.44,0.4401
376,2020-11-18,0.495,0.55,0.44,0.5058
375,2020-11-17,0.4,0.411,0.4,0.411
374,2020-11-16,0.39,0.4149,0.38,0.41
373,2020-11-13,0.4,0.404,0.4,0.404
372,2020-11-12,0.4,0.4,0.4,0.4
371,2020-11-11,0.41,0.41,0.41,0.41
370,2020-11-10,0.41,0.41,0.4,0.41
369,2020-11-09,0.4,0.4,0.39,0.39
368,2020-11-06,0.3501,0.48,0.3501,0.3801
367,2020-11-05,0.3848,0.3848,0.3848,0.3848
366,2020-11-04,0.3501,0.391,0.3501,0.3848
365,2020-11-03,0.4,0.4116,0.39,0.3984
364,2020-11-02,0.3501,0.44,0.3501,0.4102
363,2020-10-30,0.4012,0.4012,0.35,0.39
362,2020-10-29,0.39,0.64,0.39,0.4041
361,2020-10-28,0.4051,0.42,0.39,0.42
360,2020-10-27,0.405,0.4162,0.405,0.416
359,2020-10-26,0.4239,0.4339,0.405,0.405
358,2020-10-23,0.477,0.4817,0.4015,0.4239
357,2020-10-22,0.4751,0.4751,0.46,0.4751
356,2020-10-21,0.44,0.46,0.44,0.46
355,2020-10-20,0.4901,0.5,0.4201,0.4302
354,2020-10-19,0.53,0.53,0.4501,0.505
353,2020-10-16,0.5,0.53,0.39,0.53
352,2020-10-15,0.5,0.5,0.4101,0.42
351,2020-10-14,0.4101,0.5,0.4,0.5
350,2020-10-13,0.3901,0.4,0.3901,0.4
349,2020-10-12,0.43,0.4401,0.39,0.3901
348,2020-10-09,0.4002,0.43,0.4001,0.4299
347,2020-10-08,0.45,0.475,0.39,0.44
346,2020-10-07,0.4101,0.44,0.41,0.4293
345,2020-10-06,0.4101,0.4186,0.4,0.4141
344,2020-10-05,0.48,0.48,0.4,0.41
343,2020-10-02,0.47,0.47,0.4699,0.4699
342,2020-10-01,0.49,0.555,0.47,0.47
341,2020-09-30,0.4399,0.4701,0.4397,0.4701
340,2020-09-29,0.3901,0.425,0.3901,0.41
339,2020-09-28,0.4,0.4,0.36,0.3715
338,2020-09-25,0.4,0.4321,0.4,0.4221
337,2020-09-24,0.3601,0.42,0.3601,0.3978
336,2020-09-23,0.39,0.4,0.37,0.4
335,2020-09-22,0.418,0.43,0.3621,0.4025
334,2020-09-21,0.41,0.42,0.361,0.41
333,2020-09-18,0.42,0.435,0.41,0.435
332,2020-09-17,0.45,0.45,0.3834,0.3937
331,2020-09-16,0.4301,0.4525,0.41,0.41
330,2020-09-15,0.41,0.42,0.39,0.4
329,2020-09-14,0.45,0.45,0.4,0.402
328,2020-09-11,0.45,0.45,0.4,0.4
327,2020-09-10,0.46,0.4616,0.3902,0.4073
326,2020-09-09,0.4422,0.4422,0.44,0.44
325,2020-09-08,0.36,0.45,0.36,0.45
324,2020-09-04,0.3775,0.45,0.3775,0.4479
323,2020-09-03,0.4344,0.45,0.38,0.418
322,2020-09-02,0.44,0.45,0.4138,0.4322
321,2020-09-01,0.3945,0.45,0.3775,0.45
320,2020-08-31,0.3201,0.4,0.3201,0.3775
319,2020-08-28,0.45,0.45,0.38,0.4001
318,2020-08-27,0.3801,0.415,0.3649,0.3999
317,2020-08-26,0.36,0.389,0.3402,0.3405
316,2020-08-25,0.3261,0.38,0.325,0.36
315,2020-08-24,0.3251,0.35,0.325,0.3251
314,2020-08-21,0.32,0.3399,0.3151,0.3252
313,2020-08-20,0.3101,0.3449,0.3101,0.325
312,2020-08-19,0.35,0.36,0.33,0.3398
311,2020-08-18,0.3301,0.35,0.3301,0.35
310,2020-08-17,0.34,0.4,0.3106,0.3401
309,2020-08-14,0.355,0.4,0.3451,0.36
308,2020-08-13,0.35,0.35,0.33,0.33
307,2020-08-12,0.3499,0.35,0.31,0.3185
306,2020-08-11,0.3401,0.37,0.3401,0.3501
305,2020-08-10,0.33,0.37,0.33,0.3501
304,2020-08-07,0.3301,0.35,0.3103,0.3464
303,2020-08-06,0.3145,0.36,0.31,0.36
302,2020-08-05,0.3575,0.37,0.35,0.36
301,2020-08-04,0.3104,0.37,0.3104,0.37
300,2020-08-03,0.3,0.39,0.29,0.33
299,2020-07-31,0.35,0.35,0.3,0.3
298,2020-07-30,0.36,0.3701,0.3284,0.35
297,2020-07-29,0.39,0.41,0.36,0.37
296,2020-07-28,0.4599,0.4599,0.3621,0.39
295,2020-07-27,0.33,0.44,0.33,0.4
294,2020-07-24,0.3501,0.5,0.3501,0.4
293,2020-07-23,0.3533,0.4001,0.3499,0.4
292,2020-07-22,0.38,0.41,0.38,0.4
291,2020-07-21,0.43,0.4402,0.401,0.4199
290,2020-07-20,0.3808,0.46,0.3808,0.4301
289,2020-07-17,0.4401,0.5,0.44,0.4595
288,2020-07-16,0.3001,0.53,0.3001,0.52
287,2020-07-15,0.64,0.65,0.5551,0.5807
286,2020-07-14,0.63,0.644,0.551,0.644
285,2020-07-13,0.69,0.84,0.54,0.55
284,2020-07-10,0.62,0.75,0.5838,0.6799
283,2020-07-09,0.59,0.62,0.545,0.59
282,2020-07-08,0.59,0.59,0.4162,0.5092
281,2020-07-07,0.55,0.6,0.5,0.5
280,2020-07-06,0.6,0.65,0.5,0.5913
279,2020-07-02,0.84,0.84,0.5,0.6299
278,2020-07-01,1.05,1.06,0.7301,0.7401
277,2020-06-30,0.8256,1.17,0.6706,0.93
276,2020-06-29,0.68,0.71,0.55,0.6
275,2020-06-26,0.56,0.56,0.47,0.49
274,2020-06-25,0.5598,0.6,0.4495,0.5672
273,2020-06-24,0.5001,0.56,0.39,0.54
272,2020-06-23,0.69,0.74,0.51,0.5801
271,2020-06-22,0.71,0.8,0.52,0.5901
270,2020-06-19,1.0,1.05,0.6264,0.785
269,2020-06-18,1.23,1.34,0.89,0.9
268,2020-06-17,0.6,1.2,0.4799,0.9065
267,2020-06-16,0.6,0.6999,0.42,0.5
266,2020-06-15,0.42,0.6,0.4,0.57
265,2020-06-12,0.53,0.53,0.4,0.48
264,2020-06-11,0.6,0.6,0.4,0.4799
263,2020-06-10,0.58,0.6398,0.5501,0.6
262,2020-06-09,0.53,0.63,0.5,0.5196
261,2020-06-08,0.47,0.5133,0.4601,0.5133
