,Date,Open,High,Low,Close
3930,2020-12-14,40.84,42.41,40.78,40.83
3929,2020-12-11,40.28,40.85,40.1601,40.75
3928,2020-12-10,40.67,40.82,40.29,40.57
3927,2020-12-09,41.45,41.78,40.52,40.96
3926,2020-12-08,39.85,41.28,39.5001,41.23
3925,2020-12-07,40.56,41.35,40.38,40.5
3924,2020-12-04,40.63,41.39,40.55,40.79
3923,2020-12-03,39.26,40.68,38.93,40.45
3922,2020-12-02,38.38,39.47,38.34,39.01
3921,2020-12-01,37.87,38.7774,37.62,38.51
3920,2020-11-30,37.91,37.98,37.14,37.32
3919,2020-11-27,38.79,38.79,37.64,37.94
3918,2020-11-25,38.28,39.3,38.01,38.6
3917,2020-11-24,37.78,38.65,37.73,38.4
3916,2020-11-23,37.18,37.5,36.84,37.29
3915,2020-11-20,36.45,37.27,36.1601,36.89
3914,2020-11-19,36.7,36.84,36.06,36.45
3913,2020-11-18,37.37,37.95,36.76,36.8
3912,2020-11-17,37.23,37.795,37.04,37.3
3911,2020-11-16,37.89,38.34,37.21,37.62
3910,2020-11-13,36.67,37.49,36.67,36.99
3909,2020-11-12,37.0,37.08,35.9,36.27
3908,2020-11-11,36.79,37.53,36.05,37.24
3907,2020-11-10,36.84,37.07,35.94,36.63
3906,2020-11-09,37.84,38.415,36.57,36.69
3905,2020-11-06,37.13,37.13,35.17,35.4
3904,2020-11-05,36.29,37.59,36.29,37.37
3903,2020-11-04,35.18,36.25,34.85,35.87
3902,2020-11-03,35.68,36.48,35.41,35.87
3901,2020-11-02,34.0,35.36,34.0,35.2
3900,2020-10-30,34.11,34.24,33.1,33.67
3899,2020-10-29,33.13,35.04,32.385,34.12
3898,2020-10-28,34.15,34.58,33.495,33.52
3897,2020-10-27,34.71,35.3,34.59,34.78
3896,2020-10-26,35.44,35.58,34.21,34.73
3895,2020-10-23,36.39,36.5,35.71,35.88
3894,2020-10-22,36.05,36.46,35.57,36.05
3893,2020-10-21,36.51,36.84,35.81,36.1
3892,2020-10-20,37.08,37.43,36.63,36.7
3891,2020-10-19,37.23,37.64,36.56,36.61
3890,2020-10-16,37.42,37.45,36.75,36.95
3889,2020-10-15,36.69,37.47,36.55,37.21
3888,2020-10-14,36.74,37.18,36.59,36.8
3887,2020-10-13,36.72,37.17,36.46,36.64
3886,2020-10-12,36.61,37.6,36.53,37.21
3885,2020-10-09,36.7,36.93,36.25,36.51
3884,2020-10-08,35.2,36.39,35.12,36.38
3883,2020-10-07,34.93,35.63,34.65,34.95
3882,2020-10-06,34.74,35.01,34.165,34.5
3881,2020-10-05,34.9,35.1,34.53,34.61
3880,2020-10-02,32.95,34.57,32.95,34.34
3879,2020-10-01,33.25,33.4,32.54,33.1
3878,2020-09-30,32.68,33.295,32.54,33.05
3877,2020-09-29,32.1,32.96,31.86,32.52
3876,2020-09-28,31.82,32.28,31.5,32.01
3875,2020-09-25,31.49,31.54,31.16,31.17
3874,2020-09-24,31.99,32.155,31.44,31.7
3873,2020-09-23,32.87,33.05,31.85,31.85
3872,2020-09-22,32.64,33.07,32.44,32.72
3871,2020-09-21,33.68,33.87,32.3,32.61
3870,2020-09-18,34.32,34.87,34.0,34.6
3869,2020-09-17,33.46,34.63,33.0,34.41
3868,2020-09-16,33.62,34.6967,33.47,33.98
3867,2020-09-15,33.85,33.98,33.51,33.51
3866,2020-09-14,32.89,33.93,32.89,33.76
3865,2020-09-11,31.26,32.86,31.13,32.71
3864,2020-09-10,31.82,32.42,31.02,31.04
3863,2020-09-09,31.28,31.83,30.84,31.82
3862,2020-09-08,31.39,31.39,30.66,31.11
3861,2020-09-04,32.33,32.46,31.34,31.69
3860,2020-09-03,32.79,33.1,31.59,31.94
3859,2020-09-02,32.31,32.64,32.02,32.61
3858,2020-09-01,31.49,32.16,31.25,32.12
3857,2020-08-31,31.58,31.92,31.2,31.67
3856,2020-08-28,31.72,31.85,31.33,31.83
3855,2020-08-27,31.3,31.99,31.3,31.47
3854,2020-08-26,31.78,31.78,31.31,31.4
3853,2020-08-25,31.8,31.9,31.29,31.59
3852,2020-08-24,30.99,31.76,30.84,31.61
3851,2020-08-21,30.88,31.02,30.61,30.9
3850,2020-08-20,30.94,31.08,30.66,30.96
3849,2020-08-19,31.6,31.75,31.21,31.33
3848,2020-08-18,32.09,32.22,31.405,31.5
3847,2020-08-17,32.06,32.105,31.155,32.04
3846,2020-08-14,31.92,32.25,31.66,32.18
3845,2020-08-13,32.37,32.84,32.01,32.28
3844,2020-08-12,32.87,32.87,31.84,32.29
3843,2020-08-11,32.85,32.96,32.19,32.3
3842,2020-08-10,31.65,32.275,31.5835,32.11
3841,2020-08-07,30.48,31.4,30.42,31.35
3840,2020-08-06,30.88,31.36,30.76,31.18
3839,2020-08-05,30.5,31.45,30.5,31.22
3838,2020-08-04,30.39,30.87,30.33,30.5
3837,2020-08-03,29.49,30.6479,29.2191,30.5
3836,2020-07-31,29.0,30.06,28.26,29.32
3835,2020-07-30,28.17,28.17,27.47,27.7
3834,2020-07-29,28.21,28.72,27.88,28.65
3833,2020-07-28,28.23,28.47,27.905,28.16
3832,2020-07-27,27.84,28.34,27.48,28.26
3831,2020-07-24,28.75,28.87,27.91,27.95
3830,2020-07-23,28.14,28.94,27.98,28.65
3829,2020-07-22,29.04,29.04,28.02,28.18
3828,2020-07-21,28.56,29.42,28.44,29.15
3827,2020-07-20,28.45,28.45,27.67,28.1
3826,2020-07-17,29.2,29.37,28.45,28.52
3825,2020-07-16,28.84,29.56,28.83,29.21
3824,2020-07-15,29.41,29.62,28.7,29.31
3823,2020-07-14,28.3,28.65,27.89,28.56
3822,2020-07-13,28.59,28.95,28.06,28.31
3821,2020-07-10,27.43,28.4,27.29,28.27
3820,2020-07-09,28.4,28.4,27.17,27.37
3819,2020-07-08,28.39,28.88,28.13,28.42
3818,2020-07-07,28.96,28.99,27.99,28.16
3817,2020-07-06,29.53,29.83,28.91,29.16
3816,2020-07-02,29.04,29.4,28.61,28.83
3815,2020-07-01,28.78,29.14,28.07,28.18
3814,2020-06-30,27.64,28.84,27.64,28.63
3813,2020-06-29,27.59,28.445,27.2,27.86
3812,2020-06-26,27.8,27.9,27.05,27.23
3811,2020-06-25,27.95,28.43,27.66,28.27
3810,2020-06-24,28.99,28.99,27.84,28.26
3809,2020-06-23,30.06,30.26,29.27,29.28
3808,2020-06-22,30.09,30.34,29.49,29.64
3807,2020-06-19,30.88,30.94,29.48,30.1
3806,2020-06-18,29.56,30.89,29.49,30.31
3805,2020-06-17,29.8,30.16,29.25,30.0
3804,2020-06-16,30.64,30.64,29.18,29.74
3803,2020-06-15,27.31,29.49,27.17,28.85
3802,2020-06-12,29.17,29.34,27.62,28.52
3801,2020-06-11,28.0,28.86,27.51,27.77
3800,2020-06-10,32.16,32.28,29.53,29.71
3799,2020-06-09,32.0,32.67,31.69,32.39
3798,2020-06-08,33.25,33.81,31.93,33.0
3797,2020-06-05,33.34,34.24,31.61,32.69
3796,2020-06-04,30.48,31.8,29.93,31.23
3795,2020-06-03,29.15,31.06,29.15,30.77
3794,2020-06-02,28.14,29.48,28.0,28.32
3793,2020-06-01,26.9,28.01,26.72,27.67
3792,2020-05-29,27.5,27.64,26.56,26.86
3791,2020-05-28,28.95,28.99,27.58,27.63
3790,2020-05-27,27.64,28.63,27.44,28.47
3789,2020-05-26,26.39,27.37,26.39,26.79
3788,2020-05-22,25.4,25.9,25.01,25.61
3787,2020-05-21,25.58,25.89,25.34,25.58
3786,2020-05-20,25.63,26.1,25.36,25.55
3785,2020-05-19,26.0,26.15,25.01,25.07
3784,2020-05-18,26.49,26.88,26.21,26.3
3783,2020-05-15,24.92,25.79,24.65,25.57
3782,2020-05-14,24.1,24.86,23.18,24.8
3781,2020-05-13,25.06,25.36,23.81,24.66
3780,2020-05-12,26.78,26.98,25.47,25.47
3779,2020-05-11,26.39,27.02,26.24,26.71
3778,2020-05-08,26.04,26.94,26.01,26.7
3777,2020-05-07,24.95,25.94,24.9,25.9
3776,2020-05-06,25.07,25.43,24.06,24.59
3775,2020-05-05,24.23,25.92,24.23,24.82
3774,2020-05-04,25.0,25.17,24.34,25.06
3773,2020-05-01,26.56,26.89,25.23,25.31
3772,2020-04-30,27.35,27.63,26.02,27.5
3771,2020-04-29,26.88,28.37,26.62,27.8
3770,2020-04-28,25.64,26.27,25.16,26.02
3769,2020-04-27,24.33,25.42,24.33,24.71
3768,2020-04-24,26.78,26.88,23.87,24.12
3767,2020-04-23,26.5,27.26,26.27,26.35
3766,2020-04-22,27.37,27.46,26.33,26.42
3765,2020-04-21,26.76,27.41,26.57,27.07
3764,2020-04-20,27.33,28.45,27.1,27.74
3763,2020-04-17,27.01,28.04,26.66,27.83
3762,2020-04-16,25.74,26.59,24.98,26.09
3761,2020-04-15,25.26,26.23,25.19,25.32
3760,2020-04-14,27.94,27.94,25.92,26.39
3759,2020-04-13,25.0,26.14,25.0,25.85
3758,2020-04-09,26.64,28.09,26.17,26.86
3757,2020-04-08,25.5,26.84,25.23,26.64
3756,2020-04-07,24.59,25.96,24.22,25.13
3755,2020-04-06,24.11,24.11,22.98,23.45
3754,2020-04-03,22.89,22.99,22.16,22.54
3753,2020-04-02,22.19,23.32,22.12,22.91
3752,2020-04-01,22.33,22.51,21.51,22.47
3751,2020-03-31,23.87,23.98,23.1,23.56
3750,2020-03-30,23.78,24.67,23.45,23.73
3749,2020-03-27,24.24,25.27,23.86,24.35
3748,2020-03-26,23.6,25.96,23.54,25.14
3747,2020-03-25,23.13,26.02,22.66,23.65
3746,2020-03-24,21.89,23.86,21.68,23.8
3745,2020-03-23,22.13,22.87,20.94,21.06
3744,2020-03-20,25.2,25.87,22.36,22.5
