,Date,Open,High,Low,Close
108,2020-12-14,15.63,15.79,15.02,15.51
107,2020-12-11,15.47,15.7,14.83,15.51
106,2020-12-10,15.06,15.74,15.06,15.41
105,2020-12-09,16.5,16.5,14.91,15.79
104,2020-12-08,16.8,17.0,15.7,16.25
103,2020-12-07,16.2,16.98,15.78,16.75
102,2020-12-04,16.07,16.51,15.3,15.77
101,2020-12-03,15.45,16.75,15.08,15.5
100,2020-12-02,13.79,14.91,13.35,14.64
99,2020-12-01,15.61,15.7065,14.05,14.25
98,2020-11-30,17.16,17.18,14.32,15.75
97,2020-11-27,17.59,17.6,16.01,16.55
96,2020-11-25,17.46,17.99,16.29,17.37
95,2020-11-24,16.49,17.2,14.85,16.25
94,2020-11-23,13.79,14.74,13.23,13.6
93,2020-11-20,10.69,12.71,10.36,12.5
92,2020-11-19,9.88,9.88,9.78,9.86
91,2020-11-18,9.84,9.86,9.75,9.83
90,2020-11-17,9.77,9.85,9.75,9.83
89,2020-11-16,9.8082,9.89,9.75,9.83
88,2020-11-13,9.8098,9.81,9.78,9.78
87,2020-11-12,9.81,9.81,9.8,9.8
86,2020-11-11,9.8,9.8,9.8,9.8
85,2020-11-10,9.81,9.81,9.81,9.81
84,2020-11-09,9.9,9.91,9.79,9.8
83,2020-11-06,9.85,9.85,9.75,9.81
82,2020-11-05,9.78,9.83,9.735,9.82
81,2020-11-04,9.75,9.75,9.75,9.75
80,2020-11-03,9.7283,9.76,9.7283,9.76
79,2020-11-02,9.79,9.8,9.67,9.7
78,2020-10-30,9.7,9.79,9.67,9.79
77,2020-10-29,9.72,9.72,9.7,9.7
76,2020-10-28,9.7201,9.75,9.72,9.72
75,2020-10-27,9.78,9.78,9.75,9.75
74,2020-10-26,9.78,9.79,9.75,9.79
73,2020-10-23,9.75,9.75,9.75,9.75
72,2020-10-22,9.83,9.83,9.72,9.75
71,2020-10-21,9.89,9.89,9.75,9.76
70,2020-10-20,9.7972,9.7972,9.788,9.788
69,2020-10-19,9.89,9.89,9.75,9.75
68,2020-10-16,9.775,9.775,9.75,9.77
67,2020-10-15,9.7701,9.79,9.75,9.75
66,2020-10-14,9.75,9.86,9.75,9.78
65,2020-10-13,9.78,9.88,9.34,9.34
64,2020-10-12,9.8,9.83,9.8,9.8162
63,2020-10-09,9.85,9.85,9.76,9.8
62,2020-10-08,9.81,9.9,9.72,9.9
61,2020-10-07,9.87,9.87,9.78,9.8
60,2020-10-06,9.87,9.87,9.835,9.86
59,2020-10-05,9.86,9.87,9.8218,9.85
58,2020-10-02,9.8646,9.9,9.82,9.83
57,2020-10-01,9.82,9.85,9.82,9.83
56,2020-09-30,9.85,9.88,9.82,9.82
55,2020-09-29,9.85,9.85,9.84,9.84
54,2020-09-28,9.82,9.88,9.82,9.82
53,2020-09-25,9.81,9.85,9.81,9.81
52,2020-09-24,9.9,9.9,9.8,9.81
51,2020-09-23,9.85,9.86,9.83,9.85
50,2020-09-22,9.85,9.86,9.84,9.84
49,2020-09-21,9.85,9.95,9.84,9.84
48,2020-09-18,9.92,9.98,9.85,9.86
47,2020-09-17,9.86,9.95,9.85,9.89
46,2020-09-16,9.84,9.89,9.8,9.89
45,2020-09-15,9.815,9.85,9.78,9.82
44,2020-09-14,9.79,9.85,9.79,9.85
43,2020-09-11,9.78,9.7895,9.77,9.78
42,2020-09-10,9.85,9.85,9.78,9.78
41,2020-09-09,9.9,9.9,9.84,9.84
40,2020-09-08,9.9,9.975,9.84,9.875
39,2020-09-04,9.93,10.0,9.85,9.95
38,2020-09-03,9.9,10.0,9.84,9.9
37,2020-09-02,9.84,9.95,9.84,9.9
36,2020-09-01,9.9,9.9,9.89,9.9
35,2020-08-31,9.85,9.9,9.79,9.9
34,2020-08-28,9.8,9.9,9.76,9.9
33,2020-08-27,9.8,9.89,9.8,9.8
32,2020-08-26,9.8,9.82,9.8,9.82
31,2020-08-25,9.84,9.86,9.8,9.82
30,2020-08-24,9.83,9.83,9.83,9.83
29,2020-08-21,9.85,9.87,9.8,9.8
28,2020-08-20,9.85,9.85,9.825,9.85
27,2020-08-19,9.88,9.88,9.84,9.85
26,2020-08-18,9.89,9.9,9.89,9.89
25,2020-08-17,9.92,10.0,9.88,9.905
24,2020-08-14,9.87,9.9,9.87,9.9
23,2020-08-13,9.87,9.89,9.87,9.89
22,2020-08-12,9.9,9.9,9.87,9.87
21,2020-08-11,9.87,9.92,9.87,9.92
20,2020-08-10,9.9,9.9,9.88,9.88
19,2020-08-07,9.9,9.9,9.88,9.9
18,2020-08-06,9.94,9.94,9.9,9.9
17,2020-08-05,9.92,9.92,9.92,9.92
16,2020-08-04,9.95,9.95,9.92,9.92
15,2020-08-03,10.02,10.02,9.92,9.92
14,2020-07-31,10.03,10.03,9.97,9.97
13,2020-07-30,10.05,10.06,10.01,10.025
12,2020-07-29,10.0,10.1,10.0,10.05
11,2020-07-28,10.05,10.12,10.05,10.08
10,2020-07-27,10.08,10.1,9.9801,10.1
9,2020-07-24,10.0,10.0,9.975,9.985
8,2020-07-23,10.075,10.075,9.95,9.99
7,2020-07-22,10.0,10.12,10.0,10.12
6,2020-07-21,10.12,10.12,10.0,10.07
5,2020-07-20,10.11,10.11,10.1,10.1
4,2020-07-17,10.1,10.15,10.05,10.12
3,2020-07-16,10.05,10.1,10.0,10.1
2,2020-07-15,9.94,10.0,9.91,10.0
1,2020-07-14,9.9,9.93,9.89,9.92
0,2020-07-13,10.16,10.16,9.8,9.9
