,Date,Open,High,Low,Close
229,2020-12-14,3.63,3.63,3.3901,3.47
228,2020-12-11,3.5075,3.61,3.41,3.5
227,2020-12-10,3.53,3.59,3.4,3.47
226,2020-12-09,3.62,3.79,3.43,3.55
225,2020-12-08,3.86,4.09,3.7,3.73
224,2020-12-07,3.66,3.98,3.34,3.8
223,2020-12-04,4.1542,4.4,3.56,3.82
222,2020-12-03,4.39,5.909,3.83,4.79
221,2020-12-02,2.25,2.45,2.15,2.36
220,2020-12-01,2.43,2.44,2.21,2.25
219,2020-11-30,2.46,2.48,2.3,2.42
218,2020-11-27,2.47,2.49,2.4211,2.43
217,2020-11-25,2.45,2.5,2.38,2.4
216,2020-11-24,2.45,2.48,2.37,2.47
215,2020-11-23,2.46,2.5782,2.415,2.48
214,2020-11-20,2.58,2.58,2.41,2.46
213,2020-11-19,2.5,2.65,2.44,2.53
212,2020-11-18,2.36,2.5053,2.328,2.45
211,2020-11-17,2.34,2.37,2.3,2.37
210,2020-11-16,2.12,2.42,2.12,2.38
209,2020-11-13,2.14,2.14,2.06,2.12
208,2020-11-12,2.19,2.23,2.08,2.11
207,2020-11-11,2.2,2.23,2.15,2.23
206,2020-11-10,2.1,2.29,2.1,2.13
205,2020-11-09,2.38,2.47,2.22,2.38
204,2020-11-06,2.1,2.34,2.07,2.34
203,2020-11-05,2.1,2.13,2.05,2.11
202,2020-11-04,2.15,2.15,2.05,2.1
201,2020-11-03,2.01,2.09,2.01,2.07
200,2020-11-02,2.07,2.07,1.975,2.0
199,2020-10-30,2.02,2.0542,1.95,1.96
198,2020-10-29,2.04,2.09,2.0,2.04
197,2020-10-28,2.04,2.09,1.98,2.02
196,2020-10-27,2.12,2.15,2.05,2.06
195,2020-10-26,2.13,2.23,2.07,2.12
194,2020-10-23,2.0,2.22,2.0,2.19
193,2020-10-22,2.03,2.14,1.97,1.995
192,2020-10-21,2.12,2.17,2.02,2.02
191,2020-10-20,2.23,2.27,2.08,2.12
190,2020-10-19,2.31,2.42,2.1277,2.26
189,2020-10-16,2.5,2.5399,2.3,2.35
188,2020-10-15,2.5,2.57,2.315,2.4
187,2020-10-14,2.61,2.64,2.5,2.54
186,2020-10-13,3.03,3.07,2.58,2.6
185,2020-10-12,3.93,4.75,3.13,3.15
184,2020-10-09,2.39,2.66,2.3,2.65
183,2020-10-08,2.21,2.31,2.21,2.29
182,2020-10-07,2.24,2.3,2.2,2.21
181,2020-10-06,2.3,2.3399,2.2,2.25
180,2020-10-05,2.28,2.42,2.23,2.26
179,2020-10-02,2.49,2.59,2.25,2.3
178,2020-10-01,2.3,2.725,2.3,2.57
177,2020-09-30,2.13,2.71,1.97,2.26
176,2020-09-29,2.33,2.3764,2.17,2.17
175,2020-09-28,2.5,2.5035,2.3,2.35
174,2020-09-25,2.5,2.6499,2.38,2.45
173,2020-09-24,2.63,2.63,2.4,2.51
172,2020-09-23,2.78,2.91,2.65,2.69
171,2020-09-22,3.27,3.27,2.77,2.77
170,2020-09-21,3.35,3.49,3.17,3.27
169,2020-09-18,3.61,3.7,3.36,3.43
168,2020-09-17,3.63,3.8,3.58,3.63
167,2020-09-16,3.58,3.805,3.58,3.63
166,2020-09-15,3.52,3.65,3.52,3.58
165,2020-09-14,3.65,3.65,3.4,3.52
164,2020-09-11,3.7,3.79,3.51,3.57
163,2020-09-10,3.89,3.94,3.7,3.7
162,2020-09-09,3.63,3.95,3.63,3.95
161,2020-09-08,3.73,3.7302,3.59,3.68
160,2020-09-04,4.08,4.08,3.612,3.72
159,2020-09-03,4.0,4.02,3.81,3.87
158,2020-09-02,4.16,4.27,3.8,4.0
157,2020-09-01,4.31,4.35,4.04,4.22
156,2020-08-31,4.27,4.3799,4.22,4.36
155,2020-08-28,4.22,4.47,4.0,4.15
154,2020-08-27,4.4,4.42,4.2,4.2
153,2020-08-26,4.53,4.53,4.25,4.31
152,2020-08-25,4.5,4.5,4.32,4.3426
151,2020-08-24,4.57,4.57,4.2334,4.31
150,2020-08-21,4.55,4.62,4.5,4.5
149,2020-08-20,4.79,4.81,4.27,4.52
148,2020-08-19,4.82,4.95,4.79,4.8
147,2020-08-18,4.95,4.97,4.72,4.75
146,2020-08-17,4.73,5.11,4.6,5.11
145,2020-08-14,4.78,5.0,4.37,4.5
144,2020-08-13,5.31,5.31,5.0,5.0
143,2020-08-12,5.13,5.2499,5.05,5.14
142,2020-08-11,5.4,5.4,5.01,5.1
141,2020-08-10,5.2,5.22,5.09,5.09
140,2020-08-07,5.2297,5.3,5.2,5.2
139,2020-08-06,5.42,5.5,5.3,5.3
138,2020-08-05,5.5,5.5,5.33,5.35
137,2020-08-04,5.5438,5.6999,5.3701,5.4
136,2020-08-03,5.46,5.6,5.06,5.285
135,2020-07-31,5.42,5.71,5.42,5.45
134,2020-07-30,5.3,5.59,5.28,5.33
133,2020-07-29,5.62,5.7365,5.4,5.48
132,2020-07-28,5.62,5.65,5.4,5.44
131,2020-07-27,5.87,5.8701,5.2,5.59
130,2020-07-24,5.94,6.0,5.88,5.9
129,2020-07-23,6.5,6.5,6.15,6.15
128,2020-07-22,6.7996,6.8,6.44,6.4401
127,2020-07-21,7.0,7.0,6.63,6.81
126,2020-07-20,6.85,7.07,6.85,7.07
125,2020-07-17,7.55,7.55,6.9,6.92
124,2020-07-16,6.44,7.07,6.44,7.07
123,2020-07-15,6.87,7.49,6.85,7.0
122,2020-07-14,7.64,7.64,6.57,6.91
121,2020-07-13,6.1,8.54,6.1,8.2
120,2020-07-10,5.97,5.97,5.72,5.93
119,2020-07-09,5.7,6.16,5.7,5.87
118,2020-07-08,5.53,5.88,5.53,5.8
117,2020-07-07,5.93,5.93,5.5,5.62
116,2020-07-06,5.28,5.73,5.28,5.62
115,2020-07-02,5.33,5.36,5.28,5.28
114,2020-07-01,5.36,5.44,5.34,5.36
113,2020-06-30,5.36,5.4,5.36,5.36
112,2020-06-29,5.54,5.54,5.27,5.36
111,2020-06-26,5.56,5.59,5.28,5.28
110,2020-06-25,5.48,5.8227,5.48,5.56
109,2020-06-24,5.57,5.57,5.45,5.56
108,2020-06-23,5.6615,5.6862,5.48,5.48
107,2020-06-22,6.04,6.04,5.5801,5.74
106,2020-06-19,6.26,6.26,5.71,5.98
105,2020-06-18,5.35,6.26,5.26,6.01
104,2020-06-17,5.08,5.67,5.05,5.28
103,2020-06-16,5.3,5.35,5.04,5.08
102,2020-06-15,5.05,5.36,4.75,5.2601
101,2020-06-12,5.17,5.6,5.17,5.4
100,2020-06-11,5.75,5.75,4.75,5.1299
99,2020-06-10,5.87,6.39,5.27,5.9
98,2020-06-09,5.21,6.45,5.01,5.86
97,2020-06-08,4.6104,4.8593,4.6104,4.76
96,2020-06-05,4.56,4.7797,4.51,4.61
95,2020-06-04,4.48,4.8,4.48,4.555
94,2020-06-03,4.4,4.52,4.28,4.44
93,2020-06-02,4.05,4.5399,4.05,4.275
92,2020-06-01,4.1634,4.19,4.05,4.05
91,2020-05-29,4.1,4.28,4.1,4.1
90,2020-05-28,4.29,4.29,4.02,4.16
89,2020-05-27,4.44,4.44,4.16,4.25
88,2020-05-26,4.42,4.64,4.38,4.4
87,2020-05-22,4.59,4.68,4.23,4.35
86,2020-05-21,4.86,4.86,4.57,4.75
85,2020-05-20,4.75,5.0,4.605,4.8637
84,2020-05-19,4.51,4.8,4.51,4.75
83,2020-05-18,4.79,4.79,4.56,4.7
82,2020-05-15,4.62,4.85,4.52,4.54
81,2020-05-14,4.6,4.66,4.32,4.46
80,2020-05-13,4.7,4.8,4.52,4.52
79,2020-05-12,4.75,4.89,4.6,4.6
78,2020-05-11,4.72,4.95,4.6,4.85
77,2020-05-08,4.88,5.09,4.6,4.8
76,2020-05-07,4.5,4.8788,4.5,4.65
75,2020-05-06,5.0501,5.2003,4.7,4.7
74,2020-05-05,5.44,5.47,5.01,5.01
73,2020-05-04,5.19,5.2493,5.1251,5.24
72,2020-05-01,5.35,5.36,5.01,5.02
71,2020-04-30,5.2649,5.38,5.18,5.36
70,2020-04-29,5.22,5.52,5.22,5.38
69,2020-04-28,5.3061,5.3061,5.03,5.22
68,2020-04-27,5.09,5.34,5.0,5.23
67,2020-04-24,4.62,5.29,4.62,5.08
66,2020-04-23,5.41,5.41,4.72,5.07
65,2020-04-22,5.15,5.4,5.11,5.2
64,2020-04-21,5.2,5.22,4.76,4.91
63,2020-04-20,4.92,5.59,4.92,5.23
62,2020-04-17,4.42,5.18,4.4,4.8
61,2020-04-16,4.66,4.86,4.2,4.3
60,2020-04-15,5.69,5.6999,4.17,4.66
59,2020-04-14,5.99,5.99,5.47,5.7
58,2020-04-13,5.96,6.2,5.6,5.87
57,2020-04-09,6.22,6.27,5.8382,5.96
56,2020-04-08,6.51,6.54,6.0,6.22
55,2020-04-07,6.85,6.85,6.0,6.17
54,2020-04-06,7.25,7.3,6.26,6.66
53,2020-04-03,7.3,7.35,6.0,6.89
52,2020-04-02,7.03,7.5,6.49,7.19
51,2020-04-01,6.99,7.25,6.92,7.09
50,2020-03-31,7.3,7.3,6.9,7.0
49,2020-03-30,8.0,8.0,6.9,7.0
48,2020-03-27,7.5841,8.04,7.575,7.84
47,2020-03-26,7.98,8.3,7.61,8.29
46,2020-03-25,7.31,8.5,6.8,7.65
45,2020-03-24,7.0,7.3,6.48,7.3
44,2020-03-23,6.9,6.9,6.68,6.9
43,2020-03-20,6.31,6.9,6.0,6.48
42,2020-03-19,6.2,6.25,6.05,6.25
41,2020-03-18,6.05,6.3,5.76,6.2
40,2020-03-17,6.32,6.37,6.175,6.31
39,2020-03-16,6.28,6.28,6.0,6.13
38,2020-03-13,6.42,6.5926,6.1,6.2
37,2020-03-12,8.5,8.5,6.15,6.15
36,2020-03-11,8.44,8.96,8.34,8.8
35,2020-03-10,8.8163,8.8163,8.31,8.35
34,2020-03-09,9.01,9.01,8.13,8.24
33,2020-03-06,9.16,9.46,9.07,9.3
