,Date,Open,High,Low,Close
5314,2020-12-14,52.2,52.47,51.32,51.34
5313,2020-12-11,51.58,51.83,51.43,51.705
5312,2020-12-10,51.99,52.36,51.49,51.86
5311,2020-12-09,52.81,52.85,51.9228,52.295
5310,2020-12-08,53.1,53.315,52.55,52.76
5309,2020-12-07,53.02,53.37,52.735,53.335
5308,2020-12-04,53.34,53.77,52.66,52.88
5307,2020-12-03,53.69,53.69,52.88,53.36
5306,2020-12-02,53.15,53.85,52.69,53.82
5305,2020-12-01,52.96,53.7,52.81,53.37
5304,2020-11-30,52.61,52.95,52.11,52.6
5303,2020-11-27,53.39,53.71,52.56,52.76
5302,2020-11-25,53.42,53.87,52.76,53.51
5301,2020-11-24,53.04,53.5,52.55,53.37
5300,2020-11-23,53.16,53.4,52.6,52.75
5299,2020-11-20,52.52,53.15,52.16,52.87
5298,2020-11-19,53.6,53.7142,52.22,52.47
5297,2020-11-18,54.98,55.11,53.01,53.06
5296,2020-11-17,56.23,56.55,54.66,54.73
5295,2020-11-16,57.01,57.12,55.79,56.44
5294,2020-11-13,56.51,56.8,55.85,56.2
5293,2020-11-12,57.17,57.39,55.86,56.13
5292,2020-11-11,57.17,57.78,56.98,57.42
5291,2020-11-10,56.41,57.38,56.41,56.96
5290,2020-11-09,56.41,58.1,56.3,56.63
5289,2020-11-06,55.25,55.79,54.05,54.57
5288,2020-11-05,55.86,56.165,54.65,54.88
5287,2020-11-04,56.3,57.475,55.12,55.34
5286,2020-11-03,55.92,57.52,55.71,56.44
5285,2020-11-02,56.06,56.93,55.39,56.69
5284,2020-10-30,55.42,55.74,54.64,55.28
5283,2020-10-29,54.78,56.2685,54.145,55.57
5282,2020-10-28,56.19,57.06,55.43,55.52
5281,2020-10-27,57.05,57.52,56.63,57.16
5280,2020-10-26,56.29,57.01,56.1,56.83
5279,2020-10-23,56.85,56.86,56.13,56.67
5278,2020-10-22,55.5,56.65,55.33,56.46
5277,2020-10-21,55.0,56.08,54.98,55.64
5276,2020-10-20,54.89,55.38,54.62,55.14
