,Date,Open,High,Low,Close
129,2020-12-14,18.49,18.495,17.6523,17.7607
128,2020-12-11,18.45,19.5,17.88,18.35
127,2020-12-10,15.17,20.24,15.1001,18.13
126,2020-12-09,15.43,15.5,15.13,15.17
125,2020-12-08,15.49,15.5,15.2,15.35
124,2020-12-07,15.45,15.75,15.15,15.21
123,2020-12-04,15.18,15.38,15.13,15.3
122,2020-12-03,15.76,16.07,15.28,15.36
121,2020-12-02,15.43,15.94,15.1898,15.585
120,2020-12-01,16.05,16.05,15.15,15.3899
119,2020-11-30,16.4,16.4,15.65,15.79
118,2020-11-27,15.98,16.7499,15.6458,16.4
117,2020-11-25,15.35,15.5,15.25,15.43
116,2020-11-24,15.69,15.73,15.2,15.3
115,2020-11-23,16.01,16.06,15.5002,15.73
114,2020-11-20,16.1441,16.2827,16.0,16.05
113,2020-11-19,16.67,16.9269,16.0932,16.14
112,2020-11-18,15.82,16.7,15.7187,16.35
111,2020-11-17,16.15,16.15,15.5,15.51
110,2020-11-16,15.89,16.075,15.65,15.83
109,2020-11-13,15.16,15.4797,15.1,15.32
108,2020-11-12,15.65,15.7317,15.1,15.16
107,2020-11-11,15.3,15.9629,15.3,15.51
106,2020-11-10,16.22,16.22,15.1,15.3
105,2020-11-09,16.09,16.37,15.45,15.48
104,2020-11-06,16.3313,16.7899,15.91,16.35
103,2020-11-05,17.4753,17.937,16.33,16.89
102,2020-11-04,15.1,17.65,15.1,17.25
101,2020-11-03,15.11,15.86,15.11,15.43
100,2020-11-02,15.13,15.45,15.13,15.2
99,2020-10-30,15.35,15.35,15.0,15.1
98,2020-10-29,15.39,15.93,14.075,15.25
97,2020-10-28,16.1,16.365,15.1301,15.17
96,2020-10-27,16.86,16.915,16.35,16.6
95,2020-10-26,17.65,17.67,16.26,17.0
94,2020-10-23,17.86,17.86,17.01,17.5
93,2020-10-22,16.31,17.87,16.0701,17.71
92,2020-10-21,17.5,17.9902,16.5,16.66
91,2020-10-20,17.53,18.19,17.5,17.5
90,2020-10-19,19.7,20.4,17.59,17.59
89,2020-10-16,19.01,19.81,18.88,19.78
88,2020-10-15,19.85,20.13,19.1,19.245
87,2020-10-14,19.24,20.0898,19.24,19.96
86,2020-10-13,19.01,19.8,19.0,19.49
85,2020-10-12,19.95,24.84,19.0,19.21
84,2020-10-09,20.47,20.47,19.875,20.11
83,2020-10-08,20.09,20.25,19.377,19.675
82,2020-10-07,18.88,20.0,18.88,19.5301
81,2020-10-06,20.17,20.17,18.9,18.9
80,2020-10-05,20.31,20.41,19.78,19.79
79,2020-10-02,20.38,20.996,19.9,20.4999
78,2020-10-01,19.03,20.92,19.03,20.69
77,2020-09-30,20.58,20.88,18.46,18.84
76,2020-09-29,21.61,21.9905,20.0,20.4
75,2020-09-28,18.9,21.68,18.4964,21.25
74,2020-09-25,18.21,18.95,18.0,18.36
73,2020-09-24,18.46,19.25,18.0,18.2
72,2020-09-23,16.51,18.0,16.51,17.48
71,2020-09-22,16.34,16.9341,16.31,16.51
70,2020-09-21,16.11,17.78,16.01,16.01
69,2020-09-18,17.4899,17.4899,16.1,16.47
68,2020-09-17,17.69,18.2423,16.82,16.82
67,2020-09-16,17.41,18.4,17.41,17.7
66,2020-09-15,18.41,18.75,16.82,17.84
65,2020-09-14,19.0,19.24,17.6201,18.7
64,2020-09-11,15.3,19.5,15.0,19.24
63,2020-09-10,14.74,15.7038,14.74,15.37
62,2020-09-09,15.46,16.0,14.6,14.73
61,2020-09-08,14.2,15.6742,13.6,15.09
60,2020-09-04,14.25,14.8901,13.07,14.2
59,2020-09-03,16.21,16.4999,14.58,14.76
58,2020-09-02,17.4,17.487,15.0,15.75
57,2020-09-01,17.1,17.3,16.71,17.17
56,2020-08-31,17.7,17.7,16.6,16.6
55,2020-08-28,17.34,17.765,16.8532,17.07
54,2020-08-27,16.82,17.43,16.7701,17.25
53,2020-08-26,17.52,18.45,16.629,17.2
