,Date,Open,High,Low,Close
3770,2020-12-14,71.9,74.25,70.27,70.35
3769,2020-12-11,71.24,71.96,69.68,70.93
3768,2020-12-10,69.54,72.43,69.395,72.33
3767,2020-12-09,71.11,71.35,68.61,70.26
3766,2020-12-08,69.6,70.605,68.95,69.89
3765,2020-12-07,69.5,70.13,68.5,69.93
3764,2020-12-04,69.62,70.225,69.51,70.0
3763,2020-12-03,70.44,70.83,68.71,69.22
3762,2020-12-02,67.65,70.39,66.87,69.9
3761,2020-12-01,66.56,69.33,66.25,68.11
3760,2020-11-30,66.74,67.25,64.92,65.65
3759,2020-11-27,68.43,68.81,67.04,67.23
3758,2020-11-25,69.09,69.09,67.23,68.29
3757,2020-11-24,69.8,70.53,68.83,69.31
3756,2020-11-23,67.26,68.86,66.7496,68.3
3755,2020-11-20,66.66,67.03,65.0,66.31
3754,2020-11-19,66.85,68.46,66.49,66.91
3753,2020-11-18,69.4,71.02,67.01,67.09
3752,2020-11-17,66.93,69.045,66.81,68.78
3751,2020-11-16,68.86,69.54,66.16,68.32
3750,2020-11-13,62.83,66.45,62.75,66.08
3749,2020-11-12,62.87,63.36,61.5,62.24
3748,2020-11-11,65.31,65.605,62.705,63.69
3747,2020-11-10,62.75,65.51,62.49,65.26
3746,2020-11-09,67.4,72.72,64.17,64.36
3745,2020-11-06,55.99,56.55,53.1501,56.04
3744,2020-11-05,55.33,56.76,54.875,56.43
3743,2020-11-04,53.0,55.985,52.45,54.73
3742,2020-11-03,51.11,53.97,50.88,53.34
3741,2020-11-02,49.39,50.48,48.57,50.23
3740,2020-10-30,49.41,49.95,47.97,48.8
3739,2020-10-29,49.07,50.0,48.5315,49.67
3738,2020-10-28,50.66,50.66,48.91,49.4
3737,2020-10-27,53.77,53.91,51.82,51.85
3736,2020-10-26,55.95,56.43,52.91,54.53
3735,2020-10-23,57.19,57.74,56.01,57.16
3734,2020-10-22,55.81,57.09,55.6,56.83
3733,2020-10-21,55.07,55.69,54.245,55.29
3732,2020-10-20,54.59,56.41,54.26,55.64
3731,2020-10-19,55.17,55.95,53.76,53.97
3730,2020-10-16,54.67,55.54,54.19,54.6
3729,2020-10-15,53.67,54.6,52.5,54.37
3728,2020-10-14,54.5,55.42,54.15,54.36
3727,2020-10-13,55.84,55.84,54.62,54.69
3726,2020-10-12,56.13,56.37,54.69,55.84
3725,2020-10-09,56.95,57.98,56.76,56.83
