,Date,Open,High,Low,Close
787,2020-12-14,28.47,28.595,27.8001,27.85
786,2020-12-11,27.065,28.88,27.065,28.41
785,2020-12-10,27.98,28.43,27.36,28.35
784,2020-12-09,27.4,27.845,27.29,27.75
783,2020-12-08,27.0,27.33,26.74,27.33
782,2020-12-07,27.13,28.55,26.68,27.14
781,2020-12-04,26.88,27.2,26.72,26.83
780,2020-12-03,27.28,27.28,26.42,26.55
779,2020-12-02,27.17,27.2,26.44,26.63
778,2020-12-01,26.24,27.135,25.81,26.92
777,2020-11-30,27.63,27.844,26.46,26.64
776,2020-11-27,27.35,27.35,26.72,27.35
775,2020-11-25,27.43,28.27,26.76,27.32
774,2020-11-24,26.77,27.44,26.358,27.43
773,2020-11-23,27.09,27.3842,26.33,26.72
772,2020-11-20,26.69,27.36,25.59,26.96
771,2020-11-19,27.05,27.375,26.32,27.13
770,2020-11-18,28.7,28.875,27.06,27.11
769,2020-11-17,27.26,28.68,26.9,28.15
768,2020-11-16,25.99,27.8,25.78,27.42
767,2020-11-13,24.7,25.57,24.0182,25.33
766,2020-11-12,24.48,24.76,23.93,24.71
765,2020-11-11,25.045,25.045,23.04,24.58
764,2020-11-10,23.33,24.76,23.1101,24.66
763,2020-11-09,23.47,23.96,22.58,23.05
762,2020-11-06,21.82,21.95,21.06,21.11
761,2020-11-05,22.2,22.46,21.84,22.0
760,2020-11-04,22.58,22.73,21.8,22.0
759,2020-11-03,22.63,23.58,22.45,22.75
758,2020-11-02,21.82,22.44,21.82,22.3
757,2020-10-30,21.7,22.42,21.0001,21.58
756,2020-10-29,21.55,22.79,21.4475,21.66
755,2020-10-28,20.91,21.33,20.85,21.16
754,2020-10-27,22.27,22.27,21.32,21.61
753,2020-10-26,22.68,22.72,21.8866,22.45
752,2020-10-23,24.095,24.095,23.0,23.24
751,2020-10-22,22.3556,23.25,22.15,22.72
750,2020-10-21,21.89,22.1,21.89,22.05
749,2020-10-20,21.9,22.105,21.83,21.87
748,2020-10-19,21.73,21.98,21.555,21.69
747,2020-10-16,21.28,21.6499,20.91,21.53
746,2020-10-15,21.08,21.38,20.74,21.38
745,2020-10-14,21.4,21.49,21.1,21.15
744,2020-10-13,21.13,21.42,21.1,21.28
743,2020-10-12,20.95,21.47,20.95,21.25
742,2020-10-09,20.88,21.12,20.27,20.89
741,2020-10-08,20.71,20.78,20.15,20.6
740,2020-10-07,21.1,21.1,20.48,20.65
739,2020-10-06,20.75,21.45,20.44,20.91
738,2020-10-05,20.3854,20.865,20.06,20.75
737,2020-10-02,19.71,20.269,19.61,20.07
736,2020-10-01,19.87,20.5402,19.52,19.97
735,2020-09-30,19.74,20.36,19.58,19.71
734,2020-09-29,20.09,20.41,19.69,19.8
733,2020-09-28,19.6,20.175,19.6,19.99
732,2020-09-25,19.46,19.68,19.25,19.41
731,2020-09-24,19.04,20.0,18.82,19.63
730,2020-09-23,19.73,20.07,18.98,19.06
729,2020-09-22,20.73,20.73,19.5,19.67
728,2020-09-21,21.29,21.29,20.63,20.7
727,2020-09-18,21.18,21.49,20.76,21.47
726,2020-09-17,20.78,21.08,20.77,21.05
725,2020-09-16,20.57,21.15,20.57,21.01
724,2020-09-15,20.68,20.68,20.38,20.5
723,2020-09-14,20.16,20.75,20.06,20.53
722,2020-09-11,19.91,20.15,19.665,20.06
721,2020-09-10,20.42,20.42,19.705,19.91
720,2020-09-09,20.0,20.49,19.694,20.27
719,2020-09-08,20.37,20.37,19.51,19.79
718,2020-09-04,20.77,20.77,20.22,20.63
717,2020-09-03,20.55,20.72,20.37,20.53
716,2020-09-02,20.45,20.73,20.08,20.5
715,2020-09-01,20.37,20.76,20.15,20.56
714,2020-08-31,20.69,20.74,20.38,20.38
713,2020-08-28,20.5,20.5,20.16,20.46
712,2020-08-27,20.36,20.6,20.01,20.3
711,2020-08-26,20.49,20.55,19.97,20.21
710,2020-08-25,20.2,20.655,19.87,20.34
709,2020-08-24,19.09,20.1,19.09,20.1
708,2020-08-21,19.39,19.39,18.67,19.09
707,2020-08-20,19.2,19.47,19.0,19.41
706,2020-08-19,19.54,19.62,19.04,19.49
705,2020-08-18,19.63,19.63,19.255,19.41
704,2020-08-17,20.22,20.22,19.55,19.88
703,2020-08-14,19.67,20.22,19.52,20.22
702,2020-08-13,19.89,19.94,19.63,19.67
701,2020-08-12,19.67,19.96,19.33,19.89
700,2020-08-11,19.77,20.0,19.2375,19.37
699,2020-08-10,19.75,19.77,19.5538,19.73
698,2020-08-07,18.9,19.75,18.86,19.69
697,2020-08-06,18.82,18.98,18.75,18.98
696,2020-08-05,18.92,19.0,18.69,18.94
695,2020-08-04,18.67,18.98,18.42,18.86
694,2020-08-03,18.76,19.0,18.71,18.87
693,2020-07-31,19.23,19.23,18.14,18.43
692,2020-07-30,18.94,19.24,18.34,19.13
691,2020-07-29,17.95,19.28,17.645,18.96
690,2020-07-28,17.04,17.2999,16.95,17.15
689,2020-07-27,17.11,17.35,16.62,17.24
688,2020-07-24,17.0948,17.38,16.91,17.22
687,2020-07-23,16.61,17.16,16.61,17.06
686,2020-07-22,17.23,17.45,16.47,16.68
685,2020-07-21,16.66,17.23,16.66,17.17
684,2020-07-20,16.57,16.88,15.605,16.53
683,2020-07-17,16.55,16.92,16.25,16.72
682,2020-07-16,16.93,17.188,16.49,16.65
681,2020-07-15,16.85,17.26,16.59,16.93
680,2020-07-14,16.45,16.47,16.23,16.39
679,2020-07-13,16.76,16.785,16.15,16.36
678,2020-07-10,16.1,16.54,15.89,16.54
677,2020-07-09,16.56,16.77,15.73,15.93
676,2020-07-08,16.46,16.6,16.075,16.4
675,2020-07-07,17.11,17.11,16.3,16.37
674,2020-07-06,18.12,18.12,17.22,17.37
673,2020-07-02,18.38,19.24,17.67,17.73
672,2020-07-01,18.43,18.43,17.82,17.92
671,2020-06-30,17.9,18.63,17.66,18.49
670,2020-06-29,16.73,17.98,15.8298,17.79
669,2020-06-26,17.48,17.48,16.48,16.71
668,2020-06-25,17.39,17.86,17.11,17.49
667,2020-06-24,17.81,18.235,17.11,17.28
666,2020-06-23,17.89,18.12,17.63,18.05
