,Date,Open,High,Low,Close
5314,2020-12-14,53.615,53.615,52.61,52.94
5313,2020-12-11,54.41,54.41,52.16,52.4
5312,2020-12-10,54.26,54.26,53.46,53.94
5311,2020-12-09,54.6,54.9,53.8,53.99
5310,2020-12-08,52.35,54.235,52.27,54.06
5309,2020-12-07,52.99,53.5,52.77,53.0
5308,2020-12-04,53.15,53.58,52.63,53.3
5307,2020-12-03,52.49,54.16,52.35,52.95
5306,2020-12-02,56.45,56.45,51.8,52.5
5305,2020-12-01,56.04,56.87,54.69,56.08
5304,2020-11-30,56.7,56.7,54.8,55.22
5303,2020-11-27,54.0,57.18,54.0,56.51
5302,2020-11-25,53.68,55.48,52.325,54.21
5301,2020-11-24,50.4,52.9,50.4,52.24
5300,2020-11-23,49.59,50.25,48.4097,50.17
5299,2020-11-20,49.49,50.03,48.82,49.4
5298,2020-11-19,49.48,50.28,48.99,50.0
5297,2020-11-18,49.97,50.61,49.53,49.62
5296,2020-11-17,48.73,50.68,48.73,49.8
5295,2020-11-16,48.9,49.83,48.59,49.77
5294,2020-11-13,47.29,48.09,46.93,47.74
5293,2020-11-12,47.76,47.86,45.23,46.65
5292,2020-11-11,50.96,51.175,47.16,48.1
5291,2020-11-10,51.31,51.31,49.47,50.54
5290,2020-11-09,51.64,56.0299,50.42,50.79
5289,2020-11-06,49.47,49.83,48.3202,48.94
5288,2020-11-05,48.9,49.87,47.19,49.45
5287,2020-11-04,46.92,48.9,46.47,48.81
5286,2020-11-03,46.48,47.895,45.98,46.89
5285,2020-11-02,43.78,46.22,43.78,45.94
5284,2020-10-30,44.0,44.4,42.0,43.39
5283,2020-10-29,41.22,42.385,40.19,41.41
5282,2020-10-28,41.05,42.91,40.49,41.31
5281,2020-10-27,44.07,44.9,41.17,42.0
5280,2020-10-26,44.54,44.87,42.21,44.17
5279,2020-10-23,44.61,45.8,44.23,45.4
5278,2020-10-22,43.84,44.58,41.74,44.29
5277,2020-10-21,45.29,45.49,43.51,43.67
5276,2020-10-20,45.85,46.48,45.15,45.5
5275,2020-10-19,47.01,47.27,45.19,45.44
5274,2020-10-16,46.4,47.25,46.31,46.41
5273,2020-10-15,45.27,46.85,45.175,46.59
5272,2020-10-14,46.33,47.69,45.89,46.06
5271,2020-10-13,45.72,46.65,45.18,46.37
5270,2020-10-12,45.65,47.09,45.65,46.25
5269,2020-10-09,47.255,47.255,46.02,46.49
5268,2020-10-08,46.96,46.96,45.57,46.34
5267,2020-10-07,46.29,46.98,45.5,46.43
5266,2020-10-06,46.19,47.34,45.42,45.62
5265,2020-10-05,46.62,49.4899,45.0,45.84
5264,2020-10-02,43.8,45.91,43.8,45.66
5263,2020-10-01,44.8,45.21,44.24,45.01
5262,2020-09-30,44.44,46.0,44.3,44.6
5261,2020-09-29,46.03,46.03,43.6,44.12
5260,2020-09-28,45.9,47.495,45.11,45.99
5259,2020-09-25,43.9,45.51,43.9,45.28
5258,2020-09-24,44.34,45.59,43.49,44.28
5257,2020-09-23,46.4,47.25,43.97,44.43
5256,2020-09-22,44.33,46.61,43.75,46.52
5255,2020-09-21,44.11,44.36,42.57,44.21
5254,2020-09-18,46.52,47.26,45.11,45.36
5253,2020-09-17,45.94,47.05,45.68,46.05
5252,2020-09-16,47.24,48.29,46.58,46.71
5251,2020-09-15,46.5,47.72,46.098,47.16
5250,2020-09-14,44.94,46.87,44.94,46.41
5249,2020-09-11,45.93,45.93,44.26,44.41
5248,2020-09-10,45.74,47.35,45.28,45.28
5247,2020-09-09,45.8,46.02,44.79,45.28
5246,2020-09-08,45.44,47.0,45.21,45.32
5245,2020-09-04,47.08,47.34,44.59,46.29
5244,2020-09-03,47.18,47.49,45.51,46.04
5243,2020-09-02,47.98,48.0,46.57,47.0
5242,2020-09-01,45.95,47.86,45.95,47.77
5241,2020-08-31,48.0,48.0,45.4074,46.01
5240,2020-08-28,46.11,47.86,45.95,47.86
5239,2020-08-27,45.84,45.995,45.33,45.74
5238,2020-08-26,44.08,45.76,43.84,45.49
5237,2020-08-25,44.12,44.58,43.68,44.07
5236,2020-08-24,43.41,44.25,42.9,43.94
5235,2020-08-21,43.87,44.75,43.16,43.405
5234,2020-08-20,43.06,44.21,43.06,43.89
5233,2020-08-19,44.0,44.39,43.38,43.69
5232,2020-08-18,44.26,44.26,43.01,43.75
5231,2020-08-17,44.2,44.35,43.28,44.11
5230,2020-08-14,43.66,44.245,40.3395,44.14
5229,2020-08-13,44.2,44.9,43.33,43.98
5228,2020-08-12,44.46,44.9,43.69,44.55
5227,2020-08-11,43.0,44.07,42.42,43.915
5226,2020-08-10,40.81,42.88,40.81,42.12
5225,2020-08-07,39.54,41.46,38.5504,40.34
5224,2020-08-06,37.99,39.8,37.93,39.8
5223,2020-08-05,38.4,38.5,36.89,37.98
5222,2020-08-04,37.45,38.11,37.39,37.79
5221,2020-08-03,36.32,37.62,35.98,37.55
5220,2020-07-31,37.21,37.21,35.86,36.19
5219,2020-07-30,35.93,37.69,35.93,37.22
5218,2020-07-29,35.49,37.42,35.49,36.75
5217,2020-07-28,34.6,36.22,34.6,35.22
5216,2020-07-27,36.12,36.24,34.26,34.83
5215,2020-07-24,34.8,35.65,34.29,35.45
5214,2020-07-23,36.27,36.4541,33.78,34.91
5213,2020-07-22,34.53,35.54,33.5059,34.54
5212,2020-07-21,34.32,35.39,33.82,35.01
5211,2020-07-20,34.86,35.14,33.4,33.57
5210,2020-07-17,35.18,36.2,34.67,35.15
5209,2020-07-16,35.75,35.75,34.66,35.15
5208,2020-07-15,33.81,36.57,33.79,36.28
5207,2020-07-14,32.5,33.08,31.9,32.69
5206,2020-07-13,32.39,33.98,31.51,32.23
5205,2020-07-10,31.23,32.0,31.2,32.0
5204,2020-07-09,31.85,31.97,30.29,31.33
5203,2020-07-08,32.19,32.56,30.94,31.98
5202,2020-07-07,33.71,34.09,31.97,32.1
5201,2020-07-06,35.0,35.0,33.76,34.3
5200,2020-07-02,34.97,35.31,34.16,34.36
5199,2020-07-01,34.13,35.65,33.67,33.91
5198,2020-06-30,33.91,34.26,33.75,34.08
5197,2020-06-29,33.09,34.8,31.85,34.05
5196,2020-06-26,34.43,34.49,32.25,32.33
5195,2020-06-25,35.17,35.71,34.1,34.71
5194,2020-06-24,36.26,36.46,34.82,35.5
5193,2020-06-23,37.12,37.34,36.33,37.2
5192,2020-06-22,35.4,36.28,34.75,36.24
5191,2020-06-19,37.53,37.84,35.42,35.74
5190,2020-06-18,37.0,37.77,36.5718,36.78
5189,2020-06-17,38.4,38.4,37.11,37.35
5188,2020-06-16,40.11,40.36,37.63,38.33
5187,2020-06-15,34.51,38.85,34.51,37.63
5186,2020-06-12,37.77,38.4899,35.61,36.0
5185,2020-06-11,38.14,38.6299,35.25,35.49
5184,2020-06-10,42.18,42.18,38.81,40.4
5183,2020-06-09,42.54,43.025,41.29,42.3
5182,2020-06-08,42.18,43.4,42.17,43.33
5181,2020-06-05,43.93,45.0,41.83,42.17
5180,2020-06-04,41.86,42.8578,41.55,42.08
5179,2020-06-03,41.26,42.81,41.26,42.23
5178,2020-06-02,41.04,41.09,39.76,40.47
5177,2020-06-01,40.4,42.49,40.4,40.64
5176,2020-05-29,39.7,40.2,38.26,40.14
5175,2020-05-28,40.98,42.9947,40.07,40.22
5174,2020-05-27,39.75,41.2899,39.11,40.69
5173,2020-05-26,38.63,39.1921,37.68,38.12
5172,2020-05-22,36.59,37.57,35.87,37.0
5171,2020-05-21,36.01,37.5,35.79,36.6
5170,2020-05-20,33.7,36.63,33.33,35.9
5169,2020-05-19,32.68,34.1,31.9,33.0
5168,2020-05-18,32.17,33.5,32.16,32.73
5167,2020-05-15,29.49,30.78,28.86,30.34
5166,2020-05-14,27.52,29.89,26.5,29.77
5165,2020-05-13,29.95,30.02,27.58,28.34
5164,2020-05-12,32.71,32.71,30.07,30.15
5163,2020-05-11,33.08,33.25,31.33,32.6
5162,2020-05-08,32.32,33.96,31.31,33.89
5161,2020-05-07,30.55,31.44,29.94,31.34
5160,2020-05-06,30.34,30.68,29.46,29.82
5159,2020-05-05,31.37,32.05,29.91,30.11
5158,2020-05-04,30.02,31.0,29.138,30.54
5157,2020-05-01,32.06,32.12,29.85,30.81
5156,2020-04-30,34.67,34.67,33.04,33.34
5155,2020-04-29,32.89,35.54,32.89,35.37
5154,2020-04-28,32.33,33.8,31.51,32.74
5153,2020-04-27,29.46,32.7,29.215,30.83
5152,2020-04-24,26.72,27.58,25.74,27.45
5151,2020-04-23,24.67,26.4005,24.17,26.02
5150,2020-04-22,26.05,27.39,25.0,25.52
5149,2020-04-21,24.23,25.45,23.1629,25.17
5148,2020-04-20,26.17,27.09,24.86,25.11
5147,2020-04-17,26.57,27.94,26.46,27.1
5146,2020-04-16,26.71,26.71,24.48,25.11
5145,2020-04-15,27.28,27.63,26.01,26.38
