,Date,Open,High,Low,Close
793,2020-12-14,342.21,351.41,338.61,340.12
792,2020-12-11,313.0,341.455,312.95,340.0
791,2020-12-10,277.08,319.37,277.08,319.06
790,2020-12-09,280.1,305.7,274.95,280.01
789,2020-12-08,281.7069,287.45,278.33,282.98
788,2020-12-07,281.0,287.96,275.55,280.46
787,2020-12-04,274.56,278.0,271.17,277.63
786,2020-12-03,267.85,278.43,267.64,272.01
785,2020-12-02,270.57,271.14,260.775,267.91
784,2020-12-01,282.01,283.325,270.53,275.3
783,2020-11-30,272.99,289.79,272.0,287.31
782,2020-11-27,269.9,276.27,267.61,270.02
781,2020-11-25,262.79,266.46,257.5,265.4
780,2020-11-24,264.99,266.04,262.17,264.6
779,2020-11-23,262.05,269.09,258.07,265.35
778,2020-11-20,259.02,268.04,258.765,264.28
777,2020-11-19,247.4,265.0,243.6,255.11
776,2020-11-18,249.27,258.0,240.73,247.34
775,2020-11-17,244.72,252.71,244.161,248.34
774,2020-11-16,239.46,249.91,239.01,242.94
773,2020-11-13,253.55,254.43,244.179,246.86
772,2020-11-12,246.36,254.49,245.62,251.02
771,2020-11-11,234.87,248.15,231.34,245.09
770,2020-11-10,237.57,238.42,219.51,230.06
769,2020-11-09,246.5,255.66,237.86,239.89
768,2020-11-06,253.0,253.42,245.56,252.4
767,2020-11-05,247.13,254.43,241.17,253.15
766,2020-11-04,241.18,245.25,234.89,244.67
765,2020-11-03,225.38,231.1391,223.05,226.97
764,2020-11-02,227.0,230.9114,219.84,224.18
763,2020-10-30,232.57,236.51,223.96,228.47
762,2020-10-29,243.65,245.0,235.39,235.69
761,2020-10-28,240.77,242.4,234.5,240.04
760,2020-10-27,243.68,248.42,241.54,244.01
759,2020-10-26,250.0,250.2,239.52,240.1
758,2020-10-23,246.5,249.565,243.1201,248.0
757,2020-10-22,250.0,251.8242,240.88,245.75
756,2020-10-21,259.53,260.43,247.56,248.84
755,2020-10-20,262.68,267.6289,255.41,256.68
754,2020-10-19,270.51,273.01,264.61,265.24
753,2020-10-16,271.8,272.56,265.53,267.3
752,2020-10-15,256.22,271.88,253.96,269.87
751,2020-10-14,271.0,272.55,261.83,265.19
750,2020-10-13,268.0,271.65,264.25,268.15
749,2020-10-12,265.0,268.05,261.66,263.2
748,2020-10-09,252.56,262.66,252.56,259.07
747,2020-10-08,255.01,257.49,248.81,252.86
746,2020-10-07,248.96,259.627,248.96,253.11
745,2020-10-06,236.0,246.72,235.97,246.41
744,2020-10-05,234.21,239.89,232.02,238.69
743,2020-10-02,224.47,237.8,224.23,234.32
742,2020-10-01,232.23,237.93,229.51,235.78
741,2020-09-30,230.31,236.5,228.12,231.51
740,2020-09-29,230.95,233.89,226.34,232.09
739,2020-09-28,233.0,236.47,225.25,230.95
738,2020-09-25,219.9553,234.29,218.5,233.18
737,2020-09-24,216.72,220.13,211.29,218.56
736,2020-09-23,221.47,225.34,217.86,219.01
735,2020-09-22,224.5,224.5,214.56,222.91
734,2020-09-21,209.0,222.865,208.74,222.54
733,2020-09-18,209.35,215.8,205.0,214.35
732,2020-09-17,202.7,208.865,200.5,208.65
731,2020-09-16,214.0,214.19,205.31,205.69
730,2020-09-15,214.47,215.87,207.38,213.6
729,2020-09-14,210.77,216.265,209.17,211.03
728,2020-09-11,212.45,213.0,204.28,207.38
727,2020-09-10,216.28,220.15,208.295,209.64
726,2020-09-09,216.24,218.47,210.4136,215.58
725,2020-09-08,206.5,217.695,204.51,210.72
724,2020-09-04,218.97,221.9,201.32,214.51
723,2020-09-03,241.85,242.5333,215.1,221.94
722,2020-09-02,255.01,258.05,238.5,239.53
721,2020-09-01,235.12,254.763,234.02,250.72
720,2020-08-31,226.5,235.25,226.29,233.8
719,2020-08-28,229.2,233.0,225.52,225.91
718,2020-08-27,227.84,229.82,223.1601,227.21
717,2020-08-26,221.0,232.56,220.99,228.84
716,2020-08-25,210.98,218.3225,208.74,216.33
715,2020-08-24,219.0,219.97,208.14,210.99
714,2020-08-21,218.7,220.14,215.08,216.66
713,2020-08-20,211.58,221.92,210.04,219.8
712,2020-08-19,210.42,215.06,204.695,212.69
711,2020-08-18,208.56,210.76,204.15,209.75
710,2020-08-17,200.2,205.41,199.34,204.99
709,2020-08-14,200.6,201.34,196.32,199.13
708,2020-08-13,195.99,203.92,195.99,199.47
707,2020-08-12,192.0,195.07,189.245,195.0
706,2020-08-11,191.89,199.34,186.27,191.68
705,2020-08-10,202.01,202.01,189.26,191.8
704,2020-08-07,211.0,211.75,195.13,199.65
703,2020-08-06,217.61,218.29,211.0,213.75
702,2020-08-05,215.0,218.32,212.23,217.74
701,2020-08-04,219.99,219.99,211.615,214.66
