,Date,Open,High,Low,Close
3489,2020-12-14,120.94,126.82,117.09,120.73
3488,2020-12-11,120.6,122.84,118.84,119.43
3487,2020-12-10,120.24,123.47,118.1111,120.44
3486,2020-12-09,116.4,120.86,116.4,119.09
3485,2020-12-08,121.2,123.7,119.78,122.6
3484,2020-12-07,120.9,123.4,119.73,120.83
3483,2020-12-04,117.51,121.03,115.5001,118.47
3482,2020-12-03,116.73,119.18,113.99,118.33
3481,2020-12-02,116.65,118.97,114.7231,117.14
3480,2020-12-01,118.08,119.73,116.01,117.1
3479,2020-11-30,119.74,120.99,115.825,116.79
3478,2020-11-27,112.94,120.07,112.0,119.11
3477,2020-11-25,114.06,114.48,111.81,111.94
3476,2020-11-24,114.77,115.29,111.4,113.26
3475,2020-11-23,115.87,115.87,110.49,113.04
3474,2020-11-20,113.49,115.84,113.02,114.87
3473,2020-11-19,114.01,116.82,112.96,114.55
3472,2020-11-18,120.68,120.75,113.52,114.02
3471,2020-11-17,120.98,121.16,117.28,120.22
3470,2020-11-16,129.42,129.42,120.12,120.93
3469,2020-11-13,129.14,131.98,127.255,128.09
3468,2020-11-12,125.69,128.32,124.7,128.21
3467,2020-11-11,131.28,131.28,123.9601,126.06
3466,2020-11-10,128.79,134.54,126.72,130.01
3465,2020-11-09,127.05,129.02,124.08,127.52
3464,2020-11-06,127.56,129.99,123.66,123.89
3463,2020-11-05,132.76,136.8131,126.71,126.89
3462,2020-11-04,129.27,137.28,129.27,132.99
3461,2020-11-03,128.2,131.83,126.93,128.0
3460,2020-11-02,128.5,129.33,121.64,127.3
3459,2020-10-30,128.29,131.77,124.52,127.25
3458,2020-10-29,128.82,131.78,126.7,128.32
3457,2020-10-28,130.45,131.45,127.79,128.46
3456,2020-10-27,129.4,133.87,128.3104,132.97
3455,2020-10-26,130.45,132.84,126.78,128.96
3454,2020-10-23,132.42,132.98,129.41,130.99
3453,2020-10-22,128.52,133.5,127.09,131.38
3452,2020-10-21,127.65,128.11,125.89,127.09
