,Date,Open,High,Low,Close
158,2020-12-14,0.35,0.3999,0.35,0.364
157,2020-12-11,0.285,0.4,0.285,0.35
156,2020-12-10,0.35,0.4,0.28,0.28
155,2020-12-09,0.35,0.395,0.3,0.3
154,2020-12-08,0.38,0.4,0.31,0.32
153,2020-12-07,0.1899,0.1899,0.15,0.15
152,2020-12-04,0.2,0.2,0.165,0.1899
151,2020-12-03,0.17,0.265,0.1525,0.2289
150,2020-12-02,0.16,0.16,0.1526,0.1566
149,2020-12-01,0.19,0.19,0.19,0.19
148,2020-11-30,0.2199,0.2199,0.2199,0.2199
147,2020-11-27,0.2199,0.2199,0.2199,0.2199
146,2020-11-25,0.2199,0.2199,0.2199,0.2199
145,2020-11-24,0.2199,0.2199,0.2199,0.2199
144,2020-11-23,0.1525,0.2199,0.1525,0.2199
143,2020-11-20,0.2198,0.2198,0.2198,0.2198
142,2020-11-19,0.2198,0.2198,0.2198,0.2198
141,2020-11-18,0.1525,0.2253,0.0839,0.2198
140,2020-11-17,0.2,0.2,0.2,0.2
139,2020-11-16,0.23,0.23,0.21,0.21
138,2020-11-13,0.17,0.2199,0.17,0.1925
137,2020-11-12,0.172,0.175,0.1661,0.17
136,2020-11-11,0.1824,0.19,0.15,0.17
135,2020-11-10,0.1824,0.1824,0.1824,0.1824
134,2020-11-09,0.17,0.1824,0.17,0.1824
133,2020-11-06,0.1975,0.1975,0.13,0.13
132,2020-11-05,0.15,0.1775,0.15,0.17
131,2020-11-04,0.125,0.1499,0.125,0.1465
130,2020-11-03,0.1674,0.1674,0.15,0.15
129,2020-11-02,0.15,0.1674,0.0908,0.1674
128,2020-10-30,0.1497,0.1497,0.1497,0.1497
127,2020-10-29,0.1612,0.2,0.15,0.1945
126,2020-10-28,0.2041,0.2041,0.2041,0.2041
125,2020-10-27,0.22,0.2474,0.15,0.2079
124,2020-10-26,0.22,0.2424,0.19,0.2424
123,2020-10-23,0.249,0.249,0.249,0.249
122,2020-10-22,0.16,0.25,0.1511,0.249
121,2020-10-21,0.2,0.2,0.2,0.2
120,2020-10-20,0.2,0.2,0.2,0.2
119,2020-10-19,0.2174,0.2174,0.2174,0.2174
118,2020-10-16,0.2174,0.2174,0.2174,0.2174
117,2020-10-15,0.2174,0.2174,0.2174,0.2174
116,2020-10-14,0.2,0.2174,0.2,0.2174
115,2020-10-13,0.2351,0.2351,0.2351,0.2351
114,2020-10-12,0.2351,0.2351,0.2351,0.2351
113,2020-10-09,0.1516,0.2377,0.1516,0.2351
112,2020-10-08,0.2149,0.2149,0.2149,0.2149
111,2020-10-07,0.2149,0.2149,0.2149,0.2149
110,2020-10-06,0.21,0.2149,0.16,0.2149
109,2020-10-05,0.21,0.21,0.21,0.21
108,2020-10-02,0.3,0.3,0.21,0.21
107,2020-10-01,0.2974,0.2974,0.21,0.2474
106,2020-09-30,0.1801,0.2675,0.18,0.2075
105,2020-09-29,0.3,0.3,0.3,0.3
104,2020-09-28,0.1901,0.29,0.1801,0.28
103,2020-09-25,0.2702,0.2702,0.2702,0.2702
102,2020-09-24,0.26,0.3,0.1611,0.2702
101,2020-09-23,0.2863,0.3,0.2863,0.2999
100,2020-09-22,0.33,0.34,0.32,0.34
99,2020-09-21,0.428,0.428,0.428,0.428
98,2020-09-18,0.35,0.44,0.32,0.428
97,2020-09-17,0.3969,0.3969,0.3969,0.3969
96,2020-09-16,0.3,0.3969,0.3,0.3969
95,2020-09-15,0.2999,0.3995,0.2999,0.3995
94,2020-09-14,0.2802,0.3388,0.26,0.3388
93,2020-09-11,0.35,0.4199,0.2605,0.3385
92,2020-09-10,0.3399,0.3399,0.3399,0.3399
91,2020-09-09,0.272,0.35,0.2688,0.3399
90,2020-09-08,0.265,0.2651,0.225,0.2599
89,2020-09-04,0.32,0.32,0.32,0.32
88,2020-09-03,0.274,0.29,0.274,0.29
87,2020-09-02,0.26,0.3,0.26,0.3
86,2020-09-01,0.2701,0.3499,0.27,0.3
85,2020-08-31,0.28,0.33,0.28,0.33
84,2020-08-28,0.29,0.32,0.26,0.26
83,2020-08-27,0.3087,0.3087,0.3087,0.3087
