,Date,Open,High,Low,Close
1850,2020-12-14,11.72,11.72,11.14,11.35
1849,2020-12-11,11.56,11.6,11.14,11.55
1848,2020-12-10,11.46,11.6,11.2729,11.55
1847,2020-12-09,11.09,11.48,11.0013,11.48
1846,2020-12-08,10.88,11.25,10.86,11.15
1845,2020-12-07,10.89,10.9,10.7,10.84
1844,2020-12-04,10.57,10.88,10.46,10.84
1843,2020-12-03,10.56,10.7,10.5466,10.6
1842,2020-12-02,10.47,10.5942,10.42,10.53
1841,2020-12-01,10.13,10.5,9.8201,10.47
1840,2020-11-30,10.43,10.43,9.91,9.97
1839,2020-11-27,10.5,10.5,10.3811,10.41
1838,2020-11-25,10.11,10.5,10.11,10.5
1837,2020-11-24,10.1,10.28,9.94,10.05
1836,2020-11-23,10.08,10.155,9.91,9.99
1835,2020-11-20,10.22,10.34,9.81,9.96
1834,2020-11-19,9.8,10.25,9.73,10.13
1833,2020-11-18,9.99,10.05,9.8,9.94
1832,2020-11-17,9.75,10.0,9.41,9.89
1831,2020-11-16,9.6,9.94,9.535,9.89
1830,2020-11-13,9.39,9.58,9.27,9.58
1829,2020-11-12,9.12,9.52,8.82,9.33
1828,2020-11-11,9.66,9.66,9.09,9.2
1827,2020-11-10,9.13,9.2688,8.65,9.08
1826,2020-11-09,9.09,9.39,8.92,9.25
1825,2020-11-06,8.6834,8.79,8.6,8.71
1824,2020-11-05,8.19,8.86,8.19,8.78
1823,2020-11-04,8.25,8.34,8.0,8.07
1822,2020-11-03,8.53,8.53,8.34,8.42
1821,2020-11-02,8.61,8.61,8.33,8.45
1820,2020-10-30,8.42,8.56,8.2466,8.53
1819,2020-10-29,8.22,8.715,8.22,8.49
1818,2020-10-28,8.12,8.2,7.87,8.2
1817,2020-10-27,7.89,8.24,7.89,8.2
1816,2020-10-26,8.22,8.3,7.84,7.92
1815,2020-10-23,8.57,8.73,8.24,8.25
1814,2020-10-22,8.15,8.37,8.04,8.28
1813,2020-10-21,8.3,8.3001,7.965,8.1
1812,2020-10-20,8.49,8.49,8.26,8.29
1811,2020-10-19,8.61,8.62,8.43,8.45
1810,2020-10-16,8.57,8.7,8.57,8.62
1809,2020-10-15,8.5,8.685,8.49,8.59
1808,2020-10-14,8.62,8.77,8.58,8.61
1807,2020-10-13,8.67,8.92,8.63,8.69
1806,2020-10-12,9.07,9.07,8.7,8.76
1805,2020-10-09,9.15,9.18,8.82,8.96
1804,2020-10-08,8.8,8.85,8.7301,8.8
1803,2020-10-07,8.54,8.8,8.52,8.7
1802,2020-10-06,8.75,8.765,8.475,8.5
1801,2020-10-05,8.57,8.805,8.56,8.71
1800,2020-10-02,8.57,8.825,8.57,8.62
1799,2020-10-01,8.8997,9.0,8.74,8.74
1798,2020-09-30,8.82,8.96,8.71,8.94
1797,2020-09-29,8.89,8.95,8.67,8.8
1796,2020-09-28,8.55,8.99,8.42,8.88
1795,2020-09-25,8.55,8.5999,8.43,8.52
1794,2020-09-24,8.16,8.57,8.1,8.5
1793,2020-09-23,8.48,8.52,8.15,8.25
1792,2020-09-22,8.5,8.61,8.45,8.47
1791,2020-09-21,8.51,8.57,8.225,8.55
1790,2020-09-18,8.71,8.7173,8.43,8.7
1789,2020-09-17,8.88,8.8899,8.675,8.73
1788,2020-09-16,8.97,9.18,8.82,9.02
1787,2020-09-15,9.04,9.1,8.88,9.0
1786,2020-09-14,9.2,9.2,8.94,8.94
1785,2020-09-11,9.51,9.51,9.15,9.15
1784,2020-09-10,9.43,9.61,9.39,9.52
