,Date,Open,High,Low,Close
5314,2020-12-14,6.14,6.2,6.07,6.08
5313,2020-12-11,6.13,6.15,6.11,6.12
5312,2020-12-10,6.11,6.15,6.11,6.14
5311,2020-12-09,6.1,6.12,6.09,6.11
5310,2020-12-08,6.05,6.09,6.0105,6.08
5309,2020-12-07,6.04,6.08,6.02,6.05
5308,2020-12-04,6.09,6.1,6.02,6.03
5307,2020-12-03,6.02,6.1,6.02,6.06
5306,2020-12-02,6.08,6.12,6.01,6.02
5305,2020-12-01,6.04,6.13,6.03,6.11
5304,2020-11-30,6.02,6.04,5.9941,6.04
5303,2020-11-27,6.02,6.03,5.95,6.01
5302,2020-11-25,5.97,6.02,5.95,6.0
5301,2020-11-24,5.94,5.97,5.9345,5.97
5300,2020-11-23,5.91,5.95,5.91,5.93
5299,2020-11-20,5.94,5.94,5.9,5.91
5298,2020-11-19,5.91,5.94,5.9,5.91
5297,2020-11-18,5.95,5.95,5.9,5.92
5296,2020-11-17,5.93,5.95,5.88,5.92
5295,2020-11-16,5.94,5.98,5.92,5.98
5294,2020-11-13,5.96,6.0198,5.92,5.94
5293,2020-11-12,6.04,6.04,5.95,5.95
5292,2020-11-11,5.99,6.08,5.96,6.06
5291,2020-11-10,5.94,5.985,5.92,5.98
5290,2020-11-09,5.89,5.93,5.885,5.92
5289,2020-11-06,5.86,5.87,5.86,5.86
5288,2020-11-05,5.81,5.89,5.81,5.86
5287,2020-11-04,5.79,5.82,5.79,5.8
5286,2020-11-03,5.75,5.855,5.73,5.76
5285,2020-11-02,5.72,5.76,5.7046,5.74
5284,2020-10-30,5.74,5.74,5.67,5.67
5283,2020-10-29,5.66,5.73,5.66,5.71
5282,2020-10-28,5.73,5.73,5.65,5.66
5281,2020-10-27,5.74,5.75,5.73,5.74
5280,2020-10-26,5.7,5.72,5.65,5.69
5279,2020-10-23,5.71,5.75,5.7,5.72
5278,2020-10-22,5.72,5.73,5.7,5.7
5277,2020-10-21,5.75,5.7601,5.72,5.72
5276,2020-10-20,5.75,5.8,5.71,5.78
5275,2020-10-19,5.7,5.76,5.7,5.75
5274,2020-10-16,5.76,5.76,5.69,5.69
5273,2020-10-15,5.74,5.7503,5.71,5.75
5272,2020-10-14,5.82,5.82,5.75,5.76
5271,2020-10-13,5.86,5.86,5.77,5.8
5270,2020-10-12,5.87,5.93,5.85,5.91
5269,2020-10-09,5.88,5.89,5.8502,5.88
5268,2020-10-08,5.87,5.92,5.8,5.8
5267,2020-10-07,5.82,5.9,5.82,5.86
5266,2020-10-06,5.78,5.82,5.77,5.77
5265,2020-10-05,5.76,5.81,5.76,5.77
5264,2020-10-02,5.68,5.78,5.68,5.77
5263,2020-10-01,5.64,5.71,5.64,5.69
5262,2020-09-30,5.75,5.76,5.62,5.62
5261,2020-09-29,5.74,5.74,5.68,5.71
5260,2020-09-28,5.74,5.76,5.7002,5.74
5259,2020-09-25,5.75,5.75,5.68,5.71
5258,2020-09-24,5.78,5.78,5.72,5.73
5257,2020-09-23,5.9,5.9,5.74,5.75
5256,2020-09-22,5.9,5.9195,5.88,5.88
5255,2020-09-21,5.92,5.94,5.9,5.9
5254,2020-09-18,5.96,5.96,5.92,5.92
5253,2020-09-17,5.91,5.98,5.9,5.98
5252,2020-09-16,5.95,5.95,5.9,5.92
5251,2020-09-15,5.9,5.93,5.9,5.92
5250,2020-09-14,5.96,6.0,5.92,5.94
5249,2020-09-11,5.92,5.94,5.91,5.93
5248,2020-09-10,6.0,6.01,5.9,5.94
5247,2020-09-09,5.98,6.01,5.92,5.99
5246,2020-09-08,5.86,5.97,5.86,5.95
5245,2020-09-04,5.99,6.01,5.86,5.98
5244,2020-09-03,6.09,6.09,5.95,6.03
5243,2020-09-02,6.06,6.12,6.02,6.1
5242,2020-09-01,5.83,6.08,5.7666,6.08
5241,2020-08-31,5.92,5.92,5.82,5.85
5240,2020-08-28,5.92,5.92,5.87,5.89
5239,2020-08-27,5.91,5.95,5.88,5.92
5238,2020-08-26,5.89,5.92,5.85,5.89
5237,2020-08-25,5.92,5.92,5.8708,5.91
5236,2020-08-24,5.91,5.92,5.9,5.91
5235,2020-08-21,5.91,5.91,5.89,5.9
5234,2020-08-20,5.85,5.91,5.85,5.91
5233,2020-08-19,5.89,5.9,5.8477,5.86
5232,2020-08-18,5.95,5.95,5.88,5.89
5231,2020-08-17,5.92,5.96,5.92,5.96
5230,2020-08-14,5.91,5.9399,5.91,5.92
5229,2020-08-13,5.95,6.01,5.93,5.94
5228,2020-08-12,5.92,5.93,5.9,5.93
5227,2020-08-11,5.95,5.97,5.89,5.92
5226,2020-08-10,5.9,5.96,5.9,5.96
5225,2020-08-07,5.83,5.93,5.83,5.92
5224,2020-08-06,5.81,5.86,5.7981,5.86
5223,2020-08-05,5.84,5.84,5.79,5.82
5222,2020-08-04,5.82,5.84,5.81,5.81
5221,2020-08-03,5.83,5.9,5.83,5.83
5220,2020-07-31,5.82,5.84,5.81,5.82
5219,2020-07-30,5.8,5.8,5.77,5.78
5218,2020-07-29,5.77,5.82,5.7546,5.8
5217,2020-07-28,5.69,5.76,5.69,5.75
5216,2020-07-27,5.65,5.72,5.65,5.68
5215,2020-07-24,5.65,5.69,5.64,5.67
5214,2020-07-23,5.6,5.66,5.6,5.66
5213,2020-07-22,5.6,5.63,5.59,5.6
5212,2020-07-21,5.63,5.63,5.6,5.61
5211,2020-07-20,5.61,5.61,5.59,5.59
5210,2020-07-17,5.58,5.62,5.58,5.6
5209,2020-07-16,5.59,5.65,5.57,5.59
5208,2020-07-15,5.6,5.61,5.58,5.61
5207,2020-07-14,5.57,5.58,5.53,5.57
5206,2020-07-13,5.65,5.66,5.6,5.61
5205,2020-07-10,5.62,5.64,5.6,5.62
5204,2020-07-09,5.69,5.69,5.62,5.62
5203,2020-07-08,5.71,5.71,5.66,5.69
5202,2020-07-07,5.71,5.72,5.67,5.7
5201,2020-07-06,5.71,5.73,5.65,5.73
5200,2020-07-02,5.68,5.7,5.65,5.67
5199,2020-07-01,5.56,5.69,5.56,5.63
5198,2020-06-30,5.64,5.67,5.58,5.58
5197,2020-06-29,5.68,5.68,5.6,5.62
5196,2020-06-26,5.68,5.7,5.64,5.65
5195,2020-06-25,5.64,5.73,5.61,5.73
5194,2020-06-24,5.74,5.74,5.63,5.63
5193,2020-06-23,5.74,5.76,5.72,5.76
5192,2020-06-22,5.71,5.74,5.68,5.73
