,Date,Open,High,Low,Close
1949,2020-12-14,32.75,33.49,32.57,33.11
1948,2020-12-11,32.16,32.91,31.81,32.61
1947,2020-12-10,31.6,32.485,31.25,32.25
1946,2020-12-09,32.32,32.87,31.7,31.74
1945,2020-12-08,33.69,34.55,33.35,34.0
1944,2020-12-07,33.29,34.28,33.05,33.94
1943,2020-12-04,33.27,33.71,32.89,33.25
1942,2020-12-03,34.42,34.78,33.01,33.03
1941,2020-12-02,33.87,34.56,32.95,34.29
1940,2020-12-01,34.8,34.8,33.805,34.04
1939,2020-11-30,33.82,34.84,33.3,34.46
1938,2020-11-27,33.37,33.92,33.02,33.82
1937,2020-11-25,32.02,33.5,31.85,33.36
1936,2020-11-24,32.27,32.27,31.3,32.01
1935,2020-11-23,32.14,32.43,31.06,32.18
1934,2020-11-20,31.85,32.2,31.08,31.83
1933,2020-11-19,31.98,32.3,31.25,32.03
1932,2020-11-18,31.1,32.33,30.89,32.16
1931,2020-11-17,31.05,31.36,29.92,30.96
1930,2020-11-16,32.62,32.62,30.8,31.0
1929,2020-11-13,33.96,34.05,32.27,32.62
1928,2020-11-12,31.77,33.6,31.77,33.59
1927,2020-11-11,29.16,32.36,28.98,32.16
1926,2020-11-10,35.67,36.19,35.05,35.47
1925,2020-11-09,36.5,37.69,35.42,35.46
1924,2020-11-06,36.04,36.215,34.8701,35.59
1923,2020-11-05,36.4,37.35,35.985,36.1
1922,2020-11-04,36.15,36.8647,35.67,35.94
1921,2020-11-03,36.09,36.8,35.2,35.25
1920,2020-11-02,35.43,35.77,34.59,35.68
1919,2020-10-30,34.88,35.25,34.8295,35.23
1918,2020-10-29,35.03,35.38,34.95,35.17
1917,2020-10-28,35.71,35.89,34.65,35.0
1916,2020-10-27,35.65,36.93,35.47,36.31
1915,2020-10-26,35.08,35.51,34.7,35.45
1914,2020-10-23,35.3,35.63,35.0,35.38
1913,2020-10-22,35.26,35.3,34.58,35.21
1912,2020-10-21,35.92,35.92,34.675,35.08
1911,2020-10-20,35.99,36.27,35.465,35.71
1910,2020-10-19,36.18,36.75,35.91,36.03
1909,2020-10-16,35.78,36.1,35.39,35.87
1908,2020-10-15,34.8,35.87,34.52,35.83
1907,2020-10-14,35.97,36.38,34.9681,35.31
1906,2020-10-13,35.42,36.24,35.23,35.72
1905,2020-10-12,36.11,36.11,35.0,35.42
1904,2020-10-09,34.21,37.31,33.05,35.61
1903,2020-10-08,36.22,36.57,35.6,36.22
1902,2020-10-07,35.14,35.7,34.71,35.6
1901,2020-10-06,35.55,36.22,34.92,34.99
1900,2020-10-05,34.58,35.66,34.505,35.49
1899,2020-10-02,35.43,36.36,34.51,34.54
1898,2020-10-01,35.62,36.52,35.46,36.43
1897,2020-09-30,35.72,36.01,35.175,35.28
1896,2020-09-29,36.2,36.4225,35.58,35.82
1895,2020-09-28,36.37,36.81,35.73,36.24
1894,2020-09-25,34.04,35.7,34.04,35.58
1893,2020-09-24,34.56,34.81,33.721,34.27
1892,2020-09-23,36.72,36.9999,34.82,34.82
1891,2020-09-22,36.86,37.025,36.04,36.91
1890,2020-09-21,36.26,36.885,35.92,36.71
1889,2020-09-18,36.9,37.2,36.18,36.93
1888,2020-09-17,35.94,36.55,35.49,36.53
1887,2020-09-16,37.29,37.53,36.43,36.69
1886,2020-09-15,36.75,37.57,36.63,37.38
1885,2020-09-14,35.63,36.45,35.19,36.27
1884,2020-09-11,35.59,35.59,34.61,35.03
1883,2020-09-10,35.94,36.56,35.2,35.25
1882,2020-09-09,35.56,35.81,34.8,35.6
1881,2020-09-08,34.6,35.705,34.6,34.98
1880,2020-09-04,37.39,37.63,34.12,35.91
1879,2020-09-03,39.92,39.92,37.01,37.59
1878,2020-09-02,41.0,41.49,39.75,40.34
1877,2020-09-01,39.4,41.72,39.24,40.89
1876,2020-08-31,39.79,39.95,38.85,39.32
1875,2020-08-28,39.42,39.905,37.71,39.6
1874,2020-08-27,40.24,40.549,39.32,40.18
1873,2020-08-26,40.61,40.91,39.91,40.1
1872,2020-08-25,39.4,40.8287,39.35,40.41
1871,2020-08-24,39.98,40.12,39.165,39.39
1870,2020-08-21,39.8,40.02,39.39,39.63
1869,2020-08-20,39.27,40.62,39.09,40.04
1868,2020-08-19,39.8,40.0,39.28,39.75
1867,2020-08-18,39.79,40.61,39.2801,39.8
1866,2020-08-17,38.82,39.91,38.59,39.85
1865,2020-08-14,39.0,39.29,38.39,38.71
1864,2020-08-13,38.79,39.88,38.79,39.23
1863,2020-08-12,38.65,39.66,38.45,38.94
1862,2020-08-11,39.05,39.44,38.27,38.45
1861,2020-08-10,40.2,40.4,38.69,39.09
1860,2020-08-07,41.12,41.28,39.78,40.27
1859,2020-08-06,40.49,41.36,40.474,41.35
1858,2020-08-05,43.41,44.56,39.54,40.13
1857,2020-08-04,40.59,41.56,39.9501,41.25
1856,2020-08-03,38.71,40.78,38.706,40.71
1855,2020-07-31,37.73,38.47,37.0391,38.46
1854,2020-07-30,37.02,37.96,37.0,37.55
1853,2020-07-29,36.83,37.845,36.765,37.69
1852,2020-07-28,37.17,38.0,36.67,36.74
1851,2020-07-27,36.37,37.43,36.28,37.34
1850,2020-07-24,35.79,36.3672,34.9068,36.29
1849,2020-07-23,36.03,37.285,36.03,36.3
1848,2020-07-22,36.31,36.795,35.61,35.82
1847,2020-07-21,37.34,37.52,36.07,36.22
1846,2020-07-20,35.11,37.0,35.11,36.92
1845,2020-07-17,33.89,35.21,33.81,35.16
1844,2020-07-16,35.59,35.75,33.64,33.81
1843,2020-07-15,37.14,37.26,35.67,35.99
1842,2020-07-14,37.09,37.28,35.48,36.56
1841,2020-07-13,39.11,39.18,37.19,37.34
1840,2020-07-10,39.4,39.4,38.6,38.81
1839,2020-07-09,38.9,39.65,38.44,39.51
1838,2020-07-08,38.38,38.97,38.16,38.94
1837,2020-07-07,38.59,39.06,38.22,38.43
1836,2020-07-06,39.11,39.41,38.32,38.74
1835,2020-07-02,36.58,38.73,36.33,38.21
1834,2020-07-01,34.71,36.1,34.52,35.86
1833,2020-06-30,33.95,34.88,33.95,34.76
1832,2020-06-29,34.03,34.55,33.34,34.02
1831,2020-06-26,34.13,34.57,33.355,33.86
1830,2020-06-25,33.53,34.28,33.27,34.25
1829,2020-06-24,34.19,34.4085,32.93,33.59
1828,2020-06-23,35.4,35.75,34.3,34.74
1827,2020-06-22,32.35,35.125,32.26,34.84
1826,2020-06-19,32.69,32.935,32.27,32.44
1825,2020-06-18,31.64,32.5,31.47,32.45
1824,2020-06-17,32.5,32.68,31.58,31.88
1823,2020-06-16,31.99,32.38,31.35,32.29
1822,2020-06-15,28.82,31.07,28.76,30.91
1821,2020-06-12,30.88,31.36,29.11,29.6
1820,2020-06-11,31.18,31.365,29.6401,29.85
1819,2020-06-10,33.09,33.27,31.74,32.26
1818,2020-06-09,32.76,33.345,32.23,33.1
1817,2020-06-08,32.77,33.15,32.07,33.1
1816,2020-06-05,32.01,32.88,32.01,32.66
1815,2020-06-04,32.01,32.335,30.77,31.66
1814,2020-06-03,32.84,32.84,32.02,32.34
1813,2020-06-02,32.6,32.6,31.17,32.45
1812,2020-06-01,32.01,32.805,31.73,32.61
1811,2020-05-29,30.82,32.2,29.92,32.12
1810,2020-05-28,31.06,31.4,30.38,31.02
1809,2020-05-27,28.96,31.09,28.57,31.02
1808,2020-05-26,29.61,29.75,28.45,28.69
1807,2020-05-22,28.77,28.91,27.68,28.79
1806,2020-05-21,27.97,28.5,27.4614,28.49
1805,2020-05-20,26.18,27.875,25.8,27.77
1804,2020-05-19,29.98,30.56,25.97,26.14
1803,2020-05-18,33.35,33.9,32.04,32.04
1802,2020-05-15,31.4,32.56,31.02,32.43
1801,2020-05-14,30.0,31.49,29.56,31.47
1800,2020-05-13,32.0,32.39,30.35,30.69
1799,2020-05-12,32.88,33.44,31.61,32.14
1798,2020-05-11,31.45,32.85,31.19,32.69
1797,2020-05-08,31.9,32.335,31.12,31.84
1796,2020-05-07,32.96,32.98,31.375,31.45
1795,2020-05-06,29.0,33.5987,28.8,32.09
1794,2020-05-05,27.89,29.045,27.33,27.48
1793,2020-05-04,27.64,28.45,27.36,27.54
1792,2020-05-01,28.14,28.39,27.17,28.05
