,Date,Open,High,Low,Close
5314,2020-12-14,12.16,12.44,12.01,12.2
5313,2020-12-11,11.8,12.03,11.72,12.0
5312,2020-12-10,11.78,12.05,11.51,11.99
5311,2020-12-09,11.75,12.61,11.73,12.11
5310,2020-12-08,11.69,12.07,11.66,11.66
5309,2020-12-07,11.96,12.06,11.47,11.73
5308,2020-12-04,11.27,12.34,11.27,12.12
5307,2020-12-03,11.39,11.39,11.04,11.09
5306,2020-12-02,11.13,11.54,11.0916,11.24
5305,2020-12-01,11.2,11.47,10.96,11.19
5304,2020-11-30,11.1,11.34,10.9,10.92
5303,2020-11-27,11.51,11.53,10.93,11.18
5302,2020-11-25,11.43,11.63,11.05,11.61
5301,2020-11-24,11.85,11.98,11.52,11.67
5300,2020-11-23,11.0,11.61,10.92,11.5
5299,2020-11-20,10.62,10.85,10.25,10.84
5298,2020-11-19,11.03,11.3299,10.53,10.78
5297,2020-11-18,11.87,11.96,11.13,11.15
5296,2020-11-17,11.4,11.82,11.1,11.76
5295,2020-11-16,10.88,11.61,10.55,11.6
5294,2020-11-13,10.11,10.64,10.05,10.59
5293,2020-11-12,10.01,10.21,9.8306,10.06
5292,2020-11-11,10.5,10.5,10.1,10.16
5291,2020-11-10,10.21,10.63,10.0,10.35
5290,2020-11-09,10.43,10.83,9.89,10.1
5289,2020-11-06,7.62,10.97,7.62,9.62
5288,2020-11-05,6.85,7.64,6.82,7.38
5287,2020-11-04,7.08,7.17,6.71,6.82
5286,2020-11-03,7.0,7.39,6.82,7.25
5285,2020-11-02,6.53,7.0,6.5,6.94
5284,2020-10-30,6.43,6.461,6.27,6.4
5283,2020-10-29,6.17,6.48,6.14,6.46
5282,2020-10-28,6.32,6.34,6.15,6.17
5281,2020-10-27,6.81,6.88,6.45,6.46
5280,2020-10-26,7.11,7.11,6.76,6.83
5279,2020-10-23,7.21,7.36,7.09,7.17
5278,2020-10-22,7.17,7.22,7.04,7.15
5277,2020-10-21,7.19,7.21,7.03,7.12
5276,2020-10-20,7.29,7.44,7.12,7.18
5275,2020-10-19,7.15,7.5,7.12,7.21
5274,2020-10-16,7.17,7.27,7.08,7.13
5273,2020-10-15,6.92,7.2,6.83,7.18
5272,2020-10-14,7.05,7.22,6.97,7.0
5271,2020-10-13,7.12,7.19,7.0,7.08
5270,2020-10-12,7.1,7.25,6.87,7.16
5269,2020-10-09,7.4,7.49,7.1,7.16
5268,2020-10-08,7.72,7.77,7.09,7.3
5267,2020-10-07,7.27,7.61,7.25,7.58
5266,2020-10-06,7.13,7.345,6.9,7.16
5265,2020-10-05,6.72,7.01,6.6859,7.0
5264,2020-10-02,6.25,6.79,6.225,6.62
5263,2020-10-01,6.35,6.515,6.28,6.36
5262,2020-09-30,6.39,6.47,6.18,6.25
5261,2020-09-29,6.29,6.615,6.29,6.42
5260,2020-09-28,6.09,6.39,6.09,6.29
5259,2020-09-25,5.73,6.01,5.7,5.96
5258,2020-09-24,5.75,5.9,5.66,5.82
5257,2020-09-23,6.03,6.18,5.77,5.78
5256,2020-09-22,6.08,6.15,5.8,6.01
5255,2020-09-21,6.21,6.21,5.91,6.01
5254,2020-09-18,6.39,6.41,6.175,6.32
5253,2020-09-17,6.13,6.395,6.1,6.31
5252,2020-09-16,6.42,6.43,6.22,6.24
5251,2020-09-15,6.29,6.44,6.229,6.35
5250,2020-09-14,6.23,6.315,6.14,6.26
5249,2020-09-11,6.08,6.2,5.94,6.15
5248,2020-09-10,6.25,6.31,6.06,6.09
5247,2020-09-09,6.48,6.48,6.11,6.21
5246,2020-09-08,6.67,6.67,6.44,6.44
5245,2020-09-04,6.92,6.93,6.58,6.7
5244,2020-09-03,6.7,6.775,6.63,6.72
5243,2020-09-02,6.79,6.81,6.67,6.7
5242,2020-09-01,6.72,6.79,6.61,6.77
5241,2020-08-31,6.96,6.96,6.77,6.77
5240,2020-08-28,6.94,6.99,6.8,6.91
5239,2020-08-27,6.99,7.09,6.81,6.85
5238,2020-08-26,6.89,6.93,6.72,6.9
5237,2020-08-25,7.01,7.07,6.86,6.94
5236,2020-08-24,6.69,6.95,6.6,6.94
5235,2020-08-21,6.74,6.83,6.61,6.66
5234,2020-08-20,6.68,6.89,6.67,6.86
5233,2020-08-19,6.82,6.91,6.73,6.81
5232,2020-08-18,6.89,6.9,6.75,6.78
5231,2020-08-17,6.93,6.93,6.73,6.91
5230,2020-08-14,6.77,6.96,6.68,6.91
5229,2020-08-13,6.92,7.06,6.83,6.87
5228,2020-08-12,7.12,7.14,6.93,7.0
5227,2020-08-11,6.98,7.2,6.95,7.06
5226,2020-08-10,6.85,7.03,6.81,6.91
5225,2020-08-07,6.58,6.98,6.5531,6.83
5224,2020-08-06,6.85,6.9135,6.36,6.61
5223,2020-08-05,5.96,7.38,5.96,6.77
5222,2020-08-04,5.68,5.79,5.64,5.71
5221,2020-08-03,5.42,5.7,5.41,5.66
5220,2020-07-31,5.27,5.715,5.155,5.44
5219,2020-07-30,5.36,5.385,5.13,5.36
5218,2020-07-29,5.15,5.61,5.14,5.5
5217,2020-07-28,5.12,5.16,5.0,5.09
5216,2020-07-27,5.12,5.19,5.02,5.15
5215,2020-07-24,5.21,5.3,5.13,5.15
5214,2020-07-23,5.09,5.35,5.09,5.21
5213,2020-07-22,5.04,5.23,5.04,5.1
5212,2020-07-21,5.17,5.23,5.0,5.12
5211,2020-07-20,5.17,5.21,5.02,5.07
5210,2020-07-17,5.24,5.3,5.15,5.23
5209,2020-07-16,5.3,5.3,5.08,5.21
5208,2020-07-15,5.25,5.35,5.13,5.3
5207,2020-07-14,4.96,5.08,4.85,5.02
5206,2020-07-13,5.05,5.15,4.93,4.95
5205,2020-07-10,4.78,5.04,4.75,4.99
5204,2020-07-09,4.89,4.91,4.71,4.78
5203,2020-07-08,5.08,5.12,4.82,4.91
5202,2020-07-07,5.26,5.29,5.15,5.16
5201,2020-07-06,5.64,5.65,5.13,5.35
5200,2020-07-02,5.56,5.59,5.36,5.49
5199,2020-07-01,5.56,5.6,5.34,5.36
5198,2020-06-30,5.32,5.54,5.2,5.52
5197,2020-06-29,5.06,5.4,5.02,5.4
5196,2020-06-26,4.9,4.98,4.74,4.95
5195,2020-06-25,4.89,5.03,4.72,4.93
5194,2020-06-24,5.31,5.31,4.92,4.97
5193,2020-06-23,5.48,5.51,5.26,5.46
5192,2020-06-22,5.08,5.35,5.0,5.33
5191,2020-06-19,5.27,5.32,4.97,5.18
5190,2020-06-18,5.0,5.34,4.985,5.27
5189,2020-06-17,5.42,5.42,5.07,5.13
5188,2020-06-16,5.61,5.62,5.28,5.47
5187,2020-06-15,5.08,5.32,4.93,5.23
5186,2020-06-12,5.41,5.52,5.1,5.35
5185,2020-06-11,5.45,5.6,5.02,5.06
5184,2020-06-10,6.63,6.63,5.77,5.78
5183,2020-06-09,6.91,6.91,6.55,6.63
5182,2020-06-08,6.66,6.99,6.66,6.94
5181,2020-06-05,6.28,6.67,6.23,6.49
5180,2020-06-04,5.68,6.16,5.68,6.02
5179,2020-06-03,5.62,6.0,5.62,5.77
5178,2020-06-02,5.38,5.67,5.31,5.47
5177,2020-06-01,5.39,5.58,5.26,5.34
5176,2020-05-29,4.91,5.62,4.75,5.35
5175,2020-05-28,5.45,5.45,5.0674,5.08
5174,2020-05-27,5.16,5.45,4.9801,5.44
5173,2020-05-26,4.65,5.22,4.6,5.01
5172,2020-05-22,4.15,4.44,4.05,4.42
5171,2020-05-21,3.93,4.37,3.9,4.07
5170,2020-05-20,3.83,4.0,3.81,3.92
5169,2020-05-19,3.74,3.99,3.56,3.79
5168,2020-05-18,3.65,4.0,3.58,3.69
5167,2020-05-15,3.54,3.64,3.4701,3.54
5166,2020-05-14,3.58,3.67,3.29,3.54
5165,2020-05-13,3.9,3.97,3.54,3.74
5164,2020-05-12,4.15,4.19,3.96,3.99
5163,2020-05-11,4.11,4.21,4.0,4.13
5162,2020-05-08,4.32,4.41,4.2,4.2
5161,2020-05-07,4.1,4.27,4.0616,4.18
5160,2020-05-06,4.13,4.21,3.94,4.01
