,Date,Open,High,Low,Close
954,2020-12-14,3.07,3.2,3.01,3.18
953,2020-12-11,3.01,3.02,2.85,2.98
952,2020-12-10,2.94,3.1,2.85,3.02
951,2020-12-09,3.29,3.3,2.98,3.02
950,2020-12-08,3.45,3.4822,3.21,3.34
949,2020-12-07,3.25,3.62,3.07,3.42
948,2020-12-04,3.27,3.43,3.16,3.3
947,2020-12-03,3.03,3.29,2.93,3.26
946,2020-12-02,3.16,3.16,2.71,2.97
945,2020-12-01,2.7,3.49,2.7,3.24
944,2020-11-30,2.3751,2.7,2.27,2.65
943,2020-11-27,2.32,2.39,2.255,2.27
942,2020-11-25,2.36,2.4299,2.25,2.26
941,2020-11-24,2.52,2.56,2.31,2.4
940,2020-11-23,2.17,2.53,2.1,2.44
939,2020-11-20,2.0,2.08,1.96,2.05
938,2020-11-19,2.04,2.08,1.95,2.01
937,2020-11-18,2.18,2.18,2.01,2.04
936,2020-11-17,2.12,2.245,1.95,2.16
935,2020-11-16,1.8,1.95,1.79,1.86
934,2020-11-13,1.85,1.85,1.71,1.8
933,2020-11-12,1.9,1.94,1.81,1.84
932,2020-11-11,1.99,2.0,1.8,1.95
931,2020-11-10,2.25,2.33,1.97,2.13
930,2020-11-09,1.85,2.1199,1.76,2.04
929,2020-11-06,2.31,2.46,1.71,1.89
928,2020-11-05,1.3,1.37,1.2821,1.34
927,2020-11-04,1.22,1.34,1.22,1.27
926,2020-11-03,1.2774,1.29,1.22,1.24
925,2020-11-02,1.25,1.29,1.245,1.25
924,2020-10-30,1.31,1.31,1.16,1.23
923,2020-10-29,1.37,1.37,1.29,1.34
922,2020-10-28,1.38,1.44,1.32,1.35
921,2020-10-27,1.36,1.52,1.36,1.44
920,2020-10-26,1.46,1.46,1.35,1.3698
919,2020-10-23,1.4716,1.4895,1.44,1.4502
918,2020-10-22,1.55,1.55,1.44,1.5
917,2020-10-21,1.49,1.63,1.47,1.51
916,2020-10-20,1.36,1.48,1.3507,1.45
915,2020-10-19,1.39,1.39,1.3316,1.35
914,2020-10-16,1.4,1.4094,1.355,1.39
913,2020-10-15,1.43,1.43,1.35,1.38
912,2020-10-14,1.44,1.46,1.42,1.43
911,2020-10-13,1.46,1.4741,1.41,1.44
910,2020-10-12,1.45,1.52,1.45,1.4827
909,2020-10-09,1.41,1.46,1.38,1.46
908,2020-10-08,1.41,1.44,1.36,1.41
907,2020-10-07,1.42,1.45,1.36,1.41
906,2020-10-06,1.5,1.5,1.41,1.44
905,2020-10-05,1.49,1.49,1.41,1.45
904,2020-10-02,1.41,1.49,1.38,1.49
903,2020-10-01,1.47,1.47,1.38,1.47
902,2020-09-30,1.47,1.49,1.415,1.44
901,2020-09-29,1.5,1.5167,1.45,1.47
900,2020-09-28,1.45,1.53,1.44,1.52
899,2020-09-25,1.54,1.54,1.4297,1.45
898,2020-09-24,1.5,1.506,1.36,1.46
897,2020-09-23,1.52,1.54,1.47,1.51
896,2020-09-22,1.58,1.5952,1.5,1.55
895,2020-09-21,1.57,1.6199,1.51,1.58
894,2020-09-18,1.62,1.65,1.6,1.63
893,2020-09-17,1.58,1.62,1.57,1.59
892,2020-09-16,1.62,1.67,1.5737,1.64
891,2020-09-15,1.74,1.74,1.55,1.65
890,2020-09-14,1.79,1.7901,1.67,1.68
889,2020-09-11,1.6,1.8099,1.6,1.78
888,2020-09-10,1.55,1.5956,1.55,1.59
887,2020-09-09,1.58,1.58,1.52,1.55
886,2020-09-08,1.53,1.56,1.41,1.54
885,2020-09-04,1.54,1.59,1.35,1.51
884,2020-09-03,1.64,1.7001,1.56,1.58
883,2020-09-02,1.71,1.71,1.61,1.63
882,2020-09-01,1.73,1.8,1.66,1.7
881,2020-08-31,1.83,1.84,1.68,1.73
880,2020-08-28,1.7,1.8,1.695,1.76
879,2020-08-27,1.8,1.84,1.625,1.71
878,2020-08-26,1.75,1.84,1.7,1.72
877,2020-08-25,1.65,1.85,1.6008,1.71
876,2020-08-24,1.61,1.65,1.55,1.56
875,2020-08-21,1.62,1.62,1.56,1.6
874,2020-08-20,1.64,1.64,1.53,1.62
873,2020-08-19,1.72,1.72,1.6,1.65
872,2020-08-18,1.73,1.78,1.7,1.72
871,2020-08-17,1.88,1.8999,1.67,1.76
870,2020-08-14,1.89,1.98,1.71,1.9
869,2020-08-13,1.93,2.01,1.88,1.88
868,2020-08-12,2.08,2.11,1.82,1.94
867,2020-08-11,2.19,2.2038,2.04,2.11
866,2020-08-10,2.35,2.35,2.14,2.22
865,2020-08-07,2.31,2.37,2.18,2.29
864,2020-08-06,2.2,2.42,2.17,2.4
863,2020-08-05,2.05,2.27,2.0301,2.14
862,2020-08-04,2.03,2.05,1.99,2.05
861,2020-08-03,2.06,2.2,1.99,2.13
860,2020-07-31,1.97,2.2,1.96,1.98
859,2020-07-30,2.02,2.08,1.92,1.99
858,2020-07-29,2.05,2.09,1.93,2.03
857,2020-07-28,1.93,2.35,1.85,2.0
856,2020-07-27,2.31,2.35,2.03,2.09
855,2020-07-24,1.71,2.36,1.71,2.18
854,2020-07-23,1.52,1.94,1.51,1.89
853,2020-07-22,1.53,1.56,1.4,1.4
852,2020-07-21,1.63,1.79,1.49,1.55
851,2020-07-20,1.34,1.56,1.24,1.56
850,2020-07-17,1.35,1.35,1.2,1.29
849,2020-07-16,1.4,1.46,1.13,1.32
848,2020-07-15,2.56,3.15,1.26,1.39
847,2020-07-14,0.89,0.95,0.882,0.925
846,2020-07-13,0.94,0.96,0.9,0.915
845,2020-07-10,0.944,0.965,0.93,0.934
844,2020-07-09,0.967,0.98,0.93,0.958
843,2020-07-08,0.964,0.985,0.93,0.945
842,2020-07-07,1.0,1.04,0.955,0.965
841,2020-07-06,1.01,1.05,0.932,1.04
840,2020-07-02,0.996,0.997,0.91,0.932
839,2020-07-01,0.92,0.96,0.91,0.958
838,2020-06-30,0.92,0.966,0.9,0.942
837,2020-06-29,0.88,0.954,0.88,0.9198
836,2020-06-26,0.92,0.94,0.8806,0.8833
835,2020-06-25,0.966,0.9746,0.9353,0.9486
834,2020-06-24,0.97,0.98,0.8921,0.9408
833,2020-06-23,1.0,1.01,0.9406,0.9792
832,2020-06-22,1.0,1.08,0.8936,0.9999
831,2020-06-19,1.15,1.15,1.01,1.04
830,2020-06-18,1.1,1.1,1.05,1.05
829,2020-06-17,1.17,1.2,1.06,1.12
828,2020-06-16,1.14,1.2,1.12,1.17
827,2020-06-15,1.1,1.1251,1.0,1.1
826,2020-06-12,1.11,1.2,1.09,1.149
825,2020-06-11,1.39,1.39,0.99,1.05
824,2020-06-10,1.25,1.48,1.23,1.32
823,2020-06-09,1.05,1.18,1.04,1.179
822,2020-06-08,1.03,1.08,1.02,1.04
821,2020-06-05,0.992,1.06,0.9808,0.99
820,2020-06-04,0.9655,1.15,0.88,0.99
819,2020-06-03,1.0,1.0,0.905,0.9711
818,2020-06-02,0.9499,1.08,0.901,0.9749
817,2020-06-01,0.9,0.9119,0.85,0.885
816,2020-05-29,0.9119,0.9119,0.84,0.862
815,2020-05-28,0.9201,0.928,0.87,0.8752
814,2020-05-27,0.915,0.9498,0.9,0.93
813,2020-05-26,0.9511,1.03,0.9,0.9298
812,2020-05-22,0.945,0.99,0.94,0.99
811,2020-05-21,0.88,0.9682,0.86,0.9201
810,2020-05-20,0.837,0.8788,0.82,0.8401
809,2020-05-19,0.86,0.935,0.815,0.837
808,2020-05-18,0.83,0.89,0.81,0.8403
807,2020-05-15,0.847,0.8772,0.8,0.836
806,2020-05-14,0.9301,0.9943,0.8,0.87
805,2020-05-13,0.8517,0.975,0.8081,0.89
804,2020-05-12,1.02,1.02,0.8855,0.8937
803,2020-05-11,1.07,1.129,0.992,1.02
802,2020-05-08,0.93,1.34,0.87,1.05
801,2020-05-07,0.79,1.02,0.75,1.0
800,2020-05-06,0.7342,0.77,0.734,0.77
799,2020-05-05,0.8024,0.8024,0.7516,0.7596
798,2020-05-04,0.836,0.836,0.7248,0.78
797,2020-05-01,0.88,0.88,0.8,0.8
796,2020-04-30,0.8855,0.8855,0.83,0.8499
795,2020-04-29,0.9,0.929,0.82,0.8434
794,2020-04-28,0.932,0.932,0.8,0.9
793,2020-04-27,0.9346,0.94,0.85,0.8798
792,2020-04-24,0.9,0.94,0.8901,0.8901
791,2020-04-23,0.95,0.95,0.8,0.906
790,2020-04-22,0.95,0.9862,0.91,0.95
789,2020-04-21,1.02,1.02,0.8884,0.95
788,2020-04-20,1.0,1.03,0.92,0.99
787,2020-04-17,0.96,1.02,0.88,0.96
786,2020-04-16,0.9,0.96,0.842,0.926
785,2020-04-15,1.0,1.0,0.85,0.9101
784,2020-04-14,1.02,1.03,0.91,0.953
