,Date,Open,High,Low,Close
1869,2020-12-14,240.93,249.42,234.84,234.85
1868,2020-12-11,239.25,243.36,237.19,238.29
1867,2020-12-10,230.85,245.31,230.11,240.27
1866,2020-12-09,242.92,244.02,231.0,232.01
1865,2020-12-08,239.99,240.54,235.97,240.22
1864,2020-12-07,237.02,238.35,233.77,236.98
1863,2020-12-04,233.15,235.93,231.4,233.26
1862,2020-12-03,227.17,232.04,227.17,231.51
1861,2020-12-02,232.14,232.205,223.175,226.47
1860,2020-12-01,239.98,244.02,233.4,234.36
1859,2020-11-30,232.0,237.99,230.605,237.85
1858,2020-11-27,226.33,234.0,225.27,232.54
1857,2020-11-25,224.63,227.235,222.755,225.46
1856,2020-11-24,228.79,228.79,221.43,223.41
1855,2020-11-23,228.63,229.05,222.6406,225.0
1854,2020-11-20,224.81,232.8,224.21,226.89
1853,2020-11-19,227.28,231.39,223.7875,226.87
1852,2020-11-18,231.44,234.98,224.3,225.42
1851,2020-11-17,221.88,231.07,218.02,229.66
1850,2020-11-16,231.0,231.0,222.72,229.27
1849,2020-11-13,235.0,236.92,228.465,229.0
1848,2020-11-12,229.69,240.0,229.69,232.31
1847,2020-11-11,229.99,230.6,221.19,229.36
1846,2020-11-10,218.62,225.0,215.02,224.06
1845,2020-11-09,230.67,239.0,223.29,227.22
1844,2020-11-06,237.51,237.51,230.36,230.67
1843,2020-11-05,238.68,239.0,229.98,236.6
1842,2020-11-04,220.3,240.58,219.85,234.68
1841,2020-11-03,215.02,222.6,213.6,221.05
1840,2020-11-02,214.23,218.71,204.87,216.11
1839,2020-10-30,214.36,225.06,213.56,217.14
1838,2020-10-29,205.69,222.255,201.11,219.97
1837,2020-10-28,203.0,211.065,200.3,202.25
1836,2020-10-27,189.66,210.0,187.01,209.16
1835,2020-10-26,194.42,211.5,193.01,196.68
1834,2020-10-23,180.6,184.05,177.8,180.2
1833,2020-10-22,183.93,189.44,178.48,180.25
1832,2020-10-21,191.92,193.49,182.72,184.94
1831,2020-10-20,195.68,197.98,187.715,189.04
1830,2020-10-19,199.69,203.77,192.55,194.89
1829,2020-10-16,194.85,200.38,194.025,198.62
1828,2020-10-15,189.32,198.57,186.97,194.47
1827,2020-10-14,195.88,199.54,191.0,191.58
1826,2020-10-13,184.64,195.0,182.66,193.52
1825,2020-10-12,184.46,186.3,182.53,184.5
1824,2020-10-09,178.66,185.0,178.43,183.3
1823,2020-10-08,182.44,187.26,179.75,184.67
1822,2020-10-07,174.51,182.42,172.0022,180.17
1821,2020-10-06,168.5,176.255,168.5,171.59
1820,2020-10-05,164.47,170.31,164.29,168.49
1819,2020-10-02,167.0,170.4893,162.05,162.05
1818,2020-10-01,169.39,171.63,166.51,169.89
1817,2020-09-30,165.58,173.05,165.1108,166.05
1816,2020-09-29,167.69,169.29,165.3,166.05
1815,2020-09-28,167.3,170.46,164.43,166.99
1814,2020-09-25,160.72,167.51,158.06,167.27
1813,2020-09-24,158.17,162.385,155.51,161.03
1812,2020-09-23,163.82,168.63,159.25,159.49
1811,2020-09-22,162.13,164.23,158.6,163.79
1810,2020-09-21,160.4,163.38,156.11,162.15
1809,2020-09-18,159.0,164.98,154.72,161.09
1808,2020-09-17,159.39,171.48,157.82,161.97
1807,2020-09-16,158.61,165.36,158.61,162.56
1806,2020-09-15,148.01,161.365,144.01,157.65
1805,2020-09-14,140.0,146.98,139.685,145.74
1804,2020-09-11,134.65,137.07,130.605,132.11
1803,2020-09-10,141.01,145.0,133.22,133.24
1802,2020-09-09,138.26,143.66,138.23,139.91
1801,2020-09-08,136.14,140.96,134.15,136.15
1800,2020-09-04,140.92,141.04,132.74,138.42
1799,2020-09-03,143.67,145.205,138.99,139.73
1798,2020-09-02,150.43,151.14,143.41,144.16
1797,2020-09-01,149.64,152.37,148.7,149.87
1796,2020-08-31,150.73,153.24,149.02,149.37
1795,2020-08-28,148.92,153.39,147.525,149.28
1794,2020-08-27,149.845,150.0,146.5,147.63
1793,2020-08-26,149.65,150.29,148.46,148.91
1792,2020-08-25,146.49,150.99,146.0,148.59
1791,2020-08-24,145.0,149.45,144.1201,148.83
1790,2020-08-21,144.0,145.9,142.61,144.99
1789,2020-08-20,143.21,145.5,142.275,143.84
1788,2020-08-19,139.0,145.89,137.15,143.66
1787,2020-08-18,143.72,144.86,134.76,140.78
1786,2020-08-17,139.0,145.0,136.73,144.25
1785,2020-08-14,137.61,138.79,135.285,138.75
1784,2020-08-13,132.0,138.73,130.08,137.88
1783,2020-08-12,126.67,132.98,125.92,131.59
1782,2020-08-11,131.16,131.16,125.38,125.81
1781,2020-08-10,130.05,134.83,126.98,130.79
1780,2020-08-07,130.71,137.29,127.99,128.88
1779,2020-08-06,125.0,130.14,123.66,129.56
1778,2020-08-05,126.41,127.55,123.41,125.5
1777,2020-08-04,125.8,127.25,121.79,124.06
1776,2020-08-03,122.73,127.95,121.74,127.08
1775,2020-07-31,120.56,122.73,117.68,121.31
1774,2020-07-30,116.15,124.86,116.08,121.61
1773,2020-07-29,120.5,120.5,115.44,116.09
1772,2020-07-28,120.08,121.16,118.9,119.17
1771,2020-07-27,116.81,120.67,116.01,120.39
1770,2020-07-24,118.75,120.0,115.895,116.54
1769,2020-07-23,122.79,123.6,118.59,119.73
1768,2020-07-22,123.51,124.99,120.5557,122.84
1767,2020-07-21,129.98,129.98,124.1,124.26
1766,2020-07-20,125.01,129.35,124.77,128.16
1765,2020-07-17,121.6,125.68,121.6,125.02
1764,2020-07-16,122.73,124.0,120.76,122.13
1763,2020-07-15,122.0,124.31,117.57,123.3
1762,2020-07-14,113.58,120.91,110.17,120.29
1761,2020-07-13,116.87,118.06,113.06,113.26
1760,2020-07-10,116.0,117.16,113.63,114.93
1759,2020-07-09,119.79,119.99,113.99,115.82
1758,2020-07-08,118.02,119.49,115.58,119.0
1757,2020-07-07,116.22,119.81,114.7,117.38
1756,2020-07-06,119.13,120.0,115.48,116.36
1755,2020-07-02,119.44,119.44,115.73,116.99
1754,2020-07-01,113.94,119.6,113.13,117.57
1753,2020-06-30,114.09,116.85,112.77,114.17
1752,2020-06-29,114.01,118.16,111.38,114.7
1751,2020-06-26,120.0,121.47,111.96,113.51
1750,2020-06-25,118.59,121.9,115.3808,120.39
1749,2020-06-24,115.0,118.28,113.57,118.0
1748,2020-06-23,117.67,119.05,114.885,115.45
1747,2020-06-22,113.79,118.0,111.39,115.96
1746,2020-06-19,109.96,114.79,109.18,114.65
1745,2020-06-18,105.46,110.2299,105.035,108.86
1744,2020-06-17,106.69,109.3,104.99,105.63
1743,2020-06-16,109.0,110.62,106.24,107.75
1742,2020-06-15,100.66,107.425,100.14,107.17
1741,2020-06-12,103.78,105.79,98.76,102.37
1740,2020-06-11,102.51,104.93,100.52,100.69
1739,2020-06-10,105.9,107.29,103.37,104.56
1738,2020-06-09,103.92,107.65,103.38,105.0
1737,2020-06-08,98.74,105.3743,98.0534,104.38
1736,2020-06-05,94.37,98.31,91.9,97.27
1735,2020-06-04,97.37,99.04,93.02,93.41
1734,2020-06-03,100.62,101.12,97.9,97.92
1733,2020-06-02,97.86,101.155,95.29,100.49
1732,2020-06-01,99.55,99.89,96.37,97.57
1731,2020-05-29,103.88,103.88,96.91,99.19
1730,2020-05-28,104.72,105.405,102.53,103.0
1729,2020-05-27,104.88,104.88,97.235,104.02
1728,2020-05-26,103.67,106.62,101.9,104.95
1727,2020-05-22,101.17,101.64,97.79,101.62
1726,2020-05-21,100.65,101.52,96.105,101.0
1725,2020-05-20,100.49,102.76,98.51,102.63
1724,2020-05-19,103.88,109.68,99.86,99.93
1723,2020-05-18,106.49,110.24,105.0,106.0
1722,2020-05-15,99.83,104.39,98.72,103.37
1721,2020-05-14,101.89,104.96,99.64,100.18
1720,2020-05-13,108.42,109.83,101.49,104.59
1719,2020-05-12,107.1,116.86,106.03,108.44
1718,2020-05-11,98.56,106.26,98.52,105.59
1717,2020-05-08,94.87,100.89,94.0,98.62
1716,2020-05-07,93.8,95.15,91.95,93.4
1715,2020-05-06,92.44,93.635,90.82,92.15
1714,2020-05-05,92.32,93.68,90.25,92.01
1713,2020-05-04,82.7,91.38,81.16,91.37
1712,2020-05-01,87.61,87.61,80.36,82.81
1711,2020-04-30,86.81,88.8,83.88,85.04
1710,2020-04-29,91.4,91.4,86.83,87.8
1709,2020-04-28,89.89,90.56,85.72,88.66
1708,2020-04-27,86.29,92.25,86.26,90.0
1707,2020-04-24,83.82,86.45,83.51,85.33
1706,2020-04-23,87.99,90.85,83.48,84.77
1705,2020-04-22,87.94,88.27,84.205,87.51
1704,2020-04-21,93.79,96.5335,85.51,85.62
1703,2020-04-20,89.16,95.66,88.41,95.38
1702,2020-04-17,89.52,92.25,88.84,90.7
1701,2020-04-16,85.77,87.59,84.05,87.07
1700,2020-04-15,83.01,84.855,81.43,82.89
1699,2020-04-14,84.25,87.11,83.2,85.32
1698,2020-04-13,81.66,84.83,80.99,82.0
1697,2020-04-09,79.68,83.07,78.755,81.52
1696,2020-04-08,77.95,79.76,77.21,79.01
1695,2020-04-07,80.57,81.72,76.5,76.84
1694,2020-04-06,76.63,82.42,76.63,78.95
1693,2020-04-03,74.93,76.73,72.23,73.43
1692,2020-04-02,71.5,77.41,70.78,75.38
1691,2020-04-01,74.92,77.0,71.16,72.01
1690,2020-03-31,81.4,81.795,72.89,76.87
1689,2020-03-30,77.21,82.58,73.92,82.25
1688,2020-03-27,77.42,79.9,75.705,76.3
1687,2020-03-26,81.72,85.2,76.97,80.42
1686,2020-03-25,82.05,84.56,79.45,82.81
1685,2020-03-24,75.99,82.12,74.54,81.46
1684,2020-03-23,72.93,76.55,70.42,73.14
1683,2020-03-20,72.86,75.855,70.16,71.71
1682,2020-03-19,69.29,77.3,67.07,72.32
1681,2020-03-18,68.57,77.2,66.01,69.78
1680,2020-03-17,72.86,75.4,69.5601,73.11
1679,2020-03-16,74.21,81.69,69.47,70.13
1678,2020-03-13,78.32,82.5,69.12,81.24
1677,2020-03-12,70.96,78.44,67.8,72.26
1676,2020-03-11,83.77,85.46,76.78,77.37
1675,2020-03-10,85.68,86.98,80.38,86.58
1674,2020-03-09,82.54,87.36,82.54,83.76
1673,2020-03-06,86.92,91.41,85.65,88.24
1672,2020-03-05,93.48,94.5,88.25,89.18
1671,2020-03-04,93.82,95.99,91.14,95.88
1670,2020-03-03,95.28,96.93,89.06,91.43
1669,2020-03-02,90.75,95.74,86.92,95.23
1668,2020-02-28,81.3,89.67,81.3,89.49
1667,2020-02-27,86.81,88.68,83.47,84.41
1666,2020-02-26,85.18,89.5,84.51,88.67
1665,2020-02-25,87.1,90.57,82.06,84.63
1664,2020-02-24,89.99,91.95,87.65,88.72
1663,2020-02-21,93.93,95.49,91.96,94.46
1662,2020-02-20,96.8,97.04,92.465,93.98
1661,2020-02-19,97.57,99.34,96.55,97.49
1660,2020-02-18,92.28,97.89,92.28,96.72
1659,2020-02-14,94.42,95.0256,91.39,92.17
1658,2020-02-13,95.21,97.44,94.02,94.6
1657,2020-02-12,94.2,96.83,92.71,95.67
1656,2020-02-11,95.52,97.49,93.55,94.66
1655,2020-02-10,92.64,97.0,92.64,94.94
1654,2020-02-07,92.51,94.04,91.29,92.8
1653,2020-02-06,92.0,94.485,91.51,93.0
1652,2020-02-05,90.81,92.87,89.12,91.74
1651,2020-02-04,90.13,90.66,89.18,89.98
1650,2020-02-03,87.48,90.085,87.07,88.77
1649,2020-01-31,86.61,87.37,84.12,86.83
1648,2020-01-30,86.75,87.828,83.26,87.02
1647,2020-01-29,90.6,90.79,86.16,87.58
1646,2020-01-28,90.16,92.73,88.07,90.41
1645,2020-01-27,88.45,91.34,87.94,89.86
1644,2020-01-24,90.53,92.73,89.81,90.98
1643,2020-01-23,90.5,90.87,87.69,89.33
1642,2020-01-22,93.12,94.72,90.84,90.99
1641,2020-01-21,97.0,98.2951,92.7,93.03
1640,2020-01-17,97.74,99.49,94.35,97.05
1639,2020-01-16,98.23,99.1,95.2,97.43
1638,2020-01-15,98.37,101.36,97.74,98.04
1637,2020-01-14,98.32,98.86,96.23,96.71
1636,2020-01-13,97.98,100.64,96.5,98.99
1635,2020-01-10,101.01,102.975,97.5,98.01
1634,2020-01-09,98.0,102.96,93.7801,98.44
1633,2020-01-08,102.67,105.67,100.87,104.74
1632,2020-01-07,112.0,112.075,96.01,102.77
1631,2020-01-06,111.53,114.36,108.42,114.33
1630,2020-01-03,113.5,116.04,111.78,113.2
1629,2020-01-02,129.76,132.59,115.55,116.21
1628,2019-12-31,127.98,130.01,126.44,128.86
1627,2019-12-30,127.43,128.98,124.6,128.43
1626,2019-12-27,128.35,129.44,125.06,128.43
1625,2019-12-26,127.27,129.57,127.075,127.41
1624,2019-12-24,128.13,128.735,124.7,126.94
1623,2019-12-23,123.25,128.61,120.06,128.13
1622,2019-12-20,116.33,123.82,115.24,122.74
1621,2019-12-19,112.55,116.9,111.285,116.03
1620,2019-12-18,116.33,119.0,111.64,112.42
1619,2019-12-17,113.25,117.39,112.1,116.45
1618,2019-12-16,113.0,115.36,110.909,112.72
1617,2019-12-13,106.0,112.34,106.0,112.25
1616,2019-12-12,105.07,108.32,101.14,106.12
1615,2019-12-11,108.32,109.49,104.8,105.74
1614,2019-12-10,103.57,108.77,103.0225,108.23
1613,2019-12-09,103.4,105.51,102.74,103.97
1612,2019-12-06,105.4,109.74,101.57,102.62
1611,2019-12-05,105.91,106.995,103.18,104.8
1610,2019-12-04,105.33,106.83,103.44,105.59
1609,2019-12-03,97.39,104.99,97.39,104.8
1608,2019-12-02,100.71,103.8,99.81,100.78
1607,2019-11-29,98.99,101.5,98.3757,100.77
1606,2019-11-27,96.0,99.47,95.695,99.435
1605,2019-11-26,95.61,96.24,91.65,95.97
1604,2019-11-25,88.15,95.61,88.15,95.56
1603,2019-11-22,89.81,89.81,85.3801,87.03
1602,2019-11-21,94.52,94.52,88.825,89.03
1601,2019-11-20,94.74,97.8,93.1,94.35
1600,2019-11-19,93.42,96.215,91.06,95.76
1599,2019-11-18,95.54,95.945,91.85,92.63
1598,2019-11-15,103.67,104.559,95.3,95.96
1597,2019-11-14,100.81,103.48,100.43,103.17
1596,2019-11-13,103.58,104.9,100.15,100.73
1595,2019-11-12,102.44,106.43,102.44,104.33
1594,2019-11-11,104.59,106.41,102.08,103.18
1593,2019-11-08,98.79,104.84,96.99,104.78
1592,2019-11-07,99.0,101.23,97.855,98.0
1591,2019-11-06,98.01,98.4,96.07,98.15
1590,2019-11-05,97.07,99.53,93.87,97.79
1589,2019-11-04,100.56,101.76,96.78,97.25
1588,2019-11-01,94.93,100.15,93.72,100.04
1587,2019-10-31,93.31,95.81,92.13,94.18
1586,2019-10-30,94.6,96.39,91.68,94.89
1585,2019-10-29,94.87,99.99,92.0,95.1
1584,2019-10-28,81.48,83.47,76.24,81.47
1583,2019-10-25,76.14,83.38,75.95,80.84
