,Date,Open,High,Low,Close
5314,2020-12-14,27.24,27.27,26.5692,26.87
5313,2020-12-11,27.4,27.69,26.93,27.27
5312,2020-12-10,26.35,27.69,26.2,27.69
5311,2020-12-09,26.61,26.975,26.05,26.34
5310,2020-12-08,25.51,26.69,25.37,26.49
5309,2020-12-07,25.72,25.865,25.1,25.52
5308,2020-12-04,25.0,25.96,24.9698,25.72
5307,2020-12-03,24.72,25.0,24.23,24.87
5306,2020-12-02,24.34,24.8047,24.12,24.47
5305,2020-12-01,23.92,24.39,23.82,24.06
5304,2020-11-30,24.39,24.5999,23.61,23.7
5303,2020-11-27,23.95,24.25,23.8728,24.09
5302,2020-11-25,23.39,23.9199,23.31,23.7
5301,2020-11-24,24.06,24.2,23.644,23.76
5300,2020-11-23,23.1,24.45,22.46,23.85
5299,2020-11-20,22.32,23.23,22.2,23.07
5298,2020-11-19,21.65,22.04,21.47,22.04
5297,2020-11-18,22.26,22.615,21.54,21.6
5296,2020-11-17,21.73,22.19,21.705,22.02
5295,2020-11-16,21.68,21.95,21.15,21.79
5294,2020-11-13,21.0,21.51,20.98,21.23
5293,2020-11-12,20.96,21.1299,20.5,20.71
5292,2020-11-11,22.15,22.1878,20.75,20.99
5291,2020-11-10,22.0,22.391,21.47,22.01
5290,2020-11-09,22.6,22.6,21.69,21.73
5289,2020-11-06,22.38,22.38,21.3,21.34
5288,2020-11-05,21.35,22.3,21.35,22.1
5287,2020-11-04,22.56,22.71,21.2985,21.33
5286,2020-11-03,23.0,23.34,22.8,22.91
5285,2020-11-02,22.87,23.74,22.76,22.84
5284,2020-10-30,23.48,23.6929,22.72,22.74
5283,2020-10-29,23.21,23.894,22.95,23.81
5282,2020-10-28,23.9,24.23,23.0,23.86
5281,2020-10-27,24.09,24.49,23.8764,24.15
5280,2020-10-26,23.95,24.45,23.44,24.09
5279,2020-10-23,23.89,24.5,23.82,24.16
5278,2020-10-22,23.36,24.05,23.36,23.87
5277,2020-10-21,23.37,23.82,22.85,22.96
5276,2020-10-20,23.31,24.09,23.31,23.45
5275,2020-10-19,23.5,24.36,23.46,23.47
5274,2020-10-16,24.42,24.5805,23.33,23.53
5273,2020-10-15,23.1,24.71,22.73,24.7
5272,2020-10-14,23.3,23.575,23.21,23.44
5271,2020-10-13,22.4,23.87,21.92,23.365
5270,2020-10-12,22.21,23.178,22.1323,22.59
5269,2020-10-09,23.1,23.45,22.43,22.51
5268,2020-10-08,22.5,23.79,22.39,23.1
5267,2020-10-07,22.08,22.44,22.08,22.42
5266,2020-10-06,22.2,22.49,21.72,22.08
5265,2020-10-05,21.59,22.21,21.59,22.2
5264,2020-10-02,20.81,21.785,20.63,21.47
5263,2020-10-01,21.24,21.44,20.76,21.1
5262,2020-09-30,21.49,21.62,21.04,21.22
5261,2020-09-29,21.52,21.62,21.1209,21.62
5260,2020-09-28,20.5,21.7494,20.5,21.66
5259,2020-09-25,20.03,20.67,20.03,20.37
5258,2020-09-24,20.3,20.625,20.0418,20.07
5257,2020-09-23,20.61,20.71,20.0501,20.54
5256,2020-09-22,20.68,21.3,20.405,20.57
5255,2020-09-21,20.59,20.9,20.07,20.83
5254,2020-09-18,21.21,21.74,20.7807,21.15
5253,2020-09-17,20.98,21.6002,20.77,21.21
5252,2020-09-16,20.84,21.41,20.5003,21.26
5251,2020-09-15,21.24,21.42,20.72,20.8
5250,2020-09-14,20.43,21.25,20.27,21.17
5249,2020-09-11,20.4,20.63,20.1019,20.22
5248,2020-09-10,19.92,20.54,19.92,20.17
5247,2020-09-09,19.93,20.34,19.71,19.87
5246,2020-09-08,19.91,20.7399,19.72,19.9
5245,2020-09-04,19.95,20.87,19.35,20.48
5244,2020-09-03,20.11,20.21,19.65,19.76
5243,2020-09-02,20.12,20.4,20.065,20.19
5242,2020-09-01,19.87,20.1,19.66,20.05
5241,2020-08-31,20.06,20.32,19.77,19.87
5240,2020-08-28,19.46,20.2,19.4027,20.0
5239,2020-08-27,19.87,20.09,19.3,19.32
5238,2020-08-26,19.94,20.15,19.77,19.78
5237,2020-08-25,20.1,20.1,19.7412,19.91
5236,2020-08-24,20.07,20.25,19.86,20.16
5235,2020-08-21,19.73,19.94,19.53,19.94
5234,2020-08-20,19.33,19.81,19.1234,19.8
5233,2020-08-19,19.89,19.9699,19.35,19.51
5232,2020-08-18,19.72,20.07,19.5601,19.9
5231,2020-08-17,19.75,19.9,19.44,19.7
