,Date,Open,High,Low,Close
1286,2020-12-14,26.2,26.38,26.03,26.2218
1285,2020-12-11,26.2,26.275,26.2,26.21
1284,2020-12-10,26.08,26.46,26.0,26.28
1283,2020-12-09,25.95,26.135,25.9324,26.0999
1282,2020-12-08,25.9875,26.05,25.8405,26.0319
1281,2020-12-07,26.14,26.15,25.85,25.95
1280,2020-12-04,26.17,26.25,26.02,26.03
1279,2020-12-03,26.21,26.44,26.01,26.17
1278,2020-12-02,25.9,26.4,25.875,26.3
1277,2020-12-01,25.82,26.04,25.8,25.82
1276,2020-11-30,26.0,26.2,25.35,25.899
1275,2020-11-27,26.39,26.495,26.2,26.29
1274,2020-11-25,26.4999,26.585,26.42,26.52
1273,2020-11-24,26.39,26.46,26.19,26.42
1272,2020-11-23,26.44,26.44,25.9568,26.17
1271,2020-11-20,26.09,26.2,25.88,25.92
1270,2020-11-19,25.8,26.25,25.8,26.17
1269,2020-11-18,25.9,25.9,25.75,25.82
1268,2020-11-17,25.8384,25.958,25.75,25.9
1267,2020-11-16,25.9,26.05,25.75,25.9
1266,2020-11-13,25.85,25.9,25.7871,25.85
1265,2020-11-12,25.75,25.8458,25.6,25.81
1264,2020-11-11,25.59,25.76,25.58,25.75
1263,2020-11-10,25.5,25.6731,25.45,25.67
1262,2020-11-09,25.45,25.55,25.35,25.5
1261,2020-11-06,25.32,25.32,25.265,25.31
1260,2020-11-05,25.3,25.35,25.2,25.32
1259,2020-11-04,25.24,25.3,25.18,25.24
1258,2020-11-03,25.15,25.27,25.12,25.18
1257,2020-11-02,25.15,25.2,25.1,25.1
1256,2020-10-30,25.25,25.32,25.05,25.11
1255,2020-10-29,25.25,25.37,25.25,25.37
1254,2020-10-28,25.36,25.4,25.25,25.3
1253,2020-10-27,25.35,25.52,25.3499,25.3828
1252,2020-10-26,25.3,25.325,25.27,25.31
1251,2020-10-23,25.35,25.35,25.2802,25.32
1250,2020-10-22,25.39,25.39,25.25,25.27
1249,2020-10-21,25.33,25.39,25.29,25.29
1248,2020-10-20,25.34,25.35,25.29,25.34
1247,2020-10-19,25.35,25.4,25.32,25.32
1246,2020-10-16,25.31,25.4,25.31,25.31
1245,2020-10-15,25.42,25.42,25.3,25.3419
1244,2020-10-14,25.4,25.42,25.29,25.38
1243,2020-10-13,25.25,25.4,25.25,25.35
1242,2020-10-12,25.16,25.38,25.16,25.3349
1241,2020-10-09,25.29,25.3676,25.22,25.25
1240,2020-10-08,25.48,25.4833,25.22,25.35
1239,2020-10-07,25.42,25.53,25.35,25.42
1238,2020-10-06,25.44,25.48,25.42,25.4612
1237,2020-10-05,25.5,25.5,25.4,25.47
1236,2020-10-02,25.38,25.48,25.35,25.455
1235,2020-10-01,25.51,25.55,25.35,25.48
1234,2020-09-30,25.5,25.6,25.4,25.505
1233,2020-09-29,25.58,25.58,25.38,25.525
1232,2020-09-28,25.6,25.7,25.6,25.6612
1231,2020-09-25,25.57,25.75,25.5627,25.6
