,Date,Open,High,Low,Close
2231,2020-12-14,13.77,13.84,12.18,12.2
2230,2020-12-11,13.06,13.31,12.55,13.3
2229,2020-12-10,12.24,13.56,12.131,13.28
2228,2020-12-09,12.13,12.56,11.72,12.11
2227,2020-12-08,11.35,12.03,11.32,11.98
2226,2020-12-07,11.54,11.925,11.2701,11.36
2225,2020-12-04,11.0,11.795,11.0,11.75
2224,2020-12-03,10.65,10.9,10.42,10.65
2223,2020-12-02,10.3,11.22,10.22,10.56
2222,2020-12-01,10.64,10.785,10.165,10.3
2221,2020-11-30,10.71,11.08,10.16,10.18
2220,2020-11-27,11.37,11.55,10.84,10.98
2219,2020-11-25,11.5,11.68,10.97,11.51
2218,2020-11-24,11.17,11.78,11.0925,11.66
2217,2020-11-23,9.85,10.78,9.66,10.63
2216,2020-11-20,9.33,9.59,9.18,9.54
2215,2020-11-19,9.02,9.46,8.91,9.42
2214,2020-11-18,9.23,9.83,9.08,9.09
2213,2020-11-17,8.55,9.25,8.43,9.09
2212,2020-11-16,8.57,8.94,8.42,8.81
2211,2020-11-13,7.63,8.28,7.6,8.16
2210,2020-11-12,7.93,8.05,7.5,7.59
2209,2020-11-11,8.57,8.61,7.93,8.14
2208,2020-11-10,8.58,8.58,7.7373,8.48
2207,2020-11-09,7.53,8.565,7.26,8.32
2206,2020-11-06,7.3,7.345,6.47,6.48
2205,2020-11-05,6.93,7.55,6.89,7.18
2204,2020-11-04,7.43,7.48,6.87,6.93
2203,2020-11-03,7.52,7.9,7.22,7.31
2202,2020-11-02,7.1,7.39,6.76,7.21
2201,2020-10-30,6.81,7.12,6.69,7.07
2200,2020-10-29,6.7,7.05,6.29,6.91
2199,2020-10-28,7.83,7.96,6.74,6.96
2198,2020-10-27,8.12,8.255,8.04,8.16
2197,2020-10-26,8.74,8.74,8.1,8.18
2196,2020-10-23,8.97,9.15,8.735,8.99
2195,2020-10-22,8.46,8.92,8.365,8.87
2194,2020-10-21,8.42,8.645,8.23,8.39
2193,2020-10-20,8.25,8.78,8.13,8.57
2192,2020-10-19,8.66,8.7627,8.16,8.16
2191,2020-10-16,8.95,9.07,8.59,8.59
2190,2020-10-15,8.69,9.09,8.44,9.06
2189,2020-10-14,8.87,9.4028,8.74,8.94
2188,2020-10-13,8.93,9.06,8.66,8.77
2187,2020-10-12,9.03,9.045,8.605,8.95
2186,2020-10-09,9.45,9.56,9.06,9.14
2185,2020-10-08,8.85,9.4,8.68,9.4
2184,2020-10-07,8.44,8.78,8.3,8.73
2183,2020-10-06,9.0,9.1984,8.31,8.32
2182,2020-10-05,8.52,8.86,8.46,8.8
2181,2020-10-02,7.74,8.42,7.74,8.29
2180,2020-10-01,8.07,8.19,7.82,8.1
2179,2020-09-30,8.33,8.665,8.205,8.26
2178,2020-09-29,8.54,8.57,7.8701,8.34
2177,2020-09-28,8.32,8.74,8.16,8.58
2176,2020-09-25,7.93,8.14,7.71,8.08
2175,2020-09-24,8.0,8.335,7.84,8.08
2174,2020-09-23,8.88,8.9,8.07,8.07
2173,2020-09-22,8.89,9.41,8.7,8.82
2172,2020-09-21,8.49,8.6,7.99,8.54
2171,2020-09-18,9.04,9.12,8.58,8.85
2170,2020-09-17,8.84,9.08,8.61,9.02
2169,2020-09-16,8.81,9.39,8.725,9.05
2168,2020-09-15,8.67,8.92,8.465,8.67
2167,2020-09-14,8.24,8.66,7.98,8.53
2166,2020-09-11,8.21,8.37,7.865,8.01
2165,2020-09-10,9.05,9.09,8.16,8.17
2164,2020-09-09,8.99,9.22,8.72,9.14
2163,2020-09-08,9.11,9.15,8.5487,8.74
2162,2020-09-04,9.57,9.735,9.2,9.51
2161,2020-09-03,9.24,9.71,9.2,9.4
2160,2020-09-02,10.06,10.08,9.275,9.34
2159,2020-09-01,9.64,10.295,9.53,10.17
2158,2020-08-31,9.91,9.985,9.645,9.73
2157,2020-08-28,9.87,10.03,9.7,9.98
2156,2020-08-27,9.68,9.95,9.36,9.9
2155,2020-08-26,9.9,9.97,9.51,9.6
2154,2020-08-25,9.87,10.055,9.67,9.95
2153,2020-08-24,9.34,9.79,9.13,9.67
2152,2020-08-21,9.64,9.745,9.005,9.05
2151,2020-08-20,9.87,10.02,9.66,9.68
2150,2020-08-19,9.79,10.3,9.67,10.02
2149,2020-08-18,9.62,9.79,9.44,9.64
2148,2020-08-17,9.86,9.95,9.52,9.87
2147,2020-08-14,9.45,9.94,9.39,9.86
2146,2020-08-13,9.75,9.91,9.525,9.6
2145,2020-08-12,10.02,10.22,9.615,9.83
2144,2020-08-11,10.2,10.415,9.7,9.7
2143,2020-08-10,9.37,10.0,9.32,9.87
2142,2020-08-07,8.9,9.27,8.72,9.2
2141,2020-08-06,9.35,9.35,8.9,9.0
2140,2020-08-05,9.2,9.49,9.0801,9.44
2139,2020-08-04,8.53,8.95,8.51,8.93
2138,2020-08-03,8.59,8.705,8.38,8.61
2137,2020-07-31,8.81,8.82,8.32,8.68
2136,2020-07-30,8.91,9.12,8.5887,8.93
2135,2020-07-29,9.0,9.46,8.62,9.31
2134,2020-07-28,9.03,9.37,8.97,9.02
