,Date,Open,High,Low,Close
2202,2020-12-14,48.63,49.59,48.3795,49.25
2201,2020-12-11,47.0,48.14,46.78,48.01
2200,2020-12-10,46.78,48.49,46.5,47.52
2199,2020-12-09,49.37,49.87,46.87,47.44
2198,2020-12-08,49.59,50.43,49.05,49.47
2197,2020-12-07,48.88,49.91,48.5,49.76
2196,2020-12-04,46.25,48.14,46.25,47.92
2195,2020-12-03,45.28,46.925,44.8,46.25
2194,2020-12-02,44.36,45.24,44.06,44.79
2193,2020-12-01,45.24,45.49,44.03,44.97
2192,2020-11-30,45.16,45.8713,43.255,44.68
2191,2020-11-27,44.04,45.5755,43.63,44.78
2190,2020-11-25,43.66,43.9,42.81,43.4
2189,2020-11-24,43.62,44.22,42.835,43.82
2188,2020-11-23,43.2,43.5132,42.46,43.15
2187,2020-11-20,42.09,43.56,42.09,42.75
2186,2020-11-19,41.35,42.64,41.0239,42.47
2185,2020-11-18,42.36,42.71,41.61,41.63
2184,2020-11-17,41.55,42.53,41.0,42.13
2183,2020-11-16,41.21,42.06,40.84,41.79
2182,2020-11-13,41.58,42.87,41.09,41.32
2181,2020-11-12,41.6,41.99,40.62,41.055
2180,2020-11-11,42.15,42.81,41.65,41.86
2179,2020-11-10,42.3,42.835,41.14,41.38
2178,2020-11-09,44.13,44.7,42.26,42.47
2177,2020-11-06,41.4,43.89,40.0599,43.26
2176,2020-11-05,40.8,41.85,40.25,41.43
2175,2020-11-04,39.61,40.68,39.01,40.02
2174,2020-11-03,37.77,39.0,37.42,38.98
2173,2020-11-02,37.15,37.65,36.59,37.25
2172,2020-10-30,35.7,36.6,34.8681,36.5
2171,2020-10-29,33.8,37.29,33.8,36.8
2170,2020-10-28,33.9,34.38,32.75,33.0
2169,2020-10-27,34.76,35.19,34.65,34.81
2168,2020-10-26,35.13,35.45,33.97,34.68
2167,2020-10-23,35.45,35.7,34.895,35.45
2166,2020-10-22,35.64,35.64,34.22,35.46
2165,2020-10-21,36.48,37.12,35.0008,35.08
2164,2020-10-20,37.16,37.455,36.2,36.42
2163,2020-10-19,36.93,38.51,36.6936,37.19
2162,2020-10-16,36.46,36.93,36.03,36.36
2161,2020-10-15,35.17,36.6,35.16,36.575
2160,2020-10-14,36.41,36.6798,35.87,36.12
2159,2020-10-13,36.12,36.56,35.67,36.32
2158,2020-10-12,37.25,37.25,36.19,36.5
2157,2020-10-09,35.92,36.81,35.92,36.35
2156,2020-10-08,35.48,35.88,35.18,35.34
2155,2020-10-07,35.45,36.24,34.8,35.16
2154,2020-10-06,35.13,36.2,34.69,34.795
2153,2020-10-05,34.15,35.06,34.15,35.05
2152,2020-10-02,33.86,34.6,33.5,33.8
2151,2020-10-01,34.71,35.11,34.25,35.11
2150,2020-09-30,34.15,34.92,33.63,34.01
2149,2020-09-29,33.07,34.57,33.0227,34.15
2148,2020-09-28,32.55,33.09,31.81,33.09
2147,2020-09-25,32.29,32.505,31.57,32.0
2146,2020-09-24,33.94,33.97,32.32,32.43
