,Date,Open,High,Low,Close
5314,2020-12-14,14.4,14.4633,14.34,14.35
5313,2020-12-11,14.49,14.5,14.45,14.47
5312,2020-12-10,14.55,14.55,14.489,14.52
5311,2020-12-09,14.52,14.54,14.52,14.54
5310,2020-12-08,14.48,14.55,14.45,14.54
5309,2020-12-07,14.45,14.53,14.42,14.5
5308,2020-12-04,14.39,14.53,14.3,14.49
5307,2020-12-03,14.36,14.4,14.19,14.35
5306,2020-12-02,14.31,14.36,14.29,14.33
5305,2020-12-01,14.3,14.357,14.2715,14.33
5304,2020-11-30,14.28,14.28,14.19,14.22
5303,2020-11-27,14.25,14.28,14.2152,14.28
5302,2020-11-25,14.17,14.26,14.17,14.23
5301,2020-11-24,14.14,14.22,14.12,14.22
5300,2020-11-23,14.14,14.16,14.0733,14.16
5299,2020-11-20,14.04,14.08,14.02,14.07
5298,2020-11-19,14.06,14.0636,13.99,14.03
5297,2020-11-18,13.92,14.1,13.92,14.01
5296,2020-11-17,13.85,13.97,13.845,13.95
5295,2020-11-16,13.91,13.93,13.89,13.89
5294,2020-11-13,13.88,13.95,13.88,13.9
5293,2020-11-12,14.0,14.0,13.92,13.95
5292,2020-11-11,13.85,13.94,13.85,13.94
5291,2020-11-10,13.82,13.885,13.82,13.88
5290,2020-11-09,13.87,13.97,13.845,13.9
5289,2020-11-06,13.86,13.9,13.84,13.89
5288,2020-11-05,13.7,13.85,13.7,13.84
5287,2020-11-04,13.61,13.76,13.61,13.68
5286,2020-11-03,13.57,13.62,13.51,13.52
5285,2020-11-02,13.6,13.61,13.55,13.6
5284,2020-10-30,13.57,13.57,13.5,13.53
5283,2020-10-29,13.6,13.6,13.56,13.58
5282,2020-10-28,13.57,13.57,13.52,13.53
5281,2020-10-27,13.56,13.58,13.56,13.56
5280,2020-10-26,13.63,13.63,13.55,13.57
5279,2020-10-23,13.63,13.63,13.6,13.6
5278,2020-10-22,13.64,13.645,13.61,13.62
5277,2020-10-21,13.67,13.67,13.61,13.63
5276,2020-10-20,13.6602,13.7,13.62,13.67
5275,2020-10-19,13.69,13.69,13.63,13.68
5274,2020-10-16,13.7,13.7199,13.62,13.63
5273,2020-10-15,13.73,13.735,13.7,13.71
5272,2020-10-14,13.73,13.7481,13.7,13.73
5271,2020-10-13,13.76,13.77,13.74,13.77
5270,2020-10-12,13.75,13.78,13.73,13.76
5269,2020-10-09,13.68,13.73,13.67,13.72
5268,2020-10-08,13.66,13.69,13.64,13.69
5267,2020-10-07,13.65,13.67,13.63,13.66
5266,2020-10-06,13.62,13.66,13.62,13.65
5265,2020-10-05,13.63,13.68,13.6,13.62
5264,2020-10-02,13.58,13.66,13.55,13.66
5263,2020-10-01,13.63,13.64,13.58,13.59
5262,2020-09-30,13.63,13.64,13.58,13.59
5261,2020-09-29,13.61,13.65,13.595,13.595
