,Date,Open,High,Low,Close
5314,2020-12-14,14.4,14.41,14.35,14.36
5313,2020-12-11,14.41,14.44,14.3773,14.43
5312,2020-12-10,14.35,14.44,14.2801,14.39
5311,2020-12-09,14.44,14.45,14.39,14.43
5310,2020-12-08,14.3,14.45,14.25,14.39
5309,2020-12-07,14.34,14.35,14.19,14.27
5308,2020-12-04,14.3,14.38,14.23,14.25
5307,2020-12-03,14.4,14.4,14.27,14.31
5306,2020-12-02,14.33,14.35,14.27,14.34
5305,2020-12-01,14.3,14.34,14.2437,14.3
5304,2020-11-30,14.29,14.29,14.13,14.19
5303,2020-11-27,14.11,14.25,14.11,14.25
5302,2020-11-25,14.16,14.16,14.08,14.13
5301,2020-11-24,14.18,14.18,14.0501,14.09
5300,2020-11-23,14.02,14.05,13.99,14.04
5299,2020-11-20,13.99,13.99,13.9,13.97
5298,2020-11-19,13.96,13.96,13.885,13.94
5297,2020-11-18,13.89,13.96,13.88,13.95
5296,2020-11-17,13.8,13.8814,13.75,13.88
5295,2020-11-16,13.74,13.77,13.7,13.73
5294,2020-11-13,13.74,13.74,13.63,13.69
5293,2020-11-12,13.68,13.75,13.68,13.71
5292,2020-11-11,13.73,13.73,13.6156,13.63
5291,2020-11-10,13.7,13.7,13.61,13.63
5290,2020-11-09,13.75,13.78,13.63,13.65
5289,2020-11-06,13.58,13.67,13.57,13.67
5288,2020-11-05,13.54,13.62,13.54,13.58
5287,2020-11-04,13.38,13.53,13.38,13.51
5286,2020-11-03,13.35,13.36,13.3,13.3
5285,2020-11-02,13.28,13.33,13.26,13.33
5284,2020-10-30,13.3,13.3,13.1775,13.24
5283,2020-10-29,13.2,13.29,13.19,13.24
5282,2020-10-28,13.21,13.24,13.12,13.23
5281,2020-10-27,13.39,13.39,13.205,13.25
5280,2020-10-26,13.44,13.44,13.31,13.34
5279,2020-10-23,13.43,13.47,13.4,13.42
5278,2020-10-22,13.58,13.67,13.51,13.51
5277,2020-10-21,13.66,13.66,13.58,13.64
5276,2020-10-20,13.54,13.64,13.54,13.64
5275,2020-10-19,13.54,13.54,13.4899,13.54
5274,2020-10-16,13.56,13.56,13.48,13.52
5273,2020-10-15,13.57,13.57,13.49,13.53
5272,2020-10-14,13.64,13.64,13.54,13.57
5271,2020-10-13,13.6,13.71,13.56,13.62
5270,2020-10-12,13.57,13.58,13.5445,13.56
5269,2020-10-09,13.54,13.55,13.495,13.55
5268,2020-10-08,13.52,13.54,13.47,13.49
5267,2020-10-07,13.51,13.53,13.42,13.47
5266,2020-10-06,13.43,13.44,13.37,13.42
5265,2020-10-05,13.5,13.5,13.34,13.38
5264,2020-10-02,13.42,13.5,13.42,13.5
5263,2020-10-01,13.45,13.51,13.42,13.5
5262,2020-09-30,13.47,13.49,13.42,13.42
5261,2020-09-29,13.52,13.55,13.44,13.44
5260,2020-09-28,13.43,13.53,13.43,13.49
5259,2020-09-25,13.39,13.42,13.33,13.4
5258,2020-09-24,13.4,13.4,13.32,13.37
5257,2020-09-23,13.47,13.5,13.36,13.39
5256,2020-09-22,13.51,13.51,13.41,13.5
5255,2020-09-21,13.53,13.54,13.48,13.51
5254,2020-09-18,13.57,13.61,13.51,13.56
5253,2020-09-17,13.58,13.58,13.51,13.56
5252,2020-09-16,13.56,13.6,13.55,13.58
5251,2020-09-15,13.63,13.63,13.5,13.59
5250,2020-09-14,13.65,13.66,13.57,13.62
5249,2020-09-11,13.71,13.72,13.6,13.65
5248,2020-09-10,13.62,13.7,13.6,13.68
5247,2020-09-09,13.51,13.6,13.46,13.6
5246,2020-09-08,13.58,13.58,13.45,13.47
5245,2020-09-04,13.71,13.78,13.54,13.59
5244,2020-09-03,13.89,13.9,13.69,13.72
5243,2020-09-02,13.83,13.89,13.81,13.88
5242,2020-09-01,13.78,13.84,13.69,13.82
5241,2020-08-31,13.74,13.82,13.73,13.74
5240,2020-08-28,13.63,13.71,13.57,13.71
5239,2020-08-27,13.7,13.71,13.6,13.62
