,Date,Open,High,Low,Close
5314,2020-12-14,14.28,14.28,14.15,14.15
5313,2020-12-11,14.36,14.39,14.32,14.32
5312,2020-12-10,14.37,14.372,14.35,14.36
5311,2020-12-09,14.34,14.36,14.29,14.36
5310,2020-12-08,14.27,14.357,14.27,14.35
5309,2020-12-07,14.27,14.33,14.25,14.29
5308,2020-12-04,14.19,14.27,14.16,14.27
5307,2020-12-03,14.19,14.25,14.15,14.25
5306,2020-12-02,14.16,14.23,14.14,14.19
5305,2020-12-01,14.14,14.2,14.13,14.16
5304,2020-11-30,14.17,14.18,14.12,14.14
5303,2020-11-27,14.14,14.19,14.14,14.18
5302,2020-11-25,14.15,14.15,14.05,14.12
5301,2020-11-24,14.09,14.1,14.04,14.1
5300,2020-11-23,14.02,14.06,13.97,14.06
5299,2020-11-20,13.98,14.01,13.97,13.98
5298,2020-11-19,13.97,14.03,13.97,13.99
5297,2020-11-18,13.98,14.07,13.91,14.03
5296,2020-11-17,13.94,13.98,13.94,13.96
5295,2020-11-16,13.9,13.95,13.89,13.92
5294,2020-11-13,13.86,13.93,13.85,13.91
5293,2020-11-12,13.88,13.93,13.86,13.91
5292,2020-11-11,13.85,13.91,13.83,13.9
5291,2020-11-10,13.86,13.87,13.81,13.85
5290,2020-11-09,13.92,13.92,13.86,13.9
5289,2020-11-06,13.9,13.92,13.84,13.88
5288,2020-11-05,13.75,13.92,13.75,13.9
5287,2020-11-04,13.63,13.75,13.63,13.75
5286,2020-11-03,13.48,13.67,13.4507,13.63
5285,2020-11-02,13.55,13.55,13.43,13.52
5284,2020-10-30,13.37,13.61,13.31,13.49
5283,2020-10-29,13.32,13.43,13.28,13.41
5282,2020-10-28,13.39,13.39,13.28,13.38
5281,2020-10-27,13.43,13.465,13.39,13.4
5280,2020-10-26,13.5,13.5063,13.42,13.43
5279,2020-10-23,13.55,13.56,13.5,13.52
5278,2020-10-22,13.55,13.6,13.51,13.59
5277,2020-10-21,13.6,13.6,13.53,13.56
5276,2020-10-20,13.58,13.615,13.56,13.59
5275,2020-10-19,13.63,13.63,13.56,13.58
5274,2020-10-16,13.63,13.68,13.57,13.57
5273,2020-10-15,13.67,13.68,13.63,13.66
5272,2020-10-14,13.67,13.729,13.66,13.67
5271,2020-10-13,13.74,13.805,13.74,13.76
5270,2020-10-12,13.72,13.84,13.61,13.77
5269,2020-10-09,13.72,13.78,13.7001,13.73
5268,2020-10-08,13.74,13.81,13.72,13.73
5267,2020-10-07,13.73,13.82,13.72,13.73
5266,2020-10-06,13.78,13.81,13.73,13.73
5265,2020-10-05,13.9,13.9,13.74,13.78
5264,2020-10-02,13.8,13.83,13.79,13.8
5263,2020-10-01,13.81,13.81,13.74,13.79
5262,2020-09-30,13.8,13.8,13.74,13.79
5261,2020-09-29,13.76,13.8,13.7575,13.76
5260,2020-09-28,13.71,13.81,13.7,13.75
5259,2020-09-25,13.62,13.72,13.61,13.69
5258,2020-09-24,13.63,13.69,13.6064,13.67
5257,2020-09-23,13.76,13.76,13.62,13.64
5256,2020-09-22,13.81,13.81,13.69,13.76
5255,2020-09-21,13.75,13.84,13.74,13.75
5254,2020-09-18,13.9,13.9,13.85,13.86
5253,2020-09-17,13.9,13.94,13.85,13.89
5252,2020-09-16,13.98,13.99,13.92,13.95
5251,2020-09-15,14.05,14.07,13.98,13.98
5250,2020-09-14,14.09,14.13,14.02,14.05
5249,2020-09-11,14.19,14.2,14.08,14.17
5248,2020-09-10,14.13,14.237,14.12,14.14
5247,2020-09-09,14.14,14.2,14.14,14.14
5246,2020-09-08,14.15,14.17,14.1215,14.14
5245,2020-09-04,14.22,14.295,14.14,14.19
5244,2020-09-03,14.26,14.35,14.18,14.26
5243,2020-09-02,14.22,14.32,14.22,14.3
