,Date,Open,High,Low,Close
884,2020-12-14,6.55,7.0,6.4,6.76
883,2020-12-11,6.6,6.6,6.2,6.51
882,2020-12-10,6.59,6.74,6.43,6.6
881,2020-12-09,6.97,6.97,6.51,6.55
880,2020-12-08,6.62,6.9654,6.53,6.85
879,2020-12-07,6.73,6.79,6.5,6.66
878,2020-12-04,7.43,7.44,6.5,6.8
877,2020-12-03,7.64,7.64,7.09,7.44
876,2020-12-02,7.75,7.75,7.24,7.53
875,2020-12-01,7.46,7.7943,7.33,7.51
874,2020-11-30,7.08,7.47,7.08,7.375
873,2020-11-27,7.33,7.4133,7.18,7.18
872,2020-11-25,7.72,7.72,7.01,7.42
871,2020-11-24,7.1,7.86,6.91,7.86
870,2020-11-23,5.85,7.27,5.85,6.98
869,2020-11-20,5.62,5.8,5.42,5.69
868,2020-11-19,5.31,5.6338,5.3092,5.5
867,2020-11-18,5.27,5.75,5.25,5.31
866,2020-11-17,5.1,5.35,5.03,5.32
865,2020-11-16,5.37,5.3899,5.05,5.12
864,2020-11-13,5.11,5.35,5.11,5.3
863,2020-11-12,5.4,5.57,5.015,5.11
862,2020-11-11,5.68,6.87,5.2,5.72
861,2020-11-10,4.76,4.88,4.7,4.8
860,2020-11-09,4.7,4.75,4.5845,4.74
859,2020-11-06,4.6,4.69,4.53,4.61
858,2020-11-05,4.51,4.61,4.44,4.56
857,2020-11-04,4.43,4.5,4.42,4.47
856,2020-11-03,4.46,4.53,4.4055,4.43
855,2020-11-02,4.4,4.47,4.34,4.47
854,2020-10-30,4.41,4.41,4.32,4.34
853,2020-10-29,4.55,4.5627,4.36,4.45
852,2020-10-28,4.4,4.65,4.3,4.61
851,2020-10-27,4.4833,4.54,4.41,4.41
850,2020-10-26,4.58,4.58,4.4,4.55
849,2020-10-23,4.6,4.6,4.5,4.58
848,2020-10-22,4.5366,4.65,4.5,4.55
847,2020-10-21,4.5,4.74,4.4778,4.52
846,2020-10-20,4.47,4.73,4.46,4.49
845,2020-10-19,4.46,4.95,4.4377,4.56
844,2020-10-16,4.48,4.54,4.41,4.49
843,2020-10-15,4.4,4.53,4.4,4.53
842,2020-10-14,4.52,4.5819,4.4579,4.53
841,2020-10-13,4.54,4.5939,4.52,4.56
840,2020-10-12,4.61,4.7,4.54,4.6
839,2020-10-09,4.75,4.8203,4.635,4.65
838,2020-10-08,4.64,4.78,4.64,4.73
837,2020-10-07,4.52,4.8,4.48,4.64
836,2020-10-06,4.5,4.649,4.35,4.48
835,2020-10-05,4.5,4.6151,4.45,4.51
834,2020-10-02,4.41,4.5639,4.4001,4.475
833,2020-10-01,4.42,4.6,4.383,4.54
832,2020-09-30,4.45,4.58,4.41,4.48
831,2020-09-29,4.53,4.6806,4.45,4.515
830,2020-09-28,4.56,4.65,4.46,4.52
829,2020-09-25,4.38,4.6749,4.3239,4.6
828,2020-09-24,4.22,4.5,4.12,4.46
827,2020-09-23,4.55,4.73,4.25,4.3
826,2020-09-22,4.4,4.52,4.31,4.51
825,2020-09-21,4.83,4.879,4.32,4.42
824,2020-09-18,5.27,5.27,4.93,4.99
823,2020-09-17,4.8,5.4,4.54,5.35
822,2020-09-16,5.11,5.67,4.8101,4.99
821,2020-09-15,3.75,3.95,3.7,3.82
820,2020-09-14,3.68,3.77,3.68,3.75
819,2020-09-11,3.72,3.77,3.68,3.68
818,2020-09-10,3.7,3.77,3.68,3.73
817,2020-09-09,3.62,3.728,3.62,3.702
816,2020-09-08,3.52,3.64,3.4694,3.64
815,2020-09-04,3.68,3.79,3.46,3.56
814,2020-09-03,3.74,3.7894,3.62,3.69
813,2020-09-02,3.69,3.83,3.6197,3.79
812,2020-09-01,3.82,3.82,3.61,3.73
811,2020-08-31,3.78,3.84,3.74,3.79
810,2020-08-28,3.82,3.89,3.76,3.83
