,Date,Open,High,Low,Close
5314,2020-12-14,15.625,15.625,15.05,15.06
5313,2020-12-11,15.75,15.7601,15.61,15.646
5312,2020-12-10,15.8217,15.92,15.76,15.76
5311,2020-12-09,15.92,15.97,15.76,15.76
5310,2020-12-08,15.9,16.0,15.9,15.9688
5309,2020-12-07,15.8,16.1,15.8,15.95
5308,2020-12-04,15.55,16.314,15.55,16.16
5307,2020-12-03,15.58,15.59,15.5692,15.575
5306,2020-12-02,15.6,15.6,15.49,15.59
5305,2020-12-01,15.48,15.61,15.4305,15.53
5304,2020-11-30,15.4073,15.48,15.4073,15.48
5303,2020-11-27,15.3,15.48,15.3,15.48
5302,2020-11-25,15.34,15.35,15.27,15.32
5301,2020-11-24,15.29,15.356,15.29,15.2974
5300,2020-11-23,15.28,15.35,15.26,15.31
5299,2020-11-20,15.24,15.27,15.23,15.23
5298,2020-11-19,15.22,15.27,15.217,15.27
5297,2020-11-18,15.15,15.305,15.1497,15.3
5296,2020-11-17,15.03,15.0942,15.03,15.0899
5295,2020-11-16,15.01,15.12,15.01,15.0502
5294,2020-11-13,15.0,15.02,14.9,15.02
5293,2020-11-12,14.82,15.0,14.82,15.0
5292,2020-11-11,14.88,14.91,14.87,14.91
5291,2020-11-10,14.88,14.9,14.8171,14.8171
5290,2020-11-09,14.91,14.94,14.85,14.88
5289,2020-11-06,15.0,15.0,14.74,14.933
5288,2020-11-05,14.95,15.0,14.94,15.0
5287,2020-11-04,14.9,14.95,14.843,14.95
5286,2020-11-03,14.75,14.9,14.75,14.9
5285,2020-11-02,14.8,14.8886,14.74,14.74
5284,2020-10-30,14.79,14.82,14.75,14.76
5283,2020-10-29,14.74,14.84,14.73,14.75
5282,2020-10-28,14.75,14.8104,14.75,14.76
5281,2020-10-27,14.79,14.82,14.7502,14.76
5280,2020-10-26,14.85,14.9,14.75,14.76
5279,2020-10-23,14.82,14.9,14.82,14.86
5278,2020-10-22,14.8,14.875,14.8,14.81
5277,2020-10-21,14.84,14.87,14.8,14.81
5276,2020-10-20,14.97,14.97,14.8,14.82
5275,2020-10-19,14.84,15.0,14.8,14.81
5274,2020-10-16,14.81,14.84,14.8,14.84
5273,2020-10-15,14.81,14.85,14.74,14.85
5272,2020-10-14,14.7,14.87,14.69,14.87
5271,2020-10-13,14.83,14.835,14.75,14.785
5270,2020-10-12,14.81,14.87,14.81,14.86
5269,2020-10-09,14.85,14.88,14.81,14.87
5268,2020-10-08,14.77,14.85,14.75,14.85
5267,2020-10-07,14.79,14.79,14.64,14.78
5266,2020-10-06,14.75,14.8,14.705,14.75
5265,2020-10-05,14.72,14.78,14.6874,14.78
5264,2020-10-02,14.7,14.7798,14.65,14.66
5263,2020-10-01,14.7,14.7,14.665,14.7
5262,2020-09-30,14.61,14.69,14.61,14.68
5261,2020-09-29,14.67,14.69,14.62,14.663
5260,2020-09-28,14.6,14.74,14.6,14.64
5259,2020-09-25,14.59,14.63,14.55,14.57
5258,2020-09-24,14.71,14.71,14.4609,14.6387
