,Date,Open,High,Low,Close
1319,2020-12-14,2.58,2.58,2.4466,2.49
1318,2020-12-11,2.44,2.57,2.31,2.44
1317,2020-12-10,3.42,3.5,3.26,3.4
1316,2020-12-09,3.68,3.7,3.32,3.4
1315,2020-12-08,3.85,3.85,3.65,3.69
1314,2020-12-07,3.85,3.98,3.74,3.78
1313,2020-12-04,3.75,3.84,3.65,3.7
1312,2020-12-03,3.88,4.2299,3.72,3.77
1311,2020-12-02,0.37,0.4113,0.361,0.3938
1310,2020-12-01,0.43,0.458,0.4291,0.44
1309,2020-11-30,0.434,0.435,0.421,0.427
1308,2020-11-27,0.439,0.4469,0.4225,0.433
1307,2020-11-25,0.4413,0.4524,0.385,0.421
1306,2020-11-24,0.4499,0.468,0.4301,0.45
1305,2020-11-23,0.416,0.439,0.387,0.4301
1304,2020-11-20,0.44,0.445,0.4127,0.4165
1303,2020-11-19,0.451,0.451,0.429,0.44
1302,2020-11-18,0.4594,0.46,0.4399,0.4481
1301,2020-11-17,0.475,0.4795,0.4397,0.4645
1300,2020-11-16,0.48,0.4839,0.4521,0.4698
1299,2020-11-13,0.45,0.4849,0.43,0.4698
1298,2020-11-12,0.4188,0.4376,0.416,0.4229
1297,2020-11-11,0.4105,0.43,0.391,0.422
1296,2020-11-10,0.425,0.4259,0.3855,0.39
1295,2020-11-09,0.45,0.465,0.4,0.416
1294,2020-11-06,0.4783,0.4835,0.4301,0.441
1293,2020-11-05,0.48,0.4976,0.4702,0.4882
1292,2020-11-04,0.49,0.49,0.4651,0.47
1291,2020-11-03,0.488,0.505,0.47,0.4779
1290,2020-11-02,0.4932,0.5,0.475,0.489
1289,2020-10-30,0.509,0.51,0.485,0.4955
1288,2020-10-29,0.5111,0.5212,0.4983,0.51
1287,2020-10-28,0.5249,0.5348,0.5012,0.5124
1286,2020-10-27,0.5436,0.5448,0.521,0.5335
1285,2020-10-26,0.5616,0.57,0.5351,0.5414
1284,2020-10-23,0.5634,0.57,0.5433,0.5585
1283,2020-10-22,0.57,0.5746,0.555,0.5685
1282,2020-10-21,0.5718,0.5847,0.5606,0.5702
1281,2020-10-20,0.5769,0.6042,0.571,0.5861
1280,2020-10-19,0.5701,0.58,0.56,0.5767
1279,2020-10-16,0.58,0.6024,0.555,0.5754
1278,2020-10-15,0.6,0.6048,0.58,0.5913
1277,2020-10-14,0.6095,0.616,0.5811,0.6095
1276,2020-10-13,0.593,0.6148,0.58,0.606
1275,2020-10-12,0.617,0.6188,0.5667,0.5758
1274,2020-10-09,0.5936,0.616,0.5864,0.6
1273,2020-10-08,0.571,0.5949,0.57,0.585
1272,2020-10-07,0.54,0.5757,0.54,0.57
1271,2020-10-06,0.56,0.565,0.54,0.5415
1270,2020-10-05,0.5385,0.5629,0.533,0.56
1269,2020-10-02,0.522,0.537,0.519,0.536
1268,2020-10-01,0.538,0.54,0.5175,0.53
1267,2020-09-30,0.5349,0.5449,0.53,0.533
1266,2020-09-29,0.5221,0.54,0.5155,0.54
1265,2020-09-28,0.53,0.5437,0.5201,0.5221
1264,2020-09-25,0.5201,0.53,0.5103,0.5269
1263,2020-09-24,0.55,0.5598,0.5102,0.53
1262,2020-09-23,0.5578,0.5647,0.5367,0.56
1261,2020-09-22,0.5573,0.5759,0.5453,0.5581
1260,2020-09-21,0.59,0.5948,0.557,0.5675
1259,2020-09-18,0.591,0.6,0.582,0.582
1258,2020-09-17,0.58,0.5986,0.5795,0.585
1257,2020-09-16,0.5739,0.5868,0.56,0.5802
1256,2020-09-15,0.5874,0.5874,0.555,0.5704
1255,2020-09-14,0.57,0.5978,0.5605,0.5906
1254,2020-09-11,0.58,0.607,0.552,0.5536
1253,2020-09-10,0.5901,0.6184,0.5736,0.583
1252,2020-09-09,0.54,0.575,0.54,0.5614
1251,2020-09-08,0.55,0.5756,0.53,0.538
