,Date,Open,High,Low,Close
1990,2020-12-14,27.22,27.54,25.215,25.41
1989,2020-12-11,27.53,27.87,26.26,26.51
1988,2020-12-10,26.65,27.54,26.55,27.44
1987,2020-12-09,28.97,28.98,26.2,27.26
1986,2020-12-08,26.3,28.17,26.25,28.15
1985,2020-12-07,26.32,26.6498,25.7,26.5
1984,2020-12-04,26.11,26.45,25.17,26.3
1983,2020-12-03,23.6,25.8,23.55,25.42
1982,2020-12-02,22.4,23.495,21.82,23.4
1981,2020-12-01,23.55,23.67,22.82,22.94
1980,2020-11-30,24.06,24.2,22.315,22.87
1979,2020-11-27,23.47,24.3227,23.45,23.68
1978,2020-11-25,22.83,23.35,22.41,23.2
1977,2020-11-24,22.05,22.64,21.8,22.55
1976,2020-11-23,20.62,21.03,20.0744,20.89
1975,2020-11-20,21.11,21.27,19.94,19.99
1974,2020-11-19,20.58,21.29,20.49,21.02
1973,2020-11-18,20.67,21.3775,20.41,20.46
1972,2020-11-17,21.1,22.62,20.77,22.06
1971,2020-11-16,21.93,22.02,21.03,21.31
1970,2020-11-13,19.28,20.27,19.16,20.06
1969,2020-11-12,18.79,19.87,18.61,18.85
1968,2020-11-11,20.53,20.84,19.35,19.52
1967,2020-11-10,20.8,21.13,19.38,20.12
1966,2020-11-09,21.02,23.05,20.36,21.51
1965,2020-11-06,17.07,17.2999,16.65,16.97
1964,2020-11-05,16.4,17.31,16.4,17.25
1963,2020-11-04,16.5,16.73,16.1175,16.16
1962,2020-11-03,16.2,16.73,16.12,16.55
1961,2020-11-02,16.06,16.22,15.29,16.17
1960,2020-10-30,15.49,17.07,15.3,16.63
1959,2020-10-29,15.05,15.85,14.77,15.77
1958,2020-10-28,15.84,16.03,15.0,15.03
1957,2020-10-27,16.85,17.07,16.51,16.53
1956,2020-10-26,17.74,17.74,16.35,16.8
1955,2020-10-23,17.72,18.41,17.45,18.35
1954,2020-10-22,17.1,17.7506,17.02,17.71
1953,2020-10-21,17.0,17.14,16.725,16.99
1952,2020-10-20,16.66,17.16,16.47,17.08
1951,2020-10-19,16.32,16.76,16.185,16.45
1950,2020-10-16,16.28,16.44,15.9,16.2
1949,2020-10-15,16.18,16.24,15.65,16.1
1948,2020-10-14,16.68,17.16,16.36,16.48
1947,2020-10-13,17.3,17.37,16.42,16.59
1946,2020-10-12,18.52,18.62,18.07,18.08
1945,2020-10-09,18.3,18.91,17.98,18.73
1944,2020-10-08,18.32,18.44,17.697,18.2
1943,2020-10-07,17.75,18.16,17.46,18.01
1942,2020-10-06,17.22,18.24,17.09,17.23
1941,2020-10-05,17.06,17.36,16.69,16.99
1940,2020-10-02,16.28,17.43,16.15,17.27
1939,2020-10-01,17.4,17.405,16.74,17.34
1938,2020-09-30,17.09,18.23,16.9411,17.11
1937,2020-09-29,16.6,16.85,16.28,16.56
1936,2020-09-28,16.92,16.95,16.01,16.68
1935,2020-09-25,15.82,16.64,15.5689,16.63
1934,2020-09-24,14.95,15.0,14.15,14.63
1933,2020-09-23,15.5,16.17,15.13,15.17
1932,2020-09-22,15.05,15.59,14.92,15.33
1931,2020-09-21,15.46,15.715,14.725,14.99
1930,2020-09-18,17.01,17.3,15.945,16.25
1929,2020-09-17,16.98,17.5584,16.71,17.26
1928,2020-09-16,17.11,17.86,16.72,17.5
1927,2020-09-15,17.77,17.842,16.7784,16.97
1926,2020-09-14,17.82,17.97,17.42,17.79
1925,2020-09-11,18.12,18.12,17.18,17.51
1924,2020-09-10,18.05,19.16,17.92,17.93
