,Date,Open,High,Low,Close
914,2020-12-14,19.58,19.77,19.55,19.6
913,2020-12-11,19.53,19.6,19.0101,19.44
912,2020-12-10,19.27,19.27,18.25,18.84
911,2020-12-09,19.37,19.9,19.21,19.605
910,2020-12-08,20.65,20.65,19.33,19.58
909,2020-12-07,20.06,21.23,20.06,20.45
908,2020-12-04,19.95,21.748,19.205,20.21
907,2020-12-03,18.96,19.775,18.96,19.4
906,2020-12-02,20.57,20.57,19.49,19.51
905,2020-12-01,19.0,22.55,19.0,21.4999
904,2020-11-30,1.1,1.12,1.0,1.02
903,2020-11-27,1.19,1.215,1.12,1.12
902,2020-11-25,1.01,1.18,1.005,1.17
901,2020-11-24,0.94,1.08,0.92,1.03
900,2020-11-23,0.899,0.95,0.893,0.93
899,2020-11-20,0.92,0.949,0.91,0.93
898,2020-11-19,0.92,0.96,0.8901,0.94
897,2020-11-18,0.86,0.961,0.808,0.88
896,2020-11-17,0.8701,0.8701,0.8169,0.822
895,2020-11-16,0.88,0.94,0.826,0.87
894,2020-11-13,0.8362,0.838,0.8,0.8
893,2020-11-12,0.832,0.832,0.7698,0.814
892,2020-11-11,0.85,0.88,0.828,0.8318
891,2020-11-10,0.8623,0.88,0.8205,0.83
890,2020-11-09,0.8,0.879,0.7599,0.8623
889,2020-11-06,0.754,0.795,0.7501,0.7863
888,2020-11-05,0.747,0.783,0.745,0.7659
887,2020-11-04,0.768,0.778,0.735,0.74
886,2020-11-03,0.754,0.77,0.7221,0.765
885,2020-11-02,0.71,0.78,0.71,0.735
884,2020-10-30,0.7,0.7087,0.687,0.7087
883,2020-10-29,0.7,0.707,0.6706,0.7035
882,2020-10-28,0.7025,0.7049,0.6751,0.7003
881,2020-10-27,0.68,0.72,0.68,0.7
880,2020-10-26,0.78,0.79,0.7,0.7
879,2020-10-23,0.75,0.806,0.7236,0.7904
878,2020-10-22,0.693,0.75,0.6901,0.72
877,2020-10-21,0.6275,0.7099,0.6202,0.6874
876,2020-10-20,0.7014,0.718,0.5917,0.6103
875,2020-10-19,0.719,0.719,0.6901,0.7001
874,2020-10-16,0.73,0.75,0.7011,0.75
873,2020-10-15,0.73,0.78,0.696,0.7583
872,2020-10-14,0.69,0.73,0.689,0.7155
871,2020-10-13,0.724,0.724,0.7,0.7
870,2020-10-12,0.73,0.73,0.6814,0.7206
869,2020-10-09,0.7195,0.74,0.65,0.6981
868,2020-10-08,0.591,0.74,0.591,0.6905
867,2020-10-07,0.589,0.6226,0.589,0.5987
866,2020-10-06,0.58,0.597,0.58,0.58
865,2020-10-05,0.59,0.595,0.56,0.56
864,2020-10-02,0.56,0.598,0.56,0.561
863,2020-10-01,0.6021,0.6021,0.5575,0.57
862,2020-09-30,0.609,0.61,0.594,0.594
861,2020-09-29,0.58,0.69,0.57,0.593
860,2020-09-28,0.573,0.6,0.5671,0.595
859,2020-09-25,0.573,0.573,0.553,0.5695
858,2020-09-24,0.5875,0.595,0.557,0.59
857,2020-09-23,0.56,0.6,0.555,0.5943
856,2020-09-22,0.555,0.5699,0.551,0.56
855,2020-09-21,0.5593,0.5721,0.555,0.5699
854,2020-09-18,0.562,0.573,0.5481,0.5721
853,2020-09-17,0.541,0.579,0.541,0.5601
852,2020-09-16,0.54,0.58,0.525,0.56
851,2020-09-15,0.548,0.55,0.52,0.55
850,2020-09-14,0.581,0.581,0.52,0.5479
849,2020-09-11,0.57,0.5832,0.55,0.579
848,2020-09-10,0.585,0.6001,0.56,0.5679
847,2020-09-09,0.58,0.5896,0.56,0.576
846,2020-09-08,0.592,0.599,0.5803,0.5842
845,2020-09-04,0.5803,0.61,0.5803,0.599
844,2020-09-03,0.5985,0.6088,0.58,0.5995
843,2020-09-02,0.61,0.6167,0.5989,0.6088
842,2020-09-01,0.6008,0.6198,0.59,0.6169
841,2020-08-31,0.66,0.66,0.6024,0.6212
840,2020-08-28,0.62,0.64,0.6011,0.64
839,2020-08-27,0.59,0.631,0.584,0.6
838,2020-08-26,0.5729,0.6299,0.5729,0.5999
837,2020-08-25,0.58,0.6295,0.58,0.628
836,2020-08-24,0.6027,0.62,0.5611,0.594
835,2020-08-21,0.62,0.6289,0.5791,0.6127
834,2020-08-20,0.6362,0.6362,0.61,0.6169
833,2020-08-19,0.6114,0.6397,0.6055,0.6327
832,2020-08-18,0.6195,0.64,0.5804,0.605
831,2020-08-17,0.65,0.6649,0.592,0.6063
830,2020-08-14,0.6401,0.665,0.63,0.6352
829,2020-08-13,0.681,0.7,0.6604,0.6753
828,2020-08-12,0.6417,0.6992,0.6417,0.6992
827,2020-08-11,0.6,0.7097,0.6,0.6815
826,2020-08-10,0.74,0.74,0.64,0.6801
825,2020-08-07,0.6899,0.72,0.6533,0.72
824,2020-08-06,0.6789,0.7038,0.6206,0.69
823,2020-08-05,0.6261,0.6858,0.62,0.6633
822,2020-08-04,0.5985,0.6829,0.5973,0.621
821,2020-08-03,0.5626,0.61,0.5626,0.6002
