,Date,Open,High,Low,Close
5314,2020-12-14,79.82,81.17,78.965,79.54
5313,2020-12-11,79.44,81.385,78.365,79.48
5312,2020-12-10,79.09,80.31,78.06,80.16
5311,2020-12-09,78.98,79.34,77.81,79.15
5310,2020-12-08,76.37,78.82,76.36,78.56
5309,2020-12-07,77.65,79.25,76.68,77.19
5308,2020-12-04,75.21,77.54,73.75,77.41
5307,2020-12-03,74.56,75.22,73.61,75.12
5306,2020-12-02,74.29,75.485,74.09,74.77
5305,2020-12-01,74.95,75.47,74.015,74.74
5304,2020-11-30,74.46,75.03,73.12,74.22
5303,2020-11-27,73.84,74.88,73.82,74.87
5302,2020-11-25,74.28,74.28,73.544,73.84
5301,2020-11-24,74.23,74.89,73.52,74.09
5300,2020-11-23,73.57,74.54,72.86,73.79
5299,2020-11-20,72.27,74.21,72.0,72.9
5298,2020-11-19,71.85,73.0,71.31,72.87
5297,2020-11-18,74.8,75.46,72.1,72.26
5296,2020-11-17,73.44,75.09,72.89,74.83
5295,2020-11-16,73.32,74.34,72.37,74.19
5294,2020-11-13,71.64,73.14,71.64,72.74
5293,2020-11-12,71.97,73.2216,70.23,71.07
5292,2020-11-11,72.4,72.97,70.85,72.35
5291,2020-11-10,72.01,73.115,71.41,71.98
5290,2020-11-09,74.08,75.41,71.67,71.81
5289,2020-11-06,71.75,72.06,70.88,71.05
5288,2020-11-05,71.84,72.09,70.6,71.45
5287,2020-11-04,69.91,71.7,69.18,71.42
5286,2020-11-03,69.5,70.87,69.04,70.35
5285,2020-11-02,70.6,70.955,68.11,68.83
5284,2020-10-30,69.44,69.81,68.56,69.74
5283,2020-10-29,68.01,70.17,67.65,69.75
5282,2020-10-28,70.02,70.7,68.02,68.34
5281,2020-10-27,72.03,72.29,70.73,71.18
5280,2020-10-26,71.48,72.55,71.19,72.02
5279,2020-10-23,71.79,72.42,70.97,72.29
5278,2020-10-22,70.84,71.58,70.39,71.4
5277,2020-10-21,70.08,71.23,70.08,70.36
5276,2020-10-20,69.9,70.93,69.55,70.28
5275,2020-10-19,71.56,71.915,69.41,69.71
5274,2020-10-16,71.69,72.86,70.985,71.42
5273,2020-10-15,70.13,72.0,69.64,71.68
5272,2020-10-14,72.11,72.475,70.37,70.93
5271,2020-10-13,71.86,72.97,71.5,71.67
5270,2020-10-12,72.25,73.26,71.28,72.34
5269,2020-10-09,71.11,71.85,70.23,71.8
5268,2020-10-08,71.68,71.68,69.68,70.55
5267,2020-10-07,68.99,71.18,68.31,70.63
5266,2020-10-06,69.63,69.94,66.22,68.3
5265,2020-10-05,70.44,72.97,68.56,69.58
5264,2020-10-02,73.42,74.1,68.75,69.75
5263,2020-10-01,79.07,79.67,77.57,78.8
5262,2020-09-30,77.39,79.67,77.39,78.25
5261,2020-09-29,76.9,78.75,75.041,77.33
5260,2020-09-28,76.0,78.2,74.21,77.59
5259,2020-09-25,73.5,75.81,72.75,75.39
5258,2020-09-24,74.13,75.16,72.665,73.57
