,Date,Open,High,Low,Close
3976,2020-12-14,13.29,13.35,13.1,13.16
3975,2020-12-11,13.22,13.25,13.15,13.19
3974,2020-12-10,13.2,13.26,13.15,13.22
3973,2020-12-09,13.35,13.41,13.18,13.25
3972,2020-12-08,13.23,13.26,13.2123,13.26
3971,2020-12-07,13.2,13.25,13.17,13.22
3970,2020-12-04,13.07,13.23,13.07,13.22
3969,2020-12-03,13.04,13.13,13.01,13.06
3968,2020-12-02,13.05,13.1368,13.0301,13.1
3967,2020-12-01,13.05,13.16,13.05,13.15
3966,2020-11-30,13.02,13.0799,12.93,13.0
3965,2020-11-27,12.92,13.09,12.9,13.03
3964,2020-11-25,12.77,12.83,12.74,12.83
3963,2020-11-24,12.79,12.8566,12.75,12.79
3962,2020-11-23,12.76,12.82,12.71,12.75
3961,2020-11-20,12.77,12.79,12.7,12.7
3960,2020-11-19,12.66,12.74,12.62,12.74
3959,2020-11-18,12.67,12.8,12.63,12.65
3958,2020-11-17,12.64,12.73,12.58,12.7
3957,2020-11-16,12.63,12.67,12.55,12.66
3956,2020-11-13,12.48,12.555,12.43,12.53
3955,2020-11-12,12.4,12.4608,12.35,12.41
3954,2020-11-11,12.31,12.42,12.285,12.41
3953,2020-11-10,12.35,12.3589,12.15,12.26
3952,2020-11-09,12.57,12.7,12.42,12.42
3951,2020-11-06,12.24,12.33,12.2,12.27
3950,2020-11-05,12.07,12.3,12.07,12.29
3949,2020-11-04,11.87,12.07,11.82,11.96
3948,2020-11-03,11.63,11.83,11.62,11.78
3947,2020-11-02,11.54,11.6601,11.5,11.54
3946,2020-10-30,11.59,11.69,11.44,11.53
3945,2020-10-29,11.56,11.785,11.56,11.72
3944,2020-10-28,11.77,11.77,11.555,11.59
3943,2020-10-27,11.9,11.9729,11.9,11.9
3942,2020-10-26,12.04,12.11,11.859,11.93
3941,2020-10-23,12.21,12.23,12.12,12.14
3940,2020-10-22,12.16,12.182,12.09,12.17
3939,2020-10-21,12.16,12.25,12.16,12.16
3938,2020-10-20,12.15,12.24,12.14,12.2
3937,2020-10-19,12.23,12.3,12.08,12.12
3936,2020-10-16,12.25,12.3,12.2205,12.23
3935,2020-10-15,12.16,12.2576,12.1092,12.23
3934,2020-10-14,12.38,12.41,12.23,12.26
3933,2020-10-13,12.39,12.39,12.29,12.34
3932,2020-10-12,12.4,12.405,12.34,12.4
3931,2020-10-09,12.3,12.34,12.254,12.31
3930,2020-10-08,12.16,12.23,12.14,12.22
3929,2020-10-07,12.02,12.1351,11.9961,12.1
3928,2020-10-06,12.0,12.09,11.88,11.89
3927,2020-10-05,11.81,11.98,11.81,11.97
3926,2020-10-02,11.52,11.849,11.52,11.8
3925,2020-10-01,11.8,11.91,11.79,11.84
3924,2020-09-30,11.69,11.89,11.69,11.8
3923,2020-09-29,11.77,11.78,11.6618,11.72
3922,2020-09-28,11.75,11.86,11.74,11.77
3921,2020-09-25,11.47,11.65,11.4,11.64
3920,2020-09-24,11.5,11.55,11.39,11.43
3919,2020-09-23,11.83,11.84,11.51,11.51
3918,2020-09-22,11.72,11.79,11.61,11.79
3917,2020-09-21,11.63,11.661,11.5103,11.65
3916,2020-09-18,11.92,11.97,11.73,11.83
