,Date,Open,High,Low,Close
4045,2020-12-14,2.11,2.16,2.07,2.09
4044,2020-12-11,2.24,2.24,2.13,2.15
4043,2020-12-10,2.12,2.24,2.12,2.23
4042,2020-12-09,2.1,2.17,2.05,2.14
4041,2020-12-08,2.18,2.18,2.1,2.11
4040,2020-12-07,2.0,2.18,1.995,2.13
4039,2020-12-04,1.9,2.05,1.9,2.02
4038,2020-12-03,1.95,1.96,1.88,1.93
4037,2020-12-02,1.95,1.96,1.88,1.95
4036,2020-12-01,1.91,1.96,1.83,1.95
4035,2020-11-30,1.8,1.88,1.72,1.86
4034,2020-11-27,1.74,1.83,1.72,1.83
4033,2020-11-25,1.77,1.81,1.71,1.75
4032,2020-11-24,1.65,1.76,1.64,1.74
4031,2020-11-23,1.83,1.83,1.7,1.73
4030,2020-11-20,1.8,1.86,1.78,1.82
4029,2020-11-19,1.77,1.82,1.76,1.78
4028,2020-11-18,1.8,1.85,1.76,1.8
4027,2020-11-17,1.85,1.88,1.77,1.81
4026,2020-11-16,1.85,1.9,1.82,1.88
4025,2020-11-13,1.9,1.9034,1.82,1.85
4024,2020-11-12,1.88,1.9,1.83,1.88
4023,2020-11-11,1.9,1.93,1.83,1.85
4022,2020-11-10,1.97,2.02,1.86,1.95
4021,2020-11-09,1.87,1.97,1.78,1.97
4020,2020-11-06,2.01,2.01,1.93,1.97
4019,2020-11-05,2.06,2.15,1.96,1.97
4018,2020-11-04,2.04,2.04,1.95,2.0
4017,2020-11-03,2.09,2.09,2.005,2.01
4016,2020-11-02,2.07,2.08,2.0,2.04
4015,2020-10-30,2.02,2.055,1.92,2.03
4014,2020-10-29,1.99,2.04,1.96,2.0
4013,2020-10-28,2.08,2.08,1.92,2.0
4012,2020-10-27,2.16,2.19,2.1,2.17
4011,2020-10-26,2.16,2.26,2.13,2.15
4010,2020-10-23,2.26,2.27,2.15,2.2
4009,2020-10-22,2.22,2.26,2.16,2.26
4008,2020-10-21,2.19,2.28,2.19,2.22
4007,2020-10-20,2.07,2.18,2.06,2.17
4006,2020-10-19,2.06,2.11,2.04,2.08
4005,2020-10-16,2.11,2.115,2.03,2.06
4004,2020-10-15,2.12,2.14,2.06,2.11
4003,2020-10-14,2.15,2.19,2.11,2.14
4002,2020-10-13,2.09,2.13,2.0,2.1
4001,2020-10-12,2.14,2.1401,2.04,2.07
4000,2020-10-09,2.06,2.11,1.98,2.09
3999,2020-10-08,1.99,2.0,1.93,1.95
3998,2020-10-07,2.02,2.0565,1.91,1.94
3997,2020-10-06,1.98,2.22,1.97,1.98
3996,2020-10-05,1.77,1.96,1.76,1.96
3995,2020-10-02,1.79,1.81,1.725,1.74
3994,2020-10-01,1.73,1.81,1.695,1.79
3993,2020-09-30,1.72,1.72,1.65,1.7
3992,2020-09-29,1.7,1.75,1.68,1.72
3991,2020-09-28,1.71,1.73,1.62,1.68
3990,2020-09-25,1.65,1.685,1.61,1.66
3989,2020-09-24,1.61,1.71,1.56,1.68
3988,2020-09-23,1.75,1.76,1.55,1.62
3987,2020-09-22,1.8,1.84,1.7511,1.83
3986,2020-09-21,1.81,1.89,1.72,1.77
3985,2020-09-18,1.93,1.94,1.84,1.88
3984,2020-09-17,2.02,2.02,1.88,1.9
3983,2020-09-16,1.9,2.06,1.885,2.04
3982,2020-09-15,1.94,1.94,1.84,1.85
3981,2020-09-14,1.83,1.92,1.8265,1.9
3980,2020-09-11,1.88,1.9,1.75,1.78
3979,2020-09-10,1.93,1.97,1.85,1.86
3978,2020-09-09,1.8,1.9,1.78,1.89
3977,2020-09-08,1.76,1.87,1.73,1.78
3976,2020-09-04,1.82,1.85,1.7,1.82
3975,2020-09-03,1.68,1.81,1.655,1.81
3974,2020-09-02,1.66,1.7,1.58,1.7
3973,2020-09-01,1.7,1.7,1.62,1.69
3972,2020-08-31,1.61,1.69,1.61,1.67
3971,2020-08-28,1.61,1.65,1.58,1.61
3970,2020-08-27,1.62,1.64,1.52,1.56
3969,2020-08-26,1.45,1.63,1.44,1.58
3968,2020-08-25,1.5,1.529,1.41,1.47
3967,2020-08-24,1.53,1.55,1.471,1.5
3966,2020-08-21,1.52,1.54,1.49,1.52
3965,2020-08-20,1.54,1.58,1.49,1.57
3964,2020-08-19,1.63,1.65,1.5014,1.53
3963,2020-08-18,1.68,1.72,1.58,1.63
3962,2020-08-17,1.6,1.69,1.5899,1.67
3961,2020-08-14,1.6,1.6,1.5025,1.55
3960,2020-08-13,1.5,1.6,1.45,1.57
3959,2020-08-12,1.44,1.5,1.4,1.45
3958,2020-08-11,1.45,1.5,1.41,1.42
3957,2020-08-10,1.61,1.68,1.56,1.56
3956,2020-08-07,1.62,1.63,1.55,1.61
3955,2020-08-06,1.67,1.695,1.62,1.63
3954,2020-08-05,1.71,1.76,1.64,1.65
3953,2020-08-04,1.62,1.68,1.605,1.66
3952,2020-08-03,1.64,1.65,1.56,1.62
3951,2020-07-31,1.62,1.68,1.62,1.65
3950,2020-07-30,1.58,1.61,1.49,1.59
3949,2020-07-29,1.67,1.68,1.5807,1.66
3948,2020-07-28,1.69,1.7,1.63,1.66
3947,2020-07-27,1.68,1.71,1.63,1.67
3946,2020-07-24,1.56,1.635,1.53,1.6
3945,2020-07-23,1.63,1.63,1.5,1.54
3944,2020-07-22,1.62,1.64,1.56,1.62
3943,2020-07-21,1.52,1.62,1.46,1.52
3942,2020-07-20,1.4,1.49,1.38,1.49
3941,2020-07-17,1.32,1.38,1.3,1.38
3940,2020-07-16,1.35,1.35,1.28,1.31
3939,2020-07-15,1.29,1.36,1.27,1.36
3938,2020-07-14,1.29,1.32,1.25,1.31
3937,2020-07-13,1.39,1.4,1.3,1.32
3936,2020-07-10,1.39,1.41,1.34,1.36
3935,2020-07-09,1.44,1.45,1.34,1.38
3934,2020-07-08,1.44,1.48,1.39,1.41
3933,2020-07-07,1.3,1.44,1.29,1.41
3932,2020-07-06,1.33,1.36,1.28,1.33
3931,2020-07-02,1.34,1.37,1.32,1.33
3930,2020-07-01,1.35,1.36,1.3,1.34
3929,2020-06-30,1.32,1.37,1.32,1.35
3928,2020-06-29,1.34,1.35,1.29,1.34
3927,2020-06-26,1.3,1.35,1.26,1.34
3926,2020-06-25,1.31,1.33,1.235,1.31
3925,2020-06-24,1.28,1.34,1.24,1.31
3924,2020-06-23,1.21,1.29,1.19,1.27
3923,2020-06-22,1.17,1.2,1.14,1.18
3922,2020-06-19,1.15,1.22,1.05,1.12
3921,2020-06-18,1.09,1.14,1.07,1.11
3920,2020-06-17,1.13,1.18,1.06,1.08
3919,2020-06-16,1.27,1.27,1.13,1.14
3918,2020-06-15,1.21,1.26,1.15,1.25
3917,2020-06-12,1.42,1.43,1.26,1.27
3916,2020-06-11,1.5,1.53,1.29,1.36
3915,2020-06-10,1.34,1.5,1.34,1.5
3914,2020-06-09,1.25,1.36,1.24,1.32
3913,2020-06-08,1.19,1.22,1.1601,1.21
3912,2020-06-05,1.14,1.22,1.13,1.19
3911,2020-06-04,1.2,1.25,1.18,1.22
3910,2020-06-03,1.2,1.2,1.12,1.19
3909,2020-06-02,1.24,1.28,1.2,1.21
3908,2020-06-01,1.23,1.28,1.2,1.23
3907,2020-05-29,1.25,1.25,1.21,1.21
3906,2020-05-28,1.2,1.27,1.19,1.21
3905,2020-05-27,1.12,1.2,1.09,1.2
3904,2020-05-26,1.17,1.19,1.15,1.16
3903,2020-05-22,1.17,1.23,1.14,1.2
3902,2020-05-21,1.15,1.15,1.09,1.14
3901,2020-05-20,1.14,1.18,1.13,1.16
3900,2020-05-19,1.05,1.12,1.04,1.1
3899,2020-05-18,1.05,1.06,1.0,1.03
3898,2020-05-15,1.03,1.04,1.01,1.02
3897,2020-05-14,0.94,1.01,0.94,0.9981
3896,2020-05-13,0.9899,1.02,0.931,0.9606
3895,2020-05-12,0.9837,1.04,0.96,0.9707
3894,2020-05-11,1.03,1.03,0.96,0.9717
3893,2020-05-08,1.0,1.07,0.9854,1.02
3892,2020-05-07,0.89,1.0,0.8802,1.0
3891,2020-05-06,0.87,0.899,0.848,0.8851
3890,2020-05-05,0.8501,0.8899,0.8401,0.8683
3889,2020-05-04,0.8351,0.87,0.831,0.86
3888,2020-05-01,0.79,0.832,0.7701,0.831
3887,2020-04-30,0.85,0.85,0.7901,0.8081
3886,2020-04-29,0.85,0.8751,0.8,0.8518
3885,2020-04-28,0.891,0.895,0.85,0.8635
3884,2020-04-27,0.87,0.8999,0.8401,0.8838
3883,2020-04-24,0.8798,0.8799,0.8057,0.8609
3882,2020-04-23,0.85,0.9,0.82,0.8502
3881,2020-04-22,0.79,0.83,0.785,0.8019
3880,2020-04-21,0.725,0.78,0.7131,0.7605
3879,2020-04-20,0.71,0.777,0.71,0.7471
3878,2020-04-17,0.69,0.7475,0.6501,0.6894
3877,2020-04-16,0.7451,0.76,0.69,0.7075
3876,2020-04-15,0.7428,0.7595,0.6693,0.6997
3875,2020-04-14,0.7667,0.85,0.715,0.7493
3874,2020-04-13,0.599,0.74,0.5702,0.7188
3873,2020-04-09,0.57,0.6355,0.56,0.582
3872,2020-04-08,0.57,0.5799,0.5475,0.5513
3871,2020-04-07,0.595,0.5997,0.5636,0.5797
3870,2020-04-06,0.579,0.5999,0.56,0.5829
3869,2020-04-03,0.5701,0.5821,0.5501,0.5581
3868,2020-04-02,0.5599,0.64,0.5451,0.55
3867,2020-04-01,0.5201,0.5444,0.5101,0.5388
