,Date,Open,High,Low,Close
1122,2020-12-14,26.0733,26.24,26.07,26.07
1121,2020-12-11,26.07,26.095,26.05,26.095
1120,2020-12-10,26.07,26.1168,26.07,26.1168
1119,2020-12-09,26.074,26.08,26.07,26.08
1118,2020-12-08,26.1,26.1,26.07,26.08
1117,2020-12-07,26.095,26.1,26.07,26.08
1116,2020-12-04,26.12,26.15,26.11,26.12
1115,2020-12-03,26.122,26.129,26.08,26.1
1114,2020-12-02,26.22,26.22,26.1173,26.1599
1113,2020-12-01,26.15,26.24,26.12,26.17
1112,2020-11-30,26.02,26.17,26.02,26.17
1111,2020-11-27,26.18,26.22,26.18,26.18
1110,2020-11-25,26.06,26.177,26.06,26.177
1109,2020-11-24,26.02,26.16,26.02,26.14
1108,2020-11-23,26.16,26.17,26.0,26.08
1107,2020-11-20,26.14,26.17,26.135,26.1513
1106,2020-11-19,26.07,26.17,26.07,26.17
1105,2020-11-18,25.9,26.12,25.9,26.0435
1104,2020-11-17,26.09,26.14,25.88,25.9
1103,2020-11-16,26.07,26.16,26.02,26.09
1102,2020-11-13,26.0,26.09,26.0,26.02
1101,2020-11-12,26.05,26.2,26.05,26.1
1100,2020-11-11,26.2,26.23,26.01,26.09
1099,2020-11-10,26.05,26.23,25.9601,26.21
1098,2020-11-09,25.91,26.23,25.91,26.16
1097,2020-11-06,26.07,26.0999,26.07,26.08
1096,2020-11-05,26.03,26.12,25.995,25.995
1095,2020-11-04,26.0,26.13,26.0,26.13
1094,2020-11-03,26.09,26.09,25.84,26.07
1093,2020-11-02,26.03,26.08,25.83,26.08
1092,2020-10-30,25.79,26.05,25.75,26.03
1091,2020-10-29,25.78,25.89,25.78,25.78
1090,2020-10-28,25.91,25.94,25.7801,25.94
1089,2020-10-27,25.91,25.91,25.78,25.82
1088,2020-10-26,25.78,25.9041,25.78,25.78
1087,2020-10-23,25.81,25.91,25.81,25.8704
1086,2020-10-22,25.79,25.8,25.77,25.77
1085,2020-10-21,25.91,25.91,25.7693,25.79
1084,2020-10-20,25.84,25.91,25.84,25.85
1083,2020-10-19,25.79,25.84,25.79,25.84
1082,2020-10-16,25.8,25.9087,25.78,25.79
1081,2020-10-15,25.93,25.93,25.8205,25.91
1080,2020-10-14,25.86,25.86,25.75,25.75
1079,2020-10-13,25.85,25.91,25.84,25.89
1078,2020-10-12,25.9,25.92,25.85,25.91
1077,2020-10-09,25.9954,25.9954,25.79,25.9
1076,2020-10-08,26.0,26.08,26.0,26.0
1075,2020-10-07,26.02,26.07,25.89,26.05
1074,2020-10-06,25.85,26.07,25.85,26.07
1073,2020-10-05,25.855,26.03,25.855,26.005
1072,2020-10-02,25.93,25.97,25.93,25.95
1071,2020-10-01,25.79,25.95,25.69,25.95
1070,2020-09-30,25.77,25.82,25.53,25.53
1069,2020-09-29,26.19,26.2,26.15,26.18
1068,2020-09-28,26.11,26.1861,26.105,26.1861
1067,2020-09-25,26.0718,26.2034,26.07,26.11
1066,2020-09-24,26.0953,26.1599,26.04,26.1
1065,2020-09-23,26.24,26.24,26.05,26.06
1064,2020-09-22,26.02,26.23,26.02,26.2
1063,2020-09-21,26.08,26.1264,26.02,26.1
1062,2020-09-18,26.2115,26.2115,26.0718,26.0718
1061,2020-09-17,26.3,26.35,26.11,26.1999
1060,2020-09-16,26.23,26.35,26.23,26.35
1059,2020-09-15,26.19,26.3,26.1844,26.3
