,Date,Open,High,Low,Close
1439,2020-12-14,25.49,25.5,25.44,25.49
1438,2020-12-11,25.4898,25.49,25.4647,25.4694
1437,2020-12-10,25.45,25.49,25.44,25.47
1436,2020-12-09,25.43,25.46,25.43,25.4586
1435,2020-12-08,25.44,25.46,25.42,25.43
1434,2020-12-07,25.5,25.5,25.42,25.45
1433,2020-12-04,25.42,25.4443,25.42,25.44
1432,2020-12-03,25.44,25.4762,25.42,25.45
1431,2020-12-02,25.43,25.4679,25.425,25.45
1430,2020-12-01,25.47,25.48,25.445,25.45
1429,2020-11-30,25.43,25.44,25.39,25.42
1428,2020-11-27,25.43,25.44,25.4,25.43
1427,2020-11-25,25.39,25.4,25.37,25.39
1426,2020-11-24,25.36,25.4,25.36,25.4
1425,2020-11-23,25.41,25.41,25.34,25.35
1424,2020-11-20,25.3556,25.3803,25.3556,25.38
1423,2020-11-19,25.35,25.37,25.33,25.34
1422,2020-11-18,25.37,25.37,25.34,25.37
1421,2020-11-17,25.37,25.3894,25.32,25.32
1420,2020-11-16,25.31,25.39,25.31,25.31
1419,2020-11-13,25.31,25.38,25.31,25.3625
1418,2020-11-12,25.3,25.34,25.3,25.33
1417,2020-11-11,25.32,25.34,25.32,25.33
1416,2020-11-10,25.3586,25.3586,25.2901,25.34
1415,2020-11-09,25.28,25.395,25.28,25.38
1414,2020-11-06,25.26,25.3,25.26,25.3
1413,2020-11-05,25.33,25.33,25.272,25.3
1412,2020-11-04,25.28,25.32,25.25,25.32
1411,2020-11-03,25.3,25.3,25.24,25.29
1410,2020-11-02,25.24,25.3,25.24,25.2564
1409,2020-10-30,25.22,25.32,25.22,25.31
1408,2020-10-29,25.21,25.22,25.2,25.22
1407,2020-10-28,25.24,25.24,25.21,25.21
1406,2020-10-27,25.225,25.24,25.21,25.24
1405,2020-10-26,25.2,25.23,25.19,25.23
1404,2020-10-23,25.2,25.21,25.2,25.21
1403,2020-10-22,25.22,25.22,25.19,25.21
1402,2020-10-21,25.21,25.21,25.17,25.2
1401,2020-10-20,25.19,25.22,25.19,25.2197
1400,2020-10-19,25.2021,25.2263,25.19,25.22
1399,2020-10-16,25.21,25.242,25.2,25.2
1398,2020-10-15,25.32,25.32,25.21,25.21
1397,2020-10-14,25.205,25.2977,25.18,25.2506
1396,2020-10-13,25.16,25.24,25.16,25.2
1395,2020-10-12,25.22,25.2226,25.2,25.2
1394,2020-10-09,25.2239,25.24,25.1925,25.2399
1393,2020-10-08,25.2269,25.24,25.196,25.22
1392,2020-10-07,25.21,25.24,25.2,25.2215
1391,2020-10-06,25.19,25.27,25.19,25.2
1390,2020-10-05,25.18,25.21,25.17,25.1894
1389,2020-10-02,25.2193,25.2193,25.11,25.141
1388,2020-10-01,25.2,25.22,25.15,25.22
1387,2020-09-30,25.19,25.2,25.12,25.2
1386,2020-09-29,25.62,25.621,25.56,25.585
1385,2020-09-28,25.59,25.59,25.52,25.58
1384,2020-09-25,25.59,25.59,25.51,25.51
1383,2020-09-24,25.5,25.59,25.44,25.539
1382,2020-09-23,25.53,25.55,25.46,25.48
1381,2020-09-22,25.49,25.53,25.49,25.51
1380,2020-09-21,25.47,25.5,25.38,25.4734
1379,2020-09-18,25.52,25.52,25.47,25.48
1378,2020-09-17,25.52,25.52,25.4773,25.4773
1377,2020-09-16,25.48,25.53,25.47,25.5219
1376,2020-09-15,25.48,25.49,25.47,25.47
1375,2020-09-14,25.48,25.48,25.46,25.4601
1374,2020-09-11,25.46,25.48,25.46,25.48
1373,2020-09-10,25.49,25.49,25.45,25.4775
1372,2020-09-09,25.45,25.46,25.44,25.4501
1371,2020-09-08,25.48,25.48,25.41,25.41
1370,2020-09-04,25.41,25.48,25.4,25.43
1369,2020-09-03,25.42,25.4578,25.41,25.41
1368,2020-09-02,25.41,25.4555,25.41,25.42
1367,2020-09-01,25.43,25.43,25.4001,25.4147
1366,2020-08-31,25.4,25.43,25.39,25.43
1365,2020-08-28,25.41,25.43,25.4,25.42
1364,2020-08-27,25.38,25.41,25.38,25.41
1363,2020-08-26,25.4122,25.4186,25.38,25.38
1362,2020-08-25,25.38,25.4001,25.37,25.3801
1361,2020-08-24,25.43,25.43,25.37,25.415
1360,2020-08-21,25.4,25.43,25.37,25.37
1359,2020-08-20,25.45,25.45,25.39,25.41
1358,2020-08-19,25.38,25.38,25.37,25.37
1357,2020-08-18,25.35,25.38,25.35,25.37
1356,2020-08-17,25.36,25.37,25.34,25.35
1355,2020-08-14,25.33,25.36,25.33,25.33
1354,2020-08-13,25.36,25.36,25.33,25.33
1353,2020-08-12,25.36,25.36,25.33,25.35
1352,2020-08-11,25.35,25.36,25.33,25.345
1351,2020-08-10,25.33,25.3494,25.32,25.333
1350,2020-08-07,25.32,25.34,25.32,25.33
1349,2020-08-06,25.3,25.34,25.3,25.31
