,Date,Open,High,Low,Close
5314,2020-12-14,2.846,2.865,2.69,2.705
5313,2020-12-11,2.99,2.99,2.8,2.86
5312,2020-12-10,2.71,2.9297,2.61,2.7255
5311,2020-12-09,2.57,2.8237,2.57,2.66
5310,2020-12-08,2.74,2.74,2.5501,2.63
5309,2020-12-07,2.69,2.7215,2.6161,2.67
5308,2020-12-04,2.6972,2.77,2.55,2.56
5307,2020-12-03,2.66,2.67,2.62,2.67
5306,2020-12-02,2.63,2.69,2.62,2.65
5305,2020-12-01,2.6135,2.7774,2.61,2.64
5304,2020-11-30,2.6,2.95,2.6,2.64
5303,2020-11-27,2.6973,2.75,2.6,2.63
5302,2020-11-25,2.65,2.675,2.6391,2.675
5301,2020-11-24,2.71,2.71,2.62,2.62
5300,2020-11-23,2.74,2.74,2.7,2.71
5299,2020-11-20,2.74,2.74,2.67,2.7
5298,2020-11-19,2.7,2.8,2.67,2.7
5297,2020-11-18,2.77,3.0,2.67,2.7
5296,2020-11-17,2.94,2.94,2.66,2.69
5295,2020-11-16,2.63,2.8084,2.6,2.75
5294,2020-11-13,2.0,3.25,1.91,2.72
5293,2020-11-12,1.8399,1.8638,1.8399,1.8638
5292,2020-11-11,1.84,1.84,1.84,1.84
5291,2020-11-10,1.83,1.83,1.83,1.83
5290,2020-11-09,1.9,1.9199,1.855,1.91
5289,2020-11-06,1.88,1.88,1.88,1.88
5288,2020-11-05,1.81,1.88,1.7734,1.88
5287,2020-11-04,1.95,1.95,1.95,1.95
5286,2020-11-03,1.815,1.95,1.79,1.95
5285,2020-11-02,1.7745,1.7745,1.7745,1.7745
5284,2020-10-30,1.78,1.82,1.78,1.79
5283,2020-10-29,1.785,1.785,1.785,1.785
5282,2020-10-28,1.79,1.8144,1.75,1.809
5281,2020-10-27,1.88,1.88,1.8234,1.8234
5280,2020-10-26,1.8918,1.94,1.8878,1.9
5279,2020-10-23,1.9376,1.96,1.915,1.95
5278,2020-10-22,1.97,1.97,1.75,1.89
5277,2020-10-21,1.9735,1.99,1.97,1.99
5276,2020-10-20,1.9999,2.0,1.9776,1.9776
5275,2020-10-19,2.0,2.0,2.0,2.0
5274,2020-10-16,1.99,1.99,1.93,1.93
5273,2020-10-15,1.82,1.98,1.82,1.97
5272,2020-10-14,1.99,1.99,1.8693,1.9
5271,2020-10-13,2.12,2.12,1.86,2.0
5270,2020-10-12,2.125,2.125,2.125,2.125
5269,2020-10-09,2.26,2.26,2.25,2.25
5268,2020-10-08,2.21,2.21,2.21,2.21
5267,2020-10-07,2.12,2.155,2.12,2.1508
5266,2020-10-06,2.1617,2.33,2.1617,2.29
5265,2020-10-05,2.17,2.3,2.155,2.16
5264,2020-10-02,2.0101,2.26,2.0101,2.19
5263,2020-10-01,2.165,2.23,2.165,2.23
5262,2020-09-30,2.1,2.21,2.09,2.12
5261,2020-09-29,2.1,2.11,2.085,2.11
5260,2020-09-28,2.28,2.28,2.075,2.1
5259,2020-09-25,2.15,2.15,2.15,2.15
5258,2020-09-24,2.19,2.2,2.1,2.1
5257,2020-09-23,2.18,2.2285,2.1787,2.2285
5256,2020-09-22,2.17,2.17,2.1263,2.1263
5255,2020-09-21,2.1,2.19,2.1,2.145
5254,2020-09-18,2.1001,2.16,2.08,2.08
5253,2020-09-17,2.15,2.15,2.14,2.14
5252,2020-09-16,2.13,2.18,2.1015,2.11
5251,2020-09-15,2.12,2.17,2.11,2.13
5250,2020-09-14,2.2,2.2,2.17,2.175
5249,2020-09-11,2.23,2.23,2.22,2.22
5248,2020-09-10,2.12,2.27,2.12,2.21
5247,2020-09-09,2.29,2.35,2.265,2.34
5246,2020-09-08,2.1936,2.31,2.1712,2.3
5245,2020-09-04,2.17,2.2376,2.17,2.2
5244,2020-09-03,2.42,2.42,2.21,2.28
5243,2020-09-02,2.2,2.225,2.2,2.2099
5242,2020-09-01,2.25,2.25,2.19,2.19
5241,2020-08-31,2.38,2.38,2.15,2.19
5240,2020-08-28,2.3,2.31,2.2235,2.31
5239,2020-08-27,2.35,2.37,2.23,2.323
5238,2020-08-26,2.45,2.5312,2.36,2.39
5237,2020-08-25,2.39,2.49,2.3505,2.46
5236,2020-08-24,2.3501,2.5,2.3501,2.385
5235,2020-08-21,2.4,2.4093,2.35,2.4
5234,2020-08-20,2.3502,2.389,2.35,2.36
5233,2020-08-19,2.39,2.39,2.35,2.35
5232,2020-08-18,2.35,2.37,2.3301,2.37
5231,2020-08-17,2.43,2.43,2.31,2.37
5230,2020-08-14,2.37,2.37,2.3001,2.35
5229,2020-08-13,2.37,2.415,2.345,2.345
5228,2020-08-12,2.35,2.5,2.25,2.26
5227,2020-08-11,2.35,2.35,2.35,2.35
5226,2020-08-10,2.36,2.42,2.31,2.35
5225,2020-08-07,2.3901,2.41,2.36,2.38
5224,2020-08-06,2.64,2.64,2.3863,2.3948
5223,2020-08-05,2.34,2.35,2.34,2.35
5222,2020-08-04,2.36,2.36,2.31,2.35
5221,2020-08-03,2.405,2.405,2.35,2.37
5220,2020-07-31,2.41,2.41,2.33,2.33
5219,2020-07-30,2.25,2.68,2.25,2.35
5218,2020-07-29,2.26,2.26,2.0501,2.25
5217,2020-07-28,2.05,2.3926,2.05,2.2612
5216,2020-07-27,1.99,1.99,1.99,1.99
5215,2020-07-24,1.99,1.99,1.99,1.99
5214,2020-07-23,1.9001,2.03,1.9001,2.02
5213,2020-07-22,1.9799,1.9799,1.9,1.94
5212,2020-07-21,2.02,2.02,2.02,2.02
5211,2020-07-20,1.97,1.97,1.97,1.97
5210,2020-07-17,1.97,1.97,1.97,1.97
5209,2020-07-16,1.97,1.97,1.97,1.97
5208,2020-07-15,2.02,2.02,1.97,1.97
5207,2020-07-14,1.99,2.0,1.97,1.97
5206,2020-07-13,2.03,2.03,2.03,2.03
5205,2020-07-10,1.96,1.96,1.93,1.93
5204,2020-07-09,2.0,2.0,1.97,1.97
5203,2020-07-08,1.94,1.99,1.94,1.98
5202,2020-07-07,1.92,1.94,1.92,1.94
5201,2020-07-06,1.99,2.03,1.99,2.03
5200,2020-07-02,2.0,2.0,1.94,1.94
5199,2020-07-01,2.0,2.0,2.0,2.0
5198,2020-06-30,2.0,2.0,2.0,2.0
5197,2020-06-29,1.8,2.1,1.65,2.0
5196,2020-06-26,2.14,2.1858,1.9,1.9
5195,2020-06-25,2.0201,2.1505,2.0201,2.13
5194,2020-06-24,2.0601,2.12,2.06,2.12
5193,2020-06-23,2.2,2.215,2.2,2.215
5192,2020-06-22,1.98,2.4858,1.98,2.17
5191,2020-06-19,2.02,2.14,1.97,1.97
5190,2020-06-18,1.92,1.9754,1.92,1.9754
5189,2020-06-17,2.04,2.04,1.95,1.95
5188,2020-06-16,2.03,2.04,2.0,2.04
5187,2020-06-15,1.94,2.02,1.94,1.94
5186,2020-06-12,1.8937,1.94,1.83,1.93
5185,2020-06-11,1.88,1.94,1.88,1.94
5184,2020-06-10,1.85,1.94,1.85,1.94
5183,2020-06-09,1.94,1.94,1.8601,1.94
5182,2020-06-08,1.9263,1.9706,1.91,1.92
5181,2020-06-05,1.955,1.976,1.955,1.9633
5180,2020-06-04,1.81,1.905,1.81,1.905
5179,2020-06-03,1.9704,2.04,1.91,1.96
5178,2020-06-02,2.02,2.03,1.97,2.0
5177,2020-06-01,2.02,2.04,2.02,2.04
5176,2020-05-29,2.02,2.03,1.91,2.02
5175,2020-05-28,2.02,2.02,1.93,2.0
5174,2020-05-27,2.03,2.04,2.02,2.02
5173,2020-05-26,2.05,2.05,2.02,2.0202
5172,2020-05-22,2.02,2.04,2.01,2.04
5171,2020-05-21,2.02,2.04,2.02,2.02
5170,2020-05-20,2.01,2.04,2.01,2.04
