,Date,Open,High,Low,Close
5314,2020-12-14,16.92,18.23,16.8989,17.64
5313,2020-12-11,16.76,16.8475,16.42,16.745
5312,2020-12-10,16.61,16.94,16.51,16.8
5311,2020-12-09,17.37,17.46,16.46,16.59
5310,2020-12-08,17.16,17.5,17.04,17.28
5309,2020-12-07,17.45,17.72,17.25,17.34
5308,2020-12-04,17.17,17.535,17.1,17.4
5307,2020-12-03,17.24,17.39,17.0,17.07
5306,2020-12-02,16.5,17.55,16.5,17.275
5305,2020-12-01,16.39,16.64,16.16,16.47
5304,2020-11-30,16.91,16.96,16.29,16.39
5303,2020-11-27,16.5,16.83,16.35,16.79
5302,2020-11-25,16.58,16.75,16.35,16.48
5301,2020-11-24,16.54,16.99,16.42,16.69
5300,2020-11-23,16.8375,16.85,16.2,16.53
5299,2020-11-20,17.34,17.34,16.72,16.76
5298,2020-11-19,17.05,17.37,16.9,17.27
5297,2020-11-18,17.56,17.64,17.07,17.11
5296,2020-11-17,16.93,17.66,16.73,17.56
5295,2020-11-16,17.46,17.48,16.7,16.95
5294,2020-11-13,17.25,17.5,17.135,17.27
5293,2020-11-12,17.2,17.6499,16.99,17.14
5292,2020-11-11,16.88,17.4,16.77,17.11
5291,2020-11-10,17.08,17.25,16.5215,16.84
5290,2020-11-09,18.17,18.79,17.09,17.09
5289,2020-11-06,17.33,18.99,17.18,17.42
5288,2020-11-05,17.23,17.58,16.84,16.89
5287,2020-11-04,15.85,17.26,15.85,16.97
5286,2020-11-03,16.25,16.552,15.635,15.77
5285,2020-11-02,16.2,16.25,15.61,16.12
5284,2020-10-30,16.12,16.205,15.66,15.84
5283,2020-10-29,15.89,16.315,15.395,16.21
5282,2020-10-28,16.11,16.49,15.8,15.91
5281,2020-10-27,16.56,16.96,16.37,16.48
5280,2020-10-26,17.26,17.58,16.91,16.97
5279,2020-10-23,17.34,17.57,16.85,17.54
5278,2020-10-22,16.63,17.48,16.57,17.18
5277,2020-10-21,17.07,17.21,16.55,16.615
5276,2020-10-20,17.05,17.37,16.83,17.17
5275,2020-10-19,17.16,17.34,16.77,16.87
5274,2020-10-16,17.69,17.87,17.12,17.14
5273,2020-10-15,17.29,17.98,17.22,17.69
5272,2020-10-14,17.01,18.09,16.92,17.54
5271,2020-10-13,17.1,17.4,16.91,16.98
5270,2020-10-12,17.91,17.94,17.19,17.26
5269,2020-10-09,18.31,18.31,17.83,17.87
5268,2020-10-08,17.92,18.23,17.9,18.13
5267,2020-10-07,17.3,17.97,17.1,17.82
5266,2020-10-06,17.36,17.63,17.13,17.19
5265,2020-10-05,16.53,17.3,16.5,17.28
5264,2020-10-02,16.44,16.69,16.22,16.28
5263,2020-10-01,16.56,16.75,16.46,16.71
5262,2020-09-30,16.89,17.0,16.41,16.59
5261,2020-09-29,16.82,17.2648,16.595,16.89
5260,2020-09-28,17.65,17.7,16.7,16.84
5259,2020-09-25,17.91,18.16,17.48,17.61
5258,2020-09-24,18.85,18.85,17.87,18.03
5257,2020-09-23,19.84,20.1,18.9,18.91
5256,2020-09-22,19.46,20.13,19.1642,19.9
5255,2020-09-21,19.74,19.79,18.94,19.41
5254,2020-09-18,20.51,20.55,19.95,20.17
5253,2020-09-17,20.07,20.48,19.86,20.34
5252,2020-09-16,20.02,20.645,20.01,20.31
5251,2020-09-15,19.91,20.41,19.82,20.01
5250,2020-09-14,19.01,19.86,19.01,19.75
5249,2020-09-11,19.0,19.23,18.59,18.82
5248,2020-09-10,18.92,19.545,18.81,18.82
5247,2020-09-09,18.65,19.09,18.47,18.85
5246,2020-09-08,18.63,18.82,18.32,18.44
5245,2020-09-04,19.23,19.41,18.16,18.92
5244,2020-09-03,19.06,19.57,18.85,19.15
5243,2020-09-02,19.2,19.41,19.06,19.2
5242,2020-09-01,19.39,19.47,18.95,19.15
5241,2020-08-31,19.13,19.46,19.09,19.34
5240,2020-08-28,19.18,19.29,18.86,19.14
5239,2020-08-27,19.4,19.57,19.02,19.17
5238,2020-08-26,19.18,19.46,19.06,19.45
5237,2020-08-25,19.22,19.6899,18.94,19.335
5236,2020-08-24,19.16,19.445,18.935,19.16
5235,2020-08-21,19.08,19.33,18.97,19.15
5234,2020-08-20,19.1,19.38,18.97,19.18
5233,2020-08-19,19.49,19.63,19.28,19.31
5232,2020-08-18,19.68,19.8311,19.06,19.49
5231,2020-08-17,19.59,20.0,19.3,19.61
5230,2020-08-14,19.88,19.97,19.445,19.55
5229,2020-08-13,20.05,20.49,19.91,20.05
5228,2020-08-12,20.41,20.81,20.06,20.1
5227,2020-08-11,21.36,21.36,20.3699,20.4
5226,2020-08-10,21.83,22.0,21.3,21.355
5225,2020-08-07,22.5,22.98,21.74,21.85
5224,2020-08-06,21.67,21.83,21.14,21.51
5223,2020-08-05,21.7,22.07,21.43,21.75
5222,2020-08-04,22.0,22.17,21.565,21.92
5221,2020-08-03,22.36,22.45,21.96,22.08
5220,2020-07-31,23.33,23.33,22.071,22.16
5219,2020-07-30,22.35,23.6113,22.23,23.27
5218,2020-07-29,23.16,23.2,22.45,22.72
5217,2020-07-28,23.69,23.76,23.1213,23.19
5216,2020-07-27,23.1,23.68,22.8437,23.65
5215,2020-07-24,23.58,23.68,23.05,23.08
5214,2020-07-23,24.08,24.37,23.63,23.76
5213,2020-07-22,24.27,24.63,23.895,24.01
5212,2020-07-21,24.75,24.87,24.13,24.31
5211,2020-07-20,24.46,24.78,24.21,24.58
5210,2020-07-17,24.18,24.52,23.86,24.37
5209,2020-07-16,24.53,24.53,23.66,23.96
5208,2020-07-15,24.01,24.98,23.99,24.66
5207,2020-07-14,23.36,23.63,22.73,23.59
5206,2020-07-13,24.14,24.59,23.28,23.36
5205,2020-07-10,24.28,24.53,23.88,24.03
5204,2020-07-09,24.88,25.06,24.09,24.41
5203,2020-07-08,24.23,24.88,23.86,24.79
5202,2020-07-07,23.63,24.63,23.42,24.14
5201,2020-07-06,23.89,24.44,23.48,23.98
5200,2020-07-02,23.76,24.34,23.45,23.52
5199,2020-07-01,23.25,24.11,23.16,23.45
5198,2020-06-30,22.26,23.33,22.15,23.16
5197,2020-06-29,22.35,22.92,21.8101,22.42
5196,2020-06-26,22.39,22.56,21.94,22.05
5195,2020-06-25,21.9,22.8,21.851,22.49
5194,2020-06-24,22.4304,23.09,22.06,22.09
5193,2020-06-23,23.69,23.96,22.94,22.97
5192,2020-06-22,22.81,23.4727,22.65,23.44
5191,2020-06-19,22.24,22.98,21.9101,22.82
5190,2020-06-18,21.68,22.19,21.37,21.975
5189,2020-06-17,21.5,21.87,21.33,21.71
5188,2020-06-16,21.13,21.32,20.735,21.3
5187,2020-06-15,20.21,20.93,19.81,20.74
5186,2020-06-12,20.8,20.95,19.86,20.49
5185,2020-06-11,21.31,21.66,20.14,20.26
5184,2020-06-10,22.32,22.4,21.4,21.82
5183,2020-06-09,22.59,22.76,21.99,22.16
5182,2020-06-08,22.28,22.9,21.88,22.6
5181,2020-06-05,23.25,23.49,22.24,22.27
5180,2020-06-04,22.65,23.35,22.36,23.1
5179,2020-06-03,21.96,22.74,21.89,22.63
5178,2020-06-02,21.64,22.09,21.24,21.8
5177,2020-06-01,21.71,21.9,21.16,21.63
5176,2020-05-29,22.3,22.3,21.08,21.7
5175,2020-05-28,23.0,23.35,22.1,22.21
5174,2020-05-27,23.0,23.0,22.09,22.85
5173,2020-05-26,23.54,23.74,22.73,22.79
5172,2020-05-22,23.0,23.065,22.835,23.04
5171,2020-05-21,22.96,23.07,22.53,22.87
5170,2020-05-20,22.81,23.06,22.56,22.97
5169,2020-05-19,22.62,22.8,22.35,22.35
5168,2020-05-18,22.75,22.79,22.27,22.62
5167,2020-05-15,21.23,22.09,21.18,22.02
5166,2020-05-14,21.4,21.58,20.96,21.35
5165,2020-05-13,21.74,21.93,21.12,21.75
5164,2020-05-12,22.67,23.1202,21.71,21.73
5163,2020-05-11,20.36,22.975,20.35,22.67
5162,2020-05-08,20.41,22.63,20.2,20.77
5161,2020-05-07,19.85,20.37,19.3,19.88
5160,2020-05-06,19.83,19.85,19.24,19.53
5159,2020-05-05,19.5,19.87,19.2,19.48
5158,2020-05-04,18.01,19.08,17.63,19.07
5157,2020-05-01,18.94,19.075,17.83,18.055
5156,2020-04-30,19.41,20.2099,19.18,19.2
5155,2020-04-29,20.25,20.3399,19.62,19.68
5154,2020-04-28,20.3,20.3,19.76,19.89
5153,2020-04-27,19.9,20.3,19.67,20.09
5152,2020-04-24,19.54,19.825,19.25,19.6
5151,2020-04-23,19.65,20.1,19.34,19.39
5150,2020-04-22,19.61,19.88,19.21,19.5
5149,2020-04-21,19.74,19.9511,18.97,19.02
5148,2020-04-20,19.26,20.6794,19.11,20.11
5147,2020-04-17,18.75,19.52,18.61,19.43
5146,2020-04-16,18.51,18.9,18.08,18.37
5145,2020-04-15,19.0,19.15,17.94,18.4
5144,2020-04-14,19.01,19.6,18.72,19.21
5143,2020-04-13,18.8,18.98,17.98,18.66
5142,2020-04-09,18.7,19.21,18.33,18.78
5141,2020-04-08,17.84,18.76,17.44,18.44
5140,2020-04-07,18.36,18.85,17.54,17.59
5139,2020-04-06,17.31,18.39,17.31,18.06
