,Date,Open,High,Low,Close
923,2020-12-14,3.63,3.81,3.63,3.69
922,2020-12-11,3.78,3.79,3.61,3.66
921,2020-12-10,3.6978,3.78,3.61,3.78
920,2020-12-09,3.79,3.81,3.53,3.6
919,2020-12-08,3.86,3.9,3.45,3.77
918,2020-12-07,3.71,4.0466,3.71,3.73
917,2020-12-04,3.86,3.8953,3.7,3.7
916,2020-12-03,3.8,4.05,3.7,3.83
915,2020-12-02,3.96,3.96,3.78,3.83
914,2020-12-01,4.19,4.19,3.8,3.88
913,2020-11-30,4.3,4.32,3.95,4.1
912,2020-11-27,4.24,4.283,4.17,4.26
911,2020-11-25,4.07,4.33,4.07,4.26
910,2020-11-24,4.05,4.2,4.03,4.14
909,2020-11-23,4.02,4.08,3.94,4.0
908,2020-11-20,4.01,4.11,3.9901,4.02
907,2020-11-19,4.01,4.17,3.9,4.12
906,2020-11-18,4.0,4.04,3.87,3.98
905,2020-11-17,4.1,4.1,3.9379,3.94
904,2020-11-16,4.04,4.065,3.95,4.06
903,2020-11-13,3.83,4.11,3.83,3.99
902,2020-11-12,3.93,3.95,3.6738,3.84
901,2020-11-11,4.2099,4.2099,3.94,4.1
900,2020-11-10,3.89,4.18,3.8479,4.16
899,2020-11-09,3.92,3.98,3.77,3.83
898,2020-11-06,3.73,3.73,3.67,3.67
897,2020-11-05,3.5091,3.725,3.38,3.65
896,2020-11-04,3.55,3.58,3.45,3.5
895,2020-11-03,3.43,3.71,3.3957,3.69
894,2020-11-02,3.37,3.57,3.3013,3.49
893,2020-10-30,3.63,3.66,3.35,3.55
892,2020-10-29,3.59,3.71,3.48,3.62
891,2020-10-28,3.64,3.715,3.55,3.64
890,2020-10-27,3.69,3.836,3.69,3.7
889,2020-10-26,3.7635,4.05,3.55,3.69
888,2020-10-23,3.6818,4.0,3.68,3.81
887,2020-10-22,3.65,3.75,3.63,3.63
886,2020-10-21,3.7,3.7399,3.549,3.63
885,2020-10-20,3.75,3.855,3.65,3.75
884,2020-10-19,4.12,4.2499,3.8,3.82
883,2020-10-16,3.98,4.25,3.91,4.01
882,2020-10-15,3.78,4.2,3.73,4.05
881,2020-10-14,3.89,3.9,3.66,3.74
880,2020-10-13,3.8,3.83,3.62,3.77
879,2020-10-12,3.67,3.86,3.67,3.79
878,2020-10-09,3.76,3.96,3.63,3.69
877,2020-10-08,3.8,3.98,3.78,3.78
876,2020-10-07,3.72,4.17,3.72,3.8
875,2020-10-06,3.68,3.85,3.68,3.71
874,2020-10-05,3.61,3.84,3.57,3.66
873,2020-10-02,3.41,3.76,3.41,3.55
872,2020-10-01,3.64,3.66,3.4,3.47
871,2020-09-30,3.58,3.68,3.5,3.55
870,2020-09-29,3.67,3.73,3.465,3.63
869,2020-09-28,3.78,4.25,3.65,3.8
868,2020-09-25,3.66,3.75,3.1173,3.66
867,2020-09-24,3.56,3.72,3.34,3.61
866,2020-09-23,3.67,3.67,3.5,3.55
865,2020-09-22,3.665,3.7,3.59,3.64
864,2020-09-21,3.72,3.75,3.6,3.65
863,2020-09-18,3.97,4.02,3.75,3.75
862,2020-09-17,3.86,4.02,3.83,3.9
861,2020-09-16,3.94,4.1047,3.85,3.97
860,2020-09-15,4.06,4.13,3.94,3.95
859,2020-09-14,4.15,4.36,3.94,4.08
858,2020-09-11,4.07,4.22,3.86,4.0
857,2020-09-10,4.05,4.19,3.85,4.08
