,Date,Open,High,Low,Close
5314,2020-12-14,5.25,5.28,5.22,5.23
5313,2020-12-11,5.3,5.31,5.25,5.29
5312,2020-12-10,5.26,5.3,5.2502,5.3
5311,2020-12-09,5.25,5.25,5.19,5.22
5310,2020-12-08,5.3,5.31,5.26,5.29
5309,2020-12-07,5.32,5.3389,5.28,5.31
5308,2020-12-04,5.42,5.455,5.41,5.45
5307,2020-12-03,5.38,5.42,5.33,5.39
5306,2020-12-02,5.36,5.41,5.35,5.41
5305,2020-12-01,5.25,5.32,5.24,5.31
5304,2020-11-30,5.11,5.13,5.01,5.01
5303,2020-11-27,5.19,5.19,5.14,5.16
5302,2020-11-25,5.14,5.16,5.13,5.15
5301,2020-11-24,5.1,5.16,5.1,5.14
5300,2020-11-23,5.01,5.03,4.97,5.0
5299,2020-11-20,4.95,4.97,4.93,4.96
5298,2020-11-19,4.93,4.96,4.91,4.96
5297,2020-11-18,5.04,5.08,4.99,4.99
5296,2020-11-17,5.03,5.12,5.03,5.1
5295,2020-11-16,4.99,5.0021,4.9648,4.98
5294,2020-11-13,4.85,4.925,4.83,4.9
5293,2020-11-12,4.94,4.96,4.9,4.9
5292,2020-11-11,5.13,5.16,5.115,5.12
5291,2020-11-10,5.04,5.14,5.03,5.12
5290,2020-11-09,5.03,5.07,4.94,4.94
5289,2020-11-06,4.82,4.85,4.8,4.82
5288,2020-11-05,4.75,4.8,4.75,4.76
5287,2020-11-04,4.71,4.76,4.69,4.7
5286,2020-11-03,4.69,4.81,4.6507,4.77
5285,2020-11-02,4.59,4.63,4.58,4.63
5284,2020-10-30,4.44,4.52,4.43,4.46
5283,2020-10-29,4.53,4.53,4.48,4.48
5282,2020-10-28,4.62,4.66,4.48,4.52
5281,2020-10-27,4.67,4.7,4.66,4.68
5280,2020-10-26,4.69,4.69,4.62,4.66
5279,2020-10-23,4.73,4.74,4.71,4.73
5278,2020-10-22,4.69,4.7,4.66,4.68
5277,2020-10-21,4.67,4.725,4.67,4.71
5276,2020-10-20,4.63,4.65,4.63,4.63
5275,2020-10-19,4.66,4.69,4.63,4.63
5274,2020-10-16,4.62,4.67,4.62,4.66
5273,2020-10-15,4.57,4.6,4.56,4.6
5272,2020-10-14,4.64,4.6439,4.6,4.61
5271,2020-10-13,4.64,4.65,4.62,4.63
5270,2020-10-12,4.63,4.65,4.61,4.64
5269,2020-10-09,4.62,4.63,4.57,4.59
5268,2020-10-08,4.72,4.74,4.69,4.72
5267,2020-10-07,4.67,4.69,4.65,4.69
5266,2020-10-06,4.67,4.67,4.59,4.6
5265,2020-10-05,4.64,4.68,4.63,4.65
5264,2020-10-02,4.52,4.58,4.52,4.56
5263,2020-10-01,4.58,4.6,4.56,4.57
5262,2020-09-30,4.61,4.61,4.56,4.58
5261,2020-09-29,4.8,4.81,4.73,4.73
5260,2020-09-28,4.86,4.89,4.84,4.87
5259,2020-09-25,4.72,4.77,4.69,4.77
5258,2020-09-24,4.7,4.75,4.68,4.74
5257,2020-09-23,4.8,4.82,4.72,4.72
