,Date,Open,High,Low,Close
4280,2020-12-14,70.0,70.47,68.11,68.58
4279,2020-12-11,68.98,69.99,68.37,69.47
4278,2020-12-10,69.74,69.93,68.81,69.34
4277,2020-12-09,70.19,70.4,68.88,70.1
4276,2020-12-08,69.59,69.84,68.93,69.67
4275,2020-12-07,69.16,70.35,68.49,70.11
4274,2020-12-04,69.28,69.69,68.61,69.32
4273,2020-12-03,69.01,69.34,68.01,68.77
4272,2020-12-02,69.25,69.25,68.102,68.92
4271,2020-12-01,68.81,69.83,68.16,69.36
4270,2020-11-30,68.66,68.955,67.73,67.9
4269,2020-11-27,69.78,69.78,68.53,69.32
4268,2020-11-25,70.03,70.325,68.47,70.06
4267,2020-11-24,68.78,70.67,68.725,70.53
4266,2020-11-23,69.48,69.48,67.68,68.01
4265,2020-11-20,70.27,70.27,68.62,68.85
4264,2020-11-19,71.23,71.494,70.17,70.83
4263,2020-11-18,72.7,73.575,71.62,71.62
4262,2020-11-17,72.05,73.92,71.48,72.84
4261,2020-11-16,72.5,73.25,72.0,72.4
4260,2020-11-13,70.82,72.105,70.59,71.49
4259,2020-11-12,70.72,71.21,69.26,70.22
4258,2020-11-11,72.5,72.57,70.495,71.44
4257,2020-11-10,68.0,72.96,67.48,72.29
4256,2020-11-09,69.28,70.14,66.0601,66.42
4255,2020-11-06,65.63,67.27,65.29,65.57
4254,2020-11-05,63.33,65.86,63.33,65.09
4253,2020-11-04,61.91,63.63,61.81,63.51
4252,2020-11-03,62.81,63.21,61.895,62.98
4251,2020-11-02,61.89,62.29,61.35,61.82
4250,2020-10-30,61.33,62.58,60.51,61.04
4249,2020-10-29,61.72,62.25,61.08,61.45
4248,2020-10-28,63.07,63.28,61.92,62.06
4247,2020-10-27,65.05,65.05,64.19,64.25
4246,2020-10-26,65.43,65.655,64.67,65.25
4245,2020-10-23,65.95,66.56,65.39,66.2
4244,2020-10-22,66.47,67.38,65.62,65.71
4243,2020-10-21,67.66,67.66,66.08,66.13
4242,2020-10-20,67.18,68.67,67.18,67.86
4241,2020-10-19,67.52,68.44,66.78,66.9
4240,2020-10-16,66.68,68.07,66.68,67.43
4239,2020-10-15,65.08,67.18,65.04,66.83
4238,2020-10-14,65.76,66.16,65.1888,65.83
4237,2020-10-13,66.25,66.435,65.19,65.22
4236,2020-10-12,66.33,66.95,65.95,66.88
4235,2020-10-09,67.07,67.824,66.17,66.29
4234,2020-10-08,66.33,67.19,65.925,66.87
4233,2020-10-07,65.03,66.02,64.46,65.69
4232,2020-10-06,65.68,66.47,63.69,64.37
4231,2020-10-05,63.83,65.18,63.83,65.04
4230,2020-10-02,59.56,64.05,59.19,63.64
4229,2020-10-01,60.3,61.03,59.29,60.35
4228,2020-09-30,60.58,61.47,60.02,60.25
4227,2020-09-29,61.3,61.45,59.956,60.68
4226,2020-09-28,60.5,61.58,60.5,61.03
4225,2020-09-25,58.69,60.195,58.69,59.82
4224,2020-09-24,59.58,59.91,58.66,59.18
4223,2020-09-23,61.22,61.8,59.42,59.48
4222,2020-09-22,60.88,61.8151,60.73,60.8
4221,2020-09-21,63.47,63.47,60.38,60.88
4220,2020-09-18,64.11,64.75,63.88,64.45
4219,2020-09-17,63.18,64.28,63.18,63.98
4218,2020-09-16,64.87,64.87,63.84,63.88
4217,2020-09-15,65.18,65.29,64.35,64.55
4216,2020-09-14,63.66,64.72,63.61,64.54
4215,2020-09-11,63.76,63.76,62.25,63.23
4214,2020-09-10,65.63,65.89,63.32,63.4
4213,2020-09-09,64.98,65.955,64.41,65.23
