,Date,Open,High,Low,Close
79,2020-12-14,46.67,48.5137,44.03,44.63
78,2020-12-11,46.86,50.35,46.12,46.26
77,2020-12-10,42.0,49.4829,41.5,48.8
76,2020-12-09,47.67,49.1999,43.76,44.5
75,2020-12-08,50.12,52.5,48.0,49.72
74,2020-12-07,55.45,56.4294,51.26,52.71
73,2020-12-04,56.37,61.1699,53.0,57.04
72,2020-12-03,63.71,65.49,51.0,58.06
71,2020-12-02,54.9,63.5584,50.35,60.93
70,2020-12-01,64.0,69.18,58.25,59.2
69,2020-11-30,55.8,61.3,49.0,61.3
68,2020-11-27,49.0,54.87,48.2,52.3
67,2020-11-25,45.5,47.4,43.6,46.07
66,2020-11-24,45.0,48.5763,41.0,45.0
65,2020-11-23,37.12,44.25,37.12,43.3
64,2020-11-20,38.2,38.6799,36.5,36.74
63,2020-11-19,37.51,38.72,37.06,38.11
62,2020-11-18,38.0,39.13,36.7,36.82
61,2020-11-17,38.15,40.45,37.45,37.81
60,2020-11-16,36.5,39.1,36.39,38.43
59,2020-11-13,36.51,38.61,35.76,36.07
58,2020-11-12,37.86,38.18,35.52,37.29
57,2020-11-11,36.71,39.13,36.5,38.04
56,2020-11-10,34.13,37.3,34.0,36.11
55,2020-11-09,33.65,36.9,33.39,34.13
54,2020-11-06,33.57,34.52,30.2,34.07
53,2020-11-05,29.81,33.0,29.45,31.75
52,2020-11-04,29.58,30.4699,28.3,28.96
51,2020-11-03,28.19,29.83,27.71,29.13
50,2020-11-02,27.72,28.2,27.08,27.38
49,2020-10-30,28.58,29.0794,26.93,27.6
48,2020-10-29,28.6784,31.44,27.6,29.16
47,2020-10-28,28.21,28.27,26.5,26.66
46,2020-10-27,28.9471,30.13,27.61,29.17
45,2020-10-26,29.58,30.17,27.94,28.92
44,2020-10-23,31.15,31.57,30.33,30.74
43,2020-10-22,30.49,31.97,30.28,31.57
42,2020-10-21,31.28,31.93,29.3,30.93
41,2020-10-20,33.81,33.8385,30.26,30.97
40,2020-10-19,34.5,36.3,33.01,33.2
39,2020-10-16,37.55,37.8,35.0,35.2
38,2020-10-15,35.49,36.99,34.6,36.27
37,2020-10-14,35.0,37.5,34.08,37.49
36,2020-10-13,34.9,35.65,33.7,34.24
35,2020-10-12,37.06,37.73,35.0,35.19
34,2020-10-09,37.5,37.88,36.14,36.8
33,2020-10-08,40.51,42.75,36.01,36.74
32,2020-10-07,36.67,40.5,36.67,39.72
31,2020-10-06,40.1,40.5399,34.57,35.05
30,2020-10-05,39.89,45.0,38.06,39.5
29,2020-10-02,31.22,38.5,29.3701,37.44
28,2020-10-01,24.2,24.99,23.05,23.97
27,2020-09-30,24.0,25.94,22.5,23.52
26,2020-09-29,26.0,26.785,23.815,24.0
25,2020-09-28,29.81,29.9,26.45,26.56
24,2020-09-25,26.5,29.55,26.5,28.48
23,2020-09-24,27.15,28.9,25.65,27.19
22,2020-09-23,28.36,32.9,27.5,29.31
21,2020-09-22,23.9,30.57,22.3,30.11
20,2020-09-21,32.95,33.0,27.63,28.83
19,2020-09-18,31.1,35.97,29.33,34.88
18,2020-09-17,34.85,36.26,28.0,28.1
17,2020-09-16,36.27,44.0,34.5,36.8
16,2020-09-15,52.24,52.38,34.9,38.0
15,2020-09-14,61.81,62.5,48.2,49.21
14,2020-09-11,49.405,66.67,49.0,64.19
13,2020-09-10,45.75,49.25,45.25,48.31
12,2020-09-09,47.0,47.0,43.12,44.02
11,2020-09-08,35.91,42.0,35.0,40.85
10,2020-09-04,38.37,39.7372,30.23,36.4
9,2020-09-03,40.12,42.49,36.8,38.5
8,2020-09-02,40.35,43.48,36.5,39.8
7,2020-09-01,27.65,37.73,27.65,35.75
6,2020-08-31,26.45,28.19,26.0,27.56
5,2020-08-28,25.71,27.0,25.0,25.98
4,2020-08-27,29.19,29.19,24.301,24.77
3,2020-08-26,28.325,29.37,25.75,27.58
2,2020-08-25,28.5,30.4999,27.1705,28.9
1,2020-08-24,24.28,27.88,23.5,26.7
0,2020-08-21,20.34,25.0,20.255,21.7
