,Date,Open,High,Low,Close
944,2020-12-14,17.57,17.89,17.45,17.45
943,2020-12-11,17.43,17.64,17.315,17.64
942,2020-12-10,17.17,17.5,17.09,17.5
941,2020-12-09,17.28,17.53,17.1378,17.16
940,2020-12-08,17.02,17.37,17.02,17.24
939,2020-12-07,17.16,17.335,16.86,16.86
938,2020-12-04,17.2,17.4,16.8388,17.38
937,2020-12-03,16.48,17.4,16.48,16.55
936,2020-12-02,16.5335,16.57,16.49,16.49
935,2020-12-01,16.43,17.29,16.43,16.95
934,2020-11-30,17.57,17.61,17.0,17.1
933,2020-11-27,17.39,17.7,17.29,17.7
932,2020-11-25,17.3363,18.09,17.02,17.64
931,2020-11-24,17.74,18.0,17.47,17.59
930,2020-11-23,17.31,17.67,17.3,17.44
929,2020-11-20,17.12,17.34,16.6746,17.34
928,2020-11-19,17.43,17.43,17.13,17.31
927,2020-11-18,17.81,17.81,17.43,17.43
926,2020-11-17,17.82,17.95,17.78,17.8
925,2020-11-16,17.47,17.86,17.47,17.86
924,2020-11-13,17.45,17.56,17.1,17.1
923,2020-11-12,17.7,17.71,17.395,17.4
922,2020-11-11,17.6,17.83,17.6,17.7
921,2020-11-10,16.8,18.0,16.8,17.6
920,2020-11-09,17.04,17.23,16.375,16.65
919,2020-11-06,16.7113,16.7113,16.3253,16.51
918,2020-11-05,16.58,16.89,16.36,16.6
917,2020-11-04,17.03,17.03,16.49,16.49
916,2020-11-03,16.78,17.03,16.6003,17.03
915,2020-11-02,16.95,17.0499,16.71,16.71
914,2020-10-30,16.61,16.9,16.61,16.71
913,2020-10-29,16.34,16.87,16.12,16.87
912,2020-10-28,16.865,16.865,16.255,16.42
911,2020-10-27,16.65,16.65,16.505,16.56
910,2020-10-26,16.43,16.55,16.21,16.35
909,2020-10-23,16.625,16.75,16.36,16.36
908,2020-10-22,16.675,16.71,16.46,16.46
907,2020-10-21,16.89,16.89,16.3,16.5
906,2020-10-20,16.62,16.72,16.5,16.64
905,2020-10-19,16.8,17.0,16.71,16.71
904,2020-10-16,16.79,16.98,15.8,16.77
903,2020-10-15,16.51,17.0,16.51,17.0
902,2020-10-14,16.85,16.9999,16.275,16.45
901,2020-10-13,16.86,17.015,16.69,16.69
900,2020-10-12,16.98,17.05,16.95,17.0
899,2020-10-09,16.44,17.1,16.42,17.1
898,2020-10-08,16.99,17.0,16.7,16.83
897,2020-10-07,16.925,16.98,16.7,16.98
896,2020-10-06,16.85,17.02,16.51,16.51
895,2020-10-05,15.995,16.72,15.86,16.72
894,2020-10-02,16.3,16.83,16.14,16.38
893,2020-10-01,16.9,16.92,16.355,16.43
892,2020-09-30,16.7577,17.1,16.72,16.89
891,2020-09-29,16.31,16.65,16.31,16.65
890,2020-09-28,16.1,17.09,15.65,16.47
889,2020-09-25,15.42,16.32,15.42,16.01
888,2020-09-24,14.8,15.76,14.685,15.55
887,2020-09-23,14.7,15.99,14.62,14.72
886,2020-09-22,14.66,14.96,14.6,14.74
885,2020-09-21,15.61,15.88,14.6,14.69
884,2020-09-18,15.98,16.09,15.53,15.9
883,2020-09-17,15.76,16.03,15.57,15.8
882,2020-09-16,15.96,16.13,15.61,15.76
881,2020-09-15,15.88,16.11,15.83,15.98
880,2020-09-14,15.94,15.94,15.6,15.69
879,2020-09-11,16.05,16.05,15.64,15.83
878,2020-09-10,15.97,16.3799,15.82,15.99
877,2020-09-09,16.23,16.38,15.65,15.76
876,2020-09-08,16.04,16.405,16.03,16.25
875,2020-09-04,17.0,17.05,16.485,16.8
874,2020-09-03,16.57,16.975,16.465,16.85
873,2020-09-02,16.34,16.77,16.0768,16.68
872,2020-09-01,16.42,16.7,16.34,16.34
871,2020-08-31,16.09,16.85,15.81,16.32
870,2020-08-28,16.5,16.5,15.89,15.89
869,2020-08-27,16.37,16.955,16.03,16.33
868,2020-08-26,16.75,16.75,16.1,16.1
867,2020-08-25,17.0,17.0,16.78,16.82
866,2020-08-24,17.11,17.11,16.76,16.89
865,2020-08-21,16.92,16.955,16.8,16.93
864,2020-08-20,16.79,16.99,16.79,16.85
863,2020-08-19,16.98,17.15,16.82,16.88
862,2020-08-18,16.81,16.95,16.81,16.95
861,2020-08-17,17.04,17.04,16.89,16.96
860,2020-08-14,16.88,17.04,16.66,17.04
859,2020-08-13,16.96,17.07,16.51,16.82
858,2020-08-12,16.97,17.05,16.92,17.05
857,2020-08-11,17.05,17.14,16.85,16.92
856,2020-08-10,16.94,17.0,16.87,16.87
855,2020-08-07,16.65,16.86,16.5,16.85
854,2020-08-06,16.34,16.8162,16.175,16.69
853,2020-08-05,16.63,16.63,16.04,16.05
852,2020-08-04,15.85,16.46,15.85,16.46
851,2020-08-03,16.68,16.68,15.84,16.01
850,2020-07-31,16.38,16.7,16.22,16.48
849,2020-07-30,16.08,16.79,16.08,16.26
848,2020-07-29,16.1995,16.44,16.0551,16.29
847,2020-07-28,16.16,16.36,15.95,16.08
846,2020-07-27,15.93,16.23,15.93,16.23
845,2020-07-24,15.9,16.24,15.9,15.92
844,2020-07-23,16.03,16.29,15.9,16.07
843,2020-07-22,15.92,16.25,15.75,16.19
842,2020-07-21,16.16,16.39,15.75,16.05
841,2020-07-20,15.64,16.005,15.64,15.97
840,2020-07-17,15.67,16.18,15.23,15.65
839,2020-07-16,15.62,15.86,15.56,15.75
838,2020-07-15,15.7,15.99,15.68,15.76
837,2020-07-14,15.24,15.69,15.12,15.54
836,2020-07-13,15.57,15.58,15.02,15.08
835,2020-07-10,14.68,15.55,14.68,15.49
834,2020-07-09,14.98,15.08,14.03,14.41
833,2020-07-08,14.82,15.17,14.21,15.04
832,2020-07-07,15.28,15.37,14.67,14.73
831,2020-07-06,15.43,15.59,15.19,15.47
830,2020-07-02,15.33,15.33,15.05,15.12
829,2020-07-01,14.8,15.24,14.8,15.12
828,2020-06-30,14.89,15.17,14.75,14.77
827,2020-06-29,15.6,16.0,14.38,14.74
826,2020-06-26,14.75,14.995,14.37,14.97
825,2020-06-25,14.43,14.95,14.26,14.91
824,2020-06-24,15.04,15.04,14.43,14.5
823,2020-06-23,15.67,15.67,15.2,15.28
822,2020-06-22,14.36,15.44,14.36,15.42
821,2020-06-19,14.4,14.63,14.05,14.63
820,2020-06-18,14.59,14.59,14.12,14.34
819,2020-06-17,14.985,14.99,14.556,14.75
818,2020-06-16,15.66,15.765,14.865,15.27
817,2020-06-15,15.31,15.7,14.2,15.23
816,2020-06-12,15.84,15.84,15.18,15.74
815,2020-06-11,15.07,15.405,14.79,15.26
814,2020-06-10,15.21,15.69,15.21,15.6
813,2020-06-09,15.52,15.52,15.11,15.34
812,2020-06-08,16.02,16.02,15.19,15.84
811,2020-06-05,15.79,15.93,15.4,15.78
810,2020-06-04,14.43,15.49,14.39,15.49
809,2020-06-03,14.38,14.79,14.265,14.6
808,2020-06-02,14.28,14.47,14.0,14.03
807,2020-06-01,14.99,14.99,14.0,14.35
806,2020-05-29,14.12,14.99,14.12,14.99
805,2020-05-28,14.58,14.58,14.22,14.26
804,2020-05-27,14.76,14.85,14.0,14.28
803,2020-05-26,14.34,14.84,14.02,14.44
802,2020-05-22,13.73,14.065,13.64,13.79
801,2020-05-21,13.4,14.0,13.14,13.56
800,2020-05-20,13.12,13.54,12.82,13.54
799,2020-05-19,13.43,13.84,12.62,12.72
798,2020-05-18,12.78,13.66,12.78,13.66
797,2020-05-15,12.36,12.41,11.89,12.41
796,2020-05-14,12.49,12.49,11.87,12.31
795,2020-05-13,13.29,13.29,12.41,12.92
794,2020-05-12,14.17,14.18,13.4,13.43
793,2020-05-11,13.67,14.59,13.02,14.36
792,2020-05-08,14.07,14.3,13.86,13.86
791,2020-05-07,13.38,13.77,12.88,13.67
790,2020-05-06,12.35,13.42,12.35,13.06
789,2020-05-05,13.23,13.23,12.2,12.39
788,2020-05-04,13.025,13.025,12.66,12.78
787,2020-05-01,13.21,13.21,12.36,12.67
786,2020-04-30,13.23,14.175,13.22,13.51
785,2020-04-29,13.84,14.59,13.56,13.6
784,2020-04-28,12.43,13.61,12.34,13.41
783,2020-04-27,11.77,12.69,11.77,12.04
782,2020-04-24,11.74,11.96,11.74,11.77
781,2020-04-23,11.75,12.19,11.69,11.82
780,2020-04-22,12.09,12.35,11.75,11.83
779,2020-04-21,11.91,12.39,11.8001,12.06
778,2020-04-20,11.91,12.8,11.91,12.22
777,2020-04-17,12.35,12.73,11.94,12.0
776,2020-04-16,12.34,12.34,11.95,12.08
775,2020-04-15,12.24,12.87,12.24,12.38
774,2020-04-14,12.44,13.275,12.25,12.84
773,2020-04-13,12.09,12.21,11.54,12.05
772,2020-04-09,12.16,12.71,11.5,12.22
771,2020-04-08,11.89,12.26,11.51,11.7
770,2020-04-07,12.1,12.73,11.51,11.66
769,2020-04-06,11.71,12.28,11.58,12.01
768,2020-04-03,11.23,12.35,10.95,11.23
767,2020-04-02,12.19,13.19,11.18,11.51
766,2020-04-01,13.5,13.61,11.9405,11.99
765,2020-03-31,12.34,13.56,12.25,13.56
764,2020-03-30,12.87,12.87,12.1,12.55
763,2020-03-27,11.54,12.58,11.54,11.57
762,2020-03-26,11.16,11.94,11.16,11.94
761,2020-03-25,12.14,12.14,10.76,11.26
760,2020-03-24,11.79,13.5,11.79,12.25
759,2020-03-23,10.41,11.53,10.25,10.84
758,2020-03-20,11.04,11.3626,10.15,10.33
757,2020-03-19,11.92,12.54,10.45,11.05
756,2020-03-18,13.01,14.0,12.03,12.22
755,2020-03-17,12.8522,14.56,12.8522,13.6
754,2020-03-16,13.11,14.19,12.64,13.75
753,2020-03-13,13.54,14.89,13.54,14.88
752,2020-03-12,13.05,13.965,13.0,13.0
751,2020-03-11,13.81,14.18,13.5,13.56
750,2020-03-10,13.96,14.33,13.01,14.0
749,2020-03-09,14.01,14.01,13.4,13.64
748,2020-03-06,13.72,14.5,13.72,14.4
747,2020-03-05,14.37,14.37,13.6006,13.96
746,2020-03-04,14.41,14.58,14.26,14.57
745,2020-03-03,14.14,14.57,14.12,14.55
744,2020-03-02,14.26,14.26,14.08,14.26
743,2020-02-28,14.2327,14.43,14.01,14.12
742,2020-02-27,14.4,14.5,14.2,14.25
741,2020-02-26,14.5,14.5,14.37,14.46
740,2020-02-25,14.7,14.7,14.41,14.48
739,2020-02-24,14.9,14.9346,14.6141,14.66
738,2020-02-21,14.99,15.01,14.86,14.86
737,2020-02-20,14.9,14.99,14.85,14.93
736,2020-02-19,15.2733,15.2733,14.9,14.9
735,2020-02-18,15.6378,15.6378,15.09,15.09
734,2020-02-14,15.2,15.26,15.14,15.2
733,2020-02-13,15.37,15.4,15.288,15.36
732,2020-02-12,15.4,15.5111,15.25,15.25
731,2020-02-11,15.49,15.49,15.2,15.2
730,2020-02-10,15.29,15.55,15.22,15.26
729,2020-02-07,15.5,15.68,15.3,15.3
728,2020-02-06,15.52,15.64,15.5,15.5
727,2020-02-05,15.44,15.5971,15.26,15.51
726,2020-02-04,15.55,15.55,15.27,15.3
725,2020-02-03,15.5,15.63,15.42,15.42
724,2020-01-31,15.6,15.6,15.35,15.35
723,2020-01-30,15.5057,15.77,15.5057,15.77
722,2020-01-29,15.5,15.59,15.5,15.59
721,2020-01-28,15.54,15.72,15.53,15.72
720,2020-01-27,15.61,15.8,15.58,15.58
719,2020-01-24,15.63,15.94,15.6,15.63
718,2020-01-23,15.62,16.045,15.56,15.56
717,2020-01-22,15.9187,15.9187,15.66,15.67
716,2020-01-21,15.875,15.99,15.7332,15.9
715,2020-01-17,16.18,16.18,15.8,15.98
714,2020-01-16,15.6301,16.11,15.6301,16.02
713,2020-01-15,15.68,16.12,15.43,15.69
712,2020-01-14,16.03,16.11,15.43,15.57
711,2020-01-13,16.31,16.48,16.1,16.17
710,2020-01-10,16.29,16.38,16.04,16.04
709,2020-01-09,16.01,16.7227,16.01,16.15
708,2020-01-08,16.18,16.18,16.05,16.11
707,2020-01-07,16.44,16.44,16.25,16.25
706,2020-01-06,16.59,16.86,16.26,16.27
705,2020-01-03,16.94,16.94,16.57,16.58
704,2020-01-02,16.8605,17.29,16.8605,16.93
703,2019-12-31,17.0,17.335,17.0,17.2
702,2019-12-30,17.0,17.0,16.74,16.8
701,2019-12-27,16.74,17.44,16.7,17.33
700,2019-12-26,16.4464,16.75,16.4464,16.74
699,2019-12-24,16.65,16.9,16.4,16.5
698,2019-12-23,17.04,17.04,16.5,16.52
697,2019-12-20,17.1,17.17,16.85,17.17
696,2019-12-19,17.43,17.43,17.03,17.03
695,2019-12-18,16.295,17.605,16.295,17.53
694,2019-12-17,16.9344,17.25,16.67,17.0
693,2019-12-16,17.3681,17.3681,16.85,17.04
692,2019-12-13,17.31,17.34,16.92,16.92
691,2019-12-12,16.84,17.39,16.84,17.09
690,2019-12-11,16.77,17.17,16.74,17.17
689,2019-12-10,16.52,16.85,16.52,16.85
688,2019-12-09,16.41,16.61,16.26,16.55
687,2019-12-06,16.5,16.72,16.31,16.66
686,2019-12-05,16.37,16.69,16.28,16.35
685,2019-12-04,16.28,16.41,16.25,16.25
684,2019-12-03,16.26,16.33,16.25,16.25
683,2019-12-02,16.33,16.53,16.33,16.34
682,2019-11-29,16.36,16.74,16.36,16.74
681,2019-11-27,16.59,16.59,16.59,16.59
680,2019-11-26,16.69,16.69,16.38,16.63
679,2019-11-25,16.4,16.85,16.25,16.73
678,2019-11-22,16.29,16.29,16.29,16.29
677,2019-11-21,16.71,16.87,16.28,16.35
676,2019-11-20,16.5236,17.13,16.52,16.54
675,2019-11-19,16.5,16.89,16.5,16.82
674,2019-11-18,16.99,16.99,16.595,16.6
673,2019-11-15,17.26,17.33,16.8,16.92
672,2019-11-14,17.18,17.2,17.0,17.2
671,2019-11-13,17.2,17.235,17.15,17.21
670,2019-11-12,17.25,17.25,17.1722,17.24
669,2019-11-11,17.29,17.3,17.2,17.2
668,2019-11-08,17.36,17.45,17.2,17.3
667,2019-11-07,17.97,17.97,17.34,17.38
666,2019-11-06,17.86,18.03,17.86,17.9
665,2019-11-05,18.32,18.32,17.83,17.94
664,2019-11-04,17.79,18.2,17.7,18.2
663,2019-11-01,17.38,17.96,17.33,17.96
662,2019-10-31,17.35,17.51,17.2001,17.5
661,2019-10-30,17.52,17.52,17.2571,17.36
660,2019-10-29,17.51,17.72,17.28,17.32
659,2019-10-28,17.44,17.44,17.35,17.35
658,2019-10-25,17.42,17.52,17.39,17.39
657,2019-10-24,17.57,17.7,17.56,17.63
656,2019-10-23,17.71,17.74,17.56,17.56
655,2019-10-22,17.45,17.87,17.45,17.65
654,2019-10-21,17.75,17.89,17.66,17.87
653,2019-10-18,17.75,17.76,17.66,17.66
652,2019-10-17,17.7,17.89,17.5,17.88
651,2019-10-16,17.9,17.91,17.51,17.8
650,2019-10-15,17.7,17.94,17.62,17.8
649,2019-10-14,17.3765,17.65,17.25,17.55
648,2019-10-11,17.41,17.74,17.41,17.58
647,2019-10-10,17.53,17.53,17.34,17.41
646,2019-10-09,17.38,17.55,17.2,17.55
645,2019-10-08,17.3,17.385,17.25,17.25
644,2019-10-07,17.3,17.41,17.28,17.32
643,2019-10-04,17.1,17.3,17.1,17.3
642,2019-10-03,17.0,17.16,16.98,17.1
641,2019-10-02,17.1255,17.25,17.0,17.03
640,2019-10-01,17.16,17.3,17.16,17.18
639,2019-09-30,17.04,17.35,17.04,17.14
638,2019-09-27,17.2,17.38,17.04,17.04
637,2019-09-26,17.22,17.22,17.09,17.09
636,2019-09-25,17.06,17.25,16.99,17.06
635,2019-09-24,17.14,17.27,16.85,16.96
634,2019-09-23,16.71,17.15,16.71,17.09
633,2019-09-20,16.48,16.9,16.45,16.72
632,2019-09-19,16.93,16.9823,16.53,16.53
631,2019-09-18,16.86,17.07,16.83,16.84
630,2019-09-17,17.0,17.08,16.71,16.77
629,2019-09-16,16.7,17.13,16.56,16.9
628,2019-09-13,17.14,17.15,16.85,16.85
627,2019-09-12,17.15,17.15,16.84,17.04
626,2019-09-11,17.03,17.1829,16.85,17.1
625,2019-09-10,16.72,17.02,16.72,16.9
624,2019-09-09,16.77,16.93,16.55,16.83
623,2019-09-06,16.79,16.9,16.75,16.77
622,2019-09-05,17.0247,17.0247,16.58,16.95
621,2019-09-04,16.88,16.88,16.85,16.85
620,2019-09-03,16.811,16.98,16.59,16.75
619,2019-08-30,16.8,16.8,16.8,16.8
618,2019-08-29,16.95,17.13,16.4,17.0
617,2019-08-28,17.7,17.7,16.7587,16.89
616,2019-08-27,16.525,16.77,16.24,16.77
615,2019-08-26,16.7,16.7,16.425,16.59
614,2019-08-23,16.27,16.3429,16.07,16.24
613,2019-08-22,16.61,16.61,16.41,16.41
612,2019-08-21,16.61,16.62,16.56,16.62
611,2019-08-20,16.51,16.79,16.51,16.79
610,2019-08-19,17.0399,17.0399,16.79,16.94
609,2019-08-16,16.52,16.86,16.52,16.78
608,2019-08-15,16.41,16.7927,16.41,16.5
607,2019-08-14,16.6252,16.6252,16.35,16.51
606,2019-08-13,16.58,16.87,16.58,16.87
605,2019-08-12,16.8,16.8,16.5,16.54
604,2019-08-09,16.77,16.9,16.73,16.8
603,2019-08-08,16.89,17.17,16.77,16.77
602,2019-08-07,16.61,16.88,16.53,16.62
601,2019-08-06,16.68,16.68,16.52,16.52
600,2019-08-05,16.7,16.7,16.28,16.42
599,2019-08-02,16.85,17.2399,16.76,16.9
598,2019-08-01,17.21,17.25,16.91,16.91
597,2019-07-31,17.21,17.4756,16.81,16.81
596,2019-07-30,16.78,17.24,16.76,17.11
595,2019-07-29,16.61,17.178,16.61,16.74
594,2019-07-26,16.67,17.04,16.62,16.62
593,2019-07-25,16.51,16.99,16.51,16.61
592,2019-07-24,17.0036,17.01,16.5,16.77
591,2019-07-23,16.74,17.1,16.46,16.46
590,2019-07-22,16.8,17.02,16.57,16.74
589,2019-07-19,16.76,16.99,16.66,16.66
588,2019-07-18,16.97,16.97,16.71,16.89
587,2019-07-17,17.05,17.05,16.55,16.64
586,2019-07-16,17.0322,17.14,17.01,17.1
585,2019-07-15,17.19,17.21,16.98,17.03
584,2019-07-12,17.99,17.99,17.34,17.34
583,2019-07-11,17.99,18.0,17.76,17.99
582,2019-07-10,17.75,18.2,17.7,18.19
581,2019-07-09,17.915,17.915,17.915,17.915
580,2019-07-08,17.5816,18.2,17.5816,17.72
579,2019-07-05,18.08,18.205,17.81,17.93
578,2019-07-03,18.08,18.11,17.82,17.89
577,2019-07-02,17.42,18.105,17.42,18.0
576,2019-07-01,17.98,17.98,17.5,17.67
575,2019-06-28,18.17,18.35,17.61,17.61
574,2019-06-27,17.8676,18.31,17.46,18.31
573,2019-06-26,18.05,18.05,17.63,17.79
572,2019-06-25,18.0,18.25,18.0,18.19
571,2019-06-24,17.42,17.87,17.2101,17.86
570,2019-06-21,17.56,18.42,17.25,17.73
569,2019-06-20,18.01,18.185,17.605,17.73
568,2019-06-19,18.22,18.64,17.8659,18.0
567,2019-06-18,18.77,18.77,18.4,18.54
