,Date,Open,High,Low,Close
4288,2020-12-14,33.62,33.84,32.53,32.63
4287,2020-12-11,33.9,33.9,33.13,33.18
4286,2020-12-10,33.57,33.935,33.15,33.91
4285,2020-12-09,34.1,34.46,33.7,33.81
4284,2020-12-08,33.79,34.07,33.64,34.01
4283,2020-12-07,34.52,34.7,33.78,33.88
4282,2020-12-04,33.07,34.54,33.07,34.52
4281,2020-12-03,33.28,33.47,32.85,33.1
4280,2020-12-02,33.29,33.64,32.8,33.6
4279,2020-12-01,32.94,33.74,32.9,33.36
4278,2020-11-30,32.66,33.055,32.125,32.75
4277,2020-11-27,32.24,32.62,32.06,32.51
4276,2020-11-25,31.73,32.305,31.575,32.25
4275,2020-11-24,31.17,31.82,30.86,31.78
4274,2020-11-23,30.62,30.99,30.59,30.81
4273,2020-11-20,30.95,31.0,30.47,30.54
4272,2020-11-19,31.43,31.46,30.58,30.97
4271,2020-11-18,32.0,32.455,31.33,31.34
4270,2020-11-17,32.5,32.65,31.85,31.89
4269,2020-11-16,32.67,32.92,32.19,32.65
4268,2020-11-13,31.32,32.28,31.31,32.14
4267,2020-11-12,32.08,32.225,31.055,31.19
4266,2020-11-11,32.91,33.04,32.01,32.22
4265,2020-11-10,32.12,32.85,31.99,32.61
4264,2020-11-09,32.92,33.5623,31.89,31.92
4263,2020-11-06,32.13,32.35,31.09,31.23
4262,2020-11-05,32.81,33.3,31.93,32.12
4261,2020-11-04,32.93,32.94,32.33,32.71
4260,2020-11-03,32.65,33.315,32.525,32.73
4259,2020-11-02,32.04,32.325,31.64,32.17
4258,2020-10-30,31.08,31.72,30.925,31.62
4257,2020-10-29,31.01,31.74,30.59,31.44
4256,2020-10-28,32.38,32.77,31.085,31.13
4255,2020-10-27,33.83,33.98,33.04,33.04
4254,2020-10-26,33.33,33.95,33.17,33.78
4253,2020-10-23,33.4,33.76,33.16,33.67
4252,2020-10-22,32.53,33.315,32.09,33.18
4251,2020-10-21,33.04,33.11,32.48,32.53
4250,2020-10-20,33.57,33.715,33.06,33.18
4249,2020-10-19,33.84,34.14,33.29,33.4
4248,2020-10-16,34.07,34.222,33.67,33.69
4247,2020-10-15,33.2,34.4,33.1,34.04
4246,2020-10-14,33.26,34.07,33.18,33.71
4245,2020-10-13,32.7,33.36,32.515,33.21
4244,2020-10-12,32.35,33.015,32.04,32.76
4243,2020-10-09,32.53,32.67,32.06,32.27
4242,2020-10-08,31.48,32.41,31.44,32.35
4241,2020-10-07,31.13,31.53,31.04,31.39
4240,2020-10-06,31.31,31.55,30.9,31.1
4239,2020-10-05,31.15,31.585,30.884,31.27
4238,2020-10-02,30.25,31.17,29.95,31.06
4237,2020-10-01,30.79,30.93,30.235,30.63
4236,2020-09-30,29.95,30.92,29.81,30.74
4235,2020-09-29,29.76,30.065,29.43,29.7
4234,2020-09-28,29.85,30.09,29.4801,29.52
4233,2020-09-25,28.83,29.615,28.74,29.52
4232,2020-09-24,28.49,29.11,28.22,29.03
4231,2020-09-23,28.97,29.22,28.5,28.52
4230,2020-09-22,29.21,29.5,28.615,28.84
4229,2020-09-21,29.47,29.6,28.75,29.15
4228,2020-09-18,30.41,30.57,29.83,29.93
4227,2020-09-17,30.56,30.56,29.93,30.54
4226,2020-09-16,30.6,31.44,30.52,30.92
4225,2020-09-15,31.67,31.8,30.47,30.6
4224,2020-09-14,31.7,31.9,31.37,31.54
4223,2020-09-11,31.5,31.68,31.15,31.61
4222,2020-09-10,32.25,32.445,31.3,31.38
4221,2020-09-09,32.27,32.88,32.19,32.36
4220,2020-09-08,33.22,33.32,31.89,31.96
4219,2020-09-04,34.33,34.48,33.22,33.38
4218,2020-09-03,35.6,36.0,33.95,34.23
4217,2020-09-02,34.25,35.5099,34.01,35.41
4216,2020-09-01,34.33,34.47,33.84,34.17
4215,2020-08-31,34.33,34.71,34.18,34.41
4214,2020-08-28,33.73,34.33,33.62,34.29
4213,2020-08-27,33.95,34.25,33.51,33.73
4212,2020-08-26,34.35,34.35,33.57,33.94
4211,2020-08-25,34.93,35.02,34.26,34.56
4210,2020-08-24,34.68,34.83,34.02,34.7
4209,2020-08-21,34.7,34.945,34.51,34.53
4208,2020-08-20,35.2,35.41,34.54,34.65
4207,2020-08-19,36.24,36.2799,35.37,35.41
4206,2020-08-18,35.3,36.35,35.3,36.09
4205,2020-08-17,34.91,35.68,34.81,35.3
4204,2020-08-14,35.18,35.22,34.88,34.94
4203,2020-08-13,35.17,35.385,34.86,35.29
4202,2020-08-12,35.08,35.49,34.89,35.26
4201,2020-08-11,35.18,35.66,34.72,34.9
4200,2020-08-10,34.44,35.26,34.4,34.98
4199,2020-08-07,33.81,34.57,33.81,34.28
4198,2020-08-06,33.44,34.12,33.42,33.98
4197,2020-08-05,34.18,34.41,33.44,33.56
4196,2020-08-04,33.55,34.105,33.55,34.03
4195,2020-08-03,33.71,33.7883,33.17,33.47
4194,2020-07-31,33.47,33.84,33.04,33.81
4193,2020-07-30,33.28,33.915,32.72,33.85
4192,2020-07-29,33.76,33.92,33.28,33.64
4191,2020-07-28,33.6,34.21,33.39,33.74
4190,2020-07-27,34.57,35.55,33.635,33.74
4189,2020-07-24,33.0,34.225,32.35,34.19
4188,2020-07-23,33.58,33.79,33.055,33.23
4187,2020-07-22,33.31,33.76,32.94,33.59
4186,2020-07-21,33.41,33.84,33.21,33.53
4185,2020-07-20,33.54,33.81,33.12,33.42
4184,2020-07-17,34.08,34.17,33.42,33.72
4183,2020-07-16,34.03,34.42,33.74,33.84
4182,2020-07-15,34.26,34.58,33.95,34.02
4181,2020-07-14,33.12,34.06,33.12,33.84
4180,2020-07-13,33.06,33.63,32.78,33.23
4179,2020-07-10,32.25,32.98,32.2,32.96
4178,2020-07-09,33.06,33.06,31.66,32.31
4177,2020-07-08,32.83,33.38,32.6,33.19
4176,2020-07-07,32.72,32.93,32.42,32.75
4175,2020-07-06,33.21,33.45,32.77,33.03
4174,2020-07-02,33.5,33.86,32.68,32.79
4173,2020-07-01,32.59,33.31,32.41,33.15
4172,2020-06-30,32.84,32.85,32.28,32.56
4171,2020-06-29,31.86,32.96,31.26,32.94
4170,2020-06-26,32.59,32.59,31.24,31.57
4169,2020-06-25,32.38,32.76,31.96,32.63
4168,2020-06-24,32.71,32.99,32.07,32.57
4167,2020-06-23,34.41,34.46,32.95,33.0
4166,2020-06-22,33.99,34.31,33.18,34.15
4165,2020-06-19,34.19,34.3,33.45,34.08
4164,2020-06-18,33.39,33.84,33.15,33.63
4163,2020-06-17,33.88,34.09,33.19,33.59
4162,2020-06-16,34.37,34.8,33.56,33.76
4161,2020-06-15,32.96,33.51,32.05,33.31
4160,2020-06-12,34.59,34.8,33.04,33.68
4159,2020-06-11,35.31,35.38,33.69,33.77
4158,2020-06-10,36.34,36.74,35.73,36.19
4157,2020-06-09,37.57,37.75,36.31,36.4
4156,2020-06-08,36.83,38.27,36.8,38.16
4155,2020-06-05,36.09,37.05,35.66,36.72
