,Date,Open,High,Low,Close
4575,2020-12-14,15.4,15.4,14.52,14.6
4574,2020-12-11,15.52,15.69,15.28,15.42
4573,2020-12-10,14.89,15.95,14.72,15.95
4572,2020-12-09,15.0,15.0,14.75,14.935
4571,2020-12-08,14.43,15.0,14.23,15.0
4570,2020-12-07,14.2,14.58,14.0431,14.5
4569,2020-12-04,14.19,14.28,13.94,14.2
4568,2020-12-03,14.05,14.47,13.9558,14.11
4567,2020-12-02,13.77,14.32,13.77,14.26
4566,2020-12-01,14.14,14.6064,13.61,13.85
4565,2020-11-30,14.12,14.4,13.6,14.15
4564,2020-11-27,14.2,14.38,14.1596,14.25
4563,2020-11-25,14.6095,14.63,14.21,14.25
4562,2020-11-24,15.0,15.25,14.83,14.83
4561,2020-11-23,14.71,15.43,14.63,14.825
4560,2020-11-20,14.63,15.26,14.0238,14.61
4559,2020-11-19,15.0,15.11,13.3,14.3
4558,2020-11-18,16.19,16.3891,15.0502,15.23
4557,2020-11-17,16.0,17.39,15.8962,16.76
4556,2020-11-16,15.48,15.95,15.26,15.9498
4555,2020-11-13,14.665,15.5,14.665,15.2314
4554,2020-11-12,13.905,14.86,13.8601,14.425
4553,2020-11-11,13.72,14.35,13.655,13.76
4552,2020-11-10,13.26,13.77,13.26,13.55
4551,2020-11-09,13.47,13.73,12.65,13.47
4550,2020-11-06,13.53,13.53,13.21,13.21
4549,2020-11-05,12.73,13.73,12.73,13.48
4548,2020-11-04,12.65,12.93,12.65,12.66
4547,2020-11-03,12.55,12.94,12.55,12.76
4546,2020-11-02,12.45,12.7199,12.26,12.52
4545,2020-10-30,12.5,12.51,12.1566,12.25
4544,2020-10-29,12.25,12.8,12.226,12.8
4543,2020-10-28,12.69,12.69,11.99,12.38
4542,2020-10-27,12.35,12.98,12.1427,12.75
4541,2020-10-26,12.12,12.29,12.09,12.195
4540,2020-10-23,12.11,12.3264,12.01,12.03
4539,2020-10-22,12.35,12.354,11.89,12.125
4538,2020-10-21,12.2764,12.5,12.2,12.3
4537,2020-10-20,12.37,12.4166,12.07,12.28
4536,2020-10-19,12.22,12.3,12.01,12.25
