,Date,Open,High,Low,Close
2613,2020-12-14,23.53,23.66,22.5,22.52
2612,2020-12-11,22.7,23.13,22.54,23.1
2611,2020-12-10,22.17,23.04,22.17,22.95
2610,2020-12-09,22.33,22.5521,22.1,22.15
2609,2020-12-08,21.54,22.4379,21.54,22.12
2608,2020-12-07,22.32,22.45,21.8015,21.96
2607,2020-12-04,21.38,22.785,21.38,22.49
2606,2020-12-03,20.38,21.51,20.365,21.2
2605,2020-12-02,19.57,20.5116,19.57,20.36
2604,2020-12-01,19.86,20.13,19.51,19.7
2603,2020-11-30,19.79,20.08,19.42,19.46
2602,2020-11-27,20.17,20.24,19.6801,19.93
2601,2020-11-25,20.03,20.29,19.7784,20.11
2600,2020-11-24,19.77,20.6402,19.77,20.08
2599,2020-11-23,18.62,19.48,18.62,19.48
2598,2020-11-20,18.52,18.65,18.52,18.53
2597,2020-11-19,18.35,18.9,18.18,18.87
2596,2020-11-18,18.45,18.82,18.25,18.29
2595,2020-11-17,17.73,18.395,17.37,18.28
2594,2020-11-16,18.02,18.22,18.0098,18.18
2593,2020-11-13,17.0,17.64,16.8853,17.61
2592,2020-11-12,16.86,17.11,16.76,17.01
2591,2020-11-11,17.11,17.35,16.91,16.93
2590,2020-11-10,16.63,17.13,16.515,16.94
2589,2020-11-09,16.05,16.59,15.9,16.5
2588,2020-11-06,15.76,15.92,15.25,15.25
2587,2020-11-05,15.12,15.79,15.12,15.76
2586,2020-11-04,14.82,15.48,14.78,15.11
2585,2020-11-03,14.88,15.155,14.88,14.9
2584,2020-11-02,14.63,14.75,14.607,14.66
2583,2020-10-30,14.94,14.94,14.44,14.64
2582,2020-10-29,14.7,14.92,14.4601,14.92
2581,2020-10-28,14.7,15.04,14.545,14.68
2580,2020-10-27,15.44,15.4411,15.14,15.17
2579,2020-10-26,15.81,15.81,15.22,15.43
2578,2020-10-23,16.33,16.5,15.89,15.97
2577,2020-10-22,15.66,16.36,15.66,16.3
2576,2020-10-21,15.91,16.1418,15.7306,15.74
2575,2020-10-20,15.81,16.1136,15.81,15.97
2574,2020-10-19,16.16,16.16,15.83,15.85
2573,2020-10-16,16.14,16.22,15.99,16.0311
2572,2020-10-15,15.87,16.18,15.84,16.14
2571,2020-10-14,15.65,16.28,15.65,16.06
2570,2020-10-13,15.78,15.8899,15.63,15.72
2569,2020-10-12,15.89,15.9,15.73,15.89
2568,2020-10-09,16.05,16.29,15.87,16.0
2567,2020-10-08,15.5,16.22,15.496,16.15
2566,2020-10-07,15.13,15.481,15.1034,15.36
2565,2020-10-06,15.45,15.66,15.05,15.05
2564,2020-10-05,14.62,15.29,14.62,15.2
2563,2020-10-02,13.89,14.449,13.89,14.4
2562,2020-10-01,14.49,14.54,14.2,14.3
2561,2020-09-30,14.76,15.05,14.47,14.49
2560,2020-09-29,14.5,14.89,14.46,14.74
2559,2020-09-28,14.34,14.6619,14.26,14.53
2558,2020-09-25,13.98,14.24,13.97,14.19
2557,2020-09-24,14.32,14.385,13.7181,14.1086
2556,2020-09-23,15.1,15.215,14.28,14.35
2555,2020-09-22,15.16,15.55,15.02,15.11
2554,2020-09-21,15.36,15.4487,15.15,15.25
2553,2020-09-18,15.76,15.86,15.555,15.72
2552,2020-09-17,15.9,15.9073,15.65,15.74
2551,2020-09-16,15.83,16.2399,15.67,16.02
2550,2020-09-15,15.89,16.03,15.67,15.73
2549,2020-09-14,15.63,15.91,15.572,15.82
2548,2020-09-11,15.8,15.87,15.49,15.59
2547,2020-09-10,16.0,16.0,15.5301,15.62
2546,2020-09-09,15.8,16.0387,15.8,15.89
2545,2020-09-08,16.11,16.11,15.59,15.74
2544,2020-09-04,16.16,16.37,15.78,16.32
2543,2020-09-03,16.35,16.615,16.15,16.15
2542,2020-09-02,16.4,16.67,16.27,16.45
2541,2020-09-01,16.69,16.69,16.39,16.52
2540,2020-08-31,17.2,17.215,16.79,16.79
2539,2020-08-28,16.93,17.27,16.83,17.15
2538,2020-08-27,16.61,16.8637,16.585,16.83
2537,2020-08-26,17.25,17.319,16.68,16.73
2536,2020-08-25,17.46,17.5,17.03,17.33
2535,2020-08-24,17.63,17.65,17.43,17.47
2534,2020-08-21,17.85,18.05,17.64,17.65
2533,2020-08-20,18.22,18.22,17.91,18.06
2532,2020-08-19,18.9157,18.9157,18.39,18.44
2531,2020-08-18,19.07,19.1572,18.44,18.8427
2530,2020-08-17,19.1,19.2395,18.9101,19.1427
2529,2020-08-14,18.77,19.3741,18.77,19.15
2528,2020-08-13,19.09,19.13,18.7151,19.05
2527,2020-08-12,18.92,19.15,18.8,19.11
2526,2020-08-11,19.19,19.335,18.78,18.78
2525,2020-08-10,18.74,18.95,18.6398,18.95
2524,2020-08-07,18.31,18.66,18.0685,18.66
2523,2020-08-06,18.06,18.37,17.8,18.35
2522,2020-08-05,17.51,18.0,17.43,17.98
2521,2020-08-04,17.0,17.29,16.83,17.29
2520,2020-08-03,16.74,17.06,16.67,16.96
2519,2020-07-31,16.91,17.74,16.5701,16.76
2518,2020-07-30,16.9,17.0,16.7285,16.96
2517,2020-07-29,16.84,17.2,16.775,17.2
2516,2020-07-28,16.62,16.82,16.5101,16.7
2515,2020-07-27,17.28,17.3677,16.73,16.76
2514,2020-07-24,17.46,17.46,17.1301,17.26
2513,2020-07-23,17.37,17.505,17.16,17.41
2512,2020-07-22,17.94,17.94,17.529,17.89
2511,2020-07-21,17.12,18.1,17.12,17.98
2510,2020-07-20,16.91,17.28,16.86,17.04
2509,2020-07-17,16.62,17.05,16.62,16.82
2508,2020-07-16,16.6,16.89,16.39,16.73
2507,2020-07-15,16.1,16.75,16.02,16.6
2506,2020-07-14,15.84,16.06,15.83,15.9
2505,2020-07-13,16.39,16.5,15.94,15.98
2504,2020-07-10,16.17,16.39,16.1,16.39
2503,2020-07-09,16.98,16.98,16.06,16.13
2502,2020-07-08,16.7,16.98,16.49,16.88
2501,2020-07-07,16.0,16.76,16.0,16.19
2500,2020-07-06,16.9,17.26,16.04,16.24
2499,2020-07-02,17.14,17.27,16.73,16.73
2498,2020-07-01,17.29,17.74,17.0,17.03
2497,2020-06-30,17.05,17.31,16.91,17.29
2496,2020-06-29,17.43,17.516,17.05,17.17
2495,2020-06-26,18.04,18.04,17.28,17.3
2494,2020-06-25,17.98,18.69,17.91,18.17
2493,2020-06-24,19.06,19.06,17.9,18.23
2492,2020-06-23,19.67,19.83,19.06,19.09
2491,2020-06-22,19.0,19.47,19.0,19.47
2490,2020-06-19,20.0,20.0,19.03,19.22
2489,2020-06-18,19.48,19.96,19.47,19.49
2488,2020-06-17,20.64,20.64,19.67,19.7
2487,2020-06-16,21.26,21.49,20.56,20.56
2486,2020-06-15,18.79,20.76,18.5,20.54
2485,2020-06-12,20.16,20.48,19.02,19.45
2484,2020-06-11,20.77,20.77,18.95,19.27
2483,2020-06-10,22.38,22.93,21.47,22.0
2482,2020-06-09,23.74,23.91,22.4,22.71
2481,2020-06-08,24.0,24.22,23.61,24.01
2480,2020-06-05,22.7,23.56,22.7,22.93
2479,2020-06-04,20.85,21.82,20.81,21.82
2478,2020-06-03,20.8,21.33,20.76,21.0
2477,2020-06-02,20.45,20.87,20.45,20.74
2476,2020-06-01,21.04,21.14,20.45,20.45
2475,2020-05-29,20.17,21.0,20.0,20.95
2474,2020-05-28,20.93,21.04,20.29,20.54
2473,2020-05-27,20.9,21.08,20.12,20.93
2472,2020-05-26,20.73,20.86,20.38,20.68
2471,2020-05-22,19.87,19.95,19.15,19.94
2470,2020-05-21,20.16,20.16,19.45,19.78
2469,2020-05-20,19.35,20.0,19.33,19.77
2468,2020-05-19,18.6,19.0,18.6,18.92
2467,2020-05-18,18.17,18.63,18.06,18.56
2466,2020-05-15,16.31,17.19,16.27,17.16
2465,2020-05-14,16.0,16.77,15.28,16.7
2464,2020-05-13,17.15,17.34,15.64,16.23
2463,2020-05-12,17.46,17.85,17.11,17.18
2462,2020-05-11,17.81,17.9,17.12,17.28
2461,2020-05-08,17.75,18.0,16.69,17.96
2460,2020-05-07,18.85,19.61,18.62,18.7
2459,2020-05-06,19.6,19.93,18.18,18.36
2458,2020-05-05,19.75,21.16,19.32,19.43
2457,2020-05-04,18.49,19.05,17.42,18.99
2456,2020-05-01,20.67,21.99,18.8,18.83
2455,2020-04-30,2.3,2.39,2.05,2.12
2454,2020-04-29,2.01,2.22,1.99,2.21
2453,2020-04-28,1.68,1.9,1.63,1.83
2452,2020-04-27,1.5,1.61,1.48,1.58
2451,2020-04-24,1.5,1.55,1.39,1.46
2450,2020-04-23,1.4,1.51,1.37,1.45
2449,2020-04-22,1.3,1.34,1.27,1.33
2448,2020-04-21,1.23,1.27,1.15,1.27
2447,2020-04-20,1.21,1.39,1.19,1.28
2446,2020-04-17,1.25,1.33,1.24,1.33
2445,2020-04-16,1.29,1.34,1.22,1.23
2444,2020-04-15,1.33,1.33,1.19,1.29
2443,2020-04-14,1.26,1.4,1.26,1.35
2442,2020-04-13,1.48,1.5,1.21,1.24
2441,2020-04-09,1.34,1.6,1.24,1.35
2440,2020-04-08,1.11,1.2,1.11,1.19
2439,2020-04-07,1.07,1.32,1.0,1.08
2438,2020-04-06,1.04,1.04,0.88,0.98
2437,2020-04-03,1.0,1.05,0.87,0.95
2436,2020-04-02,0.9,1.08,0.87,0.93
2435,2020-04-01,0.84,0.85,0.76,0.83
2434,2020-03-31,0.86,0.91,0.82,0.85
2433,2020-03-30,0.97,0.97,0.65,0.84
2432,2020-03-27,1.0,1.02,0.9,0.99
2431,2020-03-26,0.95,1.15,0.94,1.02
2430,2020-03-25,1.04,1.09,0.88,0.96
2429,2020-03-24,1.08,1.15,0.82,0.89
2428,2020-03-23,1.13,1.2,0.86,0.99
2427,2020-03-20,1.01,1.5,0.99,1.14
2426,2020-03-19,0.68,1.13,0.65,0.78
2425,2020-03-18,1.6,1.6,0.5,0.64
2424,2020-03-17,2.32,2.32,1.77,1.86
2423,2020-03-16,3.0,3.01,2.27,2.3
2422,2020-03-13,3.2,3.34,3.05,3.28
2421,2020-03-12,3.94,3.94,2.0,2.97
2420,2020-03-11,4.6,4.81,4.28,4.33
2419,2020-03-10,5.2,5.35,3.88,4.86
2418,2020-03-09,5.78,5.8,4.83,4.84
2417,2020-03-06,7.31,7.4,6.96,7.07
2416,2020-03-05,7.8,7.8,7.5,7.61
2415,2020-03-04,7.97,8.05,7.79,7.89
2414,2020-03-03,8.22,8.43,7.7,7.83
2413,2020-03-02,7.96,8.35,7.8,8.17
2412,2020-02-28,7.65,7.85,7.46,7.8
2411,2020-02-27,8.25,8.25,7.58,7.96
2410,2020-02-26,8.72,8.74,8.37,8.41
2409,2020-02-25,9.16,9.17,8.57,8.67
2408,2020-02-24,9.26,9.26,9.04,9.14
2407,2020-02-21,9.65,9.68,9.44,9.46
2406,2020-02-20,9.67,9.86,9.65,9.68
2405,2020-02-19,10.0,10.06,9.91,9.91
2404,2020-02-18,10.0,10.06,9.94,9.94
2403,2020-02-14,10.12,10.16,10.0,10.02
2402,2020-02-13,10.05,10.16,10.0,10.1
2401,2020-02-12,9.49,10.1,9.49,10.08
2400,2020-02-11,10.22,10.25,10.13,10.2
2399,2020-02-10,10.26,10.28,10.11,10.14
2398,2020-02-07,10.4,10.4,10.28,10.33
2397,2020-02-06,10.68,10.68,10.44,10.45
2396,2020-02-05,10.64,10.76,10.5953,10.66
2395,2020-02-04,10.38,10.63,10.35,10.5
2394,2020-02-03,10.25,10.34,10.19,10.25
2393,2020-01-31,10.28,10.37,10.17,10.26
2392,2020-01-30,10.24,10.35,10.19,10.34
2391,2020-01-29,10.45,10.55,10.33,10.34
2390,2020-01-28,10.44,10.56,10.4,10.41
2389,2020-01-27,10.4,10.46,10.36,10.39
2388,2020-01-24,10.82,10.84,10.57,10.6
2387,2020-01-23,10.82,10.88,10.67,10.85
2386,2020-01-22,11.1,11.14,10.87,10.89
2385,2020-01-21,11.42,11.42,11.1,11.12
2384,2020-01-17,11.59,11.59,11.43,11.45
2383,2020-01-16,11.6,11.68,11.51,11.52
2382,2020-01-15,11.57,11.65,11.52,11.57
2381,2020-01-14,11.53,11.63,11.47,11.57
2380,2020-01-13,11.37,11.52,11.29,11.44
2379,2020-01-10,11.37,11.37,11.25,11.31
2378,2020-01-09,11.36,11.4,11.24,11.36
2377,2020-01-08,11.41,11.48,11.25,11.35
2376,2020-01-07,11.4,11.43,11.23,11.39
2375,2020-01-06,11.3,11.45,11.22,11.36
2374,2020-01-03,11.21,11.27,11.02,11.25
2373,2020-01-02,11.01,11.15,10.98,11.1
2372,2019-12-31,10.84,10.96,10.81,10.96
2371,2019-12-30,11.18,11.18,10.82,10.86
2370,2019-12-27,11.37,11.4,11.05,11.09
2369,2019-12-26,11.36,11.47,11.33,11.38
2368,2019-12-24,11.35,11.39,11.26,11.29
2367,2019-12-23,11.47,11.52,11.29,11.31
2366,2019-12-20,11.6,11.68,11.42,11.45
2365,2019-12-19,11.51,11.61,11.4,11.55
2364,2019-12-18,11.26,11.51,11.25,11.46
2363,2019-12-17,11.16,11.49,11.15,11.3
2362,2019-12-16,10.9,11.14,10.9,11.12
2361,2019-12-13,11.0,11.1,10.69,10.85
2360,2019-12-12,11.02,11.29,11.01,11.02
2359,2019-12-11,10.95,11.17,10.87,11.05
2358,2019-12-10,10.45,10.96,10.45,10.94
2357,2019-12-09,10.06,10.48,10.01,10.47
2356,2019-12-06,9.88,10.14,9.88,10.04
2355,2019-12-05,9.83,9.88,9.75,9.86
2354,2019-12-04,9.88,9.95,9.75,9.82
2353,2019-12-03,9.83,9.95,9.71,9.83
2352,2019-12-02,9.92,9.97,9.79,9.87
2351,2019-11-29,9.93,10.0,9.83,9.88
2350,2019-11-27,9.79,9.93,9.65,9.91
2349,2019-11-26,10.0,10.04,9.75,9.79
2348,2019-11-25,10.01,10.12,9.94,9.97
2347,2019-11-22,10.02,10.08,9.93,10.04
2346,2019-11-21,9.94,10.03,9.8,10.0
2345,2019-11-20,10.23,10.31,10.13,10.29
2344,2019-11-19,10.4,10.43,10.17,10.22
2343,2019-11-18,10.59,10.59,10.37,10.39
2342,2019-11-15,10.48,10.63,10.48,10.6
2341,2019-11-14,10.62,10.65,10.46,10.52
2340,2019-11-13,10.81,10.86,10.59,10.59
2339,2019-11-12,10.94,11.0,10.81,10.83
2338,2019-11-11,11.1,11.12,10.92,10.93
2337,2019-11-08,11.13,11.21,11.07,11.14
2336,2019-11-07,11.41,11.45,11.15,11.17
2335,2019-11-06,11.43,11.46,11.3,11.37
2334,2019-11-05,11.61,11.61,11.35,11.41
2333,2019-11-04,11.45,11.62,11.4,11.51
2332,2019-11-01,11.28,11.37,11.21,11.35
2331,2019-10-31,11.3,11.34,11.17,11.21
2330,2019-10-30,11.25,11.35,11.21,11.31
2329,2019-10-29,11.18,11.29,11.11,11.22
2328,2019-10-28,11.4,11.5,11.18,11.23
2327,2019-10-25,11.32,11.42,11.27,11.36
2326,2019-10-24,11.4,11.43,11.33,11.35
2325,2019-10-23,11.42,11.45,11.32,11.34
2324,2019-10-22,11.47,11.47,11.35,11.41
2323,2019-10-21,11.51,11.55,11.39,11.4
2322,2019-10-18,11.31,11.56,11.31,11.5
2321,2019-10-17,11.42,11.48,11.29,11.3
2320,2019-10-16,11.5,11.58,11.38,11.39
2319,2019-10-15,11.56,11.65,11.48,11.5
