,Date,Open,High,Low,Close
1373,2020-12-14,97.34,103.53,97.0,98.47
1372,2020-12-11,99.23,101.35,95.35,96.56
1371,2020-12-10,92.59,99.7,92.59,98.82
1370,2020-12-09,93.53,97.66,92.95,94.49
1369,2020-12-08,90.01,92.74,89.695,92.63
1368,2020-12-07,88.25,91.18,87.81,90.36
1367,2020-12-04,89.26,89.59,86.76,87.47
1366,2020-12-03,90.63,92.48,87.65,88.97
1365,2020-12-02,90.34,91.355,88.99,90.76
1364,2020-12-01,90.0,93.635,89.295,91.19
1363,2020-11-30,88.58,89.875,86.02,88.27
1362,2020-11-27,85.37,88.41,85.37,88.13
1361,2020-11-25,83.25,85.27,82.27,84.55
1360,2020-11-24,86.44,87.38,82.58,83.02
1359,2020-11-23,85.7,88.3,84.86,85.99
1358,2020-11-20,81.75,86.4771,81.5,85.4
1357,2020-11-19,81.19,83.86,80.27,82.86
1356,2020-11-18,83.49,85.4,80.5,80.83
1355,2020-11-17,81.11,83.45,79.78,83.08
1354,2020-11-16,82.31,83.78,80.98,81.84
1353,2020-11-13,83.74,85.4382,82.49,82.81
1352,2020-11-12,79.72,84.86,79.56,83.48
1351,2020-11-11,77.05,79.44,75.96,78.97
1350,2020-11-10,78.81,79.8331,74.25,76.8
1349,2020-11-09,81.68,84.79,78.18,78.54
1348,2020-11-06,79.0,90.03,78.63,82.08
1347,2020-11-05,76.89,77.29,74.58,76.39
1346,2020-11-04,72.78,75.56,71.875,75.07
1345,2020-11-03,68.35,72.27,67.81,71.5
1344,2020-11-02,67.64,69.26,65.95,67.52
1343,2020-10-30,68.08,69.97,65.6101,67.26
1342,2020-10-29,67.0015,68.67,66.23,68.33
1341,2020-10-28,69.54,70.17,66.45,66.66
1340,2020-10-27,69.52,71.42,68.85,70.64
1339,2020-10-26,70.05,71.76,67.56,68.87
1338,2020-10-23,71.78,72.98,69.99,71.19
1337,2020-10-22,68.42,71.72,67.96,71.39
1336,2020-10-21,70.61,71.71,67.69,67.99
1335,2020-10-20,73.18,73.97,69.78,70.35
1334,2020-10-19,71.44,74.49,71.3,72.55
1333,2020-10-16,71.7,72.7,71.0,71.08
1332,2020-10-15,71.0,72.62,69.2,71.7
1331,2020-10-14,73.45,74.1199,71.59,71.91
1330,2020-10-13,73.0,74.9898,72.9,73.0
1329,2020-10-12,74.5,75.0,73.11,73.6
1328,2020-10-09,71.49,74.17,70.54,73.58
1327,2020-10-08,74.26,74.43,70.8,71.4
1326,2020-10-07,71.92,74.47,70.35,72.56
1325,2020-10-06,70.99,73.58,69.92,71.41
1324,2020-10-05,71.24,72.29,69.43,70.72
1323,2020-10-02,72.13,73.26,70.145,70.78
1322,2020-10-01,73.26,73.59,71.81,72.89
1321,2020-09-30,72.46,73.92,71.12,72.24
1320,2020-09-29,69.59,73.99,69.44,72.67
1319,2020-09-28,70.16,70.97,68.56,70.05
1318,2020-09-25,65.18,71.08,64.42,68.62
1317,2020-09-24,63.42,66.87,62.33,64.88
1316,2020-09-23,63.31,64.75,61.835,62.33
1315,2020-09-22,62.69,64.33,62.55,64.01
1314,2020-09-21,59.68,62.81,58.7,62.76
1313,2020-09-18,61.38,62.23,58.65,60.52
1312,2020-09-17,61.17,62.85,60.1,60.94
1311,2020-09-16,61.78,62.85,60.79,61.15
1310,2020-09-15,62.66,64.53,61.13,61.33
1309,2020-09-14,61.55,62.999,60.03,61.7
1308,2020-09-11,59.56,60.75,58.03,59.61
1307,2020-09-10,60.76,63.72,60.5057,61.74
1306,2020-09-09,62.75,64.21,62.65,63.12
1305,2020-09-08,63.43,64.35,61.68,61.79
1304,2020-09-04,61.56,65.52,59.4,64.73
1303,2020-09-03,64.24,64.89,62.8,64.07
1302,2020-09-02,64.71,64.97,62.26,64.32
1301,2020-09-01,64.24,64.8,63.7,64.12
1300,2020-08-31,64.51,64.74,63.15,63.71
1299,2020-08-28,64.85,64.85,63.68,64.39
1298,2020-08-27,64.84,64.97,63.365,64.34
1297,2020-08-26,65.78,66.9337,64.69,64.83
1296,2020-08-25,65.24,65.92,64.01,65.46
1295,2020-08-24,66.66,66.66,64.0,65.49
1294,2020-08-21,66.28,66.73,64.31,65.88
1293,2020-08-20,65.54,66.75,65.01,66.01
1292,2020-08-19,65.74,66.845,64.65,65.95
1291,2020-08-18,62.5,65.66,61.3101,65.28
1290,2020-08-17,55.34,63.01,54.57,62.78
1289,2020-08-14,56.19,56.42,54.4,54.63
1288,2020-08-13,53.7,57.7,53.7,56.38
1287,2020-08-12,50.67,53.78,50.655,53.49
1286,2020-08-11,51.19,52.0999,49.16,50.37
1285,2020-08-10,53.0,53.01,51.02,51.33
1284,2020-08-07,52.82,54.8,52.3535,52.87
1283,2020-08-06,55.0,56.51,52.71,55.17
1282,2020-08-05,49.47,51.44,48.9,51.2
1281,2020-08-04,49.83,50.22,47.99,49.35
1280,2020-08-03,48.33,50.08,48.1175,49.78
1279,2020-07-31,47.51,48.1,46.0,48.02
1278,2020-07-30,46.34,48.2,46.34,47.55
1277,2020-07-29,46.51,47.15,45.95,46.68
1276,2020-07-28,47.58,47.76,46.06,46.09
1275,2020-07-27,46.76,47.635,45.91,47.54
1274,2020-07-24,47.86,47.86,45.38,46.52
1273,2020-07-23,49.9,49.97,47.67,48.41
1272,2020-07-22,49.03,49.68,48.19,49.5
1271,2020-07-21,49.8,51.87,48.4,49.23
1270,2020-07-20,48.79,50.13,48.0,49.81
1269,2020-07-17,47.18,48.34,46.99,48.1
1268,2020-07-16,48.19,48.71,46.34,46.97
1267,2020-07-15,48.79,50.12,47.88,48.73
1266,2020-07-14,45.98,48.34,45.16,48.29
1265,2020-07-13,47.18,48.76,45.77,45.89
1264,2020-07-10,49.22,49.9,46.82,46.92
1263,2020-07-09,48.8,50.07,47.4,49.19
1262,2020-07-08,47.0,48.66,46.98,48.45
1261,2020-07-07,47.4,48.7,46.39,47.14
1260,2020-07-06,48.36,48.58,46.32,46.59
1259,2020-07-02,50.0,50.0,47.95,48.08
1258,2020-07-01,50.0,50.57,48.75,49.56
1257,2020-06-30,48.0,49.97,47.65,49.86
1256,2020-06-29,45.95,47.85,45.11,47.7
1255,2020-06-26,47.09,47.91,45.73,45.9
1254,2020-06-25,45.22,47.6,44.5702,47.53
