,Date,Open,High,Low,Close
5314,2020-12-14,12.4,12.75,12.2,12.31
5313,2020-12-11,12.43,12.8,11.131,12.2
5312,2020-12-10,12.32,13.198,12.1,12.61
5311,2020-12-09,12.6,13.52,12.01,12.85
5310,2020-12-08,11.58,12.47,11.0,11.95
5309,2020-12-07,14.5,14.5,11.23,11.79
5308,2020-12-04,11.88,14.41,11.88,14.41
5307,2020-12-03,11.11,12.2,10.22,11.87
5306,2020-12-02,9.43,11.52,8.71,11.35
5305,2020-12-01,9.5,9.5,9.0,9.11
5304,2020-11-30,9.0,9.5,8.05,9.49
5303,2020-11-27,8.4,8.7,8.0,8.58
5302,2020-11-25,8.0,9.76,7.24,8.49
5301,2020-11-24,7.18,8.4999,6.5001,8.13
5300,2020-11-23,7.67,7.8153,6.8,6.94
5299,2020-11-20,6.32,7.68,6.12,7.52
5298,2020-11-19,6.02,6.66,5.48,6.25
5297,2020-11-18,5.61,6.57,5.61,6.45
5296,2020-11-17,5.45,5.8,5.3712,5.5
5295,2020-11-16,5.08,5.5,4.9729,5.35
5294,2020-11-13,5.27,5.55,4.75,4.99
5293,2020-11-12,4.67,5.013,4.56,4.87
5292,2020-11-11,4.7,4.9252,4.57,4.77
5291,2020-11-10,5.7,5.7,4.8,4.8
5290,2020-11-09,5.82,5.8202,5.18,5.7
5289,2020-11-06,5.78,6.18,5.65,5.65
5288,2020-11-05,5.81,5.98,5.64,5.86
5287,2020-11-04,6.38,6.6,5.75,5.91
5286,2020-11-03,6.2,6.61,6.1819,6.25
5285,2020-11-02,6.16,6.72,6.03,6.03
5284,2020-10-30,6.31,6.7699,6.035,6.16
5283,2020-10-29,6.21,6.7,5.91,6.5
5282,2020-10-28,6.57,7.97,6.22,6.34
5281,2020-10-27,6.75,7.24,6.72,7.1
5280,2020-10-26,6.59,7.49,6.25,6.76
5279,2020-10-23,6.05,7.87,5.94,6.87
5278,2020-10-22,5.91,6.6,5.7001,6.07
5277,2020-10-21,6.84,7.37,5.735,6.03
5276,2020-10-20,5.9,7.4799,5.7,7.4
5275,2020-10-19,4.3,5.8,4.3,5.66
5274,2020-10-16,3.81,4.43,3.7102,4.21
5273,2020-10-15,3.35,3.67,3.08,3.57
5272,2020-10-14,3.3,3.32,3.16,3.3
5271,2020-10-13,3.15,3.3,2.96,3.3
5270,2020-10-12,3.1,3.39,3.1,3.2
5269,2020-10-09,2.79,3.1899,2.49,3.1
5268,2020-10-08,2.75,3.0699,2.6,2.77
5267,2020-10-07,2.15,2.8,2.15,2.79
5266,2020-10-06,2.26,2.2899,2.08,2.25
5265,2020-10-05,1.96,2.29,1.9365,2.26
5264,2020-10-02,1.81,1.94,1.805,1.9
5263,2020-10-01,1.7105,1.8896,1.7105,1.8501
5262,2020-09-30,1.7,1.74,1.63,1.7
5261,2020-09-29,1.62,1.68,1.62,1.6652
5260,2020-09-28,1.48,1.7235,1.48,1.6499
5259,2020-09-25,1.465,1.566,1.465,1.51
5258,2020-09-24,1.47,1.47,1.41,1.46
5257,2020-09-23,1.585,1.5878,1.35,1.47
5256,2020-09-22,1.68,1.68,1.51,1.58
5255,2020-09-21,1.525,1.6,1.5175,1.6
5254,2020-09-18,1.535,1.54,1.47,1.51
5253,2020-09-17,1.35,1.56,1.3301,1.53
5252,2020-09-16,1.29,1.35,1.29,1.35
5251,2020-09-15,1.375,1.38,1.29,1.3544
5250,2020-09-14,1.34,1.399,1.34,1.34
5249,2020-09-11,1.335,1.36,1.27,1.36
5248,2020-09-10,1.33,1.3869,1.3001,1.31
5247,2020-09-09,1.4,1.4,1.33,1.38
5246,2020-09-08,1.29,1.4,1.27,1.38
5245,2020-09-04,1.39,1.42,1.26,1.33
5244,2020-09-03,1.43,1.47,1.38,1.39
5243,2020-09-02,1.48,1.48,1.44,1.46
5242,2020-09-01,1.44,1.5,1.44,1.46
5241,2020-08-31,1.42,1.4744,1.42,1.44
5240,2020-08-28,1.45,1.49,1.45,1.45
5239,2020-08-27,1.46,1.485,1.45,1.46
5238,2020-08-26,1.485,1.505,1.46,1.48
5237,2020-08-25,1.52,1.52,1.42,1.46
5236,2020-08-24,1.5,1.5,1.44,1.48
5235,2020-08-21,1.5,1.52,1.45,1.5
5234,2020-08-20,1.58,1.61,1.41,1.4799
5233,2020-08-19,1.5435,1.58,1.49,1.5797
5232,2020-08-18,1.76,1.76,1.47,1.47
5231,2020-08-17,1.57,1.6168,1.47,1.51
5230,2020-08-14,1.69,1.69,1.56,1.6
5229,2020-08-13,1.57,1.6856,1.57,1.65
5228,2020-08-12,1.63,1.7,1.6,1.6
5227,2020-08-11,1.65,1.72,1.6,1.62
5226,2020-08-10,1.69,1.725,1.65,1.67
5225,2020-08-07,1.74,1.74,1.615,1.667
5224,2020-08-06,1.75,1.78,1.74,1.7401
5223,2020-08-05,1.77,1.83,1.75,1.75
5222,2020-08-04,1.77,1.81,1.75,1.81
5221,2020-08-03,1.7,1.838,1.7,1.75
5220,2020-07-31,1.79,1.8,1.7,1.7812
5219,2020-07-30,1.61,1.8101,1.55,1.8
5218,2020-07-29,1.79,1.95,1.63,1.7095
5217,2020-07-28,1.75,1.8,1.61,1.71
5216,2020-07-27,1.61,1.86,1.57,1.86
5215,2020-07-24,2.04,2.48,1.62,1.77
5214,2020-07-23,1.11,1.19,1.1,1.145
5213,2020-07-22,1.1,1.165,1.1,1.14
5212,2020-07-21,1.2,1.2,1.1,1.16
5211,2020-07-20,1.17,1.23,1.1,1.12
5210,2020-07-17,1.18,1.24,1.16,1.19
5209,2020-07-16,1.09,1.16,1.06,1.15
5208,2020-07-15,1.0,1.1,1.0,1.08
5207,2020-07-14,1.01,1.03,0.96,1.0
5206,2020-07-13,1.05,1.07,1.01,1.03
5205,2020-07-10,1.11,1.15,1.05,1.07
5204,2020-07-09,1.2,1.22,1.11,1.12
5203,2020-07-08,1.11,1.23,1.11,1.19
5202,2020-07-07,1.12,1.19,1.11,1.11
5201,2020-07-06,1.12,1.2,1.11,1.14
5200,2020-07-02,1.07,1.19,1.07,1.14
5199,2020-07-01,1.15,1.15,1.05,1.08
5198,2020-06-30,1.08,1.2,1.01,1.1
5197,2020-06-29,1.15,1.18,1.07,1.11
5196,2020-06-26,1.23,1.28,1.05,1.1384
5195,2020-06-25,1.41,1.4499,1.22,1.24
5194,2020-06-24,1.2,1.445,1.1566,1.3
5193,2020-06-23,1.23,1.31,1.185,1.26
5192,2020-06-22,1.15,1.29,1.15,1.26
5191,2020-06-19,1.26,1.41,1.15,1.24
