,Date,Open,High,Low,Close
5019,2020-12-14,2.52,2.52,2.36,2.45
5018,2020-12-11,2.61,2.6521,2.2801,2.29
5017,2020-12-10,2.66,2.95,2.55,2.56
5016,2020-12-09,2.82,3.12,2.67,2.92
5015,2020-12-08,3.79,4.9,2.92,2.99
5014,2020-12-07,2.02,2.18,2.0,2.15
5013,2020-12-04,2.01,2.01,1.95,1.97
5012,2020-12-03,1.94,2.01,1.9,1.99
5011,2020-12-02,1.95,2.01,1.91,2.01
5010,2020-12-01,2.1,2.1,1.96,2.0
5009,2020-11-30,2.06,2.09,2.03,2.07
5008,2020-11-27,2.03,2.07,2.0,2.04
5007,2020-11-25,1.91,2.07,1.89,2.0076
5006,2020-11-24,1.94,1.95,1.88,1.92
5005,2020-11-23,1.77,1.87,1.77,1.855
5004,2020-11-20,1.75,1.8,1.74,1.76
5003,2020-11-19,1.73,1.81,1.7201,1.8
5002,2020-11-18,1.74,1.79,1.71,1.75
5001,2020-11-17,1.68,1.79,1.68,1.77
5000,2020-11-16,1.7,1.73,1.68,1.71
4999,2020-11-13,1.74,1.75,1.71,1.71
4998,2020-11-12,1.72,1.77,1.69,1.74
4997,2020-11-11,1.75,1.7613,1.64,1.7
4996,2020-11-10,1.69,1.75,1.61,1.69
4995,2020-11-09,1.58,1.68,1.58,1.67
4994,2020-11-06,1.55,1.63,1.55,1.58
4993,2020-11-05,1.59,1.59,1.56,1.56
4992,2020-11-04,1.54,1.6,1.53,1.56
4991,2020-11-03,1.54,1.57,1.51,1.55
4990,2020-11-02,1.57,1.6,1.54,1.54
4989,2020-10-30,1.53,1.6,1.51,1.59
4988,2020-10-29,1.52,1.54,1.4701,1.5
4987,2020-10-28,1.57,1.59,1.4937,1.5
4986,2020-10-27,1.61,1.6527,1.56,1.57
4985,2020-10-26,1.6,1.66,1.5801,1.6
4984,2020-10-23,1.6,1.68,1.58,1.64
4983,2020-10-22,1.69,1.7,1.55,1.58
4982,2020-10-21,1.68,1.8,1.62,1.64
4981,2020-10-20,1.69,1.7053,1.66,1.69
4980,2020-10-19,1.71,1.72,1.6601,1.69
4979,2020-10-16,1.68,1.7199,1.65,1.68
4978,2020-10-15,1.69,1.73,1.6,1.675
4977,2020-10-14,1.73,1.76,1.66,1.71
4976,2020-10-13,1.75,1.8001,1.73,1.77
4975,2020-10-12,1.73,2.03,1.7101,1.8
4974,2020-10-09,1.75,1.75,1.71,1.73
4973,2020-10-08,1.7,1.78,1.7,1.74
4972,2020-10-07,1.72,1.75,1.66,1.7
4971,2020-10-06,1.7,1.77,1.67,1.73
4970,2020-10-05,1.66,1.7299,1.6584,1.69
4969,2020-10-02,1.66,1.68,1.6,1.66
4968,2020-10-01,1.7,1.77,1.6612,1.74
4967,2020-09-30,1.7,1.73,1.67,1.7
4966,2020-09-29,1.71,1.74,1.67,1.73
4965,2020-09-28,1.76,1.76,1.62,1.68
4964,2020-09-25,1.52,1.8,1.5,1.72
4963,2020-09-24,1.51,1.6599,1.39,1.54
4962,2020-09-23,1.61,1.68,1.51,1.55
4961,2020-09-22,1.73,1.84,1.6,1.61
4960,2020-09-21,1.7,1.83,1.6,1.64
4959,2020-09-18,1.71,1.77,1.67,1.7
4958,2020-09-17,1.59,1.685,1.59,1.66
4957,2020-09-16,1.6,1.65,1.57,1.63
4956,2020-09-15,1.59,1.62,1.5701,1.62
4955,2020-09-14,1.66,1.6895,1.53,1.57
4954,2020-09-11,1.54,1.84,1.45,1.73
4953,2020-09-10,1.59,1.59,1.53,1.53
4952,2020-09-09,1.6,1.6,1.53,1.57
4951,2020-09-08,1.63,1.64,1.48,1.6
4950,2020-09-04,1.57,1.579,1.41,1.48
4949,2020-09-03,1.63,1.65,1.53,1.58
4948,2020-09-02,1.71,1.75,1.61,1.65
4947,2020-09-01,1.71,1.9,1.66,1.7
4946,2020-08-31,1.75,1.8,1.7,1.73
4945,2020-08-28,1.71,1.94,1.6917,1.79
4944,2020-08-27,1.77,1.78,1.67,1.72
4943,2020-08-26,1.77,1.81,1.73,1.77
4942,2020-08-25,1.8,1.99,1.72,1.8199
4941,2020-08-24,1.87,1.89,1.69,1.82
4940,2020-08-21,1.95,1.98,1.88,1.88
4939,2020-08-20,1.97,2.44,1.9,1.93
4938,2020-08-19,2.0,2.01,1.95,2.0
4937,2020-08-18,2.03,2.07,1.974,2.0
4936,2020-08-17,1.98,2.1,1.97,2.06
4935,2020-08-14,2.03,2.03,1.9501,2.0
4934,2020-08-13,1.98,2.06,1.95,2.03
4933,2020-08-12,2.06,2.1051,1.93,2.0
4932,2020-08-11,2.25,2.25,2.02,2.03
4931,2020-08-10,2.3585,2.54,2.17,2.25
4930,2020-08-07,2.12,2.27,2.12,2.25
4929,2020-08-06,2.03,2.19,2.03,2.15
4928,2020-08-05,2.08,2.08,2.02,2.03
4927,2020-08-04,2.05,2.12,2.0,2.05
4926,2020-08-03,2.01,2.06,1.9602,2.04
4925,2020-07-31,2.02,2.08,1.96,1.98
4924,2020-07-30,2.09,2.09,1.93,2.02
4923,2020-07-29,2.04,2.14,2.04,2.07
4922,2020-07-28,2.08,2.17,2.05,2.05
4921,2020-07-27,2.0899,2.19,2.02,2.1
4920,2020-07-24,1.98,1.98,1.92,1.97
4919,2020-07-23,2.0,2.04,1.94,1.96
4918,2020-07-22,2.05,2.12,2.01,2.04
4917,2020-07-21,2.06,2.14,2.01,2.05
4916,2020-07-20,2.08,2.08,1.97,2.04
4915,2020-07-17,2.0,2.13,2.0,2.08
4914,2020-07-16,2.0,2.03,1.97,1.98
4913,2020-07-15,1.94,2.03,1.94,2.0
4912,2020-07-14,1.97,1.97,1.82,1.97
4911,2020-07-13,2.07,2.09,1.9,1.97
4910,2020-07-10,2.24,2.25,2.06,2.09
4909,2020-07-09,2.2,2.45,2.05,2.26
4908,2020-07-08,2.09,2.29,2.06,2.23
4907,2020-07-07,2.09,2.11,1.98,2.09
4906,2020-07-06,2.2,2.36,2.09,2.12
4905,2020-07-02,2.13,2.22,2.03,2.11
4904,2020-07-01,2.02,2.22,2.0,2.1
4903,2020-06-30,2.06,2.16,1.99,2.05
4902,2020-06-29,1.94,2.2,1.86,2.06
4901,2020-06-26,2.03,2.09,1.91,1.95
4900,2020-06-25,1.97,2.58,1.95,2.16
4899,2020-06-24,2.0,2.3,1.85,2.08
4898,2020-06-23,2.07,2.08,2.02,2.05
4897,2020-06-22,2.0,2.08,1.9013,2.06
4896,2020-06-19,1.85,2.15,1.77,1.93
4895,2020-06-18,1.72,1.94,1.63,1.81
4894,2020-06-17,1.77,1.7822,1.7002,1.75
4893,2020-06-16,1.85,1.85,1.74,1.77
4892,2020-06-15,1.8,1.83,1.71,1.78
4891,2020-06-12,1.88,1.97,1.74,1.81
4890,2020-06-11,1.9,1.94,1.8,1.83
4889,2020-06-10,1.93,3.35,1.8492,2.08
4888,2020-06-09,1.97,1.98,1.8787,1.95
4887,2020-06-08,2.0,2.11,1.9,1.96
4886,2020-06-05,2.0,2.05,1.95,2.0
4885,2020-06-04,2.05,2.06,1.8,1.97
4884,2020-06-03,2.12,2.14,2.04,2.05
4883,2020-06-02,2.19,2.28,2.085,2.12
4882,2020-06-01,2.11,2.24,2.01,2.14
4881,2020-05-29,2.1,2.13,2.02,2.08
4880,2020-05-28,2.2,2.2,2.06,2.09
4879,2020-05-27,2.26,2.3,2.16,2.23
4878,2020-05-26,2.22,2.281,2.18,2.26
4877,2020-05-22,2.24,2.2649,2.11,2.2
4876,2020-05-21,2.29,2.38,2.235,2.3
4875,2020-05-20,2.35,2.45,2.22,2.3
4874,2020-05-19,2.23,2.49,2.11,2.38
4873,2020-05-18,2.11,2.2699,2.01,2.12
4872,2020-05-15,2.17,2.19,2.07,2.09
4871,2020-05-14,2.29,2.3135,2.06,2.17
4870,2020-05-13,2.39,2.69,2.21,2.28
4869,2020-05-12,2.35,2.47,2.15,2.35
4868,2020-05-11,2.04,2.4,2.04,2.35
4867,2020-05-08,2.05,2.1,1.9,2.04
4866,2020-05-07,2.1,2.11,2.0101,2.07
4865,2020-05-06,2.25,2.25,2.0,2.12
4864,2020-05-05,2.39,2.444,2.18,2.25
4863,2020-05-04,2.61,2.65,2.36,2.42
4862,2020-05-01,2.55,2.7387,2.4,2.66
4861,2020-04-30,2.43,2.5424,2.4,2.46
4860,2020-04-29,2.4,2.58,2.32,2.48
4859,2020-04-28,2.64,2.65,2.4,2.47
4858,2020-04-27,2.72,2.8,2.51,2.63
4857,2020-04-24,2.85,2.87,2.51,2.62
4856,2020-04-23,3.05,3.35,2.85,2.87
4855,2020-04-22,2.85,3.16,2.85,3.06
4854,2020-04-21,2.93,2.97,2.8,2.82
4853,2020-04-20,3.1693,3.26,2.855,3.02
4852,2020-04-17,3.6,3.7,3.07,3.3
4851,2020-04-16,3.56,4.23,3.2,3.65
4850,2020-04-15,2.51,4.19,2.5,3.33
4849,2020-04-14,2.16,6.2,2.05,3.0
4848,2020-04-13,1.59,2.2962,1.47,1.89
4847,2020-04-09,1.15,1.46,1.1,1.33
4846,2020-04-08,1.07,1.08,1.0,1.04
4845,2020-04-07,1.14,1.1499,0.9799,1.0084
4844,2020-04-06,1.0,1.09,0.852,1.07
4843,2020-04-03,1.2,1.26,1.0388,1.0388
4842,2020-04-02,1.5,1.5,1.11,1.2
4841,2020-04-01,1.22,2.07,1.21,1.52
4840,2020-03-31,1.155,1.2,1.11,1.1362
4839,2020-03-30,1.2,1.2215,1.0275,1.128
4838,2020-03-27,1.15,1.19,1.13,1.14
4837,2020-03-26,1.16,1.2296,1.15,1.16
4836,2020-03-25,1.11,1.23,1.0252,1.17
4835,2020-03-24,1.1,1.1365,1.05,1.1199
4834,2020-03-23,1.1,1.1099,1.02,1.1099
4833,2020-03-20,1.15,1.1953,0.97,1.1
4832,2020-03-19,0.8782,1.15,0.87,1.0922
4831,2020-03-18,1.23,1.23,0.812,0.8573
4830,2020-03-17,1.27,1.3,1.17,1.255
4829,2020-03-16,1.24,1.39,1.21,1.23
4828,2020-03-13,1.29,1.36,1.26,1.29
4827,2020-03-12,1.49,1.49,1.27,1.29
4826,2020-03-11,1.43,1.7529,1.4,1.41
4825,2020-03-10,1.65,1.6733,1.41,1.4994
4824,2020-03-09,1.8,1.87,1.6,1.6
4823,2020-03-06,2.0553,2.16,1.92,1.95
4822,2020-03-05,2.06,2.55,1.92,2.19
4821,2020-03-04,2.214,3.15,2.17,2.34
4820,2020-03-03,2.3,2.3243,2.18,2.24
4819,2020-03-02,2.36,2.3609,2.15,2.28
4818,2020-02-28,2.35,2.54,2.22,2.42
4817,2020-02-27,2.46,2.4999,2.35,2.3504
4816,2020-02-26,2.49,2.55,2.46,2.55
4815,2020-02-25,2.65,2.757,2.39,2.43
4814,2020-02-24,2.75,2.75,2.61,2.63
4813,2020-02-21,2.8,2.8999,2.71,2.74
4812,2020-02-20,2.9,2.95,2.81,2.81
4811,2020-02-19,2.96,3.14,2.8701,3.09
4810,2020-02-18,2.88,2.9624,2.86,2.93
4809,2020-02-14,3.02,3.02,2.89,2.89
4808,2020-02-13,3.05,3.05,2.9,2.96
